src_id,class,significance,photflux_aper_hilim_u,photflux_aper_hilim_b,photflux_aper_lolim_h,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_hilim_s,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_s,photflux_aper_u,photflux_aper_h,photflux_aper_lolim_s,photflux_aper_lolim_u,photflux_aper_hilim_h,photflux_aper_b,photflux_aper_hilim,flux_aper_lolim_b,flux_aper_hilim_h,flux_aper_hilim,flux_aper_h,flux_aper_hilim_m,flux_aper_lolim_m,flux_aper,flux_aper_lolim_h,flux_aper_hilim_u,flux_aper_hilim_s,photflux_aper,flux_aper_lolim_s,flux_aper_u,flux_aper_hilim_b,flux_aper_lolim_u,flux_aper_lolim,flux_aper_b,flux_aper_s,flux_aper_m,photflux_aper_lolim,kp_prob,var_index,var_mean,var_inter_prob,var_min,var_sigma,var_inter_index,var_inter_sigma,var_max,var_prob,ks_prob,hard_hm_hilim,hard_hm,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_hs,hard_ms_hilim,hard_hm_lolim
NS0044,NS,49.26000000000001,-4.073772687857505,-4.723090558587822,-5.732468502417947,-5.385431614890488,-5.306603612846377,-5.1403009210839965,-5.717994665426991,-5.036574091147748,-5.237154072423038,-4.573145259536638,-5.348109517063189,-5.606228384090333,-5.447143688654849,-5.226519328809839,-4.803941399463897,-4.570222936756822,-13.662407293632722,-13.493874007379535,-13.467116317484741,-13.609339165231788,-13.994958718834894,-14.434844745286815,-13.879651768266413,-14.032114405474644,-13.345133885772922,-13.958370086855384,-5.203748026608398,-14.460725424658204,-13.701592388724265,-13.402930271771377,-14.58775472615834,-14.204953224644267,-13.468754401802185,-14.052272226901689,-14.10282059063309,-5.562001294411001,0.4710731884057971,0.478743961352657,0.005186143816425121,1.0,0.0035711169082125603,0.004364461738164252,8.0,7.350999999999997e-06,0.026188229927536232,0.4140128019323671,0.4505871980676329,0.38190352941176464,0.11768823529411765,-0.3970571428571429,0.2110178571428572,-0.2039809523809524,-0.4586523809523809,-0.10702142857142856,0.11837738095238093,-0.19549058823529414
TC0035,TC,46.73,-5.252633794506262,-4.4734412749714645,-5.243493208123484,-5.26176660954564,-5.166822742431856,-5.048677272140521,-5.418265297561299,-4.596922632664432,-5.139049905819535,-5.370150588711923,-5.09895431370381,-5.274446046982704,-5.830799384992743,-5.00763348453811,-4.528438480243784,-4.868307915872151,-13.15017378213573,-13.145443618294554,-13.356253057842038,-13.236772139285135,-13.818202929091813,-14.056147293193845,-13.431618560453675,-13.381387499906587,-14.534815336498232,-13.80218458094016,-4.960546406920874,-14.027956885615563,-14.6128979017179,-13.025492768960266,-14.96181662836949,-13.533401006827235,-13.080482269637963,-13.892546078272808,-13.908120834579234,-5.064334716083321,0.596153846153846,0.7243589743589745,0.004655290384615384,0.9992,0.004121469974358975,0.0004622779219646153,7.599999999999998,7.288200000000003e-06,0.005627962307692308,0.3930794871794872,0.6045230769230769,0.31552307692307696,0.1770076923076923,-0.11372307692307693,0.1971307692307692,-0.13732307692307694,-0.2868846153846154,0.04237692307692308,0.022538461538461545,0.028300000000000013
TC0002,TC,61.02,-4.437333837578425,-3.86770809697057,-5.374922812221723,-4.584807307894279,-4.5403912107814834,-4.2567300413457705,-4.637982819604202,-3.929800584252104,-4.298984038615119,-4.287877974974094,-5.193357875209704,-4.351448075187444,-4.391871471867239,-5.0870288935717145,-3.8969038534908127,-4.250925476171731,-12.744668805273495,-13.406015617028153,-13.018121216952286,-13.516214893065214,-13.164610030628051,-13.262240940518366,-13.061188722234034,-13.726664653999427,-13.439363668283615,-13.008623472522306,-4.300759226458103,-13.103319465072017,-13.515470169116053,-12.681496497133775,-13.621433713212221,-13.112684707340586,-12.711102450698698,-13.050883625799205,-13.209009707134184,-4.351953925047072,0.8579487179487181,6.1923076923076925,0.02107978076923077,1.0,0.00958382905128205,0.00844928717948718,8.0,7.988060000000003e-05,0.036865544871794866,0.7844679487179487,0.8327987179487181,-0.4966538461538462,-0.5872384615384616,-0.7854230769230769,-0.6513846153846156,-0.30404615384615385,-0.3671384615384615,-0.7212000000000001,-0.2394153846153846,-0.671276923076923
NS0038,NS,9.29,-5.61852390972497,-4.904830648568245,-6.029049065654576,-5.691862621361961,-5.614393726401689,-5.280834505910787,-5.7862167006646965,-4.998699066979582,-5.338755391040666,-5.82102305270683,-5.878768544850378,-5.405496956179911,-6.212185432936977,-5.7675121336470125,-4.949233688766958,-5.3145628220270265,-13.811071516239144,-14.060930250076575,-14.022761246469116,-14.171468993354898,-14.276052023568356,-14.44454278279535,-14.103055121672009,-14.329105046479787,-14.159831150759244,-14.131414333441231,-5.3832305047276785,-14.260506769218384,-14.35359627377693,-13.71783122169536,-14.744727494896695,-14.207342211550962,-13.760450279159524,-14.189364299724465,-14.352225949731169,-5.464812250815066,0.631,0.0,0.0017280999999999998,0.6421630000000006,0.0016803,4.157750000000001e-05,3.8773333333333344,3.7548517983333313e-06,0.00181985,0.206,0.7397499999999999,-0.0518,-0.2124,-0.664,-0.4416,-0.3848,-0.4816,-0.5547,-0.2817,-0.3791
BH0012,BH,2.11,-6.3397987986193165,-5.974284616098659,-7.431015328246942,-6.798876102792621,-6.552841968657781,-6.354479485094126,-7.422048872270246,-6.421475394725008,-6.565271458220242,-6.264431241547254,-6.792199171315532,-6.991399828238082,-6.752708043005733,-6.567190994966833,-6.14272782643596,-6.299071407687558,-15.267606240177033,-15.057644650292325,-14.996098073379002,-15.02455680627992,-15.138346129786092,-16.007579043947974,-15.305548366666665,-15.676936857030794,-15.535415839729021,-15.159141445958117,-6.6379324142726,-15.795880017344075,-15.473893228824515,-14.7594507517174,-16.08892973718001,-15.699910183088196,-14.943095148663527,-15.369979148886593,-15.384365531122587,-6.9840202666383835,0.8240000000000001,0.0,0.00023890000000000006,0.5936675000000003,0.0002338,1.3800000000000003e-05,3.4479999999999995,3.434683760000002e-06,0.000344,0.477,0.447,0.5078,0.1262,-1.0,-0.0406,-0.2948,-0.659,-0.4597,0.1243,-0.6177
TC0014,TC,2.6,-6.3723248566610495,-6.4992427210259525,-7.5934598195660445,-7.157195448287968,-6.910694582605619,-6.880834650939312,-7.934858858866317,-6.5406075122407685,-7.062434627524786,-6.567030709125596,-6.813570985179862,-7.852708694847528,-7.156749332790342,-6.7832678805048845,-6.6918447799427225,-6.601675919161366,-15.281545597795832,-14.492011025263714,-15.002591990735947,-14.27078109954562,-15.878498354563279,-17.220619988508346,-15.46526595565408,-15.287416368630351,-15.940436582098732,-15.689244184297385,-7.244377146775482,-16.3767507096021,-15.446956381764648,-14.906226228461176,-16.112296839841658,-16.086007102746784,-14.589195012387476,-15.878426385498749,-15.990124366287839,-8.201326066133875,0.9985,4.5,0.00015961000000000005,0.091,7.6745e-05,0.000122505,0.0,2.7075e-07,0.0005419,0.923,0.9905,0.57552,0.22585999999999998,-0.28994000000000003,0.59224,-0.2511,-0.57002,0.20386,0.38064000000000003,-0.29646
TC0040,TC,12.38,-5.467029617265927,-5.429423974634826,-6.536082981447011,-6.1851219822880505,-6.010445132000526,-5.898908669381843,-6.601601658738093,-5.922247735045155,-6.071198386831394,-6.031125627920276,-6.229164967196902,-6.274591890779746,-6.356976490716437,-5.9699010077364925,-5.574890115600739,-5.6347646736412695,-14.511446496276973,-14.213007735722785,-14.273256247842774,-14.351298846923957,-14.6010072272799,-15.182468797725186,-14.43803432527951,-14.569434749445152,-15.116387720999773,-14.739045721451724,-6.0381310958609244,-15.066227277547704,-15.312174543537328,-14.019161329004314,-15.740328422309899,-14.794967027212822,-14.164602957792216,-14.850299346352575,-14.759212629674055,-6.45618383034302,0.3847857142857144,0.35714285714285715,0.0006543642857142857,0.4152500000000002,0.0006234214285714285,5.922489285714287e-05,2.0,2.1790749999999995e-06,0.0010191928571428573,0.4576428571428571,0.4261428571428572,0.4087727272727272,0.04746363636363637,-0.4586363636363637,0.2315,-0.06303636363636361,-0.4202545454545455,-0.10754545454545457,0.2661272727272728,-0.3119
PL0116,PL,3.09,-4.900064447210679,-4.6850799440075805,-6.414312509640899,-5.278106983785043,-5.130474937142774,-4.942333896090171,-5.521145032471337,-4.980053318321159,-5.110586235957292,-5.0424327744818065,-6.092192196923753,-5.411616231621271,-5.257856488176492,-5.991399828238082,-4.804100347590767,-4.9946585880259375,-14.282995592959454,-14.12260325966872,-14.137173193025312,-14.27120572390515,-14.220547816595936,-14.611188586526476,-14.276982400862286,-14.605104564043037,-14.272704826364127,-14.253599355508435,-5.143830193104395,-14.738737131207508,-14.34531054342126,-13.988006885340743,-14.726830018007453,-14.500083919494982,-14.106904333903772,-14.425737170292974,-14.368150537840181,-5.362560307296335,0.2103333333333333,0.0,0.003037333333333333,0.6212930000000005,0.0020056666666666664,0.0015007333333333331,3.779166666666668,0.00011490023907666665,0.009418333333333329,0.2816666666666667,0.184,-0.6715,-0.9994,-1.0,-0.7651,-0.2498,-0.5091,-0.9994,0.0581,-1.0
PL0133,PL,43.76,-5.1356789872944235,-4.044357142645296,-4.458461856973241,-4.853118906535916,-4.822804104450312,-4.990640807047075,-4.886558078231311,-4.080087594869966,-5.0383402937756685,-5.502793819296046,-4.434919992025291,-5.093034457547656,-5.928854709548918,-4.412668263357967,-4.061437761676439,-4.489748315577572,-12.508389350993454,-12.531298432574616,-12.85964219217751,-12.55361521356848,-13.406269887196908,-13.470008968886807,-12.881770536552244,-12.577133959401035,-14.483655572662835,-13.820880436260655,-4.52750430500992,-13.923381680324795,-14.289459552066702,-12.472517222241196,-14.715343717211486,-12.905175631719226,-12.489622606352038,-13.868714303001836,-13.436481958173607,-4.553820154020757,0.5891249999999999,0.0,0.011317,0.5942000000000001,0.01123375,8.18780375e-05,3.0,2.90082e-06,0.01143675,0.111,0.553375,0.4828,0.44785,0.5603,0.639,0.20735,0.14300000000000002,0.59965,0.27235,0.4129
BH0027,BH,337.0,-5.13827332762055,-5.209196992124658,-5.74471607228694,-6.611608095873178,-6.490298760733192,-6.5508033838246345,-7.160186887131021,-5.5978431157712425,-6.942864988136506,-5.234108023569983,-5.49905982886135,-7.626403326445136,-6.169669117795385,-5.35635122904032,-5.338779451969298,-5.3925903554833905,-13.90581623206536,-13.480896421837105,-13.801646713938851,-13.6268105738389,-15.042223641348212,-15.734490303509812,-14.011829140688427,-13.885063918401935,-14.360937752550544,-15.340499262555255,-5.776013759974981,-16.029256955115766,-14.604632101999426,-13.482658311057225,-15.076699965775008,-14.288271971093616,-13.62644367791807,-15.715129763568289,-15.163226465694995,-6.048136830622367,0.5077948717948718,0.20512820512820512,0.007097743589743591,0.8301999999999997,0.0068596384615384615,0.00022644108205128197,7.0,0.00048116900000000004,0.007919064102564103,0.25153846153846154,0.5749871794871795,0.976895,0.9317775,0.7726604651162792,0.997446511627907,0.01224000000000001,-0.46949,0.9909441860465118,0.5627099999999999,0.7608375
TC0037,TC,33.44,-5.3131446505637925,-5.106084254923774,-5.9882530792861335,-5.827852762585299,-5.797174341828924,-5.563514869344975,-6.018421687393637,-5.484037233407414,-5.566471368203472,-5.48148008788034,-5.760313426960818,-5.703056243419076,-5.890968371201552,-5.694513077379879,-5.214022463281751,-5.392601880611268,-13.9059385835702,-13.904609907377765,-14.023404488398773,-13.951516110063267,-14.3454634068582,-14.634021758525881,-14.21677566995661,-14.109336296472266,-14.596694031763661,-14.361669662595684,-5.609495381822691,-14.447516144900739,-14.670410493298151,-13.732466898040835,-14.920595229225444,-14.30294196029003,-13.839286098377665,-14.331989396386108,-14.442858865586214,-5.939033199036058,0.7100083333333335,3.3666666666666667,0.0017509841666666665,1.0,0.0008081720833333334,0.001427380416666667,8.0,9.434200000000004e-06,0.0068457825,0.6621166666666666,0.7252666666666667,0.41973,0.07296000000000001,-0.4366,0.10493,-0.43623,-0.55752,-0.17163,-0.06609000000000001,-0.17589000000000002
PL0041,PL,10.27,-4.724688645458189,-4.666754301038037,-5.388914266585127,-5.3919020536747215,-5.323306390375134,-5.096801452957021,-5.473402290896548,-4.751536282448968,-5.16083631708535,-4.881735273910521,-5.295677859177765,-5.2359733923079625,-5.150642018338701,-5.223080997157954,-4.707079700399994,-4.927198850590152,-13.266160999302851,-13.356251314540474,-13.521145032471335,-13.428757149439775,-13.940815382368624,-14.09108625997903,-13.585173668888853,-13.522011023749108,-13.896880746454285,-13.781464494783473,-5.010701499801863,-13.920456992597096,-14.065299598284572,-13.181180492452464,-14.343997679317045,-13.66199397182798,-13.221559316428769,-13.845576026885354,-14.009572341514735,-5.118695247067675,0.6559999999999999,3.0,0.00263258,0.5586965000000003,0.00182362,0.00066909,3.0894999999999992,7.287075129999999e-06,0.00346688,0.6910000000000001,0.6479999999999999,0.2355,0.1162,-0.2692,-0.0356,-0.2636,-0.3679,-0.1537,-0.1543,-0.0094
PL0110,PL,5.09,-5.847100403606253,-5.224972399901155,-5.641494088509765,-5.968591535748375,-5.847711655616942,-6.880084589742007,-6.148680487351255,-5.399027104313252,-6.866506062540803,-5.8682558166941465,-5.520856752021387,-7.5903873672092095,-6.511687360173661,-5.4266641599339325,-5.300943145452332,-5.596028889157601,-13.723768042078163,-13.56336036830734,-13.702086364192136,-13.657577319177792,-14.438779321066056,-14.739928612014925,-13.791406380524464,-13.778064400171996,-15.101956209788801,-15.43893930720852,-5.740406121114051,-16.32958993548788,-15.089198002126306,-13.543633966870955,-15.653269325199222,-13.904481957676847,-13.624519285381426,-15.634204495104266,-14.559563233894224,-5.8549217430286085,0.379,0.3333333333333333,0.0011506,0.6811525000000003,0.0010174333333333333,0.00012490666666666665,4.099333333333333,2.4363095344999992e-05,0.0016093333333333333,0.406,0.413,0.6352,0.4897,0.9151,1.0,0.9994,0.7751,0.9994,1.0,0.3279
PL0114,PL,20.56,-5.771086594005313,-4.4362816600343224,-4.676747899828314,-5.246953438373471,-5.2096444535856135,-6.092588639225414,-5.290390878927352,-4.478600371884625,-6.2071882287518525,-5.986741334716482,-4.652474840001308,-6.37509939779551,-6.433798281145087,-4.630969778190846,-4.456925764966468,-4.862120747914248,-12.7594507517174,-12.748605149959896,-13.111508240968295,-12.772884917410874,-13.822175028135321,-13.903089986991944,-13.13460722373903,-12.798602875679553,-15.374687549038324,-14.922268820347607,-4.889446650760883,-15.204885014369635,-15.610302451793617,-12.717377887121938,-16.230032198670553,-13.159664543156486,-12.737311655698305,-15.036920839358173,-13.860750782428394,-4.919489677136681,0.63775,0.0,0.0060551,0.7357279999999996,0.005976175,8.0990975e-05,4.482166666666666,4.028394434666668e-05,0.00617455,0.249,0.647,0.6277,0.5946,0.9288,0.96,0.802,0.7439,0.9457,0.8551,0.5603
NS0055,NS,28.02,-6.329661358872558,-4.490797477668896,-5.447453452044339,-5.025304128090316,-4.9846402445907865,-5.176851940189307,-5.0699683850490285,-4.554863031286696,-5.229884705212898,-6.05918338329976,-5.358724242768087,-5.290221398151775,-6.620524933383642,-5.285083752006416,-4.5215778122599195,-4.958843477313736,-13.276462238467946,-13.499214827082545,-13.591240210410858,-13.572838597074034,-13.612432220582807,-13.697669071315598,-13.63744213344551,-13.661543506395395,-15.394371777992381,-13.987162775294829,-5.001810433362444,-14.100398340853882,-15.507545715106033,-13.212114649059075,-16.172687170827757,-13.687374188871393,-13.24313577593945,-14.040005161671585,-13.653060537301009,-5.045014999508534,0.2415,0.0,0.0052165,0.8590000000000001,0.00519525,1.9981e-05,6.0,0.000507937325,0.00523925,0.095,0.218,-0.2742,-0.3623,-0.248,-0.0331,0.2336,0.1568,-0.1412,0.3079,-0.4503
CV0013,CV,12.98,-4.685178187196342,-5.8962999250523564,-7.475603877896157,-6.569064428869523,-6.3163551339392106,-6.1278542004892325,-7.555174800490253,-6.995645761795307,-6.681102285372512,-4.678662555294261,-6.174573882232178,-7.4940364819818726,-4.7661556288913465,-6.0278428001026185,-6.1327858395204675,-5.276344382251321,-15.192441455825655,-14.139688153888562,-14.120396480033559,-14.345149909438605,-14.846484728828804,-16.072347780614745,-14.533077630340648,-15.64627606241105,-13.667708657402349,-14.949652905979676,-5.688611625305582,-16.92190584959359,-13.564616328449356,-14.695503663050056,-13.6520555941056,-15.034993840888054,-14.526513029935431,-15.579384229374234,-15.068064631594591,-6.15104753120071,0.468,0.0,0.003319,0.6377645000000001,0.0030465,0.00031715,3.9018333333333337,7.973274014666668e-05,0.004821000000000001,0.343,0.636,0.5278,0.0,-0.45845,0.4622,-0.7539,-0.92505,0.0,0.2024,-0.3635
