obs_id,src_id,ra,dec,livetime,src_n,likelihood,num_obs,name,significance,photflux_aper_lolim_b,photflux_aper_hilim_b,photflux_aper_b,photflux_aper_h,photflux_aper_hilim_h,photflux_aper_lolim_h,flux_aper_b,flux_aper_hilim_b,flux_aper_lolim_b,photflux_aper_hilim_s,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_m,photflux_aper_lolim_m,photflux_aper_m,hard_hs,hard_hm,hard_ms,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper_s,flux_aper_hilim_h,flux_aper_lolim_h,flux_aper_h,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_m,photflux_aper_lolim_u,photflux_aper_u,photflux_aper_hilim_u,flux_aper_u,flux_aper_hilim_u,flux_aper_lolim_u,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_sigma_s,var_inter_prob_s,var_inter_index_s,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_prob_b,var_max_b,var_mean_b,var_sigma_b,var_min_b,ks_prob_b,kp_prob_b,var_max_m,var_prob_m,ks_prob_m,var_index_m,var_mean_m,var_min_m,var_sigma_m,kp_prob_m,var_index_h,var_prob_h,var_max_h,var_min_h,var_mean_h,var_sigma_h,kp_prob_h,ks_prob_h,var_prob_s,var_index_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u,class
PL_15_obs_8,PL_15,59.72388,54.22049000000001,63001.1,PSR_J0358+5413_,1522.64,9, 2CXO J035853.7+541313,19.44,5.162980051459091,5.073297505817355,5.115827930476088,5.633950790199765,5.568314655313988,5.711303739409744,13.610479534153622,13.567511744229494,13.658367664221945,5.711080394338273,5.809388202186395,5.936666641048251,5.668775218979268,5.808548985535104,5.733063088840827,0.1874,0.1124,0.0737,14.81502480930174,14.589560213789653,14.68782264356022,13.666955970176513,13.809668301829708,13.732359017654085,14.412176828681044,14.272214825817095,14.33658178774732,-20.0,-20.0,4.916855856856948,-20.0,14.167938385409274,-20.0,3.0,0.5,2.403e-06,8.261e-07,0.736,5.0,4.0,0.63,4.349e-07,0.0,0.222,8.628e-07,0.348,0.0036009999999999996,0.0019420000000000001,0.00018130000000000002,0.001861,0.152,0.161,0.001568,0.523,0.723,1.0,0.0008146000000000001,0.0007848,8.28e-05,0.6990000000000001,0.0,0.179,0.001021,0.000819,0.0008302999999999999,2.829e-05,0.336,0.534,0.416,0.0,0.374,0.381,1.599e-05,0.0002976,0.00029210000000000005,0.0004173,0.0,0.0,0.0,PL
PL_16_obs_0,PL_16,6.005987999999999,-72.07831,65237.5,PSR_J1048-5832_,120.729,8, 2CXO J002401.4-720441,5.63,6.404944910240696,6.103970087603773,6.228927216778805,-20.0,7.0450342689415795,-20.0,15.072783669408736,14.939302159646388,15.266642212074414,6.2813322646837895,6.404283380056576,6.576426480267265,7.231213953091986,-20.0,-20.0,-0.9994,0.9994,-0.9994,15.369470428573177,15.068491278133383,15.193413065672196,15.196747788569542,-20.0,-20.0,-20.0,15.975514332300833,-20.0,6.593630164530732,6.221197795986761,6.032171320669844,14.844360366240224,14.659754238432068,15.171662399940995,3.0,0.501,2.694e-07,1.197e-07,0.633,4.0,0.0,0.017,8.798e-08,0.0,0.0,0.0,0.727,0.0005273,0.0002269,2.358e-05,0.0002181,0.8540000000000001,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,1.0,0.7959999999999999,0.934,1.4499999999999998e-05,0.0001967,0.0001917,0.0003998,0.0,0.028999999999999998,4.849e-07,PL
PL_16_obs_1,PL_16,6.005987999999999,-72.07831,59044.6,PSR_J1048-5832_,120.729,8, 2CXO J002401.4-720441,5.63,6.471597562046383,6.1442386276600525,6.2777775360302694,-20.0,7.310868802765502,-20.0,15.358327626775313,15.182236367719632,15.68277265082358,6.340464092845783,6.474048658751988,6.681727919788373,6.940436582098732,7.87484417041947,7.193616498175833,-0.9994,-0.9994,-0.6921,15.467882883751196,15.126679398184601,15.260269471435283,0.0,0.0,0.0,16.508358206522413,15.573814174755489,15.827105302247825,6.774690718274137,6.297655641644231,6.0757724187398825,14.806041021980812,14.603800652904264,15.232176501992484,3.0,0.501,2.694e-07,1.197e-07,0.633,4.0,0.0,0.017,8.798e-08,0.0,0.0,0.0,0.465,0.0002929,0.0002006,1.073e-05,0.0001967,0.812,0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.0,0.846,0.6609999999999999,8.212999999999999e-06,0.0001672,0.0001645,0.0002424,0.0,0.028999999999999998,4.849e-07,PL
PL_16_obs_2,PL_16,6.005987999999999,-72.07831,65240.7,PSR_J1048-5832_,120.729,8, 2CXO J002401.4-720441,5.63,6.866461091629782,6.3743789185750925,6.554240163511369,-20.0,7.3503731131594705,-20.0,15.715794932298206,15.452471423540217,16.618704376996174,6.664742743565468,6.867100230055517,7.25845448322379,6.860435733824151,7.517984423549288,7.067983093565799,-0.9994,-0.9994,-0.2823,16.03414006319293,15.440452444419567,15.642827742276966,0.0,0.0,0.0,16.20287101220345,15.503901007867428,15.72584215073632,7.272702797196413,6.513003111568177,6.261933285222531,16.043927663004816,15.75448733218585,-20.0,3.0,0.501,2.694e-07,1.197e-07,0.633,4.0,0.0,0.017,8.798e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,4.849e-07,PL
PL_16_obs_3,PL_16,6.005987999999999,-72.07831,68771.4,PSR_J1048-5832_,120.729,8, 2CXO J002401.4-720441,5.63,6.280917426098514,6.023374947949272,6.133299243957501,-20.0,7.37706103078851,-20.0,15.12924505510986,15.000173752545587,15.313810765755976,6.2498774732166,6.361510743045363,6.522878745280337,6.795337488251781,7.356843534380293,6.984640244590786,-0.9994,-0.9994,-0.6221,15.310158590862494,15.037204630142767,15.14880282382584,0.0,0.0,0.0,15.988006885340743,15.426548177964515,15.615646585862494,-20.0,-20.0,6.5101820916985496,-20.0,15.68782264356022,-20.0,3.0,0.501,2.694e-07,1.197e-07,0.633,4.0,0.0,0.017,8.798e-08,0.0,0.0,0.0,0.4970000000000001,0.0004463,0.0002727,3.001e-05,0.0002591,0.025,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481,0.0,0.08800000000000001,0.336,1.353e-05,0.0002153,0.0002106,0.0003249,0.0,0.028999999999999998,4.849e-07,PL
PL_16_obs_4,PL_16,6.005987999999999,-72.07831,5307.0,PSR_J1048-5832_,120.729,8, 2CXO J002401.4-720441,5.63,-20.0,6.210701388840559,-20.0,-20.0,6.249645911237292,-20.0,0.0,0.0,0.0,6.365623505911632,-20.0,-20.0,6.437707135543525,-20.0,-20.0,0.9994,0.9994,-0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-20.0,5.680685695909488,0.0,0.0,0.0,3.0,0.501,2.694e-07,1.197e-07,0.633,4.0,0.0,0.017,8.798e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,4.849e-07,PL
PL_16_obs_5,PL_16,6.005987999999999,-72.07831,1928.3,PSR_J1048-5832_,120.729,8, 2CXO J002401.4-720441,5.63,-20.0,5.451979305094469,-20.0,5.740645072691966,5.465846925814938,6.971022294791222,-20.0,13.958607314841775,-20.0,5.940058111938045,-20.0,-20.0,5.998699066979582,-20.0,-20.0,0.9994,0.9994,-0.9994,0.0,0.0,0.0,13.898940645091885,-20.0,-20.0,0.0,0.0,0.0,-20.0,-20.0,5.25500332596144,0.0,0.0,0.0,3.0,0.501,2.694e-07,1.197e-07,0.633,4.0,0.0,0.017,8.798e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,4.849e-07,PL
PL_16_obs_6,PL_16,6.005987999999999,-72.07831,5544.8,PSR_J1048-5832_,120.729,8, 2CXO J002401.4-720441,5.63,6.715343717211484,5.694218848745018,5.955852379121278,-20.0,6.256255121407539,-20.0,14.822463500070137,14.569280112136719,15.503762454833264,5.8338660296948905,6.087140524837645,6.768275616671484,6.468521082957745,-20.0,-20.0,-0.9994,0.9994,-0.9994,15.424927674286188,14.559563233894226,14.805208242278075,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-20.0,5.712870379280889,0.0,0.0,0.0,3.0,0.501,2.694e-07,1.197e-07,0.633,4.0,0.0,0.017,8.798e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,4.849e-07,PL
PL_16_obs_7,PL_16,6.005987999999999,-72.07831,5734.6,PSR_J1048-5832_,120.729,8, 2CXO J002401.4-720441,5.63,-20.0,5.979638717352292,-20.0,-20.0,6.284916329305073,-20.0,-20.0,14.95546023960759,-20.0,6.039624368589842,-20.0,-20.0,6.4703130462270835,-20.0,-20.0,-0.9994,0.9994,-0.9994,-20.0,14.915423722065668,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-20.0,5.711750774428014,0.0,0.0,0.0,3.0,0.501,2.694e-07,1.197e-07,0.633,4.0,0.0,0.017,8.798e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,4.849e-07,PL
PL_17_obs_0,PL_17,248.9659,-47.58982,6564.4,PSR_J1635-4735_,1471.2379999999994,8, 2CXO J163551.8-473523,15.74,4.101274818410507,4.013004460275618,4.053596866100945,4.186953034839892,4.145086977692144,4.233215484502141,12.300943145452333,12.25987426303427,12.349304020239389,5.838033383635925,-20.0,-20.0,5.764724123312948,6.90031935889075,6.035033625168902,0.9994,0.9719,0.1811,-20.0,14.05163594401163,-20.0,12.255628772668139,12.346208812612188,12.29860473098608,15.175678875149229,14.221414672137037,14.476773958034299,-20.0,-20.0,4.293282217663241,0.0,0.0,0.0,8.0,1.0,7.7e-05,0.0,0.0,0.0,3.0,0.555,5.031e-07,8.0,1.0,5.427e-05,0.08199999999999999,0.02187,0.02164,0.0001655,0.021419999999999998,0.8079999999999999,0.8370000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.02111,0.02065,0.02086,0.00018519999999999998,0.816,0.7859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,9.837e-07,PL
