name,ra,dec,usrid,separation,probability,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w
2CXO J080623.3-412230, 08 06 23.39,-41 22 30.58,    328,     0.52,     0.06,     0.71,     0.71,      0.0,    39.73,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,         ,         ,         
2CXO J082157.3-430017, 08 21 57.35,-43 00 17.37,    345,     0.79,     0.06,     0.71,     0.71,      0.0,   121.44,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,4.254e-12,4.193e-12,4.311e-12
2CXO J083520.6-451034, 08 35 20.61,-45 10 34.65,    355,     0.22,     0.06,     0.71,     0.71,      0.0,   397.20,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,2.596e-11,2.587e-11,2.605e-11
2CXO J085536.1-464413, 08 55 36.15,-46 44 13.59,    373,     0.51,     0.06,     0.71,     0.71,      0.0,    16.07,                TRUE,FALSE,FALSE,FALSE,1.156e-13,1.084e-13,1.228e-13,         ,         ,         
2CXO J090835.4-491305, 09 08 35.41,-49 13 05.46,    388,     0.31,     0.06,     0.78,     0.78,      0.0,     3.24,                TRUE,FALSE,FALSE,FALSE,6.433e-15,4.445e-15,8.421e-15,         ,         ,         
2CXO J104432.8-573719, 10 44 32.86,-57 37 19.10,    484,     0.43,     0.06,     0.74,     0.73,     73.1,     4.57,                TRUE,FALSE,FALSE,FALSE,3.220e-14,2.495e-14,3.904e-14,         ,         ,         
2CXO J105007.1-595321, 10 50 07.16,-59 53 21.53,    494,     0.40,     0.06,     0.71,     0.71,      0.0,    35.39,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,2.233e-12,2.170e-12,2.296e-12
2CXO J105758.9-522656, 10 57 58.98,-52 26 56.76,    508,     0.37,     0.06,     0.71,     0.71,     88.8,    35.28,                TRUE,FALSE,FALSE,FALSE,5.794e-13,5.629e-13,5.960e-13,         ,         ,         
2CXO J110526.2-610749, 11 05 26.24,-61 07 49.02,    521,     0.96,     0.09,     1.11,     1.11,      0.0,     1.82,            MARGINAL,FALSE,FALSE,FALSE,0.000e+00,0.000e+00,8.874e-16,         ,         ,         
2CXO J111214.8-610330, 11 12 14.88,-61 03 30.72,    528,     0.56,     0.06,     0.72,     0.72,      0.0,    11.04,                TRUE,FALSE,FALSE,FALSE,4.466e-14,4.147e-14,4.766e-14,         ,         ,         
2CXO J111914.2-612749, 11 19 14.28,-61 27 49.20,    538,     0.52,     0.06,     0.71,     0.71,     96.9,    19.93,                TRUE, TRUE,FALSE,FALSE,4.202e-14,3.958e-14,4.431e-14,         ,         ,         
2CXO J121000.8-522628, 12 10 00.87,-52 26 28.39,    604,     0.22,     0.06,     0.71,     0.71,      0.0,   130.73,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,2.938e-12,2.907e-12,2.968e-12
2CXO J122758.7-485343, 12 27 58.76,-48 53 43.33,    624,     0.80,     0.06,     0.71,     0.71,      0.0,    27.61,                TRUE,FALSE,FALSE,FALSE,3.537e-13,3.403e-13,3.661e-13,         ,         ,         
2CXO J123111.3-141143, 12 31 11.30,-14 11 43.92,    627,     0.48,     0.06,     0.72,     0.72,    168.3,     9.99,                TRUE,FALSE,FALSE,FALSE,1.517e-13,1.356e-13,1.668e-13,         ,         ,         
2CXO J130247.6-635008, 13 02 47.64,-63 50 08.55,    674,     0.34,     0.06,     0.71,     0.71,      0.0,   131.15,                TRUE,FALSE,FALSE, TRUE,9.778e-13,9.604e-13,9.941e-13,         ,         ,         
2CXO J130848.1+212707, 13 08 48.14,+21 27 07.13,    686,     0.80,     0.06,     0.71,     0.71,      0.0,    37.32,                TRUE, TRUE,FALSE,FALSE,1.312e-12,1.275e-12,1.346e-12,         ,         ,         
2CXO J130848.2+212706, 13 08 48.21,+21 27 06.75,    686,     0.27,     0.06,     0.71,     0.71,      0.0,    40.87,                TRUE, TRUE,FALSE,FALSE,8.513e-15,7.402e-16,1.628e-14,         ,         ,         
2CXO J131145.7-343030, 13 11 45.72,-34 30 30.17,    692,     0.28,     0.06,     0.72,     0.72,     68.0,     6.65,                TRUE,FALSE,FALSE,FALSE,3.785e-14,3.214e-14,4.357e-14,         ,         ,         
2CXO J135702.5-642929, 13 57 02.53,-64 29 29.94,    768,     0.87,     0.06,     0.71,     0.71,     87.5,    18.02,                TRUE,FALSE,FALSE,FALSE,7.092e-14,6.692e-14,7.493e-14,         ,         ,         
2CXO J140045.7-632542, 14 00 45.70,-63 25 42.98,    773,     0.78,     0.06,     0.71,     0.71,      0.0,    56.35,                TRUE,FALSE,FALSE,FALSE,1.454e-12,1.428e-12,1.479e-12,         ,         ,         
2CXO J141255.8+792203, 14 12 55.81,+79 22 03.73,    793,     0.03,     0.06,     0.71,     0.71,    174.1,    58.22,                TRUE,FALSE,FALSE,FALSE,6.665e-13,6.545e-13,6.785e-13,         ,         ,         
2CXO J141730.5-440257, 14 17 30.55,-44 02 57.25,    802,     0.63,     0.09,     1.15,     0.91,     30.4,     6.41,                TRUE,FALSE,FALSE,FALSE,3.040e-13,2.565e-13,3.515e-13,         ,         ,         
2CXO J142008.1-604817, 14 20 08.19,-60 48 17.33,    808,     0.78,     0.06,     0.72,     0.72,     81.8,    12.86,                TRUE, TRUE,FALSE,FALSE,6.833e-14,6.353e-14,7.312e-14,         ,         ,         
2CXO J142958.5-591136, 14 29 58.50,-59 11 36.03,    822,     1.00,     0.06,     0.75,     0.74,    132.8,     4.19,                TRUE,FALSE,FALSE,FALSE,1.809e-14,1.377e-14,2.241e-14,         ,         ,         
2CXO J145600.0-684339, 14 56 00.03,-68 43 39.40,    857,     0.66,     0.06,     0.71,     0.71,    110.3,    12.31,                TRUE,FALSE,FALSE,FALSE,3.244e-14,2.967e-14,3.520e-14,         ,         ,         
2CXO J150927.1-585056, 15 09 27.16,-58 50 56.26,    877,     0.56,     0.06,     0.71,     0.71,     11.0,    14.23,                TRUE,FALSE,FALSE,FALSE,2.910e-14,2.746e-14,3.065e-14,         ,         ,         
2CXO J151419.0-494615, 15 14 19.08,-49 46 15.95,    890,     0.43,     0.08,     1.03,     0.84,     94.9,     2.63,                TRUE,FALSE,FALSE,FALSE,4.925e-15,3.015e-15,6.834e-15,         ,         ,         
2CXO J153127.8-561055, 15 31 27.90,-56 10 55.33,    934,     0.16,     0.07,     0.80,     0.79,    174.9,     3.31,                TRUE,FALSE,FALSE,FALSE,1.872e-14,1.291e-14,2.420e-14,         ,         ,         
2CXO J155054.1-541823, 15 50 54.11,-54 18 23.94,    998,     0.23,     0.06,     0.71,     0.71,    133.7,   122.14,                TRUE,FALSE,FALSE,FALSE,3.975e-12,3.942e-12,4.007e-12,         ,         ,         
2CXO J160518.5+324917, 16 05 18.50,+32 49 17.27,   1043,     0.85,     0.06,     0.71,     0.71,      0.0,    45.60,                TRUE,FALSE,FALSE,FALSE,1.280e-12,1.251e-12,1.309e-12,         ,         ,         
2CXO J161436.5-223031, 16 14 36.51,-22 30 31.06,   1072,     0.26,     0.06,     0.72,     0.71,    169.0,     9.04,                TRUE,FALSE,FALSE,FALSE,2.187e-14,1.943e-14,2.430e-14,         ,         ,         
2CXO J161729.3-505512, 16 17 29.35,-50 55 12.82,   1088,     0.54,     0.06,     0.71,     0.71,      0.6,    85.97,                TRUE,FALSE,FALSE,FALSE,2.115e-12,2.082e-12,2.148e-12,         ,         ,         
2CXO J162338.2-263154, 16 23 38.21,-26 31 54.08,   1109,     0.32,     0.06,     0.73,     0.72,    151.4,     6.79,                TRUE,FALSE,FALSE,FALSE,3.056e-15,2.575e-15,3.509e-15,         ,         ,         
2CXO J162806.9-320548, 16 28 06.99,-32 05 48.95,   1133,     0.25,     0.06,     0.71,     0.71,     95.2,    11.99,                TRUE,FALSE,FALSE,FALSE,9.043e-14,8.289e-14,9.797e-14,         ,         ,         
2CXO J163551.8-473523, 16 35 51.82,-47 35 23.35,   1162,     0.30,     0.06,     0.71,     0.71,    102.1,    15.74,                TRUE,FALSE,FALSE,FALSE,1.025e-13,9.466e-14,1.104e-13,         ,         ,         
2CXO J164043.5-463135, 16 40 43.52,-46 31 35.21,   1189,     0.40,     0.06,     0.72,     0.71,    176.0,     9.32,                TRUE,FALSE,FALSE,FALSE,9.125e-14,8.281e-14,9.970e-14,         ,         ,         
2CXO J164710.2-455217, 16 47 10.22,-45 52 17.05,   1219,     0.45,     0.06,     0.71,     0.71,    175.5,    57.85,                TRUE,FALSE,FALSE,FALSE,2.122e-13,2.038e-13,2.207e-13,         ,         ,         
2CXO J165839.3-532406, 16 58 39.35,-53 24 06.95,   1275,     0.58,     0.09,     1.05,     1.05,      0.0,     4.26,                TRUE,FALSE,FALSE,FALSE,1.138e-14,8.489e-15,1.427e-14,         ,         ,         
2CXO J170252.4-412848, 17 02 52.49,-41 28 48.25,   1297,     0.29,     0.07,     0.80,     0.77,    170.9,     2.61,                TRUE,FALSE,FALSE,FALSE,6.868e-15,3.815e-15,9.768e-15,         ,         ,         
2CXO J170942.7-442908, 17 09 42.72,-44 29 08.44,   1346,     0.40,     0.06,     0.71,     0.71,     90.4,    50.09,                TRUE,FALSE,FALSE,FALSE,3.291e-13,3.225e-13,3.358e-13,         ,         ,         
2CXO J171405.7-381030, 17 14 05.74,-38 10 30.95,   1363,     0.63,     0.06,     0.71,     0.71,     17.2,    29.01,                TRUE,FALSE,FALSE,FALSE,7.395e-13,7.141e-13,7.649e-13,         ,         ,         
2CXO J171810.0-371853, 17 18 10.02,-37 18 53.14,   1385,     0.25,     0.06,     0.76,     0.75,     11.7,     3.00,                TRUE,FALSE,FALSE,FALSE,6.173e-16,3.283e-16,9.062e-16,         ,         ,         
2CXO J173117.5-184732, 17 31 17.59,-18 47 32.75,   1444,     0.12,     0.07,     0.81,     0.78,     95.2,     2.29,                TRUE,FALSE,FALSE,FALSE,8.570e-15,4.713e-15,1.221e-14,         ,         ,         
2CXO J173233.5-313123, 17 32 33.55,-31 31 23.95,   1450,     0.99,     0.06,     0.72,     0.72,    135.3,     7.45,                TRUE,FALSE,FALSE,FALSE,2.262e-14,1.954e-14,2.569e-14,         ,         ,         
2CXO J174025.9+100006, 17 40 25.95,+10 00 06.06,   1502,     0.82,     0.06,     0.71,     0.71,     37.7,    18.69,                TRUE,FALSE,FALSE,FALSE,9.598e-14,9.084e-14,1.011e-13,         ,         ,         
2CXO J174429.4-113454, 17 44 29.40,-11 34 54.92,   1533,     0.44,     0.06,     0.71,     0.71,     87.6,    14.80,                TRUE,FALSE,FALSE,FALSE,1.944e-14,1.813e-14,2.074e-14,         ,         ,         
2CXO J174540.1-290029, 17 45 40.17,-29 00 29.78,   1546,     0.84,     0.06,     0.71,     0.71,      0.0,   337.00,                TRUE, TRUE,FALSE,FALSE,2.347e-14,2.196e-14,2.488e-14,         ,         ,         
2CXO J174715.8-295801, 17 47 15.81,-29 58 01.14,   1563,     0.35,     0.06,     0.71,     0.71,     98.4,    93.46,                TRUE, TRUE,FALSE,FALSE,         ,         ,         ,3.557e-13,3.452e-13,3.661e-13
2CXO J174722.7-280914, 17 47 22.78,-28 09 14.94,   1562,     0.35,     0.07,     0.82,     0.77,    140.5,     3.03,                TRUE,FALSE,FALSE,FALSE,1.686e-14,1.174e-14,2.197e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1574,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1575,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1576,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1577,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1578,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1579,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
