,Unnamed: 0,model,acc_type,accuracy
175,47,Tuned_RF,Test_acc,0.9239130434782608
176,48,Tuned_RF,Test_acc,0.9239130434782608
177,49,Tuned_RF,Test_acc,0.9673913043478259
178,50,Tuned_RF,Test_acc,0.9347826086956522
179,51,Tuned_RF,Test_acc,0.9673913043478259
180,52,Tuned_RF,Test_acc,0.9347826086956522
181,53,Tuned_RF,Test_acc,0.8913043478260869
182,54,Tuned_RF,Test_acc,0.9565217391304348
183,55,Tuned_RF,Test_acc,0.9347826086956522
184,56,Tuned_RF,Test_acc,0.9456521739130436
185,57,Tuned_RF,Test_acc,0.9347826086956522
186,58,Tuned_RF,Test_acc,0.8913043478260869
187,59,Tuned_RF,Test_acc,0.9347826086956522
188,60,Tuned_RF,Test_acc,0.8478260869565217
189,61,Tuned_RF,Test_acc,0.9021739130434784
190,62,Tuned_RF,Test_acc,0.9021739130434784
191,63,Tuned_RF,Test_acc,0.9239130434782608
