,NAME,PSRJ,RAJ,DECJ,RAJD,num_obs,DECJD,BINCOMP,ASSOC_MOD,ASSOC,SURVEY,PSR,Unnamed: 11
371,J1814-1744,J1814-1744,18:14:43.1,-17:44:48,273.67958333,0,-17.74666667,,NA,,"pksmb,htru_pks",,
372,J1814+22,J1814+22,18:14:36,+22:23,273.65,0,22.38333333,,NA,,lotaas,,
373,J1814+31,J1814+31,18:14:31,+31:30:01,273.62916667,0,31.50027778,,GRS,GRS:4FGL_J1814.4+3132[fermi21],FermiAssoc,NRAD[fermi21],
374,J1815-1738,J1815-1738,18:15:14.6,-17:38:06.8,273.811125,0,-17.63523056,,NA,,"pksmb,htru_pks",,
375,J1815-1910,J1815-1910,18:15:03.0,-19:10:00.4,273.76283333,0,-19.16677778,,NA,,"pksmb,htru_pks",,
376,J1815+5546,J1815+5546,18:15:05.7,+55:46:23.3,273.77391993,0,55.77314169,,NA,,"gbncc,lotaas",,
377,J1816-0755,J1816-0755,18:16:24.5,-07:55:22.5,274.1022625,0,-7.92291667,,GRS,GRS:[sbc+19],"pksmb,htru_pks",HE[sbc+19],
378,J1816-1446,J1816-1446,18:16:29.1,-14:46:30,274.121625,0,-14.775,,NA,,"pksmb,htru_pks",,
379,B1813-17,J1816-1729,18:16:18.6,-17:29:02.7,274.07775852,0,-17.4840847,,NA,,"jb2,pksmb,htru_pks",,
380,B1813-26,J1816-2650,18:16:35.3,-26:49:53,274.14749583,0,-26.83138889,,NA,,"mol1,jb1,mol2,pks70,pkssw,pksmb,htr",,
381,J1816+4510,J1816+4510,18:16:35.9,+45:10:33.8,274.1497265,1,45.17607272,MS[ssc+19],GRS,"GRS:4FGL_J1816.5+4510[fermi21],OPT:[kbv+",gbncc,HE[ksr+12],
382,J1816-5643,J1816-5643,18:16:36.4,-56:43:42.1,274.15193333,0,-56.72836111,,NA,,pkssw,,
383,J1817-0743,J1817-0743,18:17:49.7,-07:43:18.9,274.45745833,0,-7.72191667,,NA,,pksmb,,
384,J1817-1511,J1817-1511,18:17:36.2,-15:11:39,274.40083333,0,-15.19416667,,NA,,"pksmb,htru_pks",,
385,J1817-1742,J1817-1742,18:17:09.0,-17:42:01.1,274.28764167,0,-17.70030556,,GRS,GRS:4FGL_J1817.1-1742[fermi21],FermiBlind,NRAD,
386,J1817-1938,J1817-1938,18:17:06.8,-19:38:36,274.27841667,0,-19.64333333,,NA,,"htru_pks,pksmb",,
387,B1814-23,J1817-2311,18:17,-23:11,274.25,0,-23.18333333,,NA,,misc,,
388,B1813-36,J1817-3618,18:17:05.8,-36:18:04.6,274.27440417,0,-36.30127778,,NA,,"mol2,pks70,pkssw,htru_pks",,
389,J1817-3837,J1817-3837,18:17:00.2,-38:37:59.7,274.251125,0,-38.63325,,NA,,"pks70,pkssw,htru_pks",,
390,J1818-0151,J1818-0151,18:18:25.7,-01:51:54.0,274.607375,0,-1.865,,NA,,htru_pks,,
391,J1818-1116,J1818-1116,18:18:26.4,-11:16:29,274.61020833,0,-11.27472222,,NA,,"pksmb,htru_pks",,
392,B1815-14,J1818-1422,18:18:23.7,-14:22:36.7,274.599025,0,-14.37686389,,NA,,"jb2,pks1,pksmb,htru_pks",,
393,J1818-1448,J1818-1448,18:18:27.9,-14:48:38,274.61629167,0,-14.81055556,,NA,,pksmb,,
394,J1818-1519,J1818-1519,18:18:14.6,-15:19:43,274.56083333,0,-15.32861111,,NA,,"pksmb,htru_pks",,
395,J1818-1541,J1818-1541,18:18:37.5,-15:41:45,274.65633333,0,-15.69583333,,NA,,"pksmb,htru_pks",,
396,J1818-1556,J1818-1556,18:18:51.9,-15:56:04,274.71645833,0,-15.93444444,,NA,,"pksmb,htru_pks",,
397,J1819-0925,J1819-0925,18:19:50.5,-09:25:49.9,274.96059167,0,-9.43052778,,NA,,"pksmb,htru_pks",,
398,J1819-1008,J1819-1008,18:19:39.9,-10:08:28,274.91660833,0,-10.14111111,,NA,,"pksmb,htru_pks",,
399,J1819-1114,J1819-1114,18:19:28.7,-11:14:43,274.86991667,0,-11.24527778,,NA,,"pksmb,htru_pks",,
400,J1819-1131,J1819-1131,18:19:58.1,-11:31:29,274.99229167,0,-11.52472222,,NA,,pksmb,,
401,J1819+1305,J1819+1305,18:19:56.2,+13:05:15.2,274.984275,0,13.08756944,,NA,,"pkssw,misc",,
402,J1819-1318,J1819-1318,18:19:43.6,-13:18:42,274.93191667,0,-13.31166667,,NA,,pksmb,,
403,J1819-1408,J1819-1408,18:19:56.8,-14:08:01.6,274.98666667,0,-14.13377778,,NA,,"pksmb,htru_pks",,
404,J1819-1458,J1819-1458,18:19:34.1,-14:58:00.0,274.89233333,5,-14.96666667,,XRS,XRS:CXOU_J181939.1-145804[mrg+07],pksmb,"RRAT,HE",
405,J1819-1510,J1819-1510,18:19:53.6,-15:10:20.6,274.9737125,0,-15.17238889,,NA,,"pksmb,htru_pks",,
406,J1819-17,J1819-17,18:19:30,-17:05,274.875,0,-17.08333333,,NA,,htru_pks,,
407,J1819-1717,J1819-1717,18:19:43.4,-17:17:16,274.93083333,0,-17.28777778,,NA,,pksmb,,
408,J1819-37,J1819-37,18:19,-37,274.75,0,-37.0,,NA,,gbncc,,
409,B1818-04,J1820-0427,18:20:52.5,-04:27:37.7,275.21913917,0,-4.46047556,,NA,,"mol1,jb1,mol2,gb2,gb3,pks70,pkssw,p",,
410,J1820-0509,J1820-0509,18:20:22.7,-05:09:38.5,275.0947,0,-5.16069444,,NA,,"pksmb,htru_pks",,
411,B1817-13,J1820-1346,18:20:19.7,-13:46:15.3,275.0823315,0,-13.7709102,,NA,,"jb2,pks1,pksmb,htru_pks",,
412,J1820-1529,J1820-1529,18:20:41.3,-15:29:42.2,275.172125,0,-15.49507222,,NA,,"pksmb,htru_pks",,
413,B1817-18,J1820-1818,18:20:39.0,-18:18:03.3,275.16286537,0,-18.30090532,,NA,,"pks1,pksmb,htru_pks",,
414,J1821+0155,J1821+0155,18:21:38.8,+01:55:21.9,275.41201533,0,1.92277583,,NA,,"gb350,ar327",,
415,J1821-0256,J1821-0256,18:21:10.3,-02:56:38.6,275.29295833,0,-2.94405556,,NA,,pksmb,,
416,J1821-0331,J1821-0331,18:21:44.7,-03:31:12.7,275.43625,0,-3.52019444,,NA,,pksmb,,
417,J1821-1419,J1821-1419,18:21:34.3,-14:19:26,275.39291667,0,-14.32388889,,NA,,pksmb,,
418,J1821-1432,J1821-1432,18:21:39.7,-14:32:53.2,275.4157375,0,-14.54811111,,NA,,"pksmb,htru_pks",,
419,J1821+1715,J1821+1715,18:21:13.5,+17:15:47.0,275.3062625,0,17.26307222,,NA,,"ar4,lotaas",,
420,J1821+4147,J1821+4147,18:21:52.3,+41:47:02.5,275.46810731,0,41.78404269,,NA,,"gbncc,lotaas",,
421,J1822+02,J1822+02,18:22,+02,275.5,0,2.0,,NA,,gbncc,,
422,J1822+0705,J1822+0705,18:22:18.4,+07:05:19.0,275.57684107,0,7.08861714,,NA,,"ar4,lotaas",,
423,J1822-0719,J1822-0719,18:22:28.0,-07:19:55.0,275.61697083,0,-7.33194444,,NA,,htru_pks,,
424,J1822-0848,J1822-0848,18:22:51.8,-08:48:59.0,275.71608333,0,-8.81638889,He[lfl+06],NA,,"pksmb,htru_pks",,
425,J1822-0902,J1822-0902,18:22:35.7,-09:02:59.1,275.6489375,0,-9.04975,,NA,,htru_pks,,
