obs_id,true_class,level_a_prob,level_a_class,level_b_prob,level_b_class,th_class,truth,is_ok,src_n,src_id,significance,class
BH_OBS_82,XRB,0.9874856159635048,XRB,0.9992136752136753,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_83,XRB,0.9983424630924632,XRB,1.0,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_84,XRB,0.9811844420090687,XRB,1.0,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_85,XRB,0.8342736786499535,XRB,1.0,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_86,XRB,0.9704666625418783,XRB,0.9988502506265665,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_87,XRB,0.9880415067113705,XRB,0.9960949915656325,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_88,XRB,0.9894292988844879,XRB,1.0,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_89,XRB,0.9791583277430217,XRB,1.0,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_90,XRB,0.9933201736074871,XRB,1.0,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_91,XRB,0.9120565702452136,XRB,0.9983333333333333,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_92,XRB,0.9627316974803606,XRB,0.9965507518796992,XRB,XRB,1,1,CXOU J100516.2-07423,BH0020,16.78,XRB
BH_OBS_93,XRB,0.9963982102908276,XRB,0.9499804661790252,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_94,XRB,0.9282388034161378,XRB,1.0,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_95,XRB,0.9345636711363599,XRB,1.0,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_96,XRB,0.7894805383053055,CV,0.7497936715809228,CV,X,2,0,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_97,XRB,0.9344149075420618,XRB,0.9968229307127217,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_98,XRB,0.9245276420811454,XRB,0.9988502506265665,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_99,XRB,0.9543260168067798,XRB,1.0,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
CV_OBS_0,CV,0.975132359288732,PULSAR,0.996233483198244,CV,CV,1,1,[DSH2013] 24          ,CV0001,9.81,CV
CV_OBS_1,CV,0.9283498707831987,CV,1.0,CV,CV,1,1,[DSH2013] 24          ,CV0001,9.81,CV
CV_OBS_100,CV,0.9747475781039792,CV,1.0,CV,CV,1,1,[HPH2013] 123         ,CV0006,23.44,CV
CV_OBS_103,CV,0.667904470934832,CV,0.9967712494486107,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_105,CV,0.9384153132983037,CV,1.0,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_108,CV,0.9693548816604078,CV,0.9687797049170431,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_118,CV,0.9655886228542178,CV,1.0,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_12,CV,0.8041216024724865,CV,0.9867608326632716,CV,CV,1,1,[HPH2013] 100         ,CV0002,37.03,CV
CV_OBS_124,CV,0.8961211954006835,CV,1.0,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_127,CV,0.9917946608345142,CV,0.9986119554204661,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_128,CV,0.9241174985659371,CV,0.996162690967569,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_129,CV,0.9768151764416338,CV,0.9797833871081538,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_13,CV,0.9807926410696188,CV,1.0,CV,CV,1,1,[HPH2013] 100         ,CV0002,37.03,CV
CV_OBS_130,CV,0.9650861515800292,CV,0.975113796963426,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_132,CV,0.9583412829661567,CV,1.0,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_134,CV,0.7637603651868645,CV,0.990282497989815,CV,CV,1,1,[HPH2013] 143         ,CV0011,10.38,CV
CV_OBS_135,CV,0.9944020072068851,CV,0.7057737721982285,CV,X,2,1,[HPH2013] 146         ,CV0013,12.98,CV
CV_OBS_136,CV,0.9640149267178705,CV,0.9838691549987999,CV,CV,1,1,[HPH2013] 146         ,CV0013,12.98,CV
CV_OBS_137,CV,0.9927752239378185,CV,0.9940860656958218,CV,CV,1,1,[HPH2013] 146         ,CV0013,12.98,CV
CV_OBS_15,CV,0.9591794197125694,CV,1.0,CV,CV,1,1,[HPH2013] 100         ,CV0002,37.03,CV
CV_OBS_150,CV,0.9921482640302979,CV,0.9620784517425928,CV,CV,1,1,[HPH2013] 150         ,CV0014,16.28,CV
CV_OBS_158,CV,0.8835180010677999,CV,1.0,CV,CV,1,1,[HPH2013] 150         ,CV0014,16.28,CV
CV_OBS_168,CV,0.8451052584738391,CV,0.9903370728869176,CV,CV,1,1,[HPH2013] 160         ,CV0016,19.7,CV
CV_OBS_176,CV,0.9359724765573451,CV,0.9953369239843293,CV,CV,1,1,[HPH2013] 160         ,CV0016,19.7,CV
CV_OBS_179,CV,0.7877510286463344,CV,0.9966971013270355,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_182,CV,0.9844021776584035,CV,0.9988107638888888,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_19,CV,0.9708640187712333,CV,0.9973252330325503,CV,CV,1,1,[HPH2013] 100         ,CV0002,37.03,CV
CV_OBS_194,CV,0.9860500037185833,CV,0.9632353766166178,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_197,CV,0.9754531364440612,CV,0.9841746797245241,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_2,CV,0.9823785990150439,CV,1.0,CV,CV,1,1,[DSH2013] 24          ,CV0001,9.81,CV
CV_OBS_202,CV,0.9981639928698752,CV,0.9886372582096266,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_203,CV,0.9494908273127962,CV,0.9864893470691474,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_204,CV,0.9920496781775417,CV,0.964693026621984,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_205,CV,0.9852138199500047,CV,0.9841176138570148,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_206,CV,0.9927775709836782,CV,0.9967608326632716,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_208,CV,0.9300420864457264,CV,0.9933334822359211,CV,CV,1,1,[HPH2013] 176         ,CV0018,11.31,CV
CV_OBS_210,CV,0.7732849285903131,CV,0.9750109745529016,CV,CV,1,1,[HPH2013] 192         ,CV0019,52.93,CV
CV_OBS_211,CV,0.9597165851639966,CV,0.9941198070222462,CV,CV,1,1,[HPH2013] 192         ,CV0019,52.93,CV
CV_OBS_212,CV,0.9304448706524624,CV,0.9793687125882248,CV,CV,1,1,[HPH2013] 192         ,CV0019,52.93,CV
CV_OBS_215,CV,0.8953215296635887,CV,0.9773466622135801,CV,CV,1,1,[HPH2013] 192         ,CV0019,52.93,CV
CV_OBS_217,CV,0.9828516509550853,CV,1.0,CV,CV,1,1,[HPH2013] 192         ,CV0019,52.93,CV
CV_OBS_218,CV,0.9802013442255558,CV,0.9780539537034872,CV,CV,1,1,[HPH2013] 192         ,CV0019,52.93,CV
CV_OBS_219,CV,0.8858141070763362,CV,1.0,CV,CV,1,1,[HPH2013] 192         ,CV0019,52.93,CV
