,A_NAME,A_RA,A_DEC,A_COUNT_RATE,A_COUNT_RATE_ERROR,A_FLUX,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,B_SIGNIFICANCE,B_B_FLUX_AP,B_B_FLUX_AP_HI,B_B_FLUX_AP_LO,B_M_FLUX_AP,B_M_FLUX_AP_HI,B_M_FLUX_AP_LO,XOFFSET_
35,CXOGLB J002359.3-720438,5.997358,-72.077347,0.0001521,2.705e-05,1.027e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.6-720443 ,5.998446,-72.078629,1.955,0.0,6.72E-17      ,0.00E+00      ,0.0,              ,              ,0.079
36,XMMSL2 J002402.8-720447,6.004696,-72.081982,0.9862,0.4316,3.115e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002400.9-720453 ,6.004075,-72.081474,61.02,2.08e-13,2.12E-13      ,2.04E-13      ,5.66e-14,5.86E-14      ,5.45E-14      ,0.033
37,CXOGLB J002402.1-720450,6.009004,-72.080725,0.000145,2.744e-05,8.502e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.9-720453 ,6.004075,-72.081474,61.02,2.08e-13,2.12E-13      ,2.04E-13      ,5.66e-14,5.86E-14      ,5.45E-14      ,0.101
38,CXOGLB J002402.1-720450,6.00925,-72.080678,0.0001078,5.46e-05,7.794e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.9-720453 ,6.004075,-72.081474,61.02,2.08e-13,2.12E-13      ,2.04E-13      ,5.66e-14,5.86E-14      ,5.45E-14      ,0.107
39,CXOGLB J002402.1-720450,6.009004,-72.080725,0.000145,2.744e-05,8.502e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,8.914,1.22e-15,1.41E-15      ,1.03E-15      ,3.92e-16,4.77E-16      ,3.06E-16      ,0.101
40,CXOGLB J002402.1-720450,6.00925,-72.080678,0.0001078,5.46e-05,7.794e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,8.914,1.22e-15,1.41E-15      ,1.03E-15      ,3.92e-16,4.77E-16      ,3.06E-16      ,0.101
41,XMMSL2 J002402.8-720447,6.011836,-72.079721,1.035,0.3389,3.269e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.3-720445 ,6.005779,-72.079374,8.914,1.22e-15,1.41E-15      ,1.03E-15      ,3.92e-16,4.77E-16      ,3.06E-16      ,0.114
42,CXOGLB J002401.4-720441,6.006012,-72.078264,0.0002029,3.068e-05,1.24e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,8.914,1.22e-15,1.41E-15      ,1.03E-15      ,3.92e-16,4.77E-16      ,3.06E-16      ,0.067
43,CXOGLB J002401.4-720441,6.005854,-72.078206,0.0001372,5.88e-05,8.857e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720445 ,6.005779,-72.079374,8.914,1.22e-15,1.41E-15      ,1.03E-15      ,3.92e-16,4.77E-16      ,3.06E-16      ,0.07
44,XMMSL2 J002402.8-720447,6.004696,-72.081982,0.9862,0.4316,3.115e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002401.3-720448 ,6.00559,-72.080101,5.636,7.67e-16,9.21E-16      ,6.05E-16      ,0.0,              ,              ,0.114
