A_NAME,A_RA,A_DEC,A_COUNT_RATE,A_COUNT_RATE_ERROR,A_FLUX,A_DATABASE_TABLE,B_RA,B_DEC,sig,B_DEC,B_SIGNIFICANCE,B_B_FLUX_AP,B_B_FLUX_AP_HI,B_B_FLUX_AP_LO,B_M_FLUX_AP,B_M_FLUX_AP_HI,B_M_FLUX_AP_LO,XOFFSET_
[HPH2013] 273          ,10.77905,41.30276,4.3E-14,M31CFCXO        ,CHANDRA      ,2CXO J004307.1+411810 ,10.779595,41.302807,9.188,0,              ,              ,0,              ,              ,0.025,,
[HPH2013] 274          ,10.781,41.30138,1.1E-13,M31CFCXO        ,CHANDRA      ,2CXO J004307.4+411804 ,10.781062,41.301366,9.418,0,              ,              ,0,              ,              ,0.003,,
[HPH2013] 274          ,10.781,41.30138,1.1E-13,M31CFCXO        ,CHANDRA      ,2CXO J004307.1+411810 ,10.779595,41.302807,9.188,0,              ,              ,0,              ,              ,0.107,,
[HPH2013] 50           ,10.59324,41.22933,1.2E-13,M31CFCXO        ,CHANDRA      ,2CXO J004222.3+411345 ,10.593181,41.229263,9.943,0,              ,              ,0,              ,              ,0.005,,
[HPH2013] 79           ,10.63648,41.28032,2.1E-14,M31CFCXO        ,CHANDRA      ,2CXO J004232.7+411648 ,10.636568,41.280268,20.44,0,              ,              ,0,              ,              ,0.005,,
[HPH2013] 81           ,10.63795,41.00713,8.9E-13,M31CFCXO        ,CHANDRA      ,2CXO J004232.5+410027 ,10.635522,41.007762,7.807,0,              ,              ,0,              ,              ,0.116,,
[HPH2013] 88           ,10.64177,41.18255,6.9E-14,M31CFCXO        ,CHANDRA      ,2CXO J004233.9+411056 ,10.64153,41.182407,3.55,0,              ,              ,0,              ,              ,0.014,,
[HPH2013] 97           ,10.65082,41.30052,4.3E-15,M31CFCXO        ,CHANDRA      ,2CXO J004236.2+411801 ,10.650876,41.300492,5.613,0,              ,              ,0,              ,              ,0.003,,
[VG2007] 128           ,10.779667,41.302833,1.357E-14,M31CXO2         ,CHANDRA      ,2CXO J004307.1+411810 ,10.779595,41.302807,9.188,0,              ,              ,0,              ,              ,0.004,,
[VG2007] 128           ,10.779667,41.302833,1.357E-14,M31CXO2         ,CHANDRA      ,2CXO J004307.4+411804 ,10.781062,41.301366,9.418,0,              ,              ,0,              ,              ,0.108,,
1RXS J054748.5+283512  ,86.952083,28.586667,0,RASS2MASS       ,ROSAT        ,2CXO J054748.3+283511 ,86.951467,28.586439,52.99,0,              ,              ,4.73E-13,4.84E-13,4.63E-13,0.035,,
