obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,hard_hm,hard_hs,hard_ms,var_inter_prob_b,var_inter_index_b,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_s,var_inter_sigma_m,var_inter_sigma_s,var_inter_index_m,var_inter_index_s,var_inter_index_h,flux_aper_hilim_u,var_mean_b,var_sigma_b,ks_prob_b,var_prob_b,var_inter_sigma_u
CV_263_obs_0,CV_263,1,V__HH_Cnc, 2CXO J091650.9+284944,139.2123,28.82909,5002.3,5.09,54.43735,CV,-0.2199,-0.5909,-0.406,0.7135199999999997,5.03,13.738737131207508,13.547600154088556,14.229516190568892,1.702124999999999e-06,1.3293456000000006e-06,4.81,3.24,3.28,12.928664538014274,0.009838,0.0005379,0.536,0.297,6.244408400000015e-05
CV_264_obs_0,CV_264,1,OGLE-BLG-DN-376, 2CXO J175832.3-275243,269.635,-27.87887000000001,1945.8,6.53,487.0884,CV,0.065,-0.0287,-0.0949,0.7595000000000001,5.49,13.260744196731489,12.710857164067669,13.492954127572675,2.1504070000000006e-06,1.2147320000000007e-06,5.23,3.42,2.66,12.763462738511304,0.0279,0.00178,0.591,0.331,5.944435700000011e-05
CV_267_obs_0,CV_267,1,NGC6144-CX01, 2CXO J162714.9-260248,246.8125,-26.0469,54706.4,16.04,1644.331,CV,0.2423,0.1137,-0.1312,0.8360600000000001,5.22,14.150089441698507,13.471468939364588,14.228412519118745,7.536329999999995e-07,5.902109999999999e-07,2.77,2.4,3.68,14.83209218999852,0.005613,1.983e-05,0.22,0.085,2.0431568e-06
CV_268_obs_0,CV_268,1,OGLE-BLG-DN-651, 2CXO J180457.9-283353,271.2415,-28.56473,9718.6,4.93,165.9541,CV,0.4197,0.8270000000000001,0.6196,0.7487699999999997,5.0,14.489053051327026,13.613679426105952,15.708853238268116,4.953265999999998e-07,3.7338013e-07,5.19,0.27,3.04,14.666142821761355,0.003047,0.0002903,0.193,0.307,1.1858209999999992e-06
CV_270_obs_0,CV_270,1,V__V744_And, 2CXO J012940.0+384210,22.41691,38.70291,3105.8,4.06,121.8481,CV,0.2361,-0.2861,-0.4785,0.9963000000000004,5.11,14.401100112936115,13.914352711703145,14.001435541739056,4.211400000000002e-06,3.5160032000000013e-06,3.4,4.15,2.49,13.944621668625,0.006663,0.00014319999999999998,0.209,0.181,3.4966380000000037e-06
CV_273_obs_0,CV_273,1,V__YZ_LMi, 2CXO J092638.7+362402,141.6613,36.4007,2717.2,5.45,841.4997,CV,-0.2423,-0.3648,-0.1287,0.7609,5.14,13.700928739972591,13.557520230935552,13.757210190521324,1.5389240000000009e-06,1.2721276000000007e-06,4.38,3.76,2.79,13.987162775294829,0.01377,0.001153,0.677,0.23,6.321374599999999e-06
CV_276_obs_0,CV_276,1,V0495_Hya, 2CXO J084400.0+023919,131.0004,2.655357,14773.7,11.15,294.0370000000001,CV,0.0487,-0.0762,-0.1237,0.9963000000000004,5.25,13.422738046414185,13.447575154295913,13.461551948289785,4.394990000000001e-06,3.304291899999998e-06,4.06,4.06,1.56,14.314694672550974,0.01923,7.588e-05,0.07200000000000001,0.092,5.671902899999996e-06
CV_277_obs_0,CV_277,1,MASTER_OT_JJ133833.06+292908.4, 2CXO J133833.0+292908,204.6378,29.48583,37644.6,9.15,325.7926,CV,0.0849,0.1099,0.0237,0.8319600000000001,5.06,14.266401539038661,13.721932669111338,14.348625056086956,1.1176390000000003e-06,8.291900000000009e-07,5.01,2.57,4.13,13.03995754427316,0.003062,0.0004329,0.198,0.421,5.8225306000000084e-05
CV_278_obs_0,CV_278,1,Gaia19cyi, 2CXO J194129.2+401124,295.3718,40.1901,21686.7,13.6,1338.434,CV,0.1512,0.1499,-0.0025,0.7642200000000006,5.35,13.754734160542538,13.167427225153821,13.96217524941166,4.025520000000001e-06,2.7242098999999983e-06,3.99,3.04,1.42,14.579879151914295,0.01047,0.002006,0.997,0.926,2.9412676999999973e-06
CV_280_obs_0,CV_280,1,LP_229-30, 2CXO J184321.9+404028,280.8415,40.67469000000001,19804.1,7.1,419.4832,CV,-0.411,-0.9219,-0.8107,1.0,7.0,14.903785414653598,15.789681480173767,13.921543181946706,4.230868000000001e-06,3.9001319999999985e-06,4.72,4.97,5.28,12.288277108172764,0.003213,0.002025,0.999,0.996,7.076492700000008e-05
CV_281_obs_0,CV_281,1,CRTS_J172102.5+273301, 2CXO J172102.4+273256,260.2601,27.54903,9985.1,5.14,59.40501999999999,CV,-0.015,-0.1412,-0.1224,0.7113299999999998,5.11,14.099796786983106,13.946537395074545,14.09799710864927,3.904920000000002e-06,3.0018690000000006e-06,4.93,3.64,1.55,14.08396738981143,0.005771,0.0006377,0.687,0.297,6.464821000000004e-06
CV_283_obs_0,CV_283,1,ASASSN-19adf, 2CXO J071619.2+372703,109.08,37.45101,23616.1,7.72,187.4062,CV,0.2711,-0.0862,-0.3485,0.7933300000000001,5.0,14.403402904373538,13.779630367548606,14.103914914576714,4.223580999999996e-07,4.494399200000001e-07,1.7,0.81,3.41,14.412064651363645,0.003638,0.0005061,0.154,0.381,2.0690213000000006e-06
CV_284_obs_0,CV_284,1,AT2019sgf, 2CXO J061801.4+222228,94.50598,22.3746,58440.6,25.69,3367.563,CV,0.0425,-0.0725,-0.1137,0.7521000000000002,5.29,13.542572307053517,13.061580354206807,13.619969752032171,6.723676000000002e-06,2.0781999999999994e-06,4.24,3.09,2.06,14.772627557710367,0.01504,9.466e-06,0.434,0.029,3.4734745200000006e-06
CV_285_obs_0,CV_285,1,Gaia17cat, 2CXO J175210.6+231145,268.0445,23.19593,19348.3,4.83,54.97057,CV,0.441,0.1037,-0.3585,0.7174399999999999,5.0,14.769806621130956,13.479254528480515,14.983384452442822,5.641525999999997e-07,1.0233477000000007e-06,4.54,3.9,2.95,14.292600168866752,0.002671,0.0004829,0.772,0.56,1.7669525000000007e-06
CV_286_obs_0,CV_286,1,Cl__NGC_6093_DN_2, 2CXO J161700.4-225830,244.2517,-22.97509,48584.4,4.22,80.97819,CV,0.1349,0.3048,0.1736,0.8323199999999998,5.0,15.207048291749865,14.915066425063285,15.680061560019693,1.9770340000000005e-07,1.5497323999999983e-07,4.27,2.61,2.96,15.73541827076192,0.0004875,3.589e-05,0.868,0.447,6.523476000000003e-07
CV_288_obs_0,CV_288,1,BOKS_45906, 2CXO J194016.1+463247,295.0673,46.54661,3911.4,4.06,78.09094,CV,-0.035,-0.3385,-0.2948,0.7116700000000001,5.08,14.304255724802676,14.211831628858832,14.109355463704754,1.3981516000000006e-06,1.6460469000000003e-06,4.64,2.6,3.4,14.218698689977346,0.005076,0.004051,0.993,0.994,9.562903000000007e-07
CV_289_obs_0,CV_289,1,Cl__NGC_6809_KPT_1, 2CXO J194008.6-305852,295.0359,-30.981140000000003,33724.0,9.2,516.0154,CV,0.3398,0.1299,-0.2199,0.8402200000000006,5.0,14.51074483163074,13.771343041891065,14.450138811528056,4.735805999999999e-07,5.898540000000002e-07,2.82,1.92,4.53,15.800244822746524,0.0033090000000000003,5.331e-06,0.131,0.07200000000000001,2.20155462e-06
CV_290_obs_0,CV_290,1,AY_Sex, 2CXO J102347.6+003840,155.9487,0.6447116,83087.3,51.61,16193.68,CV,0.2986,0.0949,-0.2099,0.9439999999999992,5.69,13.336299074610352,12.58236226034777,13.289290434275664,1.924207000000001e-06,1.1636612e-06,4.98,3.25,2.55,12.968591535748374,0.03631,0.007992,0.999,1.0,6.117650700000009e-05
CV_291_obs_0,CV_291,1,CXOGBS_J173538.5-285251, 2CXO J173538.5-285251,263.9105,-28.88104,2156.9,5.57,216.8935,CV,0.8732,0.9994,0.9994,0.91417,5.37,14.541060138109676,12.458046525541766,16.511078286607287,4.5444478000000015e-05,2.938003000000003e-05,4.75,3.48,2.59,13.08396738981143,0.018000000000000002,0.007237,0.984,0.7659999999999999,2.2338594999999993e-05
CV_292_obs_0,CV_292,1,ASASSN-21br, 2CXO J161810.3-515414,244.543,-51.90411,40832.8,11.27,350.435,CV,0.0712,-0.0587,-0.1299,0.7521100000000002,5.14,13.96537154337468,13.546987608878545,14.066613958096946,1.272471000000001e-06,9.970978000000009e-07,4.85,2.81,2.35,14.180719353027518,0.006843000000000001,1.931e-05,0.71,0.081,2.0730754e-06
CV_300_obs_0,CV_300,1,OGLE-BLG-DN-1057, 2CXO J183624.7-235435,279.103,-23.90986,15818.9,14.14,1485.7279999999994,CV,0.1824,0.2748,0.0962,0.7655500000000005,5.44,13.638839004804973,13.06620911585658,13.941194513324096,4.231470000000001e-06,2.6668555999999984e-06,4.07,3.55,1.43,15.172436888745274,0.01529,0.0002704,0.7509999999999999,0.19,2.6700617e-06
CV_303_obs_0,CV_303,1,CXOGBS_J173411.3-293117, 2CXO J173411.3-293117,263.5473,-29.52164,2147.8,4.78,96.93573,CV,0.5621,0.4822,-0.1449,0.703,5.0,13.930331903088405,12.696156225111347,14.038483988551052,1.45e-06,1.0421208000000015e-06,5.0,2.95,6.0,13.015382686763251,0.01379,0.006678,0.948,0.882,7.879349800000014e-05
CV_304_obs_0,CV_304,1,SDSSJ120841.96+355025.2, 2CXO J120841.9+355025,182.1748,35.84028,2991.9,5.78,241.969,CV,-0.0262,-0.2723,-0.2411,0.9963000000000004,5.3,13.79236563261104,13.588211995456133,13.695724949522871,4.254460000000001e-06,3.58916e-06,3.54,4.98,1.57,12.729554091982038,0.01419,0.0002669,0.245,0.124,6.245571700000009e-05
CV_307_obs_0,CV_307,1,ASASSN-14mb, 2CXO J084400.0+023919,131.0004,2.655357,14773.7,11.15,294.0370000000001,CV,0.0487,-0.0762,-0.1237,0.9963000000000004,5.25,13.422738046414185,13.447575154295913,13.461551948289785,4.394990000000001e-06,3.304291899999998e-06,4.06,4.06,1.56,14.314694672550974,0.01923,7.588e-05,0.07200000000000001,0.092,5.671902899999996e-06
CV_309_obs_0,CV_309,1,MASTER_OT_JJ040556.85+714813.1, 2CXO J040556.8+714816,61.48706,71.80466,28678.8,4.86,53.30116,CV,0.2061,0.1287,-0.0899,0.8058100000000004,5.0,14.323123568026865,13.617802789622544,14.47961105595862,1.0035300000000004e-06,7.735691000000014e-07,5.01,1.1,4.43,13.269702337902851,0.003732,4.981e-05,0.14,0.155,5.9124809000000086e-05
CV_312_obs_0,CV_312,1,V__V550_Cyg, 2CXO J200505.2+322120,301.2717,32.35582,93196.8,27.25,5368.938,CV,0.1487,-0.1237,-0.2673,0.9963000000000004,5.4,13.884722408604098,13.295249095709329,13.809108283077832,3.81927e-06,3.2163619e-06,3.69,4.23,2.07,14.538651566352014,0.01011,4.622e-05,0.705,0.1,2.7763799999999997e-06
PL_0_obs_0,PL_0,13,J0024-7204W, 2CXO J002406.0-720449,6.025354,-72.08032,5544.8,13.73,756.1385,PL,0.2892461538461538,-0.11463076923076923,-0.45049230769230764,0.588,4.0,15.534120315827227,14.70354937574928,15.247723277583203,1.741e-07,1.3280000000000002e-06,3.0,5.0,5.0,14.558753217342392,0.0012034910769230767,0.00026069712307692306,0.6293276923076923,0.5959007692307692,6.257e-06
PL_3_obs_0,PL_3,13,J0024-7204Z, 2CXO J002406.0-720501,6.02525,-72.08377,5734.6,7.63,313.9016,PL,-0.10330769230769231,-0.9777769230769228,-0.7659769230769231,0.39799999999999996,3.0,16.314696070711527,15.745923703614164,15.396708476605443,1.0849999999999996e-07,1.0920000000000003e-06,0.0,0.0,4.343076923076923,14.829219403244545,0.000500616923076923,0.00017669448461538463,0.706176923076923,0.6597723076923075,6.717000000000001e-07
PL_4_obs_0,PL_4,13,J0024-7204O, 2CXO J002404.6-720453,6.01947,-72.08162,31673.8,8.61,205.2343,PL,-0.05679999999999996,-0.6365434615384615,-0.6559486923076923,0.763,5.0,16.160855543110447,15.721970505611134,15.3047651512879,1.1769999999999996e-07,2.173e-07,0.0,5.0,0.0,14.880239901038685,0.0007030780769230767,0.00019289145384615393,0.6180176923076922,0.5991838461538461,1.097e-06
PL_5_obs_0,PL_5,8,J0024-7204R, 2CXO J002407.5-720450,6.0315900000000005,-72.08069,65237.5,5.93,419.4006,PL,-0.040900000000000006,-0.540925,-0.64055,0.758,5.0,15.915601823171595,15.651766823420791,15.296899116425404,1.689e-07,3.272999999999999e-07,3.0,5.0,0.0,14.905870293421401,0.0006951722499999998,0.00018836363750000004,0.51510125,0.60707625,1.140213837500002e-06
PL_6_obs_0,PL_6,8,J0024-7204ab, 2CXO J002408.1-720447,6.034109,-72.07993,5307.0,3.69,101.0374,PL,0.39772499999999994,-0.4997,-0.7540749999999998,0.545,3.0,16.438975533815587,15.610916008732799,15.690090958039255,7.803999999999999e-08,3.554999999999999e-07,0.0,5.0,1.1524999999999999,14.743590113790505,0.0006730246249999997,0.0002093020875,0.6609087500000002,0.6208887499999999,4.141e-07
PL_7_obs_0,PL_7,15,J1748-2446C, 2CXO J174804.5-244634,267.0191,-24.77626,36257.2,6.25,137.6529,PL,0.8384810666666666,0.8637148666666665,0.5551191999999999,0.27399999999999997,0.0,16.252305276822437,14.901433022947735,16.663590414487764,3.6567315999999983e-07,7.979422813333335e-07,2.780666666666667,1.7673333333333332,3.0,14.721958231919157,0.0007277873333333332,0.00021388898466666667,0.7424899999999998,0.6612513333333332,1.7560000000000006e-06
PL_8_obs_0,PL_8,15,J2339-0533, 2CXO J174804.5-244634,267.0191,-24.77626,36257.2,6.25,137.6529,PL,0.8384810666666666,0.8637148666666665,0.5551191999999999,0.27399999999999997,0.0,16.252305276822437,14.901433022947735,16.663590414487764,3.6567315999999983e-07,7.979422813333335e-07,2.780666666666667,1.7673333333333332,3.0,14.721958231919157,0.0007277873333333332,0.00021388898466666667,0.7424899999999998,0.6612513333333332,1.7560000000000006e-06
PL_9_obs_0,PL_9,13,B0021-72L, 2CXO J002403.8-720457,6.015882,-72.08252,65240.7,8.83,352.8472,PL,-0.301275,-0.6919833333333333,-0.5231166666666667,0.907,5.0,16.01646321130762,15.45472124480417,15.18536791955151,8.257999999999999e-07,6.391999999999998e-07,5.0,5.0,0.0,14.798800208308142,0.0007913225,0.00024500595833333333,0.6891566666666668,0.6686458333333333,6.224999999999999e-07
