obs_id,true_class,level_a_prob,level_a_class,level_b_prob,level_b_class,th_class,truth,is_ok,class,src_n,src_id,significance
NS_OBS_127,NS,0.9637291949522185,['XRB'],0.9714869991702062,NS,NS,1,1,NS,H 1658-298          ,NS0024,31.12
BH_OBS_128,BH,0.9779609591421636,['XRB'],0.9672883366494176,BH,BH,1,1,BH,J1745-2900          ,BH0027,337.0
CV_OBS_604,CV,0.9628533903945932,['CV'],0.9640350416052912,CV,CV,1,1,CV,CXOGLB J002409.2-72054,CV0088,6.1
PULSAR_OBS_114,PULSAR,0.9076274283877673,['PULSAR'],0.9296286288426998,PULSAR,PULSAR,1,1,PULSAR,PSR J0633+1746,PL0020,29.9
PULSAR_OBS_47,PULSAR,0.9671489873024222,['PULSAR'],0.9771157280034521,PULSAR,PULSAR,1,1,PULSAR,PSR J0359+5414,PL0010,9.65
NS_OBS_275,NS,0.9855847063651336,['XRB'],1.0,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0046,4.71
NS_OBS_183,NS,0.9672625714336398,['XRB'],1.0,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
PULSAR_OBS_165,PULSAR,0.9558038177660806,['PULSAR'],0.9578460222412315,PULSAR,PULSAR,1,1,PULSAR,PSR J1418-605,PL0053,12.04
PULSAR_OBS_222,PULSAR,0.9979523809523809,['PULSAR'],0.975452380952381,PULSAR,PULSAR,1,1,PULSAR,PSR J1745-2900,PL0081,107.91
BH_OBS_131,BH,0.9937732639169112,['XRB'],0.9968125559001443,BH,BH,1,1,BH,J1745-2900          ,BH0027,337.0
BH_OBS_108,BH,0.9758527425178627,['XRB'],0.9839574295961917,BH,BH,1,1,BH,CXOU J100517.1-07421,BH0022,11.12
CV_OBS_541,CV,0.983508214726134,['CV'],0.9261459997103999,CV,CV,1,1,CV,CXOGLB J002407.1-72054,CV0083,18.17
BH_OBS_36,BH,0.8747926384371095,['XRB'],0.9688518545647267,BH,BH,1,1,BH,XTE J1550-564       ,BH0010,29.24
BH_OBS_198,BH,0.8761135843319228,['XRB'],0.8942117653219119,BH,BH,1,1,BH,CJ0422+32           ,BH0033,3.65
NS_OBS_172,NS,0.9903957364619725,['XRB'],0.9983625336927224,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
