obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_hilim_b,photflux_aper_hilim_m,photflux_aper_hilim_h,flux_aper_hilim_b,photflux_aper_hilim_s,hard_hm,hard_hs,hard_ms,flux_aper_hilim_s,flux_aper_hilim_m,flux_aper_hilim_h,var_inter_sigma_b,var_inter_prob_b,photflux_aper_hilim_u,var_inter_sigma_m,var_inter_prob_m,var_inter_prob_s,var_inter_sigma_s,photflux_aper_b,var_inter_sigma_h,var_inter_index_b,var_inter_prob_h,flux_aper_b,photflux_aper_lolim_b,flux_aper_lolim_b,photflux_aper_m,flux_aper_m,photflux_aper_h,photflux_aper_lolim_m,flux_aper_h,photflux_aper_lolim_h,photflux_aper_s,flux_aper_lolim_m,flux_aper_hilim_u,flux_aper_lolim_h,flux_aper_s,var_inter_index_h,photflux_aper_lolim_s,flux_aper_lolim_s,kp_prob_b,var_max_b,var_min_b,var_mean_b,var_sigma_b,ks_prob_b,var_prob_b,var_inter_index_s,var_inter_index_m,var_inter_sigma_u
LMXB_3_obs_2,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,4117.4,4.71,162.7296,LX,5.493630282904496,6.111989087754972,5.629857152948898,13.691435586438761,5.791558643561433,0.9994,0.9994,-0.9994,14.640354207325457,14.665345233116758,13.686132779630846,0.00025715680000000014,0.9945800000000001,4.113960724433558,6.189888079999998e-05,0.14475000000000027,0.9785100000000003,3.689940000000004e-05,5.783834097714007,2.085643999999998e-05,5.73,0.9988599999999996,13.96018944585165,7.084758502693806,14.98171569157347,6.371497957702332,14.965911000679432,5.907279355315901,7.254798182587153,13.943476275920899,7.186218921825917,6.072230265369434,15.832547559569733,13.365220541854049,14.78887945874195,14.900420589311869,7.76,6.862983689896206,15.637764011477532,0.53143,0.008913739999999996,0.0017396120000000004,0.0023235100000000004,0.0015037990000000003,0.49115,0.5093100000000003,5.0,3.03,0.0003988825149999999
LMXB_3_obs_3,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,3958.6,4.71,162.7296,LX,5.030863766403288,5.785156151952302,5.341130407798038,13.418391633967943,5.211831628858833,0.9994,-0.2049,-0.9994,14.354774288464585,14.376440609994562,13.313006433735321,0.00023763171600000012,0.9948700000000004,3.780939667551139,6.104858179999994e-05,0.26483000000000007,0.9789400000000001,3.713220000000004e-05,5.276380164484537,4.6329834999999994e-05,5.98,0.9986899999999995,13.66394072213365,5.896196279044043,14.283662712110452,6.056874090340756,14.704349697616983,5.632085261206248,7.222550431362598,13.604848408495457,6.97469413473523,5.480697150764572,15.81451185804236,13.032031037121307,14.512025560020344,14.623605557962733,7.76,6.3257820544233,15.468776625466973,0.5884199999999997,0.012154779999999997,0.0033652200000000017,0.005499280000000002,0.0019710229999999997,0.4808400000000001,0.5153699999999999,5.0,3.03,0.0005276419269999994
LMXB_3_obs_4,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,4073.5,4.71,162.7296,LX,5.7544873321858505,6.029420694285149,5.907630300370879,13.989700043360187,5.73969005420508,0.9994,-0.9994,-0.9994,14.605723473232178,14.620694482249418,14.0498299401918,0.0002536534000000001,0.9945800000000001,4.095338542084475,3.638774040000003e-05,0.1403600000000003,0.9791700000000003,2.7906200000000024e-05,6.001455512240163,1.8691228199999984e-05,5.77,0.9988299999999997,14.258362821953394,6.897746353512376,15.123058016753196,6.2617407153816975,14.873730690947065,6.193623249989449,7.222485778964953,14.275770239257026,6.919104821820976,5.976064426598168,15.820342423432512,13.263523817972303,15.151466895727863,14.854263675915211,7.76,6.500477386641398,15.432873497801145,0.58278,0.008361660000000005,0.0023046600000000005,0.0029686770000000025,0.0011601199999999993,0.47234000000000015,0.52605,5.0,3.03,0.0004308835119999997
LMXB_3_obs_5,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,4128.5,4.71,162.7296,LX,5.781464494783473,6.089802630033999,5.924818145381308,14.019224226037379,5.771856392402258,0.9994,-0.9994,-0.9994,14.637706062035768,14.627824713884936,14.05124481983173,0.0002536534000000001,0.9945800000000001,4.078625704581525,3.6399440400000025e-05,0.13873000000000027,0.9791700000000003,2.7877800000000023e-05,6.047545343341762,1.8691228199999984e-05,5.8,0.9988299999999997,14.296659635143538,6.917157459569474,15.085139583846878,6.347819902901764,14.939086807177237,6.185616089477399,7.253201321942787,14.282563513979465,6.934645155059997,6.0028732097432025,15.821175949022438,13.32984695480782,15.129340674817596,14.872792858399725,7.76,6.511352145148111,15.393573838901313,0.5843199999999998,0.006348239999999996,0.0016854109999999997,0.0023887670000000017,0.0010212839999999997,0.4754400000000001,0.53856,5.0,3.03,0.00046619879699999955
LMXB_3_obs_6,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,4032.6,4.71,162.7296,LX,5.385841290490825,5.621057301386562,5.458171233218688,13.569280112136719,5.304868702295974,0.9994,-0.9994,-0.9994,14.170696227168975,14.212256228353533,13.600326278518962,0.00023685041600000008,0.9953300000000003,3.63320361671327,6.405748179999995e-05,0.23467999999999997,0.9782100000000002,3.697050000000005e-05,5.652155363284826,4.661264499999999e-05,5.99,0.9987599999999996,13.851869988722642,6.402135269122722,14.806968202661139,5.934007163211756,14.49952393736546,5.731783829339909,7.1821027903669,13.885374694640882,6.882611213193204,5.576474774803497,15.697444334198725,12.8843894883257,15.134292417758235,14.44197462900987,7.76,6.487979436219048,15.253505657513124,0.5645599999999998,0.006991460000000001,0.0016952760000000012,0.00228461,0.0010724259999999998,0.47028,0.5108200000000002,5.0,3.03,0.0005350038999999994
LMXB_3_obs_7,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,3965.3,4.71,162.7296,LX,5.780939667551139,6.0676784680107065,5.989700043360188,14.002089632653256,5.768530409569319,0.9994,-0.9994,-0.9994,14.634324859544082,14.658763376761307,14.06208109735222,0.0002536534000000001,0.9945800000000001,4.118957891806595,3.6399440400000025e-05,0.13962000000000027,0.9791700000000003,2.7899700000000024e-05,6.047557937212431,1.8691228199999984e-05,5.79,0.9988299999999997,14.29522940489577,6.925853012418299,15.091079307892876,6.323877314586363,14.946162177639161,6.201637658838604,7.2523151578650085,14.2979882262081,6.931987548535826,6.011230013749038,15.819705755208943,13.28718199979215,15.12842209194524,14.869244395631002,7.76,6.512809071052247,15.401869605599702,0.5843199999999998,0.006348239999999996,0.0016714709999999997,0.0023871670000000017,0.0010137779999999997,0.47262000000000015,0.53629,5.0,3.03,0.0004521236169999996
LMXB_3_obs_8,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,4051.4,4.71,162.7296,LX,5.866780543267506,6.132709330145116,6.071911540335029,14.08815020350058,5.825940192274975,0.9994,-0.9994,-0.9994,14.691862621361961,14.679645967182328,14.144359719109854,0.00025353340000000015,0.9945800000000001,4.171855892696214,3.6399440400000025e-05,0.13873000000000027,0.9791700000000003,2.7877800000000023e-05,6.088747543077931,1.8644883199999985e-05,5.72,0.9988599999999996,14.38811322583685,6.929982934458687,15.093329893544642,6.409686541370837,14.965045039928803,6.337551862894328,7.254811393601226,14.408638436798071,6.929055680310236,6.079564181852382,15.816104184894971,13.362310180881598,15.116825561913034,14.914026670600528,7.76,6.625265739122101,15.427126057094808,0.5802899999999999,0.006517359999999997,0.0016832309999999997,0.002389687000000002,0.0010266079999999996,0.4741,0.5349100000000001,5.0,3.03,0.00040604060299999974
LMXB_3_obs_9,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,4140.2,4.71,162.7296,LX,5.497709472085227,5.693789491832239,5.547140664204147,13.626168854926169,5.4816176844546565,0.9994,-0.9994,-0.9994,14.271808601410052,14.285000032587957,13.68909437062386,0.00023243311600000007,0.9951300000000002,3.6390281162740643,6.250488179999993e-05,0.22677999999999998,0.9786800000000002,3.696400000000004e-05,5.786457467084681,4.784221499999999e-05,6.01,0.9987599999999994,13.9063443405351,6.851993828294545,15.12581317792394,6.028104441651186,14.580074942244675,5.846595467256679,7.292929266716839,13.950378972586368,6.938775789638168,5.782218676334059,15.821204321000359,12.899974269892137,15.14844155034441,14.56559892397354,7.76,6.54030719507309,15.42794320967038,0.5897399999999998,0.006163519999999997,0.0016959960000000013,0.0022831700000000006,0.0010293969999999996,0.4652900000000002,0.5161100000000001,5.0,3.03,0.0005395969799999993
LMXB_3_obs_10,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,4060.7,4.71,162.7296,LX,5.571217488503046,5.842241113953136,5.691862621361961,13.79236563261104,5.532539890492736,0.9994,-0.9994,-0.9994,14.39848321634999,14.433444669116945,13.83386602969489,0.0002548500000000001,0.9949800000000001,3.694648630553376,6.321928179999994e-05,0.13621000000000028,0.9785800000000002,2.793590000000002e-05,5.839910146731653,2.577457499999999e-05,6.02,0.9988099999999998,14.078491746518509,6.910044560928095,15.050711588233641,6.117784564381747,14.71941894001367,5.961243740625047,7.264669823610255,14.106100600020614,6.922729299271407,5.826271721931042,15.817925112111048,12.945770090136604,15.050413734520776,14.662813148130319,7.76,6.494932641232393,15.41547846223512,0.5588099999999998,0.008132020000000005,0.002039128,0.0025905000000000017,0.0011809219999999994,0.48259000000000013,0.5106200000000003,5.0,3.03,0.0005410808999999993
LMXB_3_obs_11,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,3965.3,4.71,162.7296,LX,5.51173138450454,5.776504059037605,6.009927665307847,14.456056057517094,5.763966852882364,-0.9994,-0.9994,-0.1699,14.629857152948897,14.41228903498109,14.082389474250133,0.0002536557270000001,0.9943500000000002,3.940058111938045,1.6520591400000004e-05,0.1394600000000003,0.9792700000000002,2.767280000000002e-05,5.790484985457369,1.8692358399999985e-05,5.85,0.9988199999999996,14.744727494896694,6.790484985457369,15.780714433983956,6.045371622492729,14.713319030645069,6.2137889200814955,6.890421453095613,14.329824487834355,7.152183120703353,6.00817137076787,15.555838262585326,13.191114132640188,15.55594993729511,14.859350760464581,7.76,6.53880946911395,15.417531650162424,0.6092299999999998,0.006052980000000001,0.0018766399999999989,0.002418620000000002,0.0009649329999999996,0.4900100000000001,0.5399800000000002,5.0,3.03,0.0005016886269999994
LMXB_3_obs_12,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,4106.4,4.71,162.7296,LX,5.775208043507319,6.122513471930398,5.909741947068683,13.996539467890493,5.753255290276159,0.9994,-0.9994,-0.9994,14.619065536669298,14.66054855869356,14.051684859310653,0.0002536534000000001,0.9945800000000001,3.9457700901366026,3.638774040000003e-05,0.1403600000000003,0.9791700000000003,2.7884300000000024e-05,6.042833108408822,1.8691228199999984e-05,5.85,0.9988299999999997,14.277537965463466,6.896908994528304,15.134192537312085,6.402450539090715,14.964473537593552,6.1928876178101815,7.229833064957951,14.279770450953176,6.904007984743331,5.980967716063877,15.813522290713903,13.197021144664738,15.157429101197174,14.857113035785419,7.76,6.498719870775342,15.404384273958984,0.58659,0.007938540000000006,0.0023173700000000005,0.002944137000000003,0.0010780779999999995,0.47290000000000026,0.5262900000000001,5.0,3.03,0.0005107989339999994
LMXB_3_obs_13,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,3968.1,4.71,162.7296,LX,5.037772768649915,5.285167487566667,5.120846753815754,13.221197795986761,4.943095148663527,0.9994,-0.9994,-0.9994,13.80910828307783,13.838631997765026,13.246570158424577,0.00023797371600000011,0.9929100000000005,3.1827652695745017,6.171458179999994e-05,0.2763,0.9789800000000001,3.7265400000000045e-05,5.301544830598574,4.0251166799999985e-05,5.99,0.9959599999999995,13.48544248446094,5.936474046527073,14.171444809490268,5.478328298400786,14.098586111913887,5.411293072196856,7.056867157922699,13.48103694911524,6.551844299629109,5.162474298699501,15.649685172256738,12.290051983489239,14.429558187851473,14.01902205297268,7.64,5.898716286861543,14.793002643165375,0.6235399999999994,0.01158671,0.005453540000000002,0.00660118,0.0016506139999999995,0.5851899999999999,0.51167,5.0,3.03,0.0005865029299999991
LMXB_3_obs_14,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,3971.3,4.71,162.7296,LX,5.806318970458719,6.133240216504892,5.924453038607469,14.027565723042635,5.781464494783473,0.9994,-0.9994,-0.9994,14.64723880827617,14.671212799645465,14.066462098028296,0.0002536534000000001,0.9945800000000001,3.9118639112994487,3.6399440400000025e-05,0.13873000000000027,0.9791700000000003,2.7877800000000023e-05,6.072161651127159,1.8691228199999984e-05,5.85,0.9988599999999996,14.302820956778517,6.920576543159139,15.09243877740008,6.40582362502219,14.960040901602797,6.1865891470566465,7.253692166092131,14.299856378544325,6.9392790299016545,6.051997664179059,15.814247546456356,13.16304326294045,15.146424609932875,14.88003259040468,7.76,6.577881360471272,15.415099519488495,0.5834399999999998,0.006235529999999996,0.0016383609999999996,0.0023775870000000013,0.0010397969999999994,0.4752600000000002,0.5343800000000002,5.0,3.03,0.0005335199799999993
LMXB_3_obs_15,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,3971.3,4.71,162.7296,LX,5.323855319643794,5.531800413927387,5.460046158343603,13.489589051989823,5.281083313985139,0.9994,-0.9994,-0.9994,14.074430090456623,14.122974384132752,13.532539890492735,0.00023697041600000008,0.9951300000000003,3.307064997468862,6.430108179999994e-05,0.24139999999999998,0.9782100000000002,3.7181400000000044e-05,5.599292791963239,4.661264499999999e-05,5.98,0.9987899999999996,13.768032380413098,6.383889567593347,14.547136470756639,5.795595517321946,14.405267688285212,5.7323144938792066,7.03846223849119,13.786574822368607,6.9100354456740956,5.539086106957241,15.642052156018627,12.600845666041783,15.168676852626474,14.319589102612028,7.76,6.429997421691061,15.032103191817288,0.6269299999999995,0.006127489999999998,0.001689267000000001,0.0022939500000000003,0.0010567489999999998,0.46862000000000004,0.5135800000000001,5.0,3.03,0.0005543768199999993
LMXB_3_obs_16,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,3971.8,4.71,162.7296,LX,5.7627076624325415,6.027889771597169,5.896538377905295,13.984221243610959,5.724228099835068,0.9994,-0.9994,-0.9994,14.590066876668706,14.619065536669298,14.038768802955337,0.0002536534000000001,0.9945800000000001,3.8820661649603587,3.6399440400000025e-05,0.1403600000000003,0.9791700000000003,2.7899700000000024e-05,6.001816859583276,1.8691228199999984e-05,5.85,0.9988299999999997,14.25660467208272,6.901420614087442,15.092319788217617,6.257615730359793,14.874288585238325,6.18824078238971,7.230248600365294,14.275784559522995,6.968272667486401,5.97819926757292,15.82103068756473,13.1332992439575,15.197114688290704,14.818689158507002,7.76,6.51489609363566,15.410513514824977,0.5854699999999999,0.008319680000000003,0.0019020220000000004,0.0026131070000000017,0.0011891269999999992,0.4689000000000003,0.5388700000000002,5.0,3.03,0.0005335199799999993
LMXB_3_obs_17,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,3974.8,4.71,162.7296,LX,5.194363233694065,5.5113083016830595,5.349692476868063,13.415668775632469,5.205511953340831,0.9994,-0.9994,-0.9994,14.01592296609717,14.064643907054426,13.491739694487666,0.0002370904160000001,0.9948300000000003,3.2452695309762465,6.129218179999994e-05,0.26687,0.9787600000000002,3.713220000000004e-05,5.4276814472432395,4.6137324999999984e-05,5.99,0.9965199999999999,13.674022693847602,6.0150019638076655,14.399608783092823,5.8003090476650785,14.332181181140175,5.632159439734361,7.084405634495445,13.726288949039374,6.539627534458592,5.465135554389354,15.599217981444154,12.496481687275926,14.889312488349582,14.255075774390424,7.76,6.359433958741447,15.149253547489144,0.5491599999999998,0.011943089999999996,0.003191570000000003,0.00486073,0.0018719859999999997,0.4583500000000001,0.4957400000000002,5.0,3.03,0.0005486418199999993
LMXB_3_obs_18,LMXB_3,65,XMMU_J004245.2+41172_, 2CXO J004246.1+411728,10.692169999999999,41.29133,3974.8,4.71,162.7296,LX,5.689306687656639,6.175418623766517,5.843753809602656,14.020042106659334,5.798876102792621,0.9994,-0.9994,-0.9994,14.664742743565467,14.694004117229195,14.133771752620353,0.00025353340000000015,0.9945800000000001,3.96657624451305,3.5005940400000026e-05,0.13875000000000026,0.9791700000000003,2.7877800000000023e-05,5.977674192313475,1.8691228199999984e-05,5.85,0.9988599999999996,14.296278840072981,6.944986427400767,15.250495576123857,6.438792652412004,14.983284716569969,6.083878101845946,7.253879333180549,14.411684612165034,7.076815157452915,6.065983522807332,15.829012473241027,13.157265981051731,15.531187612250706,14.914134016772131,7.76,6.591888496246508,15.448742656225415,0.5825599999999999,0.008003899999999998,0.0015489079999999994,0.002228307,0.0010978379999999994,0.4774300000000002,0.5331300000000001,5.0,3.03,0.0005184180969999994
