,A_NAME,A_ALT_NAME_1,A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_
32,CXOGLB J002353.4-720511,[GHE2001] W65 ,5.972854,-72.086481,             ,                  ,2CXO J002353.5-720511,5.973032,-72.086527,0.004
33,CXOGLB J002354.4-720530,[GHE2001] W107,5.977037,-72.091897,MSP          ,                  ,2CXO J002354.5-720530,5.977162,-72.091909,0.002
34,CXOGLB J002354.4-720530,[GHE2001] W107,5.976946,-72.091839,MSP          ,                  ,2CXO J002354.5-720530,5.977162,-72.091909,0.006
35,CXOGLB J002354.5-720607,[GHE2001] W145,5.977446,-72.102178,             ,                  ,2CXO J002354.6-720607,5.977508,-72.102167,0.001
36,CXOGLB J002354.9-720433,[GHE2001] W329,5.979092,-72.076044,             ,                  ,2CXO J002354.9-720434,5.979113,-72.076193,0.009
37,CXOGLB J002356.9-720341,[GHE2001] W187,5.986821,-72.061464,             ,                  ,2CXO J002356.9-720341,5.987187,-72.061499,0.007
38,CXOGLB J002356.9-720341,[GHE2001] W187,5.987146,-72.061411,             ,                  ,2CXO J002356.9-720341,5.987187,-72.061499,0.005
39,CXOGLB J002357.6-720502,[GHE2001] W64 ,5.990296,-72.083883,AB           ,                  ,2CXO J002357.6-720502,5.990402,-72.083914,0.003
40,CXOGLB J002357.6-720502,[GHE2001] W64 ,5.990279,-72.083875,AB           ,                  ,2CXO J002357.6-720502,5.990402,-72.083914,0.003
41,CXOGLB J002357.6-720542,[GHE2001] W102,5.990283,-72.095256,             ,                  ,2CXO J002357.6-720543,5.990223,-72.095283,0.002
42,CXOGLB J002357.6-720542,[GHE2001] W102,5.990067,-72.095228,             ,                  ,2CXO J002357.6-720543,5.990223,-72.095283,0.004
43,CXOGLB J002357.7-720414,[GHE2001] W324,5.990592,-72.070639,             ,                  ,2CXO J002357.7-720414,5.990531,-72.07061,0.002
44,CXOGLB J002357.7-720506,[GHE2001] W325,5.990442,-72.085083,             ,                  ,2CXO J002357.7-720506,5.990428,-72.085155,0.004
45,CXOGLB J002350.6-720541,[GHE2001] W90 ,5.961125,-72.094867,             ,                  ,2CXO J002350.7-720541,5.96133,-72.094905,0.004
46,CXOGLB J002350.6-720541,[GHE2001] W90 ,5.961221,-72.094844,             ,                  ,2CXO J002350.7-720541,5.96133,-72.094905,0.004
47,CXOGLB J002351.9-720453,[GHE2001] W336,5.966317,-72.081625,             ,                  ,2CXO J002351.9-720453,5.96631,-72.081643,0.001
48,CXOGLB J002352.0-720436,[GHE2001] W335,5.966729,-72.076861,             ,                  ,2CXO J002352.0-720436,5.96675,-72.076938,0.005
