
#ATNF Pulsar Catalogue
#Catalogue Version: 1.65
INDEX;NAME;PSRJ;RAJ;DECJ;RAJD;DECJD;BINCOMP;ASSOC;SURVEY;PSR;
#;;;(hms);(dms);(deg);(deg);;;;TYPE;
84;J0139+3336;J0139+3336;01:39:57.2;+33:36:59.7;24.98845833;33.61658333;*;*;misc,lotaas;RRAT[ttm18];
85;J0139+5621;J0139+5621;01:39:38.5;+56:21:36.8;24.91066667;56.36022222;*;*;misc,lotaas;*;
86;B0136+57;J0139+5814;01:39:19.7;+58:14:31.8;24.83225042;58.24217194;*;*;gb1,gb2,gb3,gb4,gbncc,lotaas;*;
87;B0138+59;J0141+6009;01:41:39.9;+60:09:32.3;25.41640900;60.15897317;*;*;misc,gb3,gb4,gbncc,lotaas;*;
88;J0141+63;J0141+63;01:41;+63:08;25.25000000;63.13333333;*;*;gbncc;*;
89;J0146+31;J0146+31;01:46:15;+31:04;26.56250000;31.06666667;*;*;misc;*;
90;J0146+6145;J0146+6145;01:46:22.4;+61:45:02.8;26.59341667;61.75077778;*;XRS:4U_0142+61;misc;AXP,NRAD;
91;B0144+59;J0147+5922;01:47:44.6;+59:22:03.2;26.93601417;59.36757889;*;*;gb3,lotaas;*;
92;B0148-06;J0151-0635;01:51:22.7;-06:35:02.9;27.84465792;-6.58416306;*;*;mol2,pks70;*;
93;J0152+0948;J0152+0948;01:52:23.7;+09:48:10;28.09887500;9.80277778;*;*;ar4;*;
94;B0149-16;J0152-1637;01:52:10.8;-16:37:53.6;28.04522458;-16.63156694;*;*;mol2,pks70;*;
95;J0154+1833;J0154+1833;01:54:36.8;+18:33:50.7;28.65367804;18.56409944;*;*;ar327;*;
96;J0156+04;J0156+04;01:56:01;+04:02;29.00416667;4.03333333;*;*;ar327;RRAT[dsm+16];
97;B0153+39;J0156+3949;01:56:55.2;+39:49:29;29.23019206;39.82459228;*;*;gb2,lotaas;*;
98;B0154+61;J0157+6212;01:57:49.9;+62:12:26.6;29.45809750;62.20740222;*;*;jb1,gb3,gbncc,lotaas;*;
99;J0158+21;J0158+21;01:58:29;+21:08;29.62083333;21.13333333;*;*;ar327,lotaas;*;
100;J0201+7005;J0201+7005;02:01:41.3;+70:05:18.1;30.42226667;70.08836389;*;*;gbncc,lotaas;RRAT;
101;J0205+6449;J0205+6449;02:05:37.9;+64:49:41.3;31.40801029;64.82814842;*;GRS:4FGL_J0205.7+6449[fermi21],SNR:PWN:3;misc;HE;
102;B0203-40;J0206-4028;02:06:01.2;-40:28:03.6;31.50538750;-40.46767222;*;*;mol2,pks70;*;
103;J0209+5759;J0209+5759;02:09:37.3;+57:59:45.3;32.40543333;57.99591944;*;*;chime;*;
104;J0210+5845;J0210+5845;02:10:55.4;+58:45:04;32.73083333;58.75111111;*;*;lotaas;*;
