SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_
TC0150,CXOGLB J002354.5-720607,[GHE2001] W145,5.977446,-72.102178,             ,                  ,2CXO J002354.6-720607,5.977508,-72.102167,0.001
TC0151,CXOGLB J002354.9-720433,[GHE2001] W329,5.979092,-72.076044,             ,                  ,2CXO J002354.9-720434,5.979113,-72.076193,0.009
TC0152,CXOGLB J002356.3-720437,[GHE2001] W328,5.984646,-72.077047,             ,                  ,2CXO J002356.3-720437,5.984622,-72.077132,0.005
TC0153,CXOGLB J002356.7-720450,[GHE2001] W327,5.986379,-72.080567,             ,                  ,2CXO J002356.6-720450,5.986236,-72.080641,0.005
TC0154,CXOGLB J002356.8-720504,[GHE2001] W326,5.98665,-72.084536,             ,                  ,2CXO J002356.8-720504,5.986843,-72.084574,0.004
TC0155,CXOGLB J002356.9-720224,[GHE2001] W170,5.987404,-72.040231,             ,                  ,2CXO J002356.9-720224,5.987428,-72.040261,0.002
TC0156,CXOGLB J002356.9-720224,[GHE2001] W170,5.987275,-72.040219,             ,                  ,2CXO J002356.9-720224,5.987428,-72.040261,0.004
TC0157,CXOGLB J002356.9-720341,[GHE2001] W187,5.987146,-72.061411,             ,                  ,2CXO J002356.9-720341,5.987187,-72.061499,0.005
TC0158,CXOGLB J002357.6-720542,[GHE2001] W102,5.990283,-72.095256,             ,                  ,2CXO J002357.6-720543,5.990223,-72.095283,0.002
TC0159,CXOGLB J002357.7-720414,[GHE2001] W324,5.990592,-72.070639,             ,                  ,2CXO J002357.7-720414,5.990531,-72.07061,0.002
TC0160,CXOGLB J002357.7-720506,[GHE2001] W325,5.990442,-72.085083,             ,                  ,2CXO J002357.7-720506,5.990428,-72.085155,0.004
TC0161,CXOGLB J002357.8-720452,[GHE2001] W87 ,5.990946,-72.081361,             ,                  ,2CXO J002357.8-720452,5.991115,-72.081359,0.003
