A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,XOFFSET_
PSR J0821-4300 ,-43.004826,2CXO J082157.3-430017 ,125.488948,-43.004743,125.489022,0.006
PSR J0835-4510 ,-45.177588,2CXO J083521.1-451039 ,128.838199,-45.176354,128.835881,0.123
PSR J1044-5737 ,-57.621974,2CXO J104432.8-573719 ,161.136919,-57.622028,161.136667,0.009
PSR J0908-4913 ,-49.218183,2CXO J090835.4-491305 ,137.147533,-49.218056,137.14775,0.011
PSR J1023-5746 ,-57.768545,2CXO J102302.8-574606 ,155.761818,-57.768056,155.762083,0.031
PSR J1023+0038 ,0.644712,2CXO J102347.6+003840 ,155.948682,0.644679,155.948697,0.002
PSR J1028-5819 ,-58.318499,2CXO J102827.8-581906 ,157.116106,-58.318111,157.116667,0.029
PSR J1057-5226 ,-52.4491,2CXO J105758.9-522656 ,164.495761,-52.448981,164.496021,0.012
PSR J1048-5832 ,-58.534278,2CXO J104812.6-583203 ,162.052616,-58.535056,162.054375,0.072
PSR J1050-5953 ,-59.889314,2CXO J105007.1-595321 ,162.529818,-59.889278,162.529667,0.005
PSR J1050-5953 ,-59.889177,2CXO J105007.5-595321 ,162.531367,-59.889278,162.529667,0.052
PSR J1119-6127 ,-61.464615,2CXO J111914.3-612752 ,169.809945,-61.46375,169.809583,0.053
PSR J1101-6101 ,-61.027389,2CXO J110144.8-610138 ,165.437062,-61.027667,165.437333,0.018
PSR J1119-6127 ,-61.463667,2CXO J111914.2-612749 ,169.809484,-61.46375,169.809583,0.006
PSR J1111-6039 ,-60.657132,2CXO J111148.5-603925 ,167.952375,-60.657222,167.9525,0.007
PSR J1124-3653 ,-36.888648,2CXO J112401.1-365319 ,171.00471,-36.888639,171.00465,0.003
PSR J1124-5916 ,-59.272072,2CXO J112439.1-591619 ,171.163186,-59.271944,171.1625,0.022
PSR J1413-6205 ,-62.092821,2CXO J141329.9-620534 ,213.374641,-62.093889,213.374583,0.064
PSR J1210-5226 ,-52.44122,2CXO J121000.8-522628 ,182.503605,-52.441222,182.503792,0.007
