,Unnamed: 0,A_NAME,SRC_ID,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_,transient,burst,type,comments,nearest_GC,GC_dist,near_gc,near_gc_dist
15,15,CEN X-4              ,NS0016,224.591667,-31.668889,INTREFCAT       ,INTEGRAL     ,2CXO J145821.9-314007 ,224.591322,-31.668837,0.018,,,,,,,no_cluster,
16,16,CIR X-1              ,NS0017,230.170417,-57.166944,INTREFCAT       ,INTEGRAL     ,2CXO J152040.8-571000 ,230.1702,-57.166675,0.018,,,,,,,no_cluster,
17,17,CYG X-2              ,NS0018,326.171667,38.321667,INTREFCAT       ,INTEGRAL     ,2CXO J214441.1+381917 ,326.171509,38.321474,0.014,,,,,,,no_cluster,
18,18,EXO 0748-676         ,NS0019,117.140833,-67.7525,INTREFCAT       ,INTEGRAL     ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.027,,,,"Multi-wavelength study , spectroscopy",,,no_cluster,
19,19,EXO 1745-248         ,NS0020,267.021667,-24.780556,INTREFCAT       ,INTEGRAL     ,2CXO J174805.2-244651 ,267.02194,-24.781027,0.032,,Tpye-ii burst,,,,, Terzan-5,0.15371324889891863
20,20,GRS 1741.9-2853      ,NS0021,266.259583,-28.913889,INTREFCAT       ,INTEGRAL     ,2CXO J174502.3-285449 ,266.259684,-28.913859,0.006,,,,could be a milli second pulsar,,,no_cluster,
21,21,GX 13+1              ,NS0022,273.631667,-17.1575,INTREFCAT       ,INTEGRAL     ,2CXO J181431.0-170925 ,273.629472,-17.157138,0.128,,,,dynamical measurmet,,,no_cluster,
22,22,H 1608-522           ,NS0023,243.179167,-52.423056,INTREFCAT       ,INTEGRAL     ,2CXO J161243.0-522523 ,243.179378,-52.423114,0.008,,,,,,,no_cluster,
23,23,H 1658-298           ,NS0024,255.52625,-29.945833,INTREFCAT       ,INTEGRAL     ,2CXO J170206.5-295644 ,255.527181,-29.945609,0.05,,,,,,, NGC-6266,15.393285982859977
24,24,H 1702-429           ,NS0025,256.56375,-43.035833,INTREFCAT       ,INTEGRAL     ,2CXO J170615.3-430208 ,256.563917,-43.035801,0.008,,,,,,,no_cluster,
25,25,HD 22468             ,NS0026,54.197083,0.587778,INTREFCAT       ,INTEGRAL     ,2CXO J033647.2+003515 ,54.197048,0.587742,0.003,,,,,,,no_cluster,
26,26,HER X-1              ,NS0027,254.4575,35.3425,INTREFCAT       ,INTEGRAL     ,2CXO J165749.7+352033 ,254.457353,35.342512,0.007,,,,,,,no_cluster,
27,27,IGR J00291+5934      ,NS0028,7.262917,59.571944,INTREFCAT       ,INTEGRAL     ,2CXO J002903.0+593419 ,7.262675,59.571945,0.007,,,,,,,no_cluster,
28,28,IGR J17254-3257      ,NS0029,261.353333,-32.954167,INTREFCAT       ,INTEGRAL     ,2CXO J172524.9-325714 ,261.354147,-32.954104,0.041,,,,,,,no_cluster,
29,29,IGR J17464-2811      ,NS0030,266.8175,-28.18,INTREFCAT       ,INTEGRAL     ,2CXO J174716.1-281048 ,266.817333,-28.180017,0.009,,,,,,,no_cluster,
30,30,IGR J17473-2721      ,NS0031,266.825417,-27.344167,INTREFCAT       ,INTEGRAL     ,2CXO J174718.0-272038 ,266.825156,-27.344152,0.014,,,,,,,no_cluster,
31,31,IGR J17597-2201      ,NS0032,269.940417,-22.0275,INTREFCAT       ,INTEGRAL     ,2CXO J175945.5-220139 ,269.939686,-22.027565,0.041,,,,spectroscopy,,,no_cluster,
32,32,KS 1731-260          ,NS0033,263.555833,-26.088611,INTREFCAT       ,INTEGRAL     ,2CXO J173413.4-260518 ,263.556034,-26.088528,0.012,,,,,,,no_cluster,
33,33,SAX J1750.8-2900     ,NS0034,267.6,-29.038333,INTREFCAT       ,INTEGRAL     ,2CXO J175024.4-290215 ,267.601766,-29.037549,0.104,,burst,atoll source,,,,no_cluster,
34,34,SAX J1806.5-2215     ,NS0035,271.634167,-22.238056,INTREFCAT       ,INTEGRAL     ,2CXO J180632.1-221417 ,271.634072,-22.238096,0.006,,,,,,,no_cluster,
35,35,SAX J1808.4-3658     ,NS0036,272.114583,-36.978889,INTREFCAT       ,INTEGRAL     ,2CXO J180827.6-365843 ,272.115179,-36.978637,0.032,,,,"burst oscilation as spin on NS , magnetic field",,,no_cluster,
36,36,SAX J1810.8-2609     ,NS0038,272.685,-26.15,INTREFCAT       ,INTEGRAL     ,2CXO J181044.4-260901 ,272.685276,-26.150372,0.027,,,,type I burst,,, NGC-6553,24.311650034650423
37,37,SLX 1735-269         ,NS0039,264.57125,-26.994167,INTREFCAT       ,INTEGRAL     ,2CXO J173817.0-265939 ,264.571236,-26.994189,0.002,,,,,,,no_cluster,
38,38,SLX 1744-300         ,NS0040,266.855833,-30.044722,INTREFCAT       ,INTEGRAL     ,2CXO J174726.0-300241 ,266.85842,-30.044968,0.135,,,,,,,no_cluster,
39,39,XB 1732-304          ,NS0041,263.948333,-30.482222,INTREFCAT       ,INTEGRAL     ,2CXO J173547.6-302858 ,263.948614,-30.482933,0.045,,,,,,, Terzan-1,0.793161694147684
40,40,XB 1732-304          ,NS0042,263.948333,-30.482222,INTREFCAT       ,INTEGRAL     ,2CXO J173547.2-302855 ,263.946951,-30.481989,0.073,,,,,,, Terzan-1,0.7448710478848644
41,41,XB 1732-304          ,NS0043,263.948333,-30.482222,INTREFCAT       ,INTEGRAL     ,2CXO J173547.0-302858 ,263.945897,-30.482815,0.131,,,,,,, Terzan-1,0.8035555723001055
42,42,XMMU J004245.2+41172 ,NS0044,10.688333,41.289167,INTREFCAT       ,INTEGRAL     ,2CXO J004245.2+411722 ,10.688401,41.289518,0.021,,,,,,,no_cluster,
43,43,XMMU J004245.2+41172 ,NS0045,10.688333,41.289167,INTREFCAT       ,INTEGRAL     ,2CXO J004244.8+411728 ,10.686879,41.291118,0.134,,,,,,,no_cluster,
44,44,XMMU J004245.2+41172 ,NS0046,10.688333,41.289167,INTREFCAT       ,INTEGRAL     ,2CXO J004246.1+411728 ,10.69217,41.291326,0.216,,,,,,,no_cluster,
45,45,XMMU J004414.0+41220 ,NS0047,11.058333,41.367778,INTREFCAT       ,INTEGRAL     ,2CXO J004414.4+412204 ,11.060336,41.368015,0.091,,,,,,,no_cluster,
46,46,XMMU J004438.1+41451 ,NS0048,11.15875,41.753056,INTREFCAT       ,INTEGRAL     ,2CXO J004437.9+414512 ,11.15814,41.753439,0.036,,,,,,,no_cluster,
47,47,XTE J1709-267        ,NS0049,257.376667,-26.655556,INTREFCAT       ,INTEGRAL     ,2CXO J170930.3-263919 ,257.376621,-26.655548,0.003,,,,Type-1 x-ray burstar,,, NGC-6293,9.929782927080558
48,48,XTE J1710-281        ,NS0050,257.55125,-28.131667,INTREFCAT       ,INTEGRAL     ,2CXO J171012.5-280750 ,257.552347,-28.130798,0.078,,,,,,,no_cluster,
49,49,XTE J1739-285        ,NS0051,264.975,-28.496389,INTREFCAT       ,INTEGRAL     ,2CXO J173953.9-282946 ,264.974746,-28.49623,0.016,transient,,,,,,no_cluster,
50,50,XTE J2123-058        ,NS0052,320.810417,-5.798056,INTREFCAT       ,INTEGRAL     ,2CXO J212314.5-054753 ,320.810579,-5.798128,0.011,,burst,,"X-ray quiscent, NS mass measured ",,,no_cluster,
51,51,1832-3301            ,NS0053,278.932083,-32.990833,RITTERLMXB      ,             ,2CXO J183543.6-325926 ,278.931934,-32.990602,0.016,,,,,,, NGC-6652,0.41227976332071725
52,52,BW ANT               ,NS0054,142.334167,-31.384167,RITTERLMXB      ,             ,2CXO J092920.1-312303 ,142.334101,-31.384266,0.007,,,,,,,no_cluster,
53,53,J1748-2021#1         ,NS0055,267.2175,-20.358889,RITTERLMXB      ,             ,2CXO J174852.1-202132 ,267.217314,-20.359012,0.013,,,,,,, NGC-6440,0.14769221941584698
54,54,J1748-2021#2         ,NS0056,267.22,-20.356667,RITTERLMXB      ,             ,2CXO J174853.1-202127 ,267.22131,-20.357511,0.089,,,,,,, NGC-6440,0.19089668242324465
55,55,J1748-2446           ,NS0057,267.02,-24.780278,RITTERLMXB      ,             ,2CXO J174804.5-244642 ,267.019036,-24.778378,0.126,,,,,,, Terzan-5,0.07068939257797402
56,56,J1748-3607           ,NS0058,267.054583,-36.1325,RITTERLMXB      ,             ,2CXO J174813.1-360758 ,267.054676,-36.13281,0.019,,,,,,,no_cluster,
57,57,J1749-2808           ,NS0059,267.382083,-28.134722,RITTERLMXB      ,             ,2CXO J174931.7-280805 ,267.382206,-28.134737,0.007,,,,,,,no_cluster,
58,58,J1749-2919           ,NS0060,267.480833,-29.322222,RITTERLMXB      ,             ,2CXO J174955.3-291919 ,267.480748,-29.322086,0.009,,,,,,,no_cluster,
59,59,J1751-3037           ,NS0061,267.80625,-30.623056,RITTERLMXB      ,             ,2CXO J175113.6-303726 ,267.806945,-30.62403,0.069,,,,,,, Terzan-6,39.5169949531339
60,60,J1824-2452           ,NS0062,276.135417,-24.868889,RITTERLMXB      ,             ,2CXO J182432.4-245208 ,276.135398,-24.868928,0.003,,,,,,, NGC-6626,0.08767860170702231
61,61,UW CRB               ,NS0063,241.440417,25.8625,RITTERLMXB      ,             ,2CXO J160545.8+255145 ,241.441205,25.862581,0.043,,,,,,,no_cluster,
62,62,V5512 SGR            ,NS0064,273.629583,-17.157222,RITTERLMXB      ,             ,2CXO J181431.0-170925 ,273.629472,-17.157138,0.008,,,,,,,no_cluster,
63,63,SAXWFC J1612.7-5224.6,NS0065,243.164583,-52.41,SAXWFCCAT       ,BEPPOSAX     ,2CXO J161240.6-522436 ,243.169511,-52.410272,0.181,,,,,,,no_cluster,
64,64,SAXWFC J1734.2-2605.2,NS0066,263.54375,-26.087083,SAXWFCCAT       ,BEPPOSAX     ,2CXO J173410.1-260524 ,263.542399,-26.090134,0.197,,,,,,,no_cluster,
65,65,SAXWFC J1740.7-2818.5,NS0067,265.17,-28.308389,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174040.0-281830 ,265.166716,-28.308421,0.173,,,,,,,no_cluster,
66,66,SAXWFC J1744.9-2921.2,NS0068,266.216667,-29.353,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174451.1-292116 ,266.212968,-29.354525,0.214,,,,,,,no_cluster,
67,67,SAXWFC J1747.0-2853.3,NS0069,266.746667,-28.888278,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174659.3-285321 ,266.747305,-28.889387,0.075,,,,,,,no_cluster,
68,68,SAXWFC J1747.0-2853.3,NS0070,266.746667,-28.888278,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174659.2-285328 ,266.74671,-28.891263,0.179,,,,,,,no_cluster,
69,69,SAXWFC J1748.1-2446.1,NS0071,267.026667,-24.769083,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174805.7-244603 ,267.024155,-24.767679,0.161,,,,,,, Terzan-5,0.7254771001211986
70,70,SAXWFC J1748.1-2446.1,NS0072,267.026667,-24.769083,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174806.1-244617 ,267.025705,-24.771629,0.161,,,,,,, Terzan-5,0.5487548875102661
71,71,SAXWFC J1750.2-3703.1,NS0073,267.539167,-37.052083,SAXWFCCAT       ,BEPPOSAX     ,2CXO J175009.7-370300 ,267.54075,-37.050032,0.145,,,,,,, NGC-6441,0.6599081405637446
72,72,SAXWFC J1750.8-3116.5,NS0074,267.697917,-31.2745,SAXWFCCAT       ,BEPPOSAX     ,2CXO J175046.8-311629 ,267.695171,-31.274879,0.143,,,,,,, Terzan-6,0.10315207244823199
73,73,1WGA J0514.1-4002    ,NS0075,78.525,-40.045722,WGACAT          ,ROSAT        ,2CXO J051406.6-400250 ,78.52791,-40.047392,0.167,,,,,,, NGC-1851,0.05155270316248924
74,74,1WGA J0748.5-6745    ,NS0076,117.144167,-67.751444,WGACAT          ,ROSAT        ,2CXO J074836.1-674459 ,117.150791,-67.74997,0.175,,,,,,,no_cluster,
75,75,1WGA J1747.4-3002    ,NS0077,266.854167,-30.039056,WGACAT          ,ROSAT        ,2CXO J174725.2-300216 ,266.855063,-30.037798,0.089,,,,,,,no_cluster,
76,76,1WGA J1911.2+0035    ,NS0078,287.81625,0.584444,WGACAT          ,ROSAT        ,2CXO J191116.0+003505 ,287.816769,0.584978,0.045,,,,,,, NGC-6760,26.748485103242455
77,77,4U0142+614           ,NS0079,26.592144,61.752053,XRBCAT          ,             ,2CXO J014622.4+614503 ,26.593348,61.750834,0.081,,,,,,,no_cluster,
78,78,4U1745-203           ,NS0080,267.222663,-20.367235,XRBCAT          ,             ,2CXO J174853.1-202202 ,267.221514,-20.36745,0.066,,,,,,, NGC-6440,0.4454413580927981
79,79,E1048.1-5937         ,NS0081,162.532607,-59.88764,XRBCAT          ,             ,2CXO J105007.1-595321 ,162.529818,-59.889314,0.131,,,,,,,no_cluster,
80,80,E1724-307            ,NS0082,261.888086,-30.802042,XRBCAT          ,             ,2CXO J172733.1-304807 ,261.888321,-30.802216,0.016,,,,,,, Terzan-2,0.02199496736873318
81,81,E2259+587            ,NS0083,345.28267,58.879437,XRBCAT          ,             ,2CXO J230108.2+585244 ,345.284506,58.878949,0.064,,,,,,,no_cluster,
82,82,GRO J1744-28         ,NS0084,266.153139,-28.760357,XRBCAT          ,             ,2CXO J174436.8-284537 ,266.153406,-28.760354,0.014,,,,,,,no_cluster,
