obs_id,src_n,src_id,significance,clf_type,true_class,th_class,is_ok,truth,pred_class,pred_prob,BH_prob,NS_prob,bb_nh_lolim,powlaw_nh_hilim,powlaw_nh,bb_nh_hilim,bb_nh,powlaw_nh_lolim,photflux_aper_u,photflux_aper_hilim_u,flux_aper_hilim_u,photflux_aper_lolim_s,photflux_aper_m,bb_kt_lolim,photflux_aper_hilim_s,bb_kt,flux_aper_lolim_m,photflux_aper,powlaw_gamma_hilim,flux_aper_hilim_s,photflux_aper_lolim_m,flux_aper_hilim_h,photflux_aper_hilim,photflux_aper_lolim,photflux_aper_hilim_h,flux_aper_hilim_m,photflux_aper_hilim_m,flux_aper_lolim,kp_prob,photflux_aper_hilim_b,hard_ms_hilim,flux_aper_hilim_b,hard_ms_lolim,var_prob,hard_ms,powlaw_gamma,powlaw_gamma_lolim,flux_aper_hilim,flux_aper,hard_hm_hilim,ks_prob,var_max,photflux_aper_s,flux_bb_lolim,var_min,flux_aper_lolim_s,photflux_aper_lolim_u,hard_hs_lolim,flux_aper_b,hard_hm,var_sigma,var_mean,bb_ampl_hilim,bb_ampl,bb_stat,flux_aper_s,flux_aper_h,flux_powlaw,flux_aper_m,flux_brems_hilim,hard_hm_lolim,powlaw_ampl_hilim,hard_hs_hilim,photflux_aper_h,photflux_aper_lolim_b,flux_aper_lolim_b,flux_brems,hard_hs,flux_brems_lolim,brems_stat,flux_powlaw_hilim,flux_powlaw_lolim,photflux_aper_b,powlaw_ampl,powlaw_ampl_lolim,photflux_aper_lolim_h,flux_bb,var_index,flux_bb_hilim,flux_aper_lolim_h,powlaw_stat,bb_ampl_lolim,flux_aper_u,flux_aper_lolim_u
NS_OBS_204,XMMU J004245.2+41172,NS0044,49.26,train,NS,NS,1,1,NS,1.0,0.0,1.0,41.0,103.0,83.0,42.0,28.0,67.0,-4.0,-3.9182927299026513,-13.169411331314855,-4.986741334716483,-4.969805214643249,0.0,-4.703334809738468,0.0,-13.72056121171298,-4.723538195826756,3.0,-13.634886568372426,-5.109132061188558,-12.847100403606253,-4.327569618305033,-4.829222133142316,-4.707300996956072,-13.481617684454653,-4.8703101078007,-13.315082860075627,0.3575,-4.21056031543282,0.0044,-12.757210190521324,-0.3829,0.44225,-0.1999,2.0,2.0,-13.054560959715426,-13.210278306019076,0.3629,0.5665,0.012017,-4.818442226137214,-12.0,0.00500525,-13.918292729902651,-5.0,-0.193,-12.823041019413091,0.1936,0.001337725,0.006248500000000001,0.0,0.0,1.0,-13.750068243365805,-12.943857737940949,-12.0,-13.581367312645936,-12.0,0.0169,0.0,0.1968,-4.804377056413063,-4.354283060630396,-12.901010360598825,-12.0,-0.0025,-12.0,1.0,-12.0,-12.0,-4.276544327964814,0.0,0.0,-4.929223537156565,-12.0,0.75,-12.0,-13.068847361476704,1.0,0.0,-13.0,-14.0
NS_OBS_216,XMMU J004245.2+41172,NS0044,49.26,train,NS,NS,1,1,NS,1.0,0.0,1.0,41.0,103.0,83.0,42.0,28.0,67.0,-4.0,-4.258612007520732,-13.434034182553331,-5.558619115083488,-5.436756298859601,0.0,-5.073451775364381,0.0,-14.391473966422806,-5.182500738132242,3.0,-13.819874124835945,-5.705533773838407,-13.354086724966152,-4.702327012980546,-5.378657512910307,-5.144844422823006,-13.96537154337468,-5.279675282582558,-13.924642855823151,0.5465,-4.633763876281708,0.0394,-13.237621570688036,-0.5403,0.57175,-0.2748,2.0,2.0,-13.481775686329515,-13.722344952285292,0.4466,0.6122500000000001,0.00379525,-5.245651664288982,-12.0,0.0017720499999999996,-14.305043997750182,-5.0,-0.3991,-13.337336590425966,0.1711,0.00043975,0.00215075,0.0,0.0,1.0,-13.992252221999259,-13.507938395487402,-12.0,-14.122628654130224,-12.0,-0.1293,0.0,0.2092,-5.298691114771924,-4.872571222148401,-13.476513667656775,-12.0,-0.1087,-12.0,1.0,-12.0,-12.0,-4.733298033115912,0.0,0.0,-5.5583048643592825,-12.0,1.0,-12.0,-13.767512133647013,1.0,0.0,-13.0,-14.0
NS_OBS_371,SAXWFC J1744.9-2921.,NS0068,9.04,train,NS,NS,1,1,NS,0.9706613651697767,0.029338634830223545,0.9706613651697767,52.0,125.0,105.0,62.0,42.0,83.0,-4.0,-4.893129455521347,-14.082336975672623,-5.0,-5.0,0.0,-6.583359492661719,0.0,-14.0,-5.628488829269999,3.0,-15.393726146830012,-6.0,-13.13864483980674,-5.261008685486614,-5.730440359961178,-5.2227182083289865,-15.397940008672034,-6.8623294627632445,-13.722161666997952,0.406,-5.0842309340163165,0.0581,-13.143029566517509,-1.0,0.428,-0.9994,2.0,2.0,-13.512333153753495,-13.620875853929608,1.0,0.292,0.002963,-5.0,-12.0,0.001572,-14.0,-5.0,0.8988,-13.224680878170526,0.9994,0.0002123,0.001738,0.0,0.0,1.0,-14.0,-13.22119779598676,-12.0,-14.0,-12.0,0.9463,0.0,1.0,-5.305307073668517,-5.268733650924508,-13.325322532126801,-12.0,0.9994,-12.0,1.0,-12.0,-12.0,-5.166789119717392,0.0,0.0,-5.407268233606038,-12.0,0.0,-12.0,-13.323123568026865,1.0,0.0,-13.0,-14.0
NS_OBS_87,EXO 1745-248        ,NS0020,23.47,train,NS,NS,1,1,NS,0.9989237173557246,0.0010762826442752439,0.9989237173557246,41.0,105.0,83.0,42.0,29.0,67.0,-4.0,-4.0,-13.0,-6.272052290455202,-5.847711655616942,0.0,-5.988429556402723,0.0,-14.561615892965285,-5.742273439441368,3.0,-14.845880474484153,-5.939302159646387,-14.065602559219013,-5.666804709543915,-5.838706882579747,-5.892111974817201,-14.387746093903562,-5.771856392402258,-14.371447601619199,0.5495,-5.335828294638068,0.4354,-13.913996294381619,0.1156,0.4067500000000001,0.2773,2.0,2.0,-14.181955650377779,-14.263464067751135,-0.0019,0.6232500000000001,0.0008835000000000002,-6.103639154530684,-12.0,0.0006639250000000001,-15.129362036789196,-5.0,-0.0793,-13.974694134735232,-0.1636,5.75575e-05,0.000722,0.0,0.0,1.0,-14.960982678002589,-14.175678875149224,-12.0,-14.46344155742847,-12.0,-0.3242,0.0,0.3167,-6.000391041028582,-5.466355021201237,-14.050609993355089,-12.0,0.1212,-12.0,1.0,-12.0,-12.0,-5.394264106123253,0.0,0.0,-6.156455788054365,-12.0,0.75,-12.0,-14.335358024443874,1.0,0.0,-13.0,-14.0
BH_OBS_144,J1745-2900          ,BH0027,337.0,train,BH,BH,1,1,BH,0.999439621433146,0.999439621433146,0.0005603785668540526,117.0,314.0,239.0,178.0,127.0,183.0,-5.0,-4.886390848926972,-14.154715873652007,-6.0,-6.0,0.0,-6.554240163511369,0.0,-15.0,-6.112607781028153,3.0,-15.420102130396895,-6.0,-13.804377056413063,-5.406434833370729,-6.485505375296463,-5.608183076386752,-15.320662969479208,-6.580870692258023,-14.948076083953893,0.0,-5.441771578196675,0.4254,-13.800793520838342,-0.8901,0.0,-0.2049,2.0,2.0,-14.10379355858398,-14.430111329341884,1.0,0.0,0.0,-5.0,-12.0,0.0,-14.0,-5.0,0.6902,-14.028167720075073,0.9994,0.0,0.0,0.0,0.0,1.0,-14.0,-14.036212172654444,-12.0,-14.0,-12.0,0.7114,0.0,1.0,-5.810790510417694,-5.996539467890494,-14.5332806283184,-12.0,0.9994,-12.0,1.0,-12.0,-12.0,-5.636012170251509,0.0,0.0,-6.202871012203448,-12.0,0.0,-12.0,-14.567672207738395,1.0,0.0,-13.0,-14.0
NS_OBS_169,XMMU J004245.2+41172,NS0044,49.26,train,NS,NS,1,1,NS,0.9985228347513793,0.0014771652486206786,0.9985228347513793,41.0,104.0,83.0,42.0,29.0,67.0,-4.0,-4.163929191084859,-13.41510365586255,-5.0,-6.139123203596702,0.0,-5.873868592738018,0.0,-15.759950227887352,-5.955154616397469,3.0,-14.739690054205079,-7.093341782328402,-13.748848656824643,-4.7998063628588,-6.477487954031275,-5.537452271197336,-14.542572307053517,-5.875821944525327,-14.905542847270501,0.0,-5.288108450119421,0.6677,-13.77624454634276,-0.534,0.0,-0.1087,2.0,2.0,-13.808504272832305,-14.359240385651415,0.8264,0.0,0.0,-5.0,-12.0,0.0,-14.0,-5.0,0.1443,-13.992679047077255,0.5009,0.0,0.0,0.0,0.0,1.0,-14.0,-13.99439055463972,-12.0,-14.805763251276169,-12.0,0.0443,0.0,1.0,-5.783042792638903,-5.924818145381308,-14.442492798094342,-12.0,0.9994,-12.0,1.0,-12.0,-12.0,-5.49894073778225,0.0,0.0,-6.402743717074858,-12.0,0.0,-12.0,-14.614215041156664,1.0,0.0,-13.0,-14.0
BH_OBS_140,J1745-2900          ,BH0027,337.0,train,BH,BH,1,1,BH,0.9987419841484998,0.9987419841484998,0.0012580158515002918,117.0,317.0,239.0,180.0,129.0,185.0,-5.0,-5.42033070644528,-14.613501034449348,-6.0,-7.183162369097965,0.0,-7.055912320584566,0.0,-16.385208208043586,-5.841963954612537,3.0,-15.896880746454285,-8.505288974794738,-13.548213564475713,-5.5943456612629365,-5.9586764916174815,-5.439734602137285,-15.228853651185016,-6.892450870255313,-14.152906439365232,0.374,-5.2944783865773335,1.0,-13.558461961297839,-0.0756,0.225,0.7983,2.0,2.0,-13.927439845290953,-14.037575729789342,0.99,0.221,0.003235,-5.0,-12.0,0.002166,-14.0,-5.0,0.9413,-13.649558143464935,0.9569,0.0001436,0.0022370000000000003,0.0,0.0,1.0,-14.0,-13.63582436722938,-12.0,-15.500587874327724,-12.0,0.9126,0.0,1.0,-5.5298836468489965,-5.4914702810287155,-13.765229704839086,-12.0,0.9994,-12.0,1.0,-12.0,-12.0,-5.3791355247348775,0.0,0.0,-5.643782865780264,-12.0,0.0,-12.0,-13.74593554708566,1.0,0.0,-13.0,-14.0
NS_OBS_307,XMMU J004245.2+41172,NS0046,4.71,train,NS,NS,1,1,NS,1.0,0.0,1.0,41.0,103.0,83.0,42.0,28.0,67.0,-4.0,-3.7602001815529014,-13.011530229790125,-5.0,-5.0,0.0,-5.771086594005313,0.0,-15.832978204209745,-6.164309428507575,3.0,-14.637140697041321,-5.0,-13.940436582098732,-4.437046083472064,-6.886390848926972,-5.691222226335279,-14.199351644636009,-5.927382523454764,-15.293657801577599,0.0,-5.380280734388274,0.1968,-13.885389015767824,-1.0,0.0,-0.9994,2.0,2.0,-13.583376132615815,-14.47695625416466,1.0,0.0,0.0,-5.0,-12.0,0.0,-14.0,-5.0,-0.2267,-14.138704606473306,0.9994,0.0,0.0,0.0,0.0,1.0,-14.0,-14.209433374853926,-12.0,-14.490394295388446,-12.0,0.0169,0.0,0.9313,-5.958607314841776,-6.314706218613216,-14.819874124835945,-12.0,0.2136,-12.0,1.0,-12.0,-12.0,-5.633577042774028,0.0,0.0,-6.782516055786092,-12.0,0.0,-12.0,-15.054580657396937,1.0,0.0,-13.0,-14.0
BH_OBS_14,GRO J1655-40        ,BH0004,13.83,train,BH,BH,1,1,BH,0.919397734794026,0.919397734794026,0.08060226520597291,46.56,219.2,176.6,89.6,66.0,141.1,-4.0,-5.846795099915716,-14.0,-6.108685600617857,-5.192532624315722,0.6885,-5.773915884024174,0.758,-13.839231438138876,-5.034610129784878,3.158,-14.532687937019448,-5.2578249567763224,-13.024200690320592,-4.976986365072465,-5.0873359004440335,-4.850165303284215,-13.717151397165356,-5.13578566953867,-13.341137552424946,0.9535,-4.550059011226662,0.7739,-12.959002307576512,0.569,0.461,0.6771,2.741,2.364,-13.246813501989156,-13.291483497611306,0.4066,0.8280000000000001,0.005442499999999999,-5.9097419470686825,-13.214100971615615,0.0039033,-14.867420152340262,-5.0,0.7589,-12.995678626217355,0.3273,0.000415225,0.004341575,5.044e-05,3.24e-05,0.409,-14.668572703479256,-13.073297505817356,-13.105794740857911,-13.773915884024177,-13.052468254304404,0.2442,0.0001973,0.8801,-4.898940645091884,-4.6293019074244235,-13.035457533920866,-13.104798525221105,0.8232,-13.19606515013616,0.417,-13.047304400413086,-13.198733529510381,-4.586700235918748,0.0001146,6.962e-05,-4.9542859410591324,-13.118615343229427,0.75,-13.062883489232949,-13.128660618900135,0.536,2.132e-05,-13.0,-14.0
NS_OBS_163,XMMU J004245.2+41172,NS0044,49.26,train,NS,NS,1,1,NS,0.9985228347513795,0.0014771652486206786,0.9985228347513795,41.0,103.0,83.0,42.0,28.0,67.0,-4.0,-4.512861624522814,-13.763966852882366,-5.012870232340103,-4.811071516239147,0.0,-4.717831221695358,0.0,-13.707743928643525,-4.578922809982979,3.0,-13.718739312944988,-4.931443104927637,-12.945004138470859,-4.425251291649823,-4.673549434923079,-4.5278288533076365,-13.492954127572672,-4.716698771296451,-13.376852056805513,0.1345,-4.050122295963125,0.203,-12.828566099056992,-0.1818,0.16725,0.0062,2.0,2.0,-13.179969400996375,-13.28123266727895,0.3829,0.22000000000000008,0.01004225,-4.836838625022981,-12.0,0.0094345,-14.013631406429727,-5.0,0.0668,-12.889410289700749,0.2361,0.0002331425,0.00968625,0.0,0.0,1.0,-13.83743559347698,-13.035033625168905,-12.0,-13.587203571283455,-12.0,0.0781,0.0,0.4204,-4.614036429399302,-4.1809828013109405,-12.959793372425287,-12.0,0.2448,-12.0,1.0,-12.0,-12.0,-4.110642263111068,0.0,0.0,-4.728390698621168,-12.0,0.0,-12.0,-13.14898639317633,1.0,0.0,-13.0,-14.0
