,flux_bb,flux_bb_lolim,flux_bb_hilim,flux_brems,flux_brems_hilim,flux_brems_lolim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,photflux_aper,photflux_aper_lolim,photflux_aper_hilim,flux_aper,flux_aper_lolim,flux_aper_hilim,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s
20,3.717e-14,3.557e-14,3.857e-14,3.805e-14,4.023e-14,3.501e-14,3.979e-14,3.8039999999999995e-14,4.154e-14,1.545008e-05,1.4503979999999999e-05,1.6372479999999998e-05,2.07826e-14,1.9448e-14,2.20588e-14,3.548e-05,5.044e-07,4.966e-06,1.773e-05,1.857e-05,3.407e-05,3.249e-07,4.565e-06,1.585e-05,1.771e-05,3.69e-05,6.754e-07,5.3670000000000005e-06,1.95e-05,1.942e-05,4.502e-14,2.383e-15,1.1209999999999999e-14,1.417e-14,3.113e-14,4.322e-14,1.5199999999999998e-15,1.025e-14,1.264e-14,2.961e-14,4.6819999999999996e-14,3.204e-15,1.211e-14,1.56e-14,3.256e-14
21,,,,,,,,,,3.8415999999999997e-07,1.7724000000000002e-07,6.024059999999999e-07,1.206175e-15,6.7635e-16,1.7394499999999999e-15,6.647e-07,3.103e-07,,6.882999999999999e-07,2.575e-07,3.545e-07,1.591e-07,,2.721e-07,1.005e-07,9.602e-07,4.614e-07,7.822999999999999e-08,1.104e-06,4.082e-07,2.324e-15,1.898e-15,1.331e-16,,4.696000000000001e-16,1.549e-15,9.488999999999999e-16,,,2.0750000000000002e-16,3.0989999999999997e-15,2.847e-15,2.801e-16,,7.317e-16
22,8.103e-15,7.166e-15,9.051e-15,7.339e-15,8.470999999999999e-15,5.335e-15,7.656e-15,6.565000000000001e-15,8.626000000000001e-15,2.4611199999999997e-06,2.0945799999999997e-06,2.8226e-06,6.927e-15,6.1574999999999996e-15,7.650000000000001e-15,6.702999999999998e-06,3.336e-07,1.69e-06,1.1e-06,2.479e-06,6.0679999999999985e-06,1.962e-07,1.4480000000000004e-06,5.977e-07,2.1630000000000003e-06,7.337e-06,4.71e-07,1.932e-06,1.5780000000000004e-06,2.795e-06,9.939e-15,,3.915e-15,,,8.992e-15,,3.3229999999999998e-15,,,1.083e-14,,4.4700000000000005e-15,,
23,,,,,,,,,,1.1294199999999999e-06,9.2786e-07,1.38532e-06,2.5197000000000003e-15,1.8777325e-15,3.143e-15,3.374e-06,3.954e-07,9.338e-07,,9.439e-07,2.922e-06,2.293e-07,7.58e-07,,7.3e-07,3.825e-06,5.536e-07,1.11e-06,2.93e-07,1.145e-06,5.707e-15,2.225e-15,,6.108e-16,1.536e-15,4.922e-15,1.36e-15,,3.593e-17,1.193e-15,6.493e-15,3.0489999999999996e-15,,1.15e-15,1.88e-15
24,,,,,,,,,,3.1061999999999996e-06,2.0092e-06,4.80104e-06,8.89e-15,5.9575e-15,1.1725e-14,9.393e-06,,2.107e-06,,4.031e-06,6.514e-06,,1.078e-06,,2.454e-06,1.227e-05,5.572e-07,3.087e-06,2.483e-06,5.608e-06,1.1390000000000001e-14,,,,6.39e-15,8.026e-15,,,,3.889e-15,1.456e-14,,,,8.89e-15
25,,,,,,,,,,9.744e-07,3.366e-08,3.6284e-06,,,,3.198e-06,,,,1.674e-06,1.683e-07,,,,,6.228e-06,1.487e-06,1.734e-06,5.345e-06,3.348e-06,,,,,,,,,,,,,,,
26,,,,,,,,,,2.0426e-06,1.2014e-06,3.7960200000000003e-06,,,,6.319e-06,,1.431e-06,,2.463e-06,4.101e-06,,6.19e-07,,1.287e-06,8.536000000000001e-06,9.961e-07,2.244e-06,3.622e-06,3.582e-06,,,,,,,,,,,,,,,
27,,,,,,,,,,2.7332000000000004e-06,1.755e-06,4.49266e-06,1.258e-14,7.4e-16,2.442e-14,8.341e-06,,2.623e-06,,2.702e-06,5.693e-06,,1.555e-06,,1.527e-06,1.099e-05,8.853e-07,3.644e-06,3.067e-06,3.877e-06,,,,1.258e-14,,,,,7.4e-16,,,,,2.442e-14,
28,,,,,,,,,,3.2032200000000002e-06,2.14316e-06,4.2604e-06,5.2848e-15,3.9804000000000005e-15,6.5742e-15,6.048e-06,7.795999999999998e-07,8.705e-07,5.514e-06,2.804e-06,5.076e-06,4.834e-07,6.004e-07,2.339e-06,2.217e-06,7.021e-06,1.076e-06,1.126e-06,8.687999999999999e-06,3.391e-06,1.233e-14,4.863e-15,1.9710000000000003e-15,1.2679999999999999e-15,5.992e-15,1.034e-14,3.015e-15,1.359e-15,4.5e-16,4.738e-15,1.432e-14,6.7109999999999996e-15,2.548e-15,2.045e-15,7.247e-15
29,,,,,,,,,,,,1.70304e-05,,,,,,,,,,,,,,4.499e-06,3.083e-06,2.367e-06,7.146e-05,3.743e-06,,,,,,,,,,,,,,,
