obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,hard_hm,hard_hs,hard_ms,var_inter_prob_b,var_inter_index_b,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_s,var_inter_sigma_m,var_inter_sigma_s,var_inter_index_m,var_inter_index_s,var_inter_index_h,flux_aper_hilim_u,var_mean_b,var_sigma_b,ks_prob_b,var_prob_b,var_inter_sigma_u
PL_77_obs_0,PL_77,9,B0355+54, 2CXO J035853.7+541313,59.72388,54.22049000000001,26624.9,19.44,1522.64,PL,0.2199,0.2936,0.0737,0.5,3.0,14.338471259868017,13.659754238432068,14.713992877920525,4.349e-07,8.261e-07,4.0,5.0,0.0,14.769761332673788,0.002597,1.332e-05,0.21600000000000005,0.095,6.9990640199999974e-06
PL_77_obs_1,PL_77,9,B0355+54, 2CXO J035853.7+541313,59.72388,54.22049000000001,21777.5,19.44,1522.64,PL,0.2423,0.5122,0.2886,0.5,3.0,14.580374639112257,13.95663772197887,15.148191485771763,4.349e-07,8.261e-07,4.0,5.0,0.0,14.940708095816362,0.001586,0.0005581000000000001,0.958,0.8,1.4455330000000002e-06
PL_77_obs_2,PL_77,9,B0355+54, 2CXO J035853.7+541313,59.72388,54.22049000000001,20211.2,19.44,1522.64,PL,0.1224,0.4884,0.3798,0.5,3.0,14.482672117705626,13.988006885340743,15.404393565134397,4.349e-07,8.261e-07,4.0,5.0,0.0,14.8230423405843,0.001808,0.0001821,0.103,0.381,1.3392689999999994e-06
PL_77_obs_3,PL_77,9,B0355+54, 2CXO J035853.7+541313,59.72388,54.22049000000001,67191.5,19.44,1522.64,PL,0.3548,0.35100000000000003,-0.01,0.5,3.0,14.563996464330103,13.773400094792642,14.856985199745905,4.349e-07,8.261e-07,4.0,5.0,0.0,14.654124771488933,0.001911,1.004e-05,0.146,0.115,2.4088525600000006e-06
PL_77_obs_4,PL_77,9,B0355+54, 2CXO J035853.7+541313,59.72388,54.22049000000001,62235.0,19.44,1522.64,PL,0.1499,0.331,0.1874,0.5,3.0,14.351639989019068,13.762205006726077,14.783834097714006,4.349e-07,8.261e-07,4.0,5.0,0.0,14.579028395145057,0.002173,8.173e-06,0.086,0.104,2.567869860000001e-06
PL_77_obs_5,PL_77,9,B0355+54, 2CXO J035853.7+541313,59.72388,54.22049000000001,66250.3,19.44,1522.64,PL,0.2936,0.1674,-0.1337,0.5,3.0,14.507658746745026,13.775466937393915,14.593630164530733,4.349e-07,8.261e-07,4.0,5.0,0.0,14.585439270600077,0.002822,1.348e-05,0.019,0.101,2.54227126e-06
PL_77_obs_6,PL_77,9,B0355+54, 2CXO J035853.7+541313,59.72388,54.22049000000001,65896.4,19.44,1522.64,PL,0.1611,0.3523,0.1986,0.5,3.0,14.527536103393011,13.91080163319485,14.99439055463972,4.349e-07,8.261e-07,4.0,5.0,0.0,14.196542884351587,0.001682,3.119e-05,0.203,0.179,1.9597793999999992e-06
PL_77_obs_7,PL_77,9,B0355+54, 2CXO J035853.7+541313,59.72388,54.22049000000001,68177.8,19.44,1522.64,PL,0.4272,0.1537,-0.2986,0.5,3.0,14.770830297460899,13.897566294318663,14.698752911363789,4.349e-07,8.261e-07,4.0,5.0,0.0,14.056208801070698,0.001828,8.443e-06,0.13699999999999998,0.08900000000000001,3.032153060000002e-06
PL_77_obs_8,PL_77,9,B0355+54, 2CXO J035853.7+541313,59.72388,54.22049000000001,63001.1,19.44,1522.64,PL,0.1124,0.1874,0.0737,0.5,3.0,14.412176828681044,13.809668301829708,14.81502480930174,4.349e-07,8.261e-07,4.0,5.0,0.0,14.167938385409274,0.001942,0.0001813,0.152,0.348,2.913491500000002e-06
PL_78_obs_0,PL_78,3,J1509-5850, 2CXO J150927.1-585056,227.3632,-58.84896,93870.5,14.23,767.5616,PL,0.5297,0.7433,0.3398,0.743,5.0,14.681102285372512,13.681519274825483,15.61278819968627,1.175e-07,4.869e-08,0.0,0.0,5.0,13.764417770526425,0.001556,9.356e-06,0.03,0.113,3.0331718199999992e-05
PL_78_obs_1,PL_78,3,J1509-5850, 2CXO J150927.1-585056,227.3632,-58.84896,39617.4,14.23,767.5616,PL,0.5222,0.7883,0.451,0.743,5.0,14.645315446045272,13.61798295742513,15.395881993807965,1.175e-07,4.869e-08,0.0,0.0,5.0,13.443453907510268,0.002292,0.0006048,0.416,0.856,4.7856491200000044e-05
PL_78_obs_2,PL_78,3,J1509-5850, 2CXO J150927.1-585056,227.3632,-58.84896,93868.3,14.23,767.5616,PL,0.5397,0.7608,0.366,0.743,5.0,14.592439150513638,13.59465363982429,15.365019199948772,1.175e-07,4.869e-08,0.0,0.0,5.0,13.986226068000642,0.001905,2.219e-05,0.675,0.121,3.524112719999999e-05
PL_80_obs_0,PL_80,9,J0359+5414, 2CXO J035926.0+541455,59.85863000000001,54.24874000000001,26628.1,9.65,246.5045,PL,-0.0949,-0.4635,-0.3723,0.409,3.0,15.159580222263514,14.799696817018415,15.07099001450604,4.434e-07,5.457e-07,3.0,0.0,5.0,15.052112922460967,0.0005562000000000001,3.576e-05,0.246,0.39,7.829960999999995e-07
PL_80_obs_1,PL_80,9,J0359+5414, 2CXO J035926.0+541455,59.85863000000001,54.24874000000001,21777.5,9.65,246.5045,PL,-0.9994,-0.9994,-0.2498,0.409,3.0,15.208730519089732,15.857717390004114,15.470826396738277,4.434e-07,5.457e-07,3.0,0.0,5.0,15.048314287393621,0.0004079,0.0001913,0.925,0.7979999999999999,6.394141000000003e-07
PL_80_obs_2,PL_80,9,J0359+5414, 2CXO J035926.0+541455,59.85863000000001,54.24874000000001,20211.2,9.65,246.5045,PL,0.0037,-0.4585,-0.4497,0.409,3.0,15.178093622647676,14.922632094715844,15.02525809549905,4.434e-07,5.457e-07,3.0,0.0,5.0,15.03341499350006,0.0006839,5.622e-05,0.519,0.436,7.803220999999995e-07
PL_80_obs_3,PL_80,9,J0359+5414, 2CXO J035926.0+541455,59.85863000000001,54.24874000000001,67191.5,9.65,246.5045,PL,0.2923,0.3073,-0.005,0.409,3.0,14.95116991347165,14.197499932235607,15.264898262459234,4.434e-07,5.457e-07,3.0,0.0,5.0,14.94571167950267,0.0008372999999999999,0.0001193,0.387,0.687,7.421522999999995e-07
PL_80_obs_4,PL_80,9,J0359+5414, 2CXO J035926.0+541455,59.85863000000001,54.24874000000001,62235.0,9.65,246.5045,PL,-0.02,-0.411,-0.3885,0.409,3.0,14.919373513078195,14.714892970433189,13.839231438138873,4.434e-07,5.457e-07,3.0,0.0,5.0,13.385841290490825,0.0007965,0.00010490000000000003,0.134,0.65,9.048065000000003e-06
PL_80_obs_5,PL_80,9,J0359+5414, 2CXO J035926.0+541455,59.85863000000001,54.24874000000001,66237.9,9.65,246.5045,PL,-0.2523,-0.456,-0.2111,0.409,3.0,15.020451625295905,14.892111974817201,15.036403332276278,4.434e-07,5.457e-07,3.0,0.0,5.0,15.176325907193398,0.0005637000000000001,7.463e-05,0.522,0.6940000000000001,7.731750999999994e-07
PL_80_obs_6,PL_80,9,J0359+5414, 2CXO J035926.0+541455,59.85863000000001,54.24874000000001,65896.4,9.65,246.5045,PL,-0.5646,-0.4572,0.1611,0.409,3.0,14.730487055782083,15.514988785421426,15.90239567112559,4.434e-07,5.457e-07,3.0,0.0,5.0,14.89602461783056,0.0006811,2.385e-05,0.196,0.195,1.2387572999999998e-06
PL_80_obs_7,PL_80,9,J0359+5414, 2CXO J035926.0+541455,59.85863000000001,54.24874000000001,68177.8,9.65,246.5045,PL,0.1911,-0.3023,-0.4585,0.409,3.0,15.375614758579735,14.661145253747677,15.428407616638692,4.434e-07,5.457e-07,3.0,0.0,5.0,15.046352802258758,0.0005111000000000001,6.121e-05,0.574,0.674,7.198680999999999e-07
PL_80_obs_8,PL_80,9,J0359+5414, 2CXO J035926.0+541455,59.85863000000001,54.24874000000001,63001.1,9.65,246.5045,PL,-0.4272,-0.7233,-0.3898,0.409,3.0,15.034516075754862,14.988006885340743,14.87889852453989,4.434e-07,5.457e-07,3.0,0.0,5.0,15.06924350419368,0.0005962999999999999,8.026e-05,0.728,0.359,7.752590999999995e-07
PL_81_obs_0,PL_81,3,B2224+65, 2CXO J222552.8+653536,336.4703,65.59346,49410.9,11.45,686.3915,PL,0.075,-0.2061,-0.2748,1.0,8.0,14.700057099977233,14.300856312605516,14.61546738450575,1.0140000000000002e-06,6.367e-07,8.0,8.0,8.0,14.507871688668235,0.001598,0.0005707,0.996,0.976,3.3942220000000066e-06
PL_81_obs_1,PL_81,3,B2224+65, 2CXO J222552.8+653536,336.4703,65.59346,34609.0,11.45,686.3915,PL,0.02,0.0,-0.0212,1.0,8.0,14.5508302678348,14.233512793760307,14.771343041891065,1.0140000000000002e-06,6.367e-07,8.0,8.0,8.0,14.940058111938045,0.001766,2.261e-05,0.5820000000000001,0.128,3.3227780000000068e-06
PL_81_obs_2,PL_81,3,B2224+65, 2CXO J222552.8+653536,336.4703,65.59346,14870.9,11.45,686.3915,PL,0.1537,-0.0687,-0.2161,1.0,8.0,14.890084136976206,14.37685412536206,14.96018944585165,1.0140000000000002e-06,6.367e-07,8.0,8.0,8.0,14.453486105802522,0.001327,0.0002366,0.277,0.403,3.3878900000000067e-06
PL_83_obs_0,PL_83,6,J2032+4127, 2CXO J203213.1+412724,308.0547,41.45674,27885.5,8.11,293.4485,PL,0.1674,0.1624,-0.0137,0.995,6.0,14.239502124773473,13.357139947415508,14.911863911299449,8.659999999999998e-07,4.404e-07,5.0,5.0,7.0,14.748949649327791,0.006409999999999999,0.0001519,0.988,0.175,1.8732660000000013e-06
