obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_lolim_b,photflux_aper_b,photflux_aper_hilim_b,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_lolim_m,flux_aper_b,flux_aper_hilim_b,flux_aper_lolim_b,photflux_aper_lolim_s,photflux_aper_s,photflux_aper_hilim_s,hard_hm,hard_hs,hard_ms,flux_aper_lolim_m,flux_aper_m,flux_aper_hilim_m,flux_aper_lolim_s,flux_aper_s,flux_aper_hilim_s,flux_aper_hilim_h,flux_aper_lolim_h,flux_aper_h,photflux_aper_lolim_u,photflux_aper_hilim_u,photflux_aper_u,var_inter_sigma_b,var_inter_prob_b,var_inter_index_b,var_inter_index_m,var_inter_sigma_m,var_inter_prob_m,var_inter_sigma_s,var_inter_prob_s,var_inter_index_s,var_inter_index_h,var_inter_sigma_h,var_inter_prob_h,flux_aper_lolim_u,flux_aper_u,flux_aper_hilim_u,ks_prob_b,kp_prob_b,var_sigma_b,var_prob_b,var_max_b,var_min_b,var_mean_b
CV_127_obs_6,CV_127,7,AT2018klr, 2CXO J004244.8+411728,10.68688,41.29112,4106.7,2.7,32.14374,CV,6.5838627880539935,6.13375225978256,5.881074247174223,6.33209785657672,6.850622191833996,6.087246696328677,6.419710771345117,6.158327749926365,7.3023348524040435,14.375531075482307,14.102262974654572,14.858826655507302,6.646364193825093,6.156519464564529,5.901010360598823,0.9994,-0.9994,-0.9994,15.89301505736368,14.982706738994619,14.748361779551788,15.471739907664519,15.00302811301233,14.767003889607846,14.156829535480103,15.01961459273712,14.440341838707319,5.025882643124413,4.299036821840451,4.54464603991355,1.3954006999999998e-05,0.8762999999999994,5.0,4.0,2.0760479999999993e-06,0.6280199999999998,3.6115183999999995e-06,0.8538900000000003,5.0,5.0,8.185897000000005e-07,0.7949100000000001,14.164084205169088,13.669345738716324,13.53091470087688,0.5717500000000002,0.6190499999999998,0.000704137,0.5364800000000003,0.006572110000000001,0.0025878000000000008,0.00325577
CV_128_obs_0,CV_128,7,N4486_2011-01c, 2CXO J123043.3+122247,187.6808,12.37995,37676.8,6.09,91.38396999999999,CV,6.590066876668706,6.125170422120278,5.905878404159439,7.071772326597561,8.099318093118866,6.80271944187438,6.915066425063284,6.59176003468815,8.08537199809337,15.266241164412797,14.945770090136604,15.975157345806377,6.843148098929989,6.3890206200770026,6.17901082358395,-0.9994,-0.9994,-0.5359,16.62708708459007,15.492954127572673,15.180587688790675,15.653647025549361,15.199489123105632,14.989700043360187,15.118444170206688,16.324968620771273,15.356136609233891,6.80271944187438,5.973466735476704,6.214456630043407,2.021e-06,1.0,7.0,0.0,5.913000000000001e-07,0.185,9.852489999999996e-07,0.8191199999999994,5.0,4.0,4.2390000000000003e-07,0.7040000000000001,16.45760748159192,15.656591406196142,15.355561410532161,0.38860999999999984,0.48324999999999996,0.0008426239999999998,0.5410500000000004,0.007141539999999998,0.0028513299999999996,0.0036711800000000013
CV_128_obs_1,CV_128,7,N4486_2011-01c, 2CXO J123043.3+122247,187.6808,12.37995,98663.9,6.09,91.38396999999999,CV,7.715674660506453,6.8488236071072,6.532836034030909,7.409615412522408,8.294258415341933,7.085551059301446,7.200534993424426,6.962972120244225,7.394330986056707,15.75244934693908,15.503070351926786,16.480942928369927,8.017087363251056,7.0761003543019445,6.804653941651581,-0.4809,-0.9994,-0.9969,15.977947289983017,15.978489361487458,15.731422028117157,16.831037136407137,15.798329820353418,15.46737299877111,15.43842163169904,16.615366765579278,15.670924449128274,7.205651396103917,6.1722431370213835,6.427476902150363,2.021e-06,1.0,7.0,0.0,5.913000000000001e-07,0.185,8.872381999999998e-07,0.8116199999999993,5.04,4.0,4.2390000000000003e-07,0.7040000000000001,16.903373028487735,16.032029257895314,15.784098186795969,0.4293399999999999,0.4735600000000001,0.0008706839999999997,0.5333000000000003,0.00721369,0.002568424,0.0033257599999999997
CV_128_obs_2,CV_128,7,N4486_2011-01c, 2CXO J123043.3+122247,187.6808,12.37995,20561.9,6.09,91.38396999999999,CV,6.975341325596684,6.502212314202996,6.246110668540166,6.615109203469446,7.557523348255577,6.3263341237542985,6.86189899216319,6.6343248595440825,7.327704738152944,15.097534883023402,14.845271792559844,15.577152505044223,6.963303940055084,6.645185645104132,6.4535807331648085,0.9994,0.341,-0.9994,15.958786769692862,15.553725028610366,15.343135508451082,15.74997914351391,15.516245556721422,15.35008128126458,14.654430243943608,15.953719212873086,14.93298506718292,7.0291196840208805,5.911509529817604,6.18237703597085,2.021e-06,1.0,7.0,0.0,5.913000000000001e-07,0.185,8.842385e-07,0.8145399999999994,5.0,4.0,4.2390000000000003e-07,0.7040000000000001,16.579219380451434,15.300509154727795,15.011039929609662,0.4650799999999997,0.5520599999999999,0.0008510929999999996,0.5683500000000002,0.007203620000000002,0.002878859999999999,0.0036837300000000005
CV_128_obs_3,CV_128,7,N4486_2011-01c, 2CXO J123043.3+122247,187.6808,12.37995,4492.2,6.09,91.38396999999999,CV,6.778966288470385,5.987859207650627,5.722620025332746,6.433292772015827,7.124179841362508,6.163739197141513,6.151564544668529,5.850472986245652,7.5014908143098715,15.017259591415241,14.751781438809925,15.938129541936274,6.664234559632487,6.250530590913289,6.001479117164962,-0.9994,-0.9994,0.6908,16.14889436186811,14.897909474488163,14.596707854841746,15.393090858026541,15.041768655177636,14.818442226137213,14.057958517964792,15.568214030431959,14.306346452833049,6.169365836327229,5.552997101533838,5.793464906239145,2.021e-06,1.0,7.0,0.0,5.913000000000001e-07,0.185,1.016145e-06,0.8326399999999992,5.0,4.0,4.2390000000000003e-07,0.7040000000000001,15.04975372325592,14.397396043146541,14.144509417335883,0.6355800000000003,0.6703199999999997,0.00088943,0.5575400000000003,0.0072575800000000005,0.00330774,0.004366350000000002
CV_128_obs_4,CV_128,7,N4486_2011-01c, 2CXO J123043.3+122247,187.6808,12.37995,4698.7,6.09,91.38396999999999,CV,5.791021482723746,5.408712734941501,5.215311400498579,5.796151536253765,6.398374520446056,5.553152289844191,6.035929029442045,5.753501419204199,7.115148017254002,13.905878404159438,13.746904414150968,14.17750501472125,6.766577791683319,6.175098031690143,5.914709421769935,0.2886,0.9994,0.6546,15.498666821354433,14.614036429399302,14.342275045794892,15.581883002329965,14.96054892147929,14.686343653381968,13.793713955587567,14.638649975647734,14.036637233896263,6.278271801427212,4.96657624451305,5.236871623200863,2.021e-06,1.0,7.0,0.0,5.913000000000001e-07,0.185,8.484729999999999e-07,0.8489999999999992,5.0,4.0,4.2390000000000003e-07,0.7040000000000001,15.780859025791951,14.813608784304506,14.512720183556931,0.6430199999999998,0.67119,0.0007114369999999998,0.5476100000000003,0.0068039500000000004,0.0037437200000000003,0.00471715
CV_128_obs_5,CV_128,7,N4486_2011-01c, 2CXO J123043.3+122247,187.6808,12.37995,4699.1,6.09,91.38396999999999,CV,6.193277496923819,5.52432881167557,5.272458742971444,5.674279141980588,6.151318345976049,5.452348341640031,6.181748215888494,5.8996294548824375,7.300210257412318,14.027241916096461,13.83743559347698,14.395234115296113,6.633823468937885,6.046809727411005,5.782516055786093,0.9994,0.9994,-0.7358,15.882593853365707,14.83115712165618,14.68782264356022,15.481538694747606,14.879599091772311,14.63940658643475,13.82915179635669,14.52797530229972,14.050902874887084,6.287611775317473,5.089002283689357,5.335754487422587,2.021e-06,1.0,7.0,0.0,5.913000000000001e-07,0.185,8.665989999999996e-07,0.842679999999999,5.0,4.0,4.2390000000000003e-07,0.7040000000000001,15.99921129166288,15.273634795105538,14.980053318321158,0.44941999999999993,0.5925800000000001,0.0007294429999999999,0.5821800000000003,0.006672440000000003,0.003130040000000001,0.0039632400000000016
CV_128_obs_6,CV_128,7,N4486_2011-01c, 2CXO J123043.3+122247,187.6808,12.37995,156193.0,6.09,91.38396999999999,CV,5.732359017654084,5.651889931519762,5.587707490676953,6.232547281902227,6.355266072552808,6.136974703770529,6.245651664288981,6.15751557558843,6.363411816270157,14.194907121657327,14.138286412428565,14.264480941184829,6.639406586434751,6.369165482171949,6.211054272976252,0.0212,0.1149,0.0937,14.95663772197887,14.838931614528825,14.750801642608888,15.232695682546726,15.017095882207371,14.873543886568196,14.292855811657555,14.502379350218712,14.381847266621481,7.126970187938956,5.503762454833264,5.784626847216578,2.021e-06,1.0,7.0,0.0,5.913000000000001e-07,0.185,8.832090999999997e-07,0.8670499999999995,5.0,4.0,4.2390000000000003e-07,0.7040000000000001,16.43711261870612,15.158327749926366,14.869023308394382,0.117,0.066,9.161e-05,0.381,0.0017350000000000002,0.001011,0.001049
CV_129_obs_0,CV_129,5,CGKB_A, 2CXO J174038.9-533951,265.1621,-53.66424,28100.4,29.29,5341.743,CV,5.847711655616943,5.711080394338273,5.612788199686269,6.027889771597169,6.221704008911166,5.894489815230026,6.419987887470576,6.261060968796521,6.6916490514132745,14.02332911937519,13.925183559354826,14.159956669396506,7.136260892654783,6.659159450187668,6.437350327788083,0.4585,0.6371,0.2399,15.29895036927086,15.02714944415277,14.868381335650875,15.933674074637961,15.4565528199183,15.234704070301943,13.9381706927053,14.255394124585761,14.06833876031552,7.390077468405881,6.515842575634619,6.684578890241458,1.141e-05,1.0,8.0,8.0,2.784e-06,1.0,1.86e-06,1.0,8.0,8.0,3.624e-06,1.0,15.152858877954095,14.378074349264022,14.120697271349682,0.91,0.7490000000000001,0.0001036,0.36,0.0009637,0.0005398,0.0006684999999999999
CV_129_obs_1,CV_129,5,CGKB_A, 2CXO J174038.9-533951,265.1621,-53.66424,26659.7,29.29,5341.743,CV,5.587875593826682,5.487048920027509,5.405276053590253,5.681727919788373,5.804377056413063,5.586197483230649,6.297741836837906,6.1516261161553984,6.519561852822183,13.741602195904491,13.658961368322476,13.844056982028164,8.119685560986557,7.052913186824683,6.76421912967244,0.6109,0.9994,0.9994,15.083125121461316,14.867420152340262,14.723998010037949,17.08578870110529,15.921905849593589,15.594312213327223,13.675923420260514,13.905878404159438,13.772884917410876,7.252845647893288,6.217814133507984,6.5083312328513685,1.141e-05,1.0,8.0,8.0,2.784e-06,1.0,1.86e-06,1.0,8.0,8.0,3.624e-06,1.0,16.809434966846943,15.791085340700812,15.505288974794738,0.399,0.547,0.0001395,0.5539999999999999,0.002114,0.001051,0.001111
CV_129_obs_2,CV_129,5,CGKB_A, 2CXO J174038.9-533951,265.1621,-53.66424,48343.2,29.29,5341.743,CV,4.810229043653126,4.773915884024176,4.740406121114051,5.206279443186476,5.256725476488066,5.161087972594001,5.5204246898250116,5.465466243994884,5.583193128177055,13.242679903453327,13.209152096034568,13.279014255846262,5.765229704839084,5.665948559653108,5.5892227666227905,0.3485,0.4847,0.1611,14.142667503568731,14.079824477989977,14.02489001031384,14.368657713516066,14.269298455718154,14.188492020054673,13.30900696790013,13.408045444953265,13.354283060630395,6.967423079102532,5.889747082646597,6.154396203140111,1.141e-05,1.0,8.0,8.0,2.784e-06,1.0,1.86e-06,1.0,8.0,8.0,3.624e-06,1.0,15.055126445031068,14.356321994514422,14.112749830948447,0.348,0.5760000000000001,5.667e-06,0.055,0.004237,0.004220000000000001,0.004227000000000001
CV_129_obs_3,CV_129,5,CGKB_A, 2CXO J174038.9-533951,265.1621,-53.66424,147712.0,29.29,5341.743,CV,4.938924676370208,4.917573699139228,4.897909474488164,5.378615971518347,5.411392195257314,5.348043930466925,5.520856752021387,5.493089274448482,5.552841968657781,13.387322081683498,13.36794783329419,13.409046764812015,5.7599502278873524,5.712646227285253,5.6701954778359305,0.1636,0.366,0.2149,14.138704606473304,14.107237765384184,14.079667928460411,14.562725202589876,14.512296136836273,14.469800301796917,13.475863623407431,13.543178651978401,13.508218224415835,6.357337668557965,5.921543181946707,6.086981316252039,1.141e-05,1.0,8.0,8.0,2.784e-06,1.0,1.86e-06,1.0,8.0,8.0,3.624e-06,1.0,15.825068406471557,15.472756883611911,15.280917426098513,0.872,0.999,0.0005849000000000001,0.885,0.004434,0.003183,0.004011
CV_129_obs_4,CV_129,5,CGKB_A, 2CXO J174038.9-533951,265.1621,-53.66424,88898.3,29.29,5341.743,CV,4.874518734299406,4.848630149752539,4.82564940252062,5.319392571008212,5.359121221298381,5.282995592959453,5.443697499232712,5.409381051793422,5.4809599613516555,13.34428545038129,13.320935681878687,13.36896230346326,5.691222226335279,5.633017024022149,5.584692707774432,0.1424,0.3473,0.2136,14.085498177172687,14.048225491918275,14.013945219230305,14.500587874327724,14.442492798094342,14.394048842435128,13.43486084803021,13.51427857351842,13.472756883611911,6.64994590642097,5.950781977329818,6.172760000494354,1.141e-05,1.0,8.0,8.0,2.784e-06,1.0,1.86e-06,1.0,8.0,8.0,3.624e-06,1.0,14.99956592252068,14.522589312092748,14.300682698978617,0.565,0.591,6.225e-06,0.063,0.004726,0.004714,0.00472
CV_130_obs_0,CV_130,2,CX32, 2CXO J191054.7-595913,287.7282,-59.98719000000001,37966.9,4.42,114.5767,CV,5.809388202186395,5.698102282804792,5.609418121449565,6.202732459169283,6.412401270278755,6.061880730805688,6.4238891058791605,6.2777775360302694,6.659159450187668,14.275560276602926,14.184023999028014,14.391687957302672,6.454940415305997,6.252277537964492,6.119987161633229,0.2711,0.0775,-0.1974,15.241921177750388,15.02525809549905,14.881404634776239,15.225410049735206,15.022733787572708,14.890421453095612,14.284247283177141,14.648010544564368,14.429106963781608,7.2971356371877985,5.987162775294828,6.288192770958809,3.527000000000001e-07,0.5479999999999999,3.0,3.0,7.301e-08,0.494,3.843e-09,0.016,0.0,0.0,1.973e-08,0.056,16.83424204416883,15.861171576713854,15.62015082123717,0.079,0.271,8.955e-05,0.5479999999999999,0.001163,0.0006291000000000001,0.0006762000000000001
CV_130_obs_1,CV_130,2,CX32, 2CXO J191054.7-595913,287.7282,-59.98719000000001,29467.0,4.42,114.5767,CV,5.710634048479968,5.594141600682363,5.507518989871123,6.182236367719632,6.420445039599001,6.036117771071223,6.270187492839065,6.134303940083929,6.469032318428085,14.248489949729958,14.161843815247853,14.364114314718726,6.455559862682308,6.248489949729959,6.11429961987167,0.1024,0.0949,-0.0087,15.04029097575357,14.841336019186011,14.705533773838408,15.261933285222531,15.054777683364659,14.920456992597094,14.313006433735321,14.704652851666383,14.46167766676856,7.089749227699852,6.175939282581347,6.427012291801795,3.527000000000001e-07,0.5479999999999999,3.0,3.0,7.301e-08,0.494,3.843e-09,0.016,0.0,0.0,1.973e-08,0.056,16.034516075754862,15.274823698580862,15.023787622882622,0.425,0.331,4.25e-05,0.259,0.001075,0.0008517999999999999,0.0008711999999999999
CV_131_obs_0,CV_131,7,N4486_2012-03d, 2CXO J123050.8+122210,187.7117,12.36963,4851.8,6.33,105.1596,CV,6.877917846385291,5.9669260400671975,5.687188173787912,6.430999230406408,7.2408805789154265,6.167171870460646,6.035457533920863,5.753747687700678,7.0961506619033194,14.848710100071603,14.620513186282727,15.554759050966384,6.746540873277745,6.263334278250635,6.017955020928509,-0.9994,-0.9994,0.9919,15.601278541911997,14.718285029972705,14.42724453484578,15.541085896588228,15.024717049440476,14.777283528852417,13.892099227889712,15.508655777224826,14.16396094583384,6.195138159061617,5.602407565961883,5.8293196449833635,3.8080000000000002e-06,1.0,8.0,0.0,5.657999999999999e-07,0.059000000000000004,5.851e-07,1.0,7.0,7.0,1.48e-06,1.0,15.060466144404426,14.397373745213779,14.143898168350452,0.6634200000000002,0.6428299999999999,0.00084808,0.5647000000000002,0.007208320000000002,0.0034154600000000012,0.004449500000000001
CV_131_obs_1,CV_131,7,N4486_2012-03d, 2CXO J123050.8+122210,187.7117,12.36963,126757.0,6.33,105.1596,CV,5.547906750982269,5.4706980022120195,5.408712734941501,5.872247484167027,5.95506845385084,5.806318970458719,6.220836576235501,6.110306208555815,6.369470428573176,13.93666664104825,13.886725307535649,13.996539467890493,6.673459331483438,6.31596296251348,6.129420539447315,0.3785,0.426,0.0262,14.927382523454764,14.783570169123749,14.680685695909489,15.624519285381428,15.159642940796644,14.940436582098732,13.95233580539844,14.100234198055613,14.019905686214706,6.35165220345186,5.587875593826682,5.844526056208412,3.8080000000000002e-06,1.0,8.0,0.0,5.657999999999999e-07,0.059000000000000004,5.851e-07,1.0,7.0,7.0,1.48e-06,1.0,14.929311057906148,14.397481656946312,14.144253904086487,0.959,0.778,4.396e-05,0.189,0.001855,0.001752,0.001814
