,SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_
13,TC0014,CXOGLB J002405.3-720511,[GHE2001] W97 ,6.022296,-72.08644699999999,MSP          ,?                 ,2CXO J002405.3-720511,6.022355,-72.08645200000001,0.001
14,TC0015,CXOGLB J002405.6-720504,[GHE2001] W31 ,6.0236540000000005,-72.084556,MSP          ,?                 ,2CXO J002405.6-720504,6.023683999999999,-72.08450699999999,0.003
15,TC0016,CXOGLB J002406.0-720449,[GHE2001] W29 ,6.025238,-72.080286,MSP          ,                  ,2CXO J002406.0-720449,6.025354,-72.08031899999999,0.003
16,TC0017,CXOGLB J002406.0-720501,[GHE2001] W28 ,6.0251,-72.083792,MSP          ,?                 ,2CXO J002406.0-720501,6.02525,-72.083766,0.003
17,TC0018,CXOGLB J002406.7-720406,[GHE2001] W74 ,6.027946,-72.068578,MSP          ,                  ,2CXO J002406.7-720406,6.027986,-72.068586,0.001
18,TC0019,CXOGLB J002407.3-720519,[GHE2001] W96 ,6.0304459999999995,-72.088722,MSP          ,?                 ,2CXO J002407.3-720519,6.030437,-72.08878,0.004
19,TC0020,CXOGLB J002407.6-720450,[GHE2001] W198,6.031583,-72.080656,MSP          ,                  ,2CXO J002407.5-720450,6.0315900000000005,-72.080686,0.002
20,TC0021,CXOGLB J002407.9-720439,[GHE2001] W19 ,6.033096,-72.07768100000001,MSP          ,                  ,2CXO J002407.9-720439,6.033218,-72.07772299999999,0.003
21,TC0022,CXOGLB J002408.5-720438,[GHE2001] W105,6.035446,-72.07743599999999,MSP          ,                  ,2CXO J002408.5-720438,6.03566,-72.077473,0.005
22,TC0023,CXOGLB J002409.1-720428,[GHE2001] W13 ,6.038204,-72.07467199999999,MSP          ,                  ,2CXO J002409.2-720428,6.038371,-72.074688,0.003
23,TC0024,CXOGLB J002409.8-720359,[GHE2001] W11 ,6.040983,-72.066581,MSP          ,                  ,2CXO J002409.8-720359,6.041056,-72.066585,0.001
24,TC0025,CXOGLB J002410.8-720415,[GHE2001] W95 ,6.045125,-72.070992,MSP          ,?                 ,2CXO J002410.7-720415,6.044976999999999,-72.07105200000001,0.005
25,TC0026,CXOGLB J002411.1-720520,[GHE2001] W7  ,6.046271,-72.088944,MSP          ,                  ,2CXO J002411.1-720520,6.046403,-72.088955,0.003
26,TC0027,CXOGLB J002411.6-720503,[GHE2001] W6  ,6.048533,-72.084378,MSP          ,?                 ,2CXO J002411.6-720503,6.0485690000000005,-72.084413,0.002
27,TC0028,CXOGLB J002412.6-720440,[GHE2001] W5  ,6.052646,-72.078039,MSP          ,?                 ,2CXO J002412.6-720441,6.052663,-72.078073,0.002
28,TC0029,CXOGLB J002413.8-720443,[GHE2001] W67 ,6.057737,-72.078839,MSP          ,                  ,2CXO J002413.9-720443,6.057943,-72.078849,0.004
29,TC0030,CXOGLB J002416.4-720425,[GHE2001] W104,6.068675,-72.07365300000001,MSP          ,                  ,2CXO J002416.5-720425,6.068847,-72.073677,0.003
30,TC0031,CXOGLB J002417.5-720357,[GHE2001] W91 ,6.07305,-72.066017,MSP          ,?                 ,2CXO J002417.5-720357,6.073174,-72.06604899999999,0.003
31,TC0032,CXOGLB J002359.3-720438,[GHE2001] W85 ,5.997488,-72.077386,CV           ,                  ,2CXO J002359.4-720438,5.997523,-72.077393,0.001
32,TC0033,CXOGLB J002401.4-720441,[GHE2001] W82 ,6.006012,-72.078264,CV           ,                  ,2CXO J002401.4-720441,6.005987999999999,-72.078311,0.003
33,TC0034,CXOGLB J002402.1-720450,[GHE2001] W55 ,6.009004,-72.080725,CV           ,?                 ,2CXO J002402.1-720450,6.008913,-72.080727,0.002
34,TC0035,CXOGLB J002402.1-720542,[GHE2001] W56 ,6.008829,-72.09500799999999,CV           ,                  ,2CXO J002402.1-720542,6.008951000000001,-72.095027,0.003
35,TC0036,CXOGLB J002402.5-720511,[GHE2001] W53 ,6.010542,-72.086458,CV           ,                  ,2CXO J002402.5-720511,6.010643,-72.086484,0.002
36,TC0037,CXOGLB J002402.8-720449,[GHE2001] W51 ,6.011767,-72.080281,CV           ,                  ,2CXO J002402.8-720449,6.011798000000001,-72.080332,0.003
37,TC0038,CXOGLB J002403.1-720447,[GHE2001] W49 ,6.012975,-72.079817,CV           ,                  ,2CXO J002403.1-720447,6.013008999999999,-72.07985,0.002
38,TC0039,CXOGLB J002403.7-720423,[GHE2001] W45 ,6.015675,-72.07305,CV           ,                  ,2CXO J002403.7-720423,6.01575,-72.073064,0.002
39,TC0040,CXOGLB J002403.6-720459,[GHE2001] W44 ,6.015346,-72.083072,CV           ,                  ,2CXO J002403.7-720459,6.015486,-72.083083,0.003
40,TC0041,CXOGLB J002403.8-720621,[GHE2001] W122,6.016025,-72.10601700000001,CV           ,                  ,2CXO J002403.8-720621,6.016136,-72.106038,0.002
41,TC0042,CXOGLB J002404.2-720458,[GHE2001] W42 ,6.017704,-72.08278299999999,CV           ,                  ,2CXO J002404.2-720457,6.017843,-72.082764,0.003
42,TC0043,CXOGLB J002404.9-720455,[GHE2001] W36 ,6.020471,-72.082044,CV           ,                  ,2CXO J002404.9-720455,6.020589,-72.082103,0.004
43,TC0044,CXOGLB J002404.9-720506,[GHE2001] W35 ,6.020883,-72.08505799999999,CV           ,?                 ,2CXO J002405.0-720506,6.0210040000000005,-72.085077,0.002
44,TC0045,CXOGLB J002405.3-720421,[GHE2001] W33 ,6.02235,-72.072647,CV           ,                  ,2CXO J002405.3-720421,6.02249,-72.07267900000001,0.003
45,TC0046,CXOGLB J002405.6-720449,[GHE2001] W32 ,6.023521,-72.080333,CV           ,?                 ,2CXO J002405.6-720449,6.023632,-72.08035600000001,0.002
46,TC0047,CXOGLB J002406.0-720456,[GHE2001] W30 ,6.024962,-72.082272,CV           ,                  ,2CXO J002406.0-720456,6.025117,-72.08228299999999,0.003
47,TC0048,CXOGLB J002406.3-720443,[GHE2001] W27 ,6.0265580000000005,-72.078611,CV           ,                  ,2CXO J002406.4-720443,6.026676,-72.078634,0.003
48,TC0049,CXOGLB J002407.1-720545,[GHE2001] W25 ,6.029738,-72.096053,CV           ,                  ,2CXO J002407.1-720545,6.029837000000001,-72.096075,0.002
49,TC0050,CXOGLB J002407.7-720527,[GHE2001] W21 ,6.0323709999999995,-72.0909,CV           ,                  ,2CXO J002407.7-720527,6.032464,-72.090925,0.002
50,TC0051,CXOGLB J002407.9-720454,[GHE2001] W20 ,6.032975,-72.08188299999999,CV           ,?                 ,2CXO J002407.9-720454,6.0331779999999995,-72.081913,0.004
51,TC0052,CXOGLB J002408.2-720435,[GHE2001] W16 ,6.034517,-72.076608,CV           ,?                 ,2CXO J002408.3-720435,6.034675,-72.07661800000001,0.003
52,TC0053,CXOGLB J002408.4-720500,[GHE2001] W15 ,6.035312,-72.083417,CV           ,                  ,2CXO J002408.4-720500,6.035411,-72.083435,0.002
53,TC0054,CXOGLB J002409.2-720543,[GHE2001] W140,6.038412,-72.095519,CV           ,?                 ,2CXO J002409.2-720543,6.038483,-72.09554399999999,0.002
54,TC0055,CXOGLB J002410.0-720441,[GHE2001] W10 ,6.041879,-72.078128,CV           ,?                 ,2CXO J002410.0-720441,6.042059,-72.078131,0.003
55,TC0056,CXOGLB J002410.6-720516,[GHE2001] W71 ,6.04435,-72.087906,CV           ,?                 ,2CXO J002410.6-720516,6.044487999999999,-72.087879,0.003
56,TC0057,CXOGLB J002410.7-720425,[GHE2001] W8  ,6.044775,-72.073814,CV           ,                  ,2CXO J002410.7-720425,6.044885,-72.073826,0.002
57,TC0058,CXOGLB J002411.0-720620,[GHE2001] W120,6.046208,-72.10556700000001,CV           ,                  ,2CXO J002411.1-720620,6.046367,-72.105583,0.003
58,TC0059,CXOGLB J002411.8-720443,[GHE2001] W70 ,6.0496,-72.078858,CV           ,                  ,2CXO J002411.9-720443,6.0496669999999995,-72.078852,0.001
59,TC0060,CXOGLB J002415.8-720436,[GHE2001] W2  ,6.06615,-72.076775,CV           ,                  ,2CXO J002415.9-720436,6.066288,-72.076792,0.003
60,TC0061,CXOGLB J002416.9-720427,[GHE2001] W1  ,6.0707,-72.074225,CV           ,                  ,2CXO J002416.9-720427,6.070791000000001,-72.07423399999999,0.002
61,TC0062,CXOGLB J002404.1-720512,[GHE2001] W299,6.017271,-72.086797,AGB          ,                  ,2CXO J002404.1-720512,6.017315,-72.086822,0.002
62,TC0063,CXOGLB J002405.4-720457,[GHE2001] W287,6.022667,-72.08251700000001,AGB          ,?                 ,2CXO J002405.4-720457,6.02281,-72.08258199999999,0.005
63,TC0064,CXOGLB J002405.6-720452,[GHE2001] W286,6.023725,-72.081281,AGB          ,                  ,2CXO J002405.7-720452,6.023896,-72.081266,0.003
64,TC0065,CXOGLB J002406.3-720416,[GHE2001] W280,6.026308,-72.071372,AGB          ,                  ,2CXO J002406.3-720417,6.026374,-72.07140600000001,0.002
65,TC0066,CXOGLB J002407.1-720420,[GHE2001] W275,6.029738,-72.072289,AGB          ,                  ,2CXO J002407.1-720420,6.029804,-72.07230899999999,0.002
66,TC0067,CXOGLB J002407.1-720452,[GHE2001] W274,6.029879,-72.081322,AGB          ,                  ,2CXO J002407.2-720452,6.030002,-72.08136400000001,0.003
67,TC0068,CXOGLB J002407.3-720504,[GHE2001] W273,6.030571,-72.084547,AGB          ,                  ,2CXO J002407.3-720504,6.030773,-72.084513,0.004
68,TC0069,CXOGLB J002407.5-720620,[GHE2001] W271,6.031346,-72.105581,AGB          ,                  ,2CXO J002407.5-720620,6.0315959999999995,-72.10560799999999,0.005
69,TC0070,CXOGLB J002407.8-720458,[GHE2001] W267,6.03255,-72.082889,AGB          ,                  ,2CXO J002407.8-720458,6.0327150000000005,-72.0829,0.003
70,TC0071,CXOGLB J002407.9-720502,[GHE2001] W266,6.033158,-72.083883,AGB          ,                  ,2CXO J002407.9-720502,6.033214,-72.083904,0.002
71,TC0072,CXOGLB J002408.5-720535,[GHE2001] W262,6.0356,-72.093106,AGB          ,                  ,2CXO J002408.5-720535,6.035819,-72.093124,0.004
72,TC0073,CXOGLB J002409.8-720348,[GHE2001] W258,6.040975,-72.06331899999999,AGB          ,                  ,2CXO J002409.8-720347,6.040972,-72.063313,0.0
73,TC0074,CXOGLB J002410.0-720451,[GHE2001] W257,6.0416669999999995,-72.081036,AGB          ,                  ,2CXO J002410.0-720451,6.041759,-72.081056,0.002
74,TC0075,CXOGLB J002411.0-720444,[GHE2001] W251,6.046079,-72.078897,AGB          ,                  ,2CXO J002411.0-720444,6.046232,-72.078906,0.003
75,TC0076,CXOGLB J002412.0-720512,[GHE2001] W248,6.0501,-72.086772,AGB          ,                  ,2CXO J002412.0-720512,6.0501879999999995,-72.08681,0.003
76,TC0077,CXOGLB J002412.1-720507,[GHE2001] W93 ,6.050617,-72.08545,AGB          ,                  ,2CXO J002412.2-720507,6.050838,-72.08550799999999,0.005
77,TC0078,CXOGLB J002412.5-720521,[GHE2001] W246,6.0521709999999995,-72.089361,AGB          ,                  ,2CXO J002412.5-720521,6.0523739999999995,-72.08941800000001,0.005
78,TC0079,CXOGLB J002413.5-720447,[GHE2001] W244,6.056496,-72.079786,AGB          ,                  ,2CXO J002413.5-720447,6.056478,-72.07982700000001,0.002
79,TC0080,CXOGLB J002413.7-720334,[GHE2001] W243,6.05735,-72.059569,AGB          ,                  ,2CXO J002413.7-720334,6.057499,-72.059575,0.003
80,TC0081,CXOGLB J002414.0-720403,[GHE2001] W242,6.058471,-72.067544,AGB          ,                  ,2CXO J002414.0-720403,6.058495,-72.067561,0.001
81,TC0082,CXOGLB J002415.0-720503,[GHE2001] W239,6.062721,-72.084222,AGB          ,                  ,2CXO J002415.0-720503,6.062896,-72.08419,0.004
82,TC0083,CXOGLB J002415.2-720456,[GHE2001] W238,6.063587,-72.082392,AGB          ,                  ,2CXO J002415.2-720456,6.063708999999999,-72.082432,0.003
83,TC0084,CXOGLB J002415.3-720450,[GHE2001] W237,6.063829,-72.080561,AGB          ,                  ,2CXO J002415.3-720449,6.063903,-72.080516,0.003
84,TC0085,CXOGLB J002416.7-720447,[GHE2001] W233,6.0696959999999995,-72.079806,AGB          ,                  ,2CXO J002416.7-720447,6.069895,-72.079756,0.005
85,TC0086,CXOGLB J002418.6-720455,[GHE2001] W228,6.077538,-72.081972,AGB          ,                  ,2CXO J002418.6-720455,6.077546,-72.082065,0.006
86,TC0087,CXOGLB J002421.2-720503,[GHE2001] W222,6.088633,-72.084172,AGB          ,                  ,2CXO J002421.3-720502,6.089008,-72.084109,0.008
87,TC0088,CXOGLB J002424.6-720500,[GHE2001] W216,6.102658,-72.083375,AGB          ,                  ,2CXO J002424.6-720500,6.102685,-72.083414,0.002
88,TC0089,CXOGLB J002430.7-720446,[GHE2001] W211,6.128083,-72.079631,AGB          ,                  ,2CXO J002430.7-720446,6.1279580000000005,-72.079676,0.004
89,TC0090,CXOGLB J002357.6-720502,[GHE2001] W64 ,5.990296,-72.083883,AB           ,                  ,2CXO J002357.6-720502,5.990402,-72.08391400000001,0.003
90,TC0091,CXOGLB J002400.6-720554,[GHE2001] W59 ,6.00265,-72.098403,AB           ,                  ,2CXO J002400.6-720554,6.002619999999999,-72.098446,0.003
91,TC0092,CXOGLB J002402.5-720444,[GHE2001] W54 ,6.010438,-72.07901899999999,AB           ,?                 ,2CXO J002402.5-720444,6.010455,-72.079034,0.001
92,TC0093,CXOGLB J002403.4-720505,[GHE2001] W47 ,6.014375,-72.0848,AB           ,                  ,2CXO J002403.4-720505,6.014514,-72.084816,0.003
93,TC0094,CXOGLB J002404.2-720443,[GHE2001] W43 ,6.0177,-72.078761,AB           ,                  ,2CXO J002404.2-720443,6.017723999999999,-72.078755,0.001
94,TC0095,CXOGLB J002404.3-720501,[GHE2001] W41 ,6.018013,-72.083697,AB           ,                  ,2CXO J002404.3-720501,6.018135,-72.083736,0.003
95,TC0096,CXOGLB J002404.2-720443,[GHE2001] W43 ,6.017629,-72.07884399999999,AB           ,                  ,2CXO J002404.4-720444,6.018357,-72.07900500000001,0.017
96,TC0097,CXOGLB J002404.8-720446,[GHE2001] W38 ,6.020367,-72.07946899999999,AB           ,                  ,2CXO J002404.9-720446,6.020592,-72.079522,0.005
97,TC0098,CXOGLB J002405.1-720502,[GHE2001] W98 ,6.021242,-72.084108,AB           ,?                 ,2CXO J002405.0-720502,6.021205,-72.08409499999999,0.001
98,TC0099,CXOGLB J002405.1-720604,[GHE2001] W121,6.021483,-72.101239,AB           ,                  ,2CXO J002405.1-720604,6.021642,-72.101254,0.003
99,TC0100,CXOGLB J002406.0-720346,[GHE2001] W168,6.025054,-72.062842,AB           ,?                 ,2CXO J002406.0-720346,6.025092,-72.062865,0.002
100,TC0101,CXOGLB J002406.3-720452,[GHE2001] W75 ,6.02655,-72.081347,AB           ,                  ,2CXO J002406.3-720452,6.026598,-72.08135,0.001
101,TC0102,CXOGLB J002406.5-720430,[GHE2001] W76 ,6.027108,-72.075128,AB           ,                  ,2CXO J002406.4-720430,6.026943,-72.075088,0.004
102,TC0103,CXOGLB J002406.8-720512,[GHE2001] W26 ,6.028442,-72.086772,AB           ,                  ,2CXO J002406.8-720512,6.028633999999999,-72.08681,0.004
103,TC0104,CXOGLB J002407.2-720446,[GHE2001] W141,6.0301919999999996,-72.079567,AB           ,?                 ,2CXO J002407.2-720446,6.030276000000001,-72.07959100000001,0.002
104,TC0105,CXOGLB J002407.3-720449,[GHE2001] W24 ,6.030787,-72.080453,AB           ,?                 ,2CXO J002407.2-720450,6.030259,-72.08058299999999,0.013000000000000001
105,TC0106,CXOGLB J002407.2-720457,[GHE2001] W73 ,6.030033,-72.082614,AB           ,                  ,2CXO J002407.2-720457,6.030138,-72.082654,0.003
106,TC0107,CXOGLB J002407.3-720449,[GHE2001] W24 ,6.0305919999999995,-72.080389,AB           ,?                 ,2CXO J002407.3-720449,6.030684,-72.080402,0.002
107,TC0108,CXOGLB J002407.8-720441,[GHE2001] W23 ,6.032525,-72.078211,AB           ,                  ,2CXO J002407.8-720441,6.032612,-72.078232,0.002
108,TC0109,CXOGLB J002407.8-720524,[GHE2001] W22 ,6.032646,-72.09015600000001,AB           ,                  ,2CXO J002407.8-720524,6.0328,-72.090147,0.003
109,TC0110,CXOGLB J002408.1-720513,[GHE2001] W18 ,6.033908,-72.08703299999999,AB           ,                  ,2CXO J002408.1-720513,6.0341260000000005,-72.08706,0.004
110,TC0111,CXOGLB J002408.7-720507,[GHE2001] W14 ,6.036487,-72.085433,AB           ,                  ,2CXO J002408.7-720507,6.036626,-72.085454,0.003
111,TC0112,CXOGLB J002409.5-720504,[GHE2001] W12 ,6.039625,-72.084647,AB           ,                  ,2CXO J002409.5-720504,6.039826000000001,-72.08465799999999,0.004
112,TC0113,CXOGLB J002410.2-720401,[GHE2001] W167,6.042571,-72.067086,AB           ,                  ,2CXO J002410.2-720401,6.042659,-72.067123,0.003
113,TC0114,CXOGLB J002410.4-720459,[GHE2001] W72 ,6.043608,-72.08332800000001,AB           ,                  ,2CXO J002410.4-720500,6.043718,-72.083345,0.002
114,TC0115,CXOGLB J002410.5-720506,[GHE2001] W9  ,6.043938,-72.085183,AB           ,                  ,2CXO J002410.5-720506,6.043943,-72.085175,0.001
115,TC0116,CXOGLB J002410.6-720529,[GHE2001] W184,6.044158,-72.091447,AB           ,                  ,2CXO J002410.6-720529,6.044218,-72.091472,0.002
116,TC0117,CXOGLB J002411.8-720514,[GHE2001] W94 ,6.049221,-72.087378,AB           ,                  ,2CXO J002411.8-720514,6.049228,-72.087417,0.002
117,TC0118,CXOGLB J002413.4-720451,[GHE2001] W4  ,6.056029,-72.080894,AB           ,?                 ,2CXO J002413.4-720451,6.0561620000000005,-72.080927,0.003
118,TC0119,CXOGLB J002413.4-720523,[GHE2001] W68 ,6.056163,-72.08980600000001,AB           ,                  ,2CXO J002413.4-720523,6.056051,-72.089809,0.002
119,TC0120,CXOGLB J002415.1-720443,[GHE2001] W3  ,6.063171,-72.07875,AB           ,                  ,2CXO J002415.1-720443,6.063287,-72.07876999999999,0.002
120,TC0121,CXOGLB J002415.6-720441,[GHE2001] W92 ,6.065387,-72.07816899999999,AB           ,                  ,2CXO J002415.6-720441,6.065396,-72.078193,0.001
121,TC0122,CXOGLB J002415.9-720451,[GHE2001] W66 ,6.066504,-72.08103100000001,AB           ,                  ,2CXO J002416.0-720451,6.066674,-72.08102,0.003
122,TC0123,CXOGLB J002418.8-720602,[GHE2001] W137,6.078313,-72.100761,AB           ,                  ,2CXO J002418.8-720602,6.078341,-72.100808,0.003
123,TC0124,CXOGLB J002419.3-720431,[GHE2001] W182,6.080725,-72.07535,AB           ,                  ,2CXO J002419.4-720431,6.080871,-72.075437,0.006
124,TC0125,CXOGLB J002425.1-720507,[GHE2001] W163,6.104908,-72.08535,AB           ,                  ,2CXO J002425.1-720507,6.10492,-72.085367,0.001
125,TC0126,CXOGLB J002331.5-720515,[GHE2001] W350,5.881425,-72.087661,             ,                  ,2CXO J002331.4-720515,5.881189,-72.087654,0.004
126,TC0127,CXOGLB J002336.3-720403,[GHE2001] W349,5.901496,-72.067492,             ,                  ,2CXO J002336.2-720403,5.9010940000000005,-72.067675,0.013000000000000001
127,TC0128,CXOGLB J002339.1-720604,[GHE2001] W176,5.913271,-72.101311,             ,                  ,2CXO J002339.2-720604,5.913403,-72.10126899999999,0.004
128,TC0129,CXOGLB J002341.1-720511,[GHE2001] W348,5.921421,-72.086603,             ,                  ,2CXO J002341.0-720512,5.920972,-72.086739,0.012
129,TC0130,CXOGLB J002341.3-720402,[GHE2001] W347,5.922104,-72.067442,             ,                  ,2CXO J002341.2-720403,5.92173,-72.067607,0.012
130,TC0131,CXOGLB J002342.6-720359,[GHE2001] W346,5.927642,-72.066378,             ,                  ,2CXO J002342.5-720359,5.927407,-72.06646500000001,0.006999999999999999
131,TC0132,CXOGLB J002344.8-720602,[GHE2001] W126,5.936813,-72.10055799999999,             ,                  ,2CXO J002344.8-720602,5.93685,-72.10062099999999,0.004
132,TC0133,CXOGLB J002345.9-720458,[GHE2001] W345,5.941325,-72.083033,             ,                  ,2CXO J002345.8-720459,5.941221,-72.08315,0.006999999999999999
133,TC0134,CXOGLB J002346.3-720401,[GHE2001] W344,5.943037,-72.067203,             ,                  ,2CXO J002346.3-720401,5.94313,-72.06720899999999,0.002
134,TC0135,CXOGLB J002348.9-720719,[GHE2001] W342,5.954025,-72.121942,             ,                  ,2CXO J002348.9-720719,5.95413,-72.122025,0.005
135,TC0136,CXOGLB J002349.2-720351,[GHE2001] W340,5.9552830000000005,-72.064289,             ,                  ,2CXO J002349.2-720351,5.955347,-72.06434399999999,0.004
136,TC0137,CXOGLB J002349.2-720537,[GHE2001] W341,5.955146,-72.093739,             ,                  ,2CXO J002349.2-720538,5.955211,-72.09393399999999,0.012
137,TC0138,CXOGLB J002350.6-720541,[GHE2001] W90 ,5.961125,-72.09486700000001,             ,                  ,2CXO J002350.7-720541,5.96133,-72.09490500000001,0.004
138,TC0139,CXOGLB J002351.9-720343,[GHE2001] W334,5.966621,-72.062172,             ,                  ,2CXO J002351.9-720343,5.966618,-72.06219499999999,0.001
139,TC0140,CXOGLB J002351.9-720429,[GHE2001] W103,5.966392,-72.074967,             ,                  ,2CXO J002351.9-720430,5.9664269999999995,-72.075,0.002
140,TC0141,CXOGLB J002351.9-720453,[GHE2001] W336,5.966317,-72.081625,             ,                  ,2CXO J002351.9-720453,5.96631,-72.081643,0.001
141,TC0142,CXOGLB J002352.0-720436,[GHE2001] W335,5.966729,-72.076861,             ,                  ,2CXO J002352.0-720436,5.96675,-72.076938,0.005
142,TC0143,CXOGLB J002352.2-720723,[GHE2001] W147,5.96765,-72.123194,             ,                  ,2CXO J002352.2-720723,5.967776000000001,-72.123257,0.004
143,TC0144,CXOGLB J002352.2-720723,[GHE2001] W147,5.967733,-72.123194,             ,                  ,2CXO J002352.2-720723,5.967776000000001,-72.123257,0.004
144,TC0145,CXOGLB J002352.3-720311,[GHE2001] W333,5.968042,-72.05315,             ,                  ,2CXO J002352.3-720311,5.967987,-72.05315,0.001
145,TC0146,CXOGLB J002352.4-720533,[GHE2001] W89 ,5.968575,-72.09259200000001,             ,                  ,2CXO J002352.4-720533,5.968617,-72.092619,0.002
146,TC0147,CXOGLB J002353.3-720707,[GHE2001] W188,5.972721,-72.118864,             ,                  ,2CXO J002353.4-720708,5.972677,-72.118945,0.005
147,TC0148,CXOGLB J002353.4-720511,[GHE2001] W65 ,5.973008,-72.08651400000001,             ,                  ,2CXO J002353.5-720511,5.973032,-72.086527,0.001
148,TC0149,CXOGLB J002354.5-720355,[GHE2001] W331,5.977379,-72.065386,             ,                  ,2CXO J002354.5-720355,5.977498000000001,-72.065538,0.009000000000000001
149,TC0150,CXOGLB J002354.5-720607,[GHE2001] W145,5.977446,-72.10217800000001,             ,                  ,2CXO J002354.6-720607,5.977508,-72.10216700000001,0.001
150,TC0151,CXOGLB J002354.9-720433,[GHE2001] W329,5.979092,-72.076044,             ,                  ,2CXO J002354.9-720434,5.979113,-72.076193,0.009000000000000001
151,TC0152,CXOGLB J002356.3-720437,[GHE2001] W328,5.984646,-72.077047,             ,                  ,2CXO J002356.3-720437,5.984622,-72.07713199999999,0.005
152,TC0153,CXOGLB J002356.7-720450,[GHE2001] W327,5.986379,-72.080567,             ,                  ,2CXO J002356.6-720450,5.986236,-72.080641,0.005
153,TC0154,CXOGLB J002356.8-720504,[GHE2001] W326,5.98665,-72.084536,             ,                  ,2CXO J002356.8-720504,5.986843,-72.084574,0.004
154,TC0155,CXOGLB J002356.9-720224,[GHE2001] W170,5.987404,-72.040231,             ,                  ,2CXO J002356.9-720224,5.9874279999999995,-72.040261,0.002
155,TC0156,CXOGLB J002356.9-720224,[GHE2001] W170,5.987275,-72.040219,             ,                  ,2CXO J002356.9-720224,5.9874279999999995,-72.040261,0.004
156,TC0157,CXOGLB J002356.9-720341,[GHE2001] W187,5.987146,-72.06141099999999,             ,                  ,2CXO J002356.9-720341,5.9871870000000005,-72.061499,0.005
157,TC0158,CXOGLB J002357.6-720542,[GHE2001] W102,5.990283,-72.095256,             ,                  ,2CXO J002357.6-720543,5.990223,-72.095283,0.002
158,TC0159,CXOGLB J002357.7-720414,[GHE2001] W324,5.9905919999999995,-72.070639,             ,                  ,2CXO J002357.7-720414,5.990531,-72.07061,0.002
159,TC0160,CXOGLB J002357.7-720506,[GHE2001] W325,5.990442,-72.085083,             ,                  ,2CXO J002357.7-720506,5.990428,-72.085155,0.004
160,TC0161,CXOGLB J002357.8-720452,[GHE2001] W87 ,5.990946,-72.081361,             ,                  ,2CXO J002357.8-720452,5.991115,-72.08135899999999,0.003
161,TC0162,CXOGLB J002357.9-720513,[GHE2001] W323,5.991229,-72.086961,             ,                  ,2CXO J002357.8-720513,5.991127,-72.086958,0.002
162,TC0163,CXOGLB J002358.2-720538,[GHE2001] W322,5.992708,-72.094022,             ,                  ,2CXO J002358.3-720538,5.992928,-72.09409000000001,0.006
163,TC0164,CXOGLB J002358.6-720225,[GHE2001] W320,5.994154,-72.040456,             ,                  ,2CXO J002358.5-720225,5.993824,-72.040465,0.006
164,TC0165,CXOGLB J002358.6-720436,[GHE2001] W321,5.9943290000000005,-72.076689,             ,                  ,2CXO J002358.7-720436,5.994653,-72.076693,0.006
