,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_
2,NS0003,1A 1743-288          ,266.760833,-28.883056,INTREFCAT       ,INTEGRAL     ,2CXO J174702.5-285259 ,266.760784,-28.883084000000004,0.003
51,NS0052,XTE J2123-058        ,320.810417,-5.798056,INTREFCAT       ,INTEGRAL     ,2CXO J212314.5-054753 ,320.810579,-5.798128,0.011000000000000001
19,NS0020,EXO 1745-248         ,267.021667,-24.780556,INTREFCAT       ,INTEGRAL     ,2CXO J174805.2-244651 ,267.02194,-24.781026999999998,0.032
60,NS0061,J1751-3037           ,267.80625,-30.623056,RITTERLMXB      ,             ,2CXO J175113.6-303726 ,267.80694500000004,-30.624029999999998,0.069
66,NS0067,SAXWFC J1740.7-2818.5,265.17,-28.308389000000002,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174040.0-281830 ,265.166716,-28.308421000000003,0.17300000000000001
55,NS0056,J1748-2021#2         ,267.22,-20.356667,RITTERLMXB      ,             ,2CXO J174853.1-202127 ,267.22131,-20.357511,0.08900000000000001
46,NS0047,XMMU J004414.0+41220 ,11.058333,41.367778,INTREFCAT       ,INTEGRAL     ,2CXO J004414.4+412204 ,11.060336,41.368015,0.091
73,NS0074,SAXWFC J1750.8-3116.5,267.697917,-31.2745,SAXWFCCAT       ,BEPPOSAX     ,2CXO J175046.8-311629 ,267.695171,-31.274879,0.14300000000000002
39,NS0040,SLX 1744-300         ,266.855833,-30.044721999999997,INTREFCAT       ,INTEGRAL     ,2CXO J174726.0-300241 ,266.85842,-30.044968,0.135
30,NS0031,IGR J17473-2721      ,266.825417,-27.344167,INTREFCAT       ,INTEGRAL     ,2CXO J174718.0-272038 ,266.825156,-27.344152,0.013999999999999999
14,NS0015,4U 2129+12           ,322.492917,12.1675,INTREFCAT       ,INTEGRAL     ,2CXO J212958.1+121002 ,322.492171,12.167285000000001,0.046
3,NS0004,1A 1744-361          ,267.08,-36.121389,INTREFCAT       ,INTEGRAL     ,2CXO J174819.2-360716 ,267.080098,-36.121268,0.009000000000000001
34,NS0035,SAX J1806.5-2215     ,271.634167,-22.238056,INTREFCAT       ,INTEGRAL     ,2CXO J180632.1-221417 ,271.634072,-22.238096,0.006
31,NS0032,IGR J17597-2201      ,269.94041699999997,-22.0275,INTREFCAT       ,INTEGRAL     ,2CXO J175945.5-220139 ,269.939686,-22.027565,0.040999999999999995
29,NS0030,IGR J17464-2811      ,266.8175,-28.18,INTREFCAT       ,INTEGRAL     ,2CXO J174716.1-281048 ,266.817333,-28.180017,0.009000000000000001
64,NS0065,SAXWFC J1612.7-5224.6,243.164583,-52.41,SAXWFCCAT       ,BEPPOSAX     ,2CXO J161240.6-522436 ,243.169511,-52.410272,0.18100000000000002
58,NS0059,J1749-2808           ,267.382083,-28.134721999999996,RITTERLMXB      ,             ,2CXO J174931.7-280805 ,267.382206,-28.134737,0.006999999999999999
71,NS0072,SAXWFC J1748.1-2446.1,267.026667,-24.769083,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174806.1-244617 ,267.02570499999996,-24.771629,0.161
74,NS0075,1WGA J0514.1-4002    ,78.525,-40.045722,WGACAT          ,ROSAT        ,2CXO J051406.6-400250 ,78.52790999999999,-40.047391999999995,0.16699999999999998
75,NS0076,1WGA J0748.5-6745    ,117.144167,-67.75144399999999,WGACAT          ,ROSAT        ,2CXO J074836.1-674459 ,117.150791,-67.74996999999999,0.175
47,NS0048,XMMU J004438.1+41451 ,11.15875,41.753056,INTREFCAT       ,INTEGRAL     ,2CXO J004437.9+414512 ,11.15814,41.753439,0.036000000000000004
45,NS0046,XMMU J004245.2+41172 ,10.688333,41.289167,INTREFCAT       ,INTEGRAL     ,2CXO J004246.1+411728 ,10.692169999999999,41.291326,0.21600000000000003
56,NS0057,J1748-2446           ,267.02,-24.780278,RITTERLMXB      ,             ,2CXO J174804.5-244642 ,267.01903599999997,-24.778378,0.126
32,NS0033,KS 1731-260          ,263.555833,-26.088611,INTREFCAT       ,INTEGRAL     ,2CXO J173413.4-260518 ,263.556034,-26.088528,0.012
42,NS0043,XB 1732-304          ,263.948333,-30.482221999999997,INTREFCAT       ,INTEGRAL     ,2CXO J173547.0-302858 ,263.945897,-30.482815000000002,0.131
81,NS0082,E1724-307            ,261.888086,-30.802042,XRBCAT          ,             ,2CXO J172733.1-304807 ,261.888321,-30.802215999999998,0.016
8,NS0009,2E 1613.5-5053       ,244.40125,-51.040278,INTREFCAT       ,INTEGRAL     ,2CXO J161736.2-510224 ,244.400927,-51.04022,0.013000000000000001
57,NS0058,J1748-3607           ,267.054583,-36.1325,RITTERLMXB      ,             ,2CXO J174813.1-360758 ,267.054676,-36.13281,0.019
9,NS0010,3A 1954+319          ,298.92625,32.096944,INTREFCAT       ,INTEGRAL     ,2CXO J195542.3+320549 ,298.92637,32.096958,0.006
68,NS0069,SAXWFC J1747.0-2853.3,266.746667,-28.888278000000003,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174659.3-285321 ,266.747305,-28.889387,0.075
0,NS0001,1A 1742-289          ,266.404167,-29.018611,INTREFCAT       ,INTEGRAL     ,2CXO J174536.7-290107 ,266.403262,-29.018745000000003,0.048
78,NS0079,4U0142+614           ,26.592144,61.752053000000004,XRBCAT          ,             ,2CXO J014622.4+614503 ,26.593348,61.750834,0.081
79,NS0080,4U1745-203           ,267.222663,-20.367235,XRBCAT          ,             ,2CXO J174853.1-202202 ,267.221514,-20.36745,0.066
21,NS0022,GX 13+1              ,273.631667,-17.1575,INTREFCAT       ,INTEGRAL     ,2CXO J181431.0-170925 ,273.629472,-17.157138,0.128
82,NS0083,E2259+587            ,345.28267,58.879437,XRBCAT          ,             ,2CXO J230108.2+585244 ,345.284506,58.878949,0.064
27,NS0028,IGR J00291+5934      ,7.262917,59.571943999999995,INTREFCAT       ,INTEGRAL     ,2CXO J002903.0+593419 ,7.262675,59.57194499999999,0.006999999999999999
23,NS0024,H 1658-298           ,255.52625,-29.945833,INTREFCAT       ,INTEGRAL     ,2CXO J170206.5-295644 ,255.527181,-29.945609,0.05
4,NS0005,1H 0512-401          ,78.5275,-40.043611,INTREFCAT       ,INTEGRAL     ,2CXO J051406.4-400238 ,78.526849,-40.043909,0.035
62,NS0063,UW CRB               ,241.440417,25.8625,RITTERLMXB      ,             ,2CXO J160545.8+255145 ,241.44120499999997,25.862581,0.043
20,NS0021,GRS 1741.9-2853      ,266.259583,-28.913889,INTREFCAT       ,INTEGRAL     ,2CXO J174502.3-285449 ,266.259684,-28.913859000000002,0.006
69,NS0070,SAXWFC J1747.0-2853.3,266.746667,-28.888278000000003,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174659.2-285328 ,266.74671,-28.891263000000002,0.179
28,NS0029,IGR J17254-3257      ,261.353333,-32.954167,INTREFCAT       ,INTEGRAL     ,2CXO J172524.9-325714 ,261.354147,-32.954104,0.040999999999999995
17,NS0018,CYG X-2              ,326.171667,38.321667,INTREFCAT       ,INTEGRAL     ,2CXO J214441.1+381917 ,326.17150899999996,38.321474,0.013999999999999999
49,NS0050,XTE J1710-281        ,257.55125,-28.131666999999997,INTREFCAT       ,INTEGRAL     ,2CXO J171012.5-280750 ,257.552347,-28.130798,0.078
37,NS0038,SAX J1810.8-2609     ,272.685,-26.15,INTREFCAT       ,INTEGRAL     ,2CXO J181044.4-260901 ,272.685276,-26.150372,0.027000000000000003
26,NS0027,HER X-1              ,254.4575,35.3425,INTREFCAT       ,INTEGRAL     ,2CXO J165749.7+352033 ,254.45735299999998,35.342512,0.006999999999999999
44,NS0045,XMMU J004245.2+41172 ,10.688333,41.289167,INTREFCAT       ,INTEGRAL     ,2CXO J004244.8+411728 ,10.686879,41.291118,0.134
5,NS0006,1H 1715-321          ,259.6975,-32.177778,INTREFCAT       ,INTEGRAL     ,2CXO J171847.4-321032 ,259.69789199999997,-32.17561,0.132
40,NS0041,XB 1732-304          ,263.948333,-30.482221999999997,INTREFCAT       ,INTEGRAL     ,2CXO J173547.6-302858 ,263.948614,-30.482933000000003,0.045
77,NS0078,1WGA J1911.2+0035    ,287.81625,0.584444,WGACAT          ,ROSAT        ,2CXO J191116.0+003505 ,287.816769,0.584978,0.045
25,NS0026,HD 22468             ,54.197083,0.587778,INTREFCAT       ,INTEGRAL     ,2CXO J033647.2+003515 ,54.197047999999995,0.587742,0.003
83,NS0084,GRO J1744-28         ,266.153139,-28.760357,XRBCAT          ,             ,2CXO J174436.8-284537 ,266.153406,-28.760354,0.013999999999999999
59,NS0060,J1749-2919           ,267.480833,-29.322221999999996,RITTERLMXB      ,             ,2CXO J174955.3-291919 ,267.480748,-29.322086,0.009000000000000001
76,NS0077,1WGA J1747.4-3002    ,266.854167,-30.039056,WGACAT          ,ROSAT        ,2CXO J174725.2-300216 ,266.855063,-30.037798,0.08900000000000001
54,NS0055,J1748-2021#1         ,267.2175,-20.358889,RITTERLMXB      ,             ,2CXO J174852.1-202132 ,267.217314,-20.359012,0.013000000000000001
48,NS0049,XTE J1709-267        ,257.376667,-26.655556,INTREFCAT       ,INTEGRAL     ,2CXO J170930.3-263919 ,257.376621,-26.655548,0.003
67,NS0068,SAXWFC J1744.9-2921.2,266.216667,-29.353,SAXWFCCAT       ,BEPPOSAX     ,2CXO J174451.1-292116 ,266.212968,-29.354525,0.214
10,NS0011,3A 2129+470          ,322.859167,47.29,INTREFCAT       ,INTEGRAL     ,2CXO J213126.2+471724 ,322.859213,47.290151,0.009000000000000001
43,NS0044,XMMU J004245.2+41172 ,10.688333,41.289167,INTREFCAT       ,INTEGRAL     ,2CXO J004245.2+411722 ,10.688400999999999,41.289518,0.021
13,NS0014,4U 1812-12           ,273.77583300000003,-12.096389,INTREFCAT       ,INTEGRAL     ,2CXO J181506.2-120545 ,273.775986,-12.095957,0.027000000000000003
41,NS0042,XB 1732-304          ,263.948333,-30.482221999999997,INTREFCAT       ,INTEGRAL     ,2CXO J173547.2-302855 ,263.94695099999996,-30.481989000000002,0.073
18,NS0019,EXO 0748-676         ,117.140833,-67.7525,INTREFCAT       ,INTEGRAL     ,2CXO J074833.7-674507 ,117.140456,-67.752074,0.027000000000000003
33,NS0034,SAX J1750.8-2900     ,267.6,-29.038333,INTREFCAT       ,INTEGRAL     ,2CXO J175024.4-290215 ,267.601766,-29.037549,0.10400000000000001
61,NS0062,J1824-2452           ,276.135417,-24.868889000000003,RITTERLMXB      ,             ,2CXO J182432.4-245208 ,276.135398,-24.868928,0.003
53,NS0054,BW ANT               ,142.33416699999998,-31.384166999999998,RITTERLMXB      ,             ,2CXO J092920.1-312303 ,142.334101,-31.384265999999997,0.006999999999999999
