,SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_,SRC_ID,src_pred
61,TC0062,CXOGLB J002404.1-720512,[GHE2001] W299,6.017271,-72.086797,AGB          ,                  ,2CXO J002404.1-720512,6.017315,-72.086822,0.002,TC0064,PULSAR
62,TC0063,CXOGLB J002405.4-720457,[GHE2001] W287,6.022667,-72.08251700000001,AGB          ,?                 ,2CXO J002405.4-720457,6.02281,-72.08258199999999,0.005,TC0065,CV
63,TC0064,CXOGLB J002405.6-720452,[GHE2001] W286,6.023725,-72.081281,AGB          ,                  ,2CXO J002405.7-720452,6.023896,-72.081266,0.003,TC0066,CV
64,TC0065,CXOGLB J002406.3-720416,[GHE2001] W280,6.026308,-72.071372,AGB          ,                  ,2CXO J002406.3-720417,6.026374,-72.07140600000001,0.002,TC0068,PULSAR
65,TC0066,CXOGLB J002407.1-720420,[GHE2001] W275,6.029738,-72.072289,AGB          ,                  ,2CXO J002407.1-720420,6.029804,-72.07230899999999,0.002,TC0069,PULSAR
66,,,,,,,,,,,,TC0070,PULSAR
67,TC0068,CXOGLB J002407.3-720504,[GHE2001] W273,6.030571,-72.084547,AGB          ,                  ,2CXO J002407.3-720504,6.030773,-72.084513,0.004,TC0071,PULSAR
68,TC0069,CXOGLB J002407.5-720620,[GHE2001] W271,6.031346,-72.105581,AGB          ,                  ,2CXO J002407.5-720620,6.0315959999999995,-72.10560799999999,0.005,TC0072,CV
69,TC0070,CXOGLB J002407.8-720458,[GHE2001] W267,6.03255,-72.082889,AGB          ,                  ,2CXO J002407.8-720458,6.0327150000000005,-72.0829,0.003,TC0073,PULSAR
70,TC0071,CXOGLB J002407.9-720502,[GHE2001] W266,6.033158,-72.083883,AGB          ,                  ,2CXO J002407.9-720502,6.033214,-72.083904,0.002,TC0074,CV
71,TC0072,CXOGLB J002408.5-720535,[GHE2001] W262,6.0356,-72.093106,AGB          ,                  ,2CXO J002408.5-720535,6.035819,-72.093124,0.004,TC0075,CV
72,TC0073,CXOGLB J002409.8-720348,[GHE2001] W258,6.040975,-72.06331899999999,AGB          ,                  ,2CXO J002409.8-720347,6.040972,-72.063313,0.0,TC0076,CV
73,TC0074,CXOGLB J002410.0-720451,[GHE2001] W257,6.0416669999999995,-72.081036,AGB          ,                  ,2CXO J002410.0-720451,6.041759,-72.081056,0.002,TC0078,PULSAR
