index,obs_id,class,src_n,src_id,livetime,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,gti_obs,flux_significance_b,flux_significance_m,flux_significance_s,flux_significance_h,flux_significance_u,flux_aper_hilim_s,flux_aper_hilim_u,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_hilim_b,flux_aper_lolim_s,flux_aper_lolim_u,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_b,flux_aper_s,flux_aper_u,flux_aper_m,flux_aper_h,flux_aper_b,photflux_aper_hilim_s,photflux_aper_hilim_u,photflux_aper_hilim_m,photflux_aper_hilim_h,photflux_aper_hilim_b,photflux_aper_lolim_s,photflux_aper_lolim_u,photflux_aper_lolim_m,photflux_aper_lolim_h,photflux_aper_lolim_b,photflux_aper_s,photflux_aper_u,photflux_aper_m,photflux_aper_h,photflux_aper_b,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,flux_powlaw_hilim,flux_powlaw_lolim,flux_powlaw,flux_brems_lolim,flux_brems_hilim,flux_brems,flux_bb_hilim,flux_bb_lolim,flux_bb,var_index,var_prob,ks_prob,kp_prob,var_sigma,var_mean,var_min,var_max,var_inter_index,var_inter_prob,var_inter_sigma,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_hs,hard_ms,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,powlaw_gamma,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl,powlaw_ampl_hilim,powlaw_ampl_lolim,powlaw_stat,bb_kt,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim,bb_nh,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_stat,brems_kt,brems_kt_hilim,brems_kt_lolim,brems_nh,brems_nh_hilim,brems_nh_lolim,brems_stat
151,BH_OBS_151,BH,J1745-2900          ,BH0027,4979.9,337.0,462011.4,False,False,False,2006-07-30T14:45:37,2.29,0.0,0.0,2.29,0.0,-14.803823814960026,-13.517555208081735,-14.846795099915715,-13.266401539038661,-13.27621606303467,,,,-13.724228099835068,-13.740645072691965,,,,-13.432738307646126,-13.449038247701823,-6.0125124938669074,-4.3260580013659125,-6.255550542553202,-5.0958797865238,-4.957424487559809,,,,-5.503347060749082,-5.364717362001788,,,,-5.253521490069969,-5.1148650339365656,-13.551435892317178,-14.130299026326123,-13.838751819667262,-4.867895351804853,-5.826464104990094,-5.57662303808094,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9994,1.0,0.8151,0.9994,-0.9994,1.0,0.7039,0.1068,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,BH_OBS_152,BH,J1745-2900          ,BH0027,4980.9,337.0,462011.4,False,False,False,2006-08-22T06:09:57,0.0,0.0,0.0,0.0,0.0,-14.79317412396815,-13.587539452570038,-14.855425792390383,-14.11696348997232,-14.114638779968487,,,,,,,,,,,-5.944239535312265,-4.322758154053346,-6.310069895981782,-5.813326132500255,-5.685500772026849,,,,,,,,,,,-14.053803277496154,,,-4.976445491730538,,,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9994,1.0,0.1743,0.9994,-0.9994,1.0,-0.2205,-0.0244,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,BH_OBS_153,BH,J1745-2900          ,BH0027,5112.4,337.0,462011.4,False,False,False,2006-09-25T14:04:53,1.19,0.0,0.0,1.28,,-14.86359655186601,,-14.850165303284214,-13.649558143464938,-13.64839692758087,,,,,-15.2611401979278,,,,-13.962573502059376,-13.938924676370208,-6.0603809210433015,,-6.258848401148215,-5.384365531122584,-5.294050805089705,,,,-6.298173069602861,-6.418961051227833,,,,-5.635449004646028,-5.553618187777558,-13.92389684106562,-15.863200189255762,-14.251618134792901,-5.575559412473523,-6.655411257421286,-5.89363909119325,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9994,1.0,0.624,0.9994,-0.9994,1.0,0.4678,0.1643,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,BH_OBS_154,BH,J1745-2900          ,BH0027,5097.1,337.0,462011.4,False,False,False,2006-10-29T03:44:33,2.56,1.27,0.0,2.33,,-14.84924356013969,,-14.259084923518717,-13.150949309430487,-13.141102042767997,,,-15.10419084983087,-13.561141340579438,-13.524764777395871,,,-14.50210325708678,-13.309272456129634,-13.29183414214446,-6.0170958822073715,,-5.823330067331851,-5.098705182834433,-4.889410289700751,,,-6.7870138152633315,-5.502793819296046,-5.2516568955124505,,,-6.070990014506039,-5.251037138743839,-5.029792641193145,-13.426484401081515,-13.83768432366956,-13.588056377313292,-5.234137806486051,-5.652313911623631,-5.403507367507663,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.7658,0.92,0.5465,0.9994,0.7395,1.0,0.7027,1.0,-0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,BH_OBS_155,BH,J1745-2900          ,BH0027,5078.8,337.0,462011.4,False,False,False,2007-02-11T06:36:01,1.51,1.0,0.0,1.3,,-14.879755204453634,,-14.631527161559639,-13.326334123754298,-13.315334135974139,,,,-14.033154576345083,-13.972242795309446,,,,-13.543026986364183,-13.529883646848996,-5.980053318321158,,-5.97387548325455,-5.342466112442014,-5.149598852002842,,,,-6.221631656644126,-5.856360764725457,,,-6.274905478918531,-5.589560213789653,-5.3663295939485565,-13.605526429882588,-14.302661661259812,-13.83743559347698,-5.464073258604431,-6.302705256369456,-5.732476283614538,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.757,0.9638,0.4154,0.9994,-0.0487,1.0,0.4478,0.7114,-0.4978,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,BH_OBS_156,BH,J1745-2900          ,BH0027,5084.9,337.0,462011.4,False,False,False,2007-03-25T23:10:34,0.0,0.0,0.0,,0.0,-14.830325565941193,-13.493494967595128,-14.83743559347698,-13.751046384504292,-13.757955760630448,,,,,,,,,,,-5.964570261815451,-4.302073555193495,-6.246187216435298,,-5.444301105281099,,,,,,,,,,,-13.852434968319045,,,-4.860693269006794,,,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,BH_OBS_157,BH,J1745-2900          ,BH0027,4977.8,337.0,462011.4,False,False,False,2007-05-17T01:28:58,0.0,0.0,0.0,,,-14.850472986245652,,-14.81559251458768,-13.578231598793076,-13.721246399047171,,,,,,,,,-13.890421453095612,,-6.031096969696172,,-6.224535190654261,,-5.5265130299354315,,,,,,,,,,,-13.917663512908941,,-14.492481444423575,-5.823696471081572,,,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,BH_OBS_158,BH,J1745-2900          ,BH0027,4980.7,337.0,462011.4,False,False,False,2007-07-20T02:50:53,0.0,0.0,0.0,0.0,0.0,-14.87321942298799,-13.457299030551889,-14.814457845145625,-13.931443104927636,-13.934793871945688,,,,,,,,,,,-6.043639446326678,-4.24504041227829,-6.223298816011589,-5.715343717211485,-5.599634726650061,,,,,,,,,,,-13.912985661251057,,,-4.900855480633184,,,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9994,1.0,0.2117,0.9994,-0.9994,1.0,-0.0019,0.1743,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,BH_OBS_159,BH,J1745-2900          ,BH0027,4977.8,337.0,462011.4,False,False,False,2007-09-02T20:36:43,1.95,0.0,0.0,1.78,0.0,-14.81901441921327,-13.534617148551582,-14.852323675758901,-13.265680319140992,-13.263205245075639,,,,-13.756465898167939,-13.775208043507318,,,,-13.445147565627945,-13.447696890661646,-5.95311480916229,-4.2698639960033224,-6.331893762067269,-5.143694133566701,-5.005770859182301,,,,-5.705093089394808,-5.496481687275925,,,,-5.332733880617726,-5.185219854254195,-13.550022025336878,-14.163675884293248,-13.844360366240224,-4.83952726701964,-5.986320302708807,-5.650683611229893,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9994,1.0,0.8151,0.9994,-0.9994,1.0,0.609,-0.0456,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,BH_OBS_160,BH,J1745-2900          ,BH0027,5005.3,337.0,462011.4,False,False,False,2007-10-26T10:23:56,1.12,1.0,0.0,0.97,,-14.82915179635669,,-14.651889931519761,-13.764976840504776,-13.638272163982407,,,,,,,,-14.964970717797632,,-13.939302159646388,-6.044408449594275,,-6.046240308266771,-5.546070407942271,-5.3226668485800985,,,,,-6.674895017028592,,,-6.3472703039307525,-5.858236769724212,-5.595679532778269,-13.959684515528911,,-14.502241281712733,-5.628802792677705,-7.276955008356555,-5.961330173177248,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.7108,0.9563,0.2742,0.9994,0.0162,1.0,0.3079,0.7676,-0.4641,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,BH_OBS_161,BH,J1745-2900          ,BH0027,27601.2,337.0,462011.4,False,False,False,2008-05-05T04:18:06,3.25,1.07,0.0,3.23,0.0,-15.592269271973665,-14.222863287495828,-15.222718208328985,-13.751536282448969,-13.756218083906205,,,-16.835349784065702,-14.189297139052883,-14.182302445236976,,,-15.513286224017515,-13.912928794093464,-13.914709421769935,-6.7447274948966935,-4.97183558057553,-6.603975103391407,-5.43937612545007,-5.281000362121282,,,-8.095338542084475,-5.719649306953994,-5.557206774060231,,,-6.891096872332687,-5.553773598221837,-5.397505931192719,-14.074785919501487,-14.583239371108442,-14.306331078102144,-5.398572367295746,-6.0280723637023,-5.858456165779347,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9194,0.9825,0.8264,0.9994,0.5871,1.0,0.8763,1.0,-0.0943,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,BH_OBS_162,BH,J1745-2900          ,BH0027,26801.3,337.0,462011.4,False,False,False,2008-05-06T03:23:51,1.33,0.0,0.0,1.4,0.0,-15.620331965966345,-14.236646891251784,-15.425043224235493,-14.277859874542585,-14.312114475151294,,,,,,,,,,,-6.730954290342377,-5.057991946977687,-6.800519085137644,-5.814741234703415,-5.659952682338607,,,,-6.608711951404702,-6.527682453683158,,,,-6.044360346976748,-5.899284913426919,-14.479844113055135,,,-5.59128189547472,-6.964250162680339,-6.36373281742629,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9994,1.0,0.7114,0.9994,-0.3923,1.0,0.6552,0.2592,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,BH_OBS_163,BH,J1745-2900          ,BH0027,27685.9,337.0,462011.4,False,False,False,2008-05-10T03:35:12,2.42,0.0,0.0,2.56,0.0,-15.516555351901465,-14.289036881004725,-15.61546738450575,-13.691862621361961,-13.701146923590294,,,,-14.122053048370812,-14.131296797721463,,,,-13.85573722623801,-13.864867348623225,-6.785421046429501,-5.017638298366853,-7.049099910633613,-5.541815564429737,-5.420445039599001,,,,-5.904133546521457,-5.806597096937582,,,,-5.6823544567788415,-5.567672207738396,-14.036998390424486,-14.524590338587032,-14.258218303856834,-5.480823017191248,-6.250572900878251,-6.019178833355665,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9994,1.0,0.9151,0.9994,-0.9994,1.0,0.8476,0.0893,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,BH_OBS_164,BH,J1745-2900          ,BH0027,27436.9,337.0,462011.4,False,False,False,2008-05-11T03:57:17,3.54,0.0,0.0,3.4,0.0,-15.629857152948897,-14.215810794619038,-15.158202701125644,-13.462558716592053,-13.478600371884625,,,,-13.710857164067667,-13.741841806659206,,,,-13.565910361582109,-13.590574131328557,-6.763966852882364,-5.04378353075661,-6.770574152079305,-5.391260080931212,-5.249723084846007,,,,-5.654430243943608,-5.504039605118295,,,,-5.503208684299958,-5.3553644962318465,-13.825630798603939,-14.124013228571512,-13.97600719539353,-5.41857832056236,-5.970697406441002,-5.8209655340679936,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9994,1.0,0.9001,0.9994,-0.1449,1.0,0.8951,0.5228,-0.7926,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,BH_OBS_165,BH,J1745-2900          ,BH0027,27775.0,337.0,462011.4,False,False,False,2008-07-26T21:38:28,2.65,0.0,0.0,2.57,0.0,-15.56336036830734,-14.157890236559389,-15.462558716592053,-13.782516055786093,-13.80493100353141,,,,-14.32984695480782,-14.37903156435571,,,,-13.975104039892514,-14.003357008644528,-6.7500682433658055,-4.940058111938045,-6.83238732727247,-5.537751784645002,-5.384997385475412,,,,-5.8941493256148565,-5.733063088840827,,,,-5.680269505669775,-5.521145032471337,-14.099742141562222,-14.75168335965822,-14.386940824310482,-5.424237326478608,-6.204119982655925,-5.991399828238082,,,,,,,,,,,,,,,,,,7.0,0.8301999999999999,0.00048116900000000004,0.9994,1.0,0.8626,0.9994,-0.9981,1.0,0.8389,0.2854,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
