#angDist,name,ra,dec,err_ellipse_r0,conf_flag,extent_flag,sat_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,significance,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,var_intra_index_b,var_intra_index_w,var_inter_index_b,var_inter_index_w,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp
0.910017,2CXO J174804.1-244648,267.0174384250124,-24.78003883911819,0.7245399166762017,0,0,0,6.9863929865568E-15,5.9866173676719E-15,7.9273582749191E-15,,,,19.2800331653732,,,,,,,0,,6,,4068061085762329728,267.0172370173898,8.092183281586143,-24.779864310646943,6.599598594490569,,,18.80047,
0.373450,2CXO J174804.2-244624,267.0175647462702,-24.77351005573655,0.7157640005603666,1,0,0,7.9229439645304E-15,6.9496057197496E-15,8.8962822093113E-15,,,,10.08980502826986,0.64584634603373,0.55902560899438,0.7264209868832,0.67707682698314,0.46658338538413,0.8475952529669,2,,6,,4068061085762319872,267.01766588402734,5.628920519715264,-24.77355830933867,4.017866657511242,,,18.948885,
0.769316,2CXO J174804.2-244624,267.0175647462702,-24.77351005573655,0.7157640005603666,1,0,0,7.9229439645304E-15,6.9496057197496E-15,8.8962822093113E-15,,,,10.08980502826986,0.64584634603373,0.55902560899438,0.7264209868832,0.67707682698314,0.46658338538413,0.8475952529669,2,,6,,4068061085762320000,267.0173427770102,15.083524498453903,-24.773581106266455,12.703476213423194,,,19.106432,
0.285036,2CXO J174804.2-244701,267.01760938117854,-24.78361448123828,0.7125296891457018,0,0,0,9.4428351997737E-15,8.1758569229061E-15,1.0635285342708E-14,,,,12.846583296087196,0.56089943785134,0.45908806995628,0.65646470955653,0.62960649594004,0.42161149281699,0.8051217988757,3,,5,,4067310462871678720,267.0176585810121,2.897659117662628,-24.783549107980722,2.7122075116806976,,,18.391186,
0.482847,2CXO J174804.2-244625,267.0177604357168,-24.77380440716518,0.7122246831862092,1,0,0,6.7615562594349E-15,6.1926644537114E-15,7.2925219447768E-15,,,,20.91285180834377,-0.49718925671455,-0.57776389756402,-0.41911305434104,0.51967520299813,0.44409743910056,0.59400374765771,7,,0,,4068061120122058112,267.01790049449164,5.277935837924366,-24.77376177716126,4.473112924419894,,,19.43185,
0.938312,2CXO J174804.2-244625,267.0177604357168,-24.77380440716518,0.7122246831862092,1,0,0,6.7615562594349E-15,6.1926644537114E-15,7.2925219447768E-15,,,,20.91285180834377,-0.49718925671455,-0.57776389756402,-0.41911305434104,0.51967520299813,0.44409743910056,0.59400374765771,7,,0,,4068061085762319872,267.01766588402734,5.628920519715264,-24.77355830933867,4.017866657511242,,,18.948885,
0.270098,2CXO J174804.3-244636,267.0180438231855,-24.77673242825109,0.7110099942811835,1,0,0,3.3470336678714E-14,3.1894501558739E-14,3.494768210369E-14,,,,22.27943147991055,0.87320424734541,0.85384134915678,0.89256714553404,0.61711430356027,0.48532167395378,0.74515927545284,7,,5,,4068061085762352000,267.01806678593863,1.8194643764355838,-24.77666035614148,1.6629775881914872,,,18.21031,
0.672425,2CXO J174804.4-244638,267.0183769803359,-24.777342864244215,0.7100992769818424,1,0,0,6.043682810803E-14,5.8647783187648E-14,6.2114057720888E-14,,,,39.08532153975704,0.57963772642099,0.55902560899438,0.6002498438476,0.80199875078076,0.76514678326046,0.83635227982511,7,,5,,4068061085762372608,267.01842617312604,2.355191690554436,-24.777524230207092,2.043118374059278,,,18.14094,
0.449677,2CXO J174804.5-244640,267.0190432292568,-24.77799055927751,0.7116209167221529,1,0,0,2.7693318328869E-15,2.3517353698048E-15,3.1570999771774E-15,,,,13.837467312494882,-0.39225484072455,-0.53653966271081,-0.25671455340412,0.41723922548407,0.3104309806371,0.526545908807,6,,5,,4068061085762350848,267.01918080326925,1.4108028752260804,-24.77798992767925,1.250016096130251,,,17.884985,
0.764138,2CXO J174804.5-244634,267.0191431382499,-24.776260432418944,0.7158563832610553,0,0,0,2.6543547128283E-15,2.2717858616872E-15,3.0095972174593E-15,,,,6.253990613012534,0.82823235477826,0.74016239850094,0.91380387257964,0.99937539038101,0.47657713928794,1.0,2,,0,,4068061085762337536,267.0193769097993,1.4457753187270035,-24.77626219271698,1.2523138136839314,,,16.985596,
0.813199,2CXO J174804.7-244642,267.0197667208795,-24.778573797185896,0.7138807538533066,0,0,0,1.6198201515716E-15,1.2875493512492E-15,1.952090951894E-15,,,,9.001651190837938,-0.73329169269207,-0.88881948782011,-0.59525296689569,0.40849469081824,0.29044347282948,0.52154903185509,1,,4,,4068061085762339072,267.01952001631133,0.7675086807671908,-24.778544584297432,0.6799752798766086,,,16.633505,
0.835547,2CXO J174804.7-244642,267.0197667208795,-24.778573797185896,0.7138807538533066,0,0,0,1.6198201515716E-15,1.2875493512492E-15,1.952090951894E-15,,,,9.001651190837938,-0.73329169269207,-0.88881948782011,-0.59525296689569,0.40849469081824,0.29044347282948,0.52154903185509,1,,4,,4068061085762351488,267.0196219381229,8.796809423382493,-24.778382515235965,7.604109931244722,,,17.496088,
0.904692,2CXO J174804.8-244649,267.0200924450189,-24.780310665975488,1.2263689376457718,1,1,0,4.0135616311709E-14,3.7700869872171E-14,4.2570362751246E-14,,,,39.01383701601478,0.13491567770144,0.075577763897564,0.19175515302936,0.62460961898813,0.55902560899438,0.68769519050593,2,,8,,4068061085762318464,267.0203184684054,0.5267744381882458,-24.78045572317105,0.45757761646632145,,,17.741055,
0.356719,2CXO J174804.8-244639,267.0201260403617,-24.77760881705797,0.71630492975522,0,0,0,2.0372755927732E-16,0.0,4.0745511855465E-16,,,,6.582621366386596,-0.99937539038101,-1.0,-0.60649594003748,0.61336664584635,0.4366021236727,0.77638975640225,0,,5,,4068061085762314752,267.0201661231553,0.8356094176194663,-24.77751665363365,0.7262358555255899,,,17.551203,
0.446284,2CXO J174805.0-244641,267.0209730676338,-24.77813532051402,0.7106976899271759,0,0,0,5.4082762328941E-14,5.1173598713633E-14,5.6797981703229E-14,,,,29.795808975814243,0.75702685821362,0.7264209868832,0.78638351030606,0.67457838850718,0.56901936289819,0.77638975640225,6,,6,,4068061085689775744,267.02103134383907,12.915078835274333,-24.778247429418638,11.565370688099106,,,18.193125,
0.841489,2CXO J174805.0-244641,267.0209730676338,-24.77813532051402,0.7106976899271759,0,0,0,5.4082762328941E-14,5.1173598713633E-14,5.6797981703229E-14,,,,29.795808975814243,0.75702685821362,0.7264209868832,0.78638351030606,0.67457838850718,0.56901936289819,0.77638975640225,6,,6,,4068061085762375040,267.02115465354547,6.6898458740203415,-24.777969622216027,5.47117470352728,,,17.342121,
0.707579,2CXO J174805.2-244647,267.02175808432,-24.77990071538785,0.7102988039804317,1,1,0,1.2364743633058E-14,1.0891274882915E-14,1.375153775084E-14,,,,56.30050815254891,0.013741411617739,-0.10555902560899,0.13054341036852,0.46595877576515,0.34041224234853,0.58276077451593,10,,8,,4067310462871686912,267.0218216262778,6.571751084912709,-24.779712823101693,5.747449166188009,,,17.415598,
0.447516,2CXO J174805.2-244651,267.0219403133294,-24.78102734992217,0.7103453522159069,1,0,0,1.2590992291265E-14,1.1783831104636E-14,1.3347705903729E-14,,,,23.470562236031437,-0.15615240474703,-0.21798875702686,-0.093066833229232,0.58838226108682,0.526545908807,0.64772017489069,1,,0,,4067310462863567104,267.02188166913675,22.223219027515487,-24.780915019743073,24.587171180923395,,,18.232157,
0.265193,2CXO J174805.3-244652,267.0223424887397,-24.781387408162285,0.7108239571461361,1,0,0,2.2217695766786E-14,2.0990974906395E-14,2.3367746573403E-14,,,,21.932293484038745,0.42348532167395,0.37788881948782,0.46783260462211,0.68707058088695,0.61648969394129,0.75515302935665,2,,8,,4067310462871673984,267.0222617170419,25.920815982351723,-24.78139438212459,19.2755640965677,,,18.147038,
0.270017,2CXO J174805.3-244652,267.0223424887397,-24.781387408162285,0.7108239571461361,1,0,0,2.2217695766786E-14,2.0990974906395E-14,2.3367746573403E-14,,,,21.932293484038745,0.42348532167395,0.37788881948782,0.46783260462211,0.68707058088695,0.61648969394129,0.75515302935665,2,,8,,4067310462871674112,267.0223666060409,37.47198028003616,-24.78131567086126,33.990766855051035,,,18.173326,
0.795703,2CXO J174805.3-244652,267.0223424887397,-24.781387408162285,0.7108239571461361,1,0,0,2.2217695766786E-14,2.0990974906395E-14,2.3367746573403E-14,,,,21.932293484038745,0.42348532167395,0.37788881948782,0.46783260462211,0.68707058088695,0.61648969394129,0.75515302935665,2,,8,,4067310462863601152,267.02238333774,5.362693785842192,-24.78160530291052,4.439073077888134,,,18.71868,
0.877098,2CXO J174805.3-244656,267.0223971882141,-24.78238121331213,0.7108638263451525,0,0,0,2.7009044873006E-15,2.0074290108316E-15,3.3578812544819E-15,,,,20.142458648157145,0.83572767020612,0.70143660212367,0.947532792005,,,,9,,8,,4067310462871661312,267.0224262819797,0.6746643189160896,-24.782139011226768,0.5914751413247409,,,17.655184,
0.660368,2CXO J174805.4-244643X,267.0225675535086,-24.778799329170663,3.422785409091832,,1,,,,,,,,55.78370490815625,,,,,,,,,,,4067310462871647232,267.0223660037559,2.157094503288691,-24.77881205610042,2.008248264555579,,,18.316147,
0.885464,2CXO J174805.4-244643X,267.0225675535086,-24.778799329170663,3.422785409091832,,1,,,,,,,,55.78370490815625,,,,,,,,,,,4067310462871657600,267.0227899208066,11.234435427712295,-24.77893981413738,9.698112549911508,,,18.01643,
0.967522,2CXO J174805.4-244643X,267.0225675535086,-24.778799329170663,3.422785409091832,,1,,,,,,,,55.78370490815625,,,,,,,,,,,4067310462871688704,267.0223077185218,29.085837796890345,-24.778670585449326,20.903989529986237,,,18.039381,
0.975585,2CXO J174806.0-244624,267.0253503894502,-24.77343728702797,0.7107707947353021,0,0,0,3.7935562554316E-15,3.5202053927152E-15,4.066907118148E-15,,,,16.28155108779082,-0.68207370393504,-0.74016239850094,-0.61898813241724,0.61211742660837,0.55028107432854,0.67145534041224,2,,3,,4068061120122074240,267.0253733206562,2.2720539043311225,-24.77316709225069,1.9037685414057168,,,18.732918,
0.385050,2CXO J174806.1-244617,267.02570503547554,-24.77162923777922,0.7116541040028692,0,0,0,1.802449152958E-14,1.6861880886726E-14,1.9187102172435E-14,,,,19.472042569123758,0.64334790755778,0.59775140537164,0.68769519050593,0.66958151155528,0.5577763897564,0.7738913179263,2,,5,,4068061120055149952,267.02575182839536,1.4385102240553418,-24.771531080159217,1.7163183813610081,,,20.005009,
0.566656,2CXO J174806.1-244642,267.02580308636357,-24.778577383779357,0.7106644579829323,0,1,0,2.9732614798569E-14,2.8501291363145E-14,3.088698051928E-14,,,,31.166556524255547,0.094940662086196,0.054341036851967,0.13554028732042,0.63085571517801,0.58525921299188,0.67520299812617,0,,5,,4067310497214307968,267.02574399734135,6.847929607423066,-24.778725363208025,6.680880838928079,,,19.23692,
0.841595,2CXO J174806.3-244710,267.02657625023903,-24.78611745597777,0.837427582464533,0,0,0,,,,,,,1.0731707317073103,,,,,,,,,,,4067310462854525056,267.0265363738568,2.2733738073294605,-24.786348412280184,1.6894265125152823,,,19.839731,
0.048393,2CXO J174808.8-244630,267.03681759023834,-24.77519824508425,0.7249309666367894,0,0,0,2.4815724939568E-15,2.0162776513399E-15,2.9468673365737E-15,,,,6.430039394145406,0.49219237976265,0.33541536539663,0.62773266708307,0.45096814490943,0.18051217988757,0.7001873828857,1,,5,,4067310497221114240,267.0368267707038,8.789922759843927,-24.77520879116348,7.619782235850617,,,20.205715,
