,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
198,Gaia17aau,2017,18.06,20:11:56.4,+23:02:19.68,0,Candidate
199,Gaia17aav,2017,18.79,19:42:19.92,+29:00:05.76,0,Candidate
200,Gaia17aay,2017,17.89,08:06:05.76,-23:21:30.6,0,Candidate
201,Gaia17aaz,2017,13.62,18:35:12.72,+38:20:04.2,0,known_CV
202,Gaia17abv,2017,16.84,18:02:31.44,+30:58:29.28,0,Candidate
203,Gaia17acm,2017,17.64,06:01:28.056,-20:32:56.76,0,known_CV
204,Gaia17adc,2017,18.55,05:12:52.68,-12:38:14.64,0,known_CV
205,Gaia17ade,2017,16.1,22:29:00.24,+26:37:06.96,0,known_CV
206,Gaia17ads,2017,18.31,18:16:40.08,+17:52:18.84,0,Candidate
207,Gaia17aey,2017,13.63,21:07:42.24,+37:14:08.52,0,known_CV
208,Gaia17afg,2017,18.38,06:15:44.352,-15:05:35.16,0,known_CV
209,Gaia17afp,2017,17.83,21:17:21.12,+45:58:47.64,0,Candidate
210,Gaia17afq,2017,17.91,22:57:39.6,+50:43:04.08,0,Candidate
211,Gaia17afr,2017,17.71,16:40:06.72,-16:30:02.88,0,Candidate
212,Gaia17afs,2017,16.42,17:35:17.28,+01:32:49.488,0,Candidate
213,Gaia17aft,2017,18.81,07:38:03.6,-33:34:23.16,0,Candidate
214,Gaia17agc,2017,16.48,03:50:34.848,+35:32:47.04,0,known_CV
215,Gaia17ahf,2017,16.56,05:03:32.832,+69:09:47.16,0,Candidate
216,Gaia17aia,2017,17.84,05:19:55.272,-46:01:42.6,0,known_CV
217,Gaia17akc,2017,18.31,05:06:27.648,+32:48:43.2,0,Candidate
218,Gaia17ako,2017,17.34,15:36:45.36,-14:25:43.68,0,Candidate
219,Gaia17alz,2017,18.81,14:38:36.72,-38:20:10.68,0,Candidate
220,Gaia17anv,2017,17.63,11:05:00.72,-62:38:22.92,0,Candidate
221,Gaia17anw,2017,18.81,10:26:53.28,-65:59:29.76,0,Candidate
222,Gaia17aoe,2017,16.54,11:00:16.08,-56:34:24.96,0,known_CV
223,Gaia17aok,2017,18.89,21:52:56.64,+59:18:19.44,0,Candidate
224,Gaia17aop,2017,17.86,22:10:18,+53:08:35.52,0,Candidate
225,Gaia17aoz,2017,18.18,02:10:59.664,+10:35:10.68,0,Candidate
226,Gaia17apc,2017,18.77,19:55:13.68,+52:10:58.08,0,Candidate
227,Gaia17apr,2017,16.47,19:25:00,+43:00:07.92,0,Candidate
228,Gaia17apw,2017,17.0,07:25:09.36,-43:50:07.8,0,Candidate
229,Gaia17apx,2017,16.14,04:11:33.624,-09:07:29.532,0,known_CV
230,Gaia17apz,2017,18.23,10:18:20.64,-44:29:16.08,0,Candidate
231,Gaia17aqg,2017,16.06,08:06:53.52,-41:17:04.56,0,Candidate
232,Gaia17aqj,2017,17.5,19:41:45.6,+33:54:01.44,0,Candidate
233,Gaia17aqk,2017,18.38,19:41:58.32,+35:07:13.8,0,Candidate
234,Gaia17aqq,2017,18.24,06:14:32.352,-18:08:21.48,0,Candidate
235,Gaia17aqt,2017,18.88,07:31:45.36,-30:25:22.8,0,known_CV
236,Gaia17aqx,2017,17.29,18:04:19.44,+13:21:37.8,0,Candidate
237,Gaia17ara,2017,18.41,17:46:07.68,+05:29:40.488,0,Candidate
238,Gaia17arb,2017,18.56,18:49:04.32,+14:50:44.88,0,Candidate
239,Gaia17arc,2017,18.3,07:49:39.84,-27:35:41.28,0,Candidate
240,Gaia17ari,2017,19.82,00:46:06.648,+42:03:46.08,0,N
241,Gaia17arj,2017,17.97,20:52:27.12,+31:50:26.88,0,Candidate
242,Gaia17arq,2017,16.07,09:31:22.56,-35:20:54.24,0,Candidate
243,Gaia17aru,2017,14.38,02:04:01.104,+43:41:32.64,0,known_CV
244,Gaia17arw,2017,18.86,03:09:29.712,+43:18:11.16,0,Candidate
245,Gaia17asc,2017,15.41,20:20:51.36,+22:10:20.64,0,Candidate
246,Gaia17ass,2017,17.09,07:58:48.48,-11:14:51.72,0,known_CV
247,Gaia17asw,2017,17.63,02:36:27.6,+50:44:34.08,0,Candidate
248,Gaia17asx,2017,17.69,20:49:26.4,+19:45:05.4,0,Candidate
249,Gaia17auh,2017,17.23,10:45:21.6,-50:35:27.24,0,Candidate
250,Gaia17auw,2017,18.28,20:13:06.72,-36:56:20.4,0,Candidate
251,Gaia17auy,2017,18.3,20:43:18.24,-07:09:52.092,0,Candidate
252,Gaia17avh,2017,16.13,20:26:02.88,-32:08:15.36,0,known_CV
253,Gaia17avw,2017,17.46,20:59:25.2,-23:59:36.6,0,known_CV
254,Gaia17axj,2017,18.26,20:33:34.8,+45:23:08.88,0,Candidate
255,Gaia17ayi,2017,17.6,20:33:36,+24:27:05.4,0,Candidate
256,Gaia17ayl,2017,16.9,19:13:34.56,+37:23:22.2,0,Candidate
257,Gaia17ayu,2017,16.53,18:57:36.96,+32:08:35.88,0,Candidate
258,Gaia17bal,2017,17.21,06:00:37.584,-08:09:44.928,0,known_CV
259,Gaia17bbp,2017,15.88,06:34:01.68,+26:50:13.2,0,Candidate
260,Gaia17bdj,2017,16.12,17:55:14.4,-55:19:17.4,0,Candidate
261,Gaia17bdm,2017,17.98,17:51:22.8,-60:59:43.08,0,Candidate
262,Gaia17beb,2017,16.04,18:28:46.8,+32:27:05.76,0,known_CV
263,Gaia17ber,2017,17.65,06:33:04.776,+03:24:22.716,0,known_CV
264,Gaia17bfe,2017,16.49,18:51:30,-28:15:51.84,0,Candidate
265,Gaia17bfj,2017,17.28,15:24:52.8,-65:22:05.52,0,Candidate
266,Gaia17bfz,2017,17.57,08:26:54.72,-00:07:33.24,0,known_CV
267,Gaia17bgj,2017,16.62,21:14:00.72,+14:18:49.32,0,Candidate
268,Gaia17bif,2017,14.92,19:16:09.6,-62:35:51.72,0,known_CV
269,Gaia17blu,2017,17.89,10:57:25.2,-72:03:10.08,0,Candidate
270,Gaia17bmx,2017,17.29,00:12:33.674,+37:50:13.56,0,known_CV
271,Gaia17bnk,2017,17.46,06:22:36.6,-38:33:42.48,0,known_CV
272,Gaia17bnx,2017,16.05,08:40:38.64,-35:51:39.6,0,Candidate
273,Gaia17bot,2017,17.88,08:08:01.2,-23:50:32.28,0,Candidate
274,Gaia17bpc,2017,18.62,07:52:55.92,-19:54:37.08,0,Candidate
275,Gaia17bpu,2017,17.85,23:51:38.16,-08:35:02.904,0,Candidate
276,Gaia17bpx,2017,18.8,06:49:35.04,-21:51:12.96,0,Candidate
277,Gaia17bqe,2017,16.59,17:13:13.2,+36:38:47.04,0,Candidate
278,Gaia17bqf,2017,17.77,19:59:19.92,+16:24:41.04,0,Candidate
279,Gaia17bqv,2017,17.95,07:23:22.08,-27:09:17.28,-1,Candidate
280,Gaia17bqw,2017,14.8,07:41:08.4,-30:03:18,0,Candidate
281,Gaia17brz,2017,17.66,08:37:56.64,-22:47:08.88,0,Candidate
282,Gaia17bsk,2017,17.94,08:14:11.76,-56:33:25.56,0,known_CV
283,Gaia17bsp,2017,16.59,21:34:49.44,+35:32:03.84,0,Candidate
284,Gaia17bsv,2017,18.71,22:03:02.88,+36:25:33.24,0,known_CV
285,Gaia17bsy,2017,18.21,09:46:41.04,-45:52:01.92,0,Candidate
286,Gaia17bth,2017,17.35,10:27:56.88,-47:58:18.48,0,Candidate
287,Gaia17btz,2017,18.71,00:29:32.333,+50:25:54.12,0,known_CV
