obs_id,src_id,num_obs,sepn,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_b,photflux_aper_m,photflux_aper_h,photflux_aper_s,hard_hm,flux_aper_b,hard_hs,hard_ms,flux_aper_s,flux_aper_m,flux_aper_h,photflux_aper_u,var_inter_prob_b,var_inter_index_b,var_inter_sigma_b,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_sigma_m,var_inter_index_m,var_inter_prob_m,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,flux_aper_u,var_max_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b
CV_1_obs_1,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,845.1,20.78,1834.511,CV,5.201211286048751,5.43356250780493,6.135113635058492,5.622883130164852,-0.6496,14.058687374639337,0.5234,0.7021,14.402064485535059,14.61384959498975,14.392845035256364,5.358690129558857,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.668610084810728,0.004151790000000003,0.5208800000000003,0.6503599999999997,0.6204699999999997,0.0006092620000000009,0.0022629499999999993,0.0016373089999999993
CV_1_obs_2,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,31673.8,20.78,1834.511,CV,5.449160394934215,6.136142038116027,6.3439976793170425,5.844056982028164,-0.1974,14.059284343093337,-0.5122,-0.336,14.435807539373801,14.752517739322945,14.452840878672582,5.176460566343141,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.580374639112257,0.001406,0.348,0.056,0.213,6.305e-05,0.000904,0.0008767999999999997
CV_1_obs_3,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,4691.1,20.78,1834.511,CV,5.265072808702821,5.895742980809818,6.199303442674105,5.608934158042919,-0.0687,13.994698003068528,-0.5072,-0.426,14.420230113441919,14.634278705771788,14.31623466357175,5.3832471718326245,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.570258423458831,0.004145,0.505,0.557,0.516,0.0003567,0.002447,0.002229
CV_1_obs_4,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,65237.5,20.78,1834.511,CV,5.258446717000359,6.009310152716074,6.112585410704842,5.625420088278076,0.0899,13.98312680734569,-0.3923,-0.4622,14.43952042945038,14.640501808551686,14.188764914910927,5.406942969614492,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.682786253937168,0.004151,1.0,0.999,1.0,0.00102,0.001967,0.0003666
CV_1_obs_5,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,59044.6,20.78,1834.511,CV,5.134363112300371,6.0455162828444475,5.874193541860473,5.505428015769802,0.2024,13.809668301829708,-0.3973,-0.5522,14.288699040083834,14.65856547542186,14.065097741677686,5.469544156415324,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.774690718274137,0.005429,1.0,1.0,1.0,0.0015140000000000002,0.002572,0.0008451000000000001
CV_1_obs_6,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,65240.7,20.78,1834.511,CV,5.296708621881338,6.0625322603566225,6.103088159173975,5.696156225111346,-0.0375,13.997402019280091,-0.4372,-0.4035,14.474307475494989,14.674279141980588,14.29413628771608,5.433444669116945,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.579549140893931,0.004068,0.996,0.429,0.81,0.001069,0.001803,0.0003007
CV_1_obs_7,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,68771.4,20.78,1834.511,CV,5.339513984215032,6.082284483440507,6.247260306064672,5.721475035262983,-0.1711,14.09151498112135,-0.5347,-0.3935,14.50017550416042,14.70071066591232,14.475603877896159,5.579384229374235,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.486915639534855,0.002746,0.363,0.908,0.861,0.0001519,0.001636,0.00157
CV_1_obs_8,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,5307.0,20.78,1834.511,CV,5.3879582553547305,5.9657727392294495,6.167874457465991,5.810509686300632,-0.1749,14.1651979459513,-0.42100000000000004,-0.2399,14.568636235841012,14.624885315307775,14.59482445378201,5.398809467384666,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.801342913045577,0.001878,0.378,0.315,0.335,0.000119,0.001434,0.001357
CV_1_obs_9,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,1928.3,20.78,1834.511,CV,5.00850811108984,5.684239509334265,6.140661238996991,5.260981754116519,-0.9994,13.917933065714887,-0.9994,-0.4834,14.00436480540245,14.342752870116284,14.315143700364507,5.175353585281648,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.393618634889394,0.005308,0.382,0.602,0.607,0.0006887999999999999,0.003768,0.002645
CV_1_obs_10,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,5544.8,20.78,1834.511,CV,5.2123215494687996,5.91551735298834,6.0855395564813195,5.5805807430827965,0.386,13.963156543644477,-0.0949,-0.4572,14.406879144823652,14.63503732684281,14.230027429607027,5.414808307230515,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.660998818184243,0.005151,0.725,0.8240000000000001,0.963,0.0008012000000000001,0.002403,0.001655
