photflux_aper_u,photflux_aper_lolim_s,photflux_aper_hilim_h,photflux_aper_lolim_h,photflux_aper_m,photflux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_h,photflux_aper_lolim_u,photflux_aper_b,photflux_aper_s,photflux_aper_hilim_m,photflux_aper_lolim_b,photflux_aper_lolim_m,photflux_aper_hilim_u,photflux_aper_lolim,photflux_aper_hilim,flux_aper_lolim,flux_aper_hilim,flux_aper_lolim_u,flux_aper_hilim_b,flux_aper_lolim_s,flux_aper_h,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_hilim_s,photflux_aper,flux_aper_hilim_u,flux_aper_m,flux_aper_hilim_h,flux_aper_lolim_b,flux_aper_u,flux_aper,flux_aper_s,flux_aper_b,flux_aper_hilim_m,var_index,var_inter_index,var_mean,var_prob,kp_prob,var_max,var_min,var_inter_sigma,var_inter_prob,var_sigma,ks_prob,hard_hm_hilim,hard_hm,hard_hs_hilim,hard_hs_lolim,hard_hm_lolim,hard_ms,hard_hs,hard_ms_lolim,hard_ms_hilim,class
-4.673050005834002,-5.0,-6.108406795651035,-5.0,-5.0,-5.710188160882377,-5.723308471154961,-5.0,-6.015562705203924,-5.0,-6.024246610963713,-6.226286674722978,-5.0,-5.0,-4.382056565171027,-6.714532709539943,-5.029625225662862,-14.764760000197024,-13.277451628744464,-14.0692037370167,-14.709520186669328,-16.17204947169737,-13.0,-13.0,-14.0,-14.581036169296373,-5.353092666639959,-12.599462010608056,-14.0,-14.197226274708026,-13.0,-12.87876854485038,-13.573339119870381,-14.870954940112044,-13.0,-14.817585347565446,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.3510000000000004e-06,1.0,0.0,0.0,1.0,0.9994,-0.1818,-1.0,-0.2392,-0.9994,-0.9994,-1.0,-0.3154,XRB
-4.0,-6.735182176990462,-5.935542010773082,-6.263603497723357,-5.824488186636553,-5.341320971417551,-6.250186414707062,-6.064744718215952,-5.0,-5.4139756176130245,-6.422393322637465,-5.73969005420508,-5.501138311007116,-5.936666641048252,-6.407490152099321,-5.996539467890494,-5.769990704887166,-14.571711285579443,-14.35421187869582,-14.0,-14.085128182459949,-15.551602896542231,-14.492009275180306,-14.694433686484695,-14.567511744229494,-15.066563332173722,-5.879913278215058,-14.0,-14.455188088242226,-14.360812440064244,-14.2429837652687,-13.0,-14.447572111323938,-15.238748925691338,-14.156891858000392,-14.370590400897283,0.5,8.0,0.0006475750000000001,0.523,0.3905,0.0010083,0.0005745500000000001,8.827275000000001e-06,1.0,9.096625e-05,0.4270000000000001,-0.0681,-0.2586,0.6252,0.1355,-0.4478,0.5921,0.3998,0.4116,0.7464,XRB
-4.0,-5.0,-5.596193389452576,-7.19825338078054,-5.0,-5.484788695672199,-5.671416550285798,-5.876148359032914,-5.0,-4.0,-5.0,-6.067475502949457,-5.0,-5.0,-3.7124221909212944,-7.8972233851165585,-4.39212461166064,-16.09108625997903,-13.55577714860542,-14.0,-13.860750782428394,-14.0,-13.0,-13.0,-14.0,-14.537152964168325,-6.575118363368933,-12.963371104637837,-14.0,-13.95546023960759,-15.39211625564301,-13.0,-14.835825658083351,-14.0,-14.136855653747332,-14.603103550857474,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9994,0.9713,-0.1943,0.2717,-0.9994,0.2836,-1.0,-0.0656,XRB
-4.0,-6.397505931192719,-5.4381833356810425,-5.656394491895827,-5.743522793758324,-5.087937444411498,-5.963770455913704,-5.533725678210708,-5.0,-5.155895769302488,-6.128602218512516,-5.646660904688695,-5.236572006437063,-5.877784121727173,-5.971022294791223,-5.710794680148142,-5.488785298863612,-14.07399627046143,-13.88074213066055,-14.0,-13.51173138450454,-15.216024996587329,-13.662940273679476,-13.7856861025756,-14.475084852460132,-14.782516055786092,-5.603497276000113,-15.222355722303515,-14.340939927759061,-13.567511744229494,-13.66094626429086,-13.0,-13.968753163767323,-14.947306058075032,-13.579879151914295,-14.244048958995867,0.5,4.0,0.0012036249999999998,0.48325,0.71,0.0016138,0.0010446499999999998,6.077666666666666e-08,0.68225,0.0001734775,0.8270000000000001,0.4054,0.2498,0.7452,0.4229,0.0806,0.4035,0.5984,0.188,0.6002,XRB
-4.0,-6.991399828238082,-6.567190994966833,-5.0,-6.798876102792621,-5.974284616098659,-6.354479485094126,-5.0,-5.0,-6.1427278264359595,-6.565271458220242,-6.552841968657781,-6.421475394725007,-7.422048872270246,-6.3397987986193165,-6.984020266638384,-6.299071407687558,-15.699910183088196,-14.996098073379002,-14.0,-14.7594507517174,-15.795880017344075,-13.0,-13.0,-16.007579043947974,-15.159141445958118,-6.6379324142725995,-13.0,-15.384365531122587,-15.057644650292325,-15.267606240177033,-13.0,-15.305548366666665,-15.369979148886593,-14.943095148663527,-15.138346129786092,0.0,5.0,0.00023890000000000003,0.47700000000000004,0.8240000000000001,0.000344,0.00023380000000000002,0.0,0.0,1.3800000000000002e-05,0.447,0.5078,0.1262,-0.0406,-1.0,-0.6177,-0.2948,-0.4597,-0.659,0.1243,XRB
-5.6701954778359305,-6.806041021980812,-7.133004186889353,-5.0,-5.0,-6.175678875149228,-6.320935681878687,-5.0,-6.120216219909585,-6.344093581819784,-6.493089274448483,-6.926281649653879,-6.622875957653544,-5.0,-5.462558716592052,-6.637216036530086,-6.019177017747077,-15.978645286918573,-15.063134541024375,-16.34486156518862,-15.098487190870062,-15.545917729268911,-13.0,-13.0,-14.0,-15.060880282351516,-6.234912880071287,-14.732124580681102,-14.0,-15.202524712462663,-15.708853238268116,-15.022642270454698,-15.391431180896747,-15.233066906162716,-15.304255724802676,-15.752272167090275,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.171680000000001e-07,0.6361999999999999,0.0,0.0,0.1555,-0.9994,-0.6252,-1.0,-1.0,-0.9994,-0.9994,-1.0,-0.4816,XRB
-4.368759219764491,-5.0,-6.869344650977969,-5.0,-5.0,-6.7862167006646965,-6.854803593885817,-5.0,-4.453951133598267,-4.0,-5.0,-5.0,-5.0,-5.0,-4.297483302561849,-5.056011124926228,-4.895782699400632,-12.830987208106768,-12.674257294461007,-12.228927216778805,-15.266722466067419,-14.0,-13.0,-13.0,-14.0,-15.371611069949687,-4.970819211092453,-12.073040511619725,-14.0,-15.169732199066358,-13.0,-12.144057053767686,-12.746117045095644,-14.0,-13.0,-14.0,0.0,0.0,0.001032,0.156,0.321,0.001056,0.0010119999999999999,2.393e-05,0.0,1.93e-05,0.23199999999999998,0.0,0.0,0.5191,-0.7964,0.0,0.0,-0.1074,0.0,0.0,CV
-4.324955264044108,-5.0,-5.0,-5.0,-5.0,-6.850165303284215,-5.0,-5.0,-4.4039529924545615,-4.0,-5.0,-7.031657169041054,-5.0,-5.0,-4.258139605934736,-4.881074247174222,-4.7334220566249545,-13.302189661191221,-13.155021717688825,-12.825068406471555,-15.883724412419456,-14.0,-13.0,-13.0,-14.0,-14.0,-4.802076518763768,-12.678608721688313,-14.0,-13.0,-13.0,-12.745693667668714,-13.222814922388375,-14.0,-13.0,-15.674895017028591,1.0,0.0,0.001139,0.633,0.885,0.002364,0.001034,2.393e-05,0.0,0.00017749999999999998,0.5589999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CV
-4.0,-4.986741334716483,-4.7073009969560715,-4.929223537156565,-4.969805214643249,-4.2105603154328195,-4.703334809738468,-4.804377056413063,-5.0,-4.276544327964814,-4.818442226137214,-4.8703101078007,-4.354283060630396,-5.109132061188558,-3.9182927299026513,-4.829222133142316,-4.327569618305033,-13.315082860075627,-13.054560959715426,-14.0,-12.757210190521324,-13.918292729902651,-12.943857737940949,-13.068847361476704,-13.72056121171298,-13.634886568372426,-4.723538195826756,-13.169411331314855,-13.581367312645936,-12.847100403606253,-12.901010360598825,-13.0,-13.210278306019076,-13.750068243365805,-12.823041019413091,-13.481617684454653,0.75,8.0,0.006248500000000001,0.44225,0.3575,0.012017,0.00500525,7.3510000000000004e-06,1.0,0.001337725,0.5665,0.3629,0.1936,0.1968,-0.193,0.0169,-0.1999,-0.0025,-0.3829,0.0044,XRB
-5.956244873031322,-6.315154638355588,-6.091300567647776,-6.446723953862901,-6.237621570688036,-5.525346746637937,-6.051098239029787,-6.233661524748713,-6.246800085800585,-5.593800576336689,-6.160207815554672,-6.133889960155622,-5.680893940690225,-6.3741732867142895,-5.790753151246626,-6.106182776032537,-5.851638001131668,-14.589027167337374,-14.348741374581154,-15.357634419155026,-13.996539467890491,-15.11243895906999,-14.242528052234332,-14.44490555142168,-14.989700043360187,-14.844360366240226,-5.957976072751133,-14.909036923404267,-14.846490010699162,-14.104964402547676,-14.151441427876234,-15.07784567476894,-14.450876526197035,-14.95467702121334,-14.06479513257342,-14.744245213356955,0.25,2.0,0.000585,0.37225,0.479,0.000820475,0.0005713249999999999,2.179075e-06,0.41525,3.1795e-05,0.4865,0.253,0.045,0.1693,-0.2842,-0.188,-0.0962,-0.0525,-0.2817,0.1031,CV
