,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_
153,CXOGLB J002403.1-720447,6.012975,-72.079817,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.104
154,CXOGLB J002403.1-720447,6.012833,-72.079814,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.103
155,XMMSL2 J002402.8-720447,6.011836,-72.079721,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.093
156,CXOGLB J002402.8-720449,6.011667,-72.080289,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.127
157,CXOGLB J002402.8-720449,6.011767,-72.080281,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.127
158,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.094
159,CXOGLB J002401.4-720441,6.005854,-72.078206,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,0.096
160,CXOGLB J002402.1-720542,6.008829,-72.095008,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720538 ,6.011109,-72.094063,0.071
161,CXOGLB J002402.1-720542,6.008796,-72.094986,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720538 ,6.011109,-72.094063,0.07
162,XMMSL2 J002402.8-720447,6.004696,-72.081982,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.164
163,XMMSL2 J002402.8-720447,6.013602,-72.080555,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.036
164,XMMSL2 J002402.8-720447,6.017688,-72.08105,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.117
165,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.057
166,CXOGLB J002402.1-720450,6.00925,-72.080678,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.051
167,CXOGLB J002403.1-720447,6.012975,-72.079817,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.038
168,CXOGLB J002403.1-720447,6.012833,-72.079814,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.037
169,XMMSL2 J002402.8-720447,6.011836,-72.079721,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.037
170,CXOGLB J002402.8-720449,6.011667,-72.080289,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.004
171,CXOGLB J002402.8-720449,6.011767,-72.080281,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.003
172,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,0.164
