,type,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,num_obs,XOFFSET_
55,CV,CV0056,2XMM_J025608.1+192634__,44.03385,19.44291,XMMSSCLWBS______,XMM-NEWTON___,2CXO_J025608.1+192634_,44.034105,19.442842,2,0.015
56,CV,CV0057,2XMM_J080622.9+152730__,121.59569,15.4586,XMMSSCLWBS______,XMM-NEWTON___,2CXO_J080622.9+152731_,121.595685,15.458634,1,0.002
57,CV,CV0058,2XMM_J174816.9-280750__,267.07065,-28.13075,XMMSSCLWBS______,XMM-NEWTON___,2CXO_J174817.0-280749_,267.070958,-28.130413,1,0.026
58,CV,CV0059,2XMM_J175013.1-064227__,267.55487,-6.70781,XMMSSCLWBS______,XMM-NEWTON___,2CXO_J175013.1-064228_,267.554839,-6.707869,4,0.004
59,CV,CV0060,2XMM_J180507.1-274308__,271.27969,-27.71903,XMMSSCLWBS______,XMM-NEWTON___,2CXO_J180507.0-274309_,271.279501,-27.719175,2,0.013
60,CV,CV0061,2XMM_J190109.3-220003__,285.28867,-22.00112,XMMSSCLWBS______,XMM-NEWTON___,2CXO_J190109.3-220005_,285.288993,-22.001639,1,0.036
61,CV,CV0062,2XMM_J231519.0-591029__,348.82925,-59.17477,XMMSSCLWBS______,XMM-NEWTON___,2CXO_J231518.9-591028_,348.828827,-59.174549,1,0.019
62,CV,CV0063,CHI_J162011-5002_1_____,245.027875,-50.033056,CHICAGOCXO______,CHANDRA______,2CXO_J162006.7-500159_,245.027924,-50.033097,1,0.003
63,CV,CV0064,CHI_J172550-3533_2_____,261.493875,-35.542028,CHICAGOCXO______,CHANDRA______,2CXO_J172558.5-353231_,261.493864,-35.542003,2,0.002
64,CV,CV0065,CHI_J194939+2631_1_____,297.409917,26.530278,CHICAGOCXO______,CHANDRA______,2CXO_J194938.3+263149_,297.409922,26.530282,1,0.0
65,CV,CV0066,CXOGLB_J002359.3-720438,5.997488,-72.077386,GC47TUCCXO______,CHANDRA______,2CXO_J002359.4-720438_,5.997523,-72.077393,12,0.001
66,CV,CV0067,CXOGLB_J002401.4-720441,6.006012,-72.078264,GC47TUCCXO______,CHANDRA______,2CXO_J002401.4-720441_,6.005988,-72.078311,8,0.003
67,CV,CV0068,CXOGLB_J002402.1-720450,6.009004,-72.080725,GC47TUCCXO______,CHANDRA______,2CXO_J002402.1-720450_,6.008913,-72.080727,8,0.002
68,CV,CV0069,CXOGLB_J002402.1-720542,6.008829,-72.095008,GC47TUCCXO______,CHANDRA______,2CXO_J002402.1-720542_,6.008951,-72.095027,13,0.003
69,CV,CV0070,CXOGLB_J002402.5-720511,6.010542,-72.086458,GC47TUCCXO______,CHANDRA______,2CXO_J002402.5-720511_,6.010643,-72.086484,13,0.002
70,CV,CV0071,CXOGLB_J002402.8-720449,6.011767,-72.080281,GC47TUCCXO______,CHANDRA______,2CXO_J002403.5-720452_,6.014684,-72.081116,13,0.074
71,CV,CV0072,CXOGLB_J002403.1-720447,6.012975,-72.079817,GC47TUCCXO______,CHANDRA______,2CXO_J002403.1-720447_,6.013009,-72.07985,26,0.002
72,CV,CV0073,CXOGLB_J002403.6-720459,6.015346,-72.083072,GC47TUCCXO______,CHANDRA______,2CXO_J002403.7-720459_,6.015486,-72.083083,39,0.003
73,CV,CV0074,CXOGLB_J002403.7-720423,6.015675,-72.07305,GC47TUCCXO______,CHANDRA______,2CXO_J002403.7-720423_,6.01575,-72.073064,13,0.002
74,CV,CV0075,CXOGLB_J002403.8-720621,6.016025,-72.106017,GC47TUCCXO______,CHANDRA______,2CXO_J002403.8-720621_,6.016136,-72.106038,9,0.002
75,CV,CV0076,CXOGLB_J002404.2-720458,6.017675,-72.082772,GC47TUCCXO______,CHANDRA______,2CXO_J002404.2-720457_,6.017843,-72.082764,39,0.003
76,CV,CV0077,CXOGLB_J002404.9-720455,6.020471,-72.082044,GC47TUCCXO______,CHANDRA______,2CXO_J002404.9-720455_,6.020589,-72.082103,34,0.004
77,CV,CV0078,CXOGLB_J002404.9-720506,6.020883,-72.085058,GC47TUCCXO______,CHANDRA______,2CXO_J002405.0-720506_,6.021004,-72.085077,4,0.002
78,CV,CV0079,CXOGLB_J002405.3-720421,6.02235,-72.072647,GC47TUCCXO______,CHANDRA______,2CXO_J002405.3-720421_,6.02249,-72.072679,1,0.003
79,CV,CV0080,CXOGLB_J002405.6-720449,6.023521,-72.080333,GC47TUCCXO______,CHANDRA______,2CXO_J002405.6-720449_,6.023632,-72.080356,25,0.002
80,CV,CV0081,CXOGLB_J002406.0-720456,6.024962,-72.082272,GC47TUCCXO______,CHANDRA______,2CXO_J002406.0-720456_,6.025117,-72.082283,21,0.003
81,CV,CV0082,CXOGLB_J002406.3-720443,6.026558,-72.078611,GC47TUCCXO______,CHANDRA______,2CXO_J002406.4-720443_,6.026676,-72.078634,13,0.003
82,CV,CV0083,CXOGLB_J002407.1-720545,6.029738,-72.096053,GC47TUCCXO______,CHANDRA______,2CXO_J002407.1-720545_,6.029837,-72.096075,13,0.002
83,CV,CV0084,CXOGLB_J002407.7-720527,6.032371,-72.0909,GC47TUCCXO______,CHANDRA______,2CXO_J002407.7-720527_,6.032464,-72.090925,26,0.002
84,CV,CV0085,CXOGLB_J002407.9-720454,6.032975,-72.081883,GC47TUCCXO______,CHANDRA______,2CXO_J002407.9-720454_,6.033178,-72.081913,13,0.004
85,CV,CV0086,CXOGLB_J002408.2-720435,6.034517,-72.076608,GC47TUCCXO______,CHANDRA______,2CXO_J002408.3-720435_,6.034675,-72.076618,20,0.003
86,CV,CV0087,CXOGLB_J002408.4-720500,6.035312,-72.083417,GC47TUCCXO______,CHANDRA______,2CXO_J002408.4-720500_,6.035411,-72.083435,21,0.002
87,CV,CV0088,CXOGLB_J002409.2-720543,6.038412,-72.095519,GC47TUCCXO______,CHANDRA______,2CXO_J002409.2-720543_,6.038483,-72.095544,4,0.002
88,CV,CV0089,CXOGLB_J002410.0-720441,6.041879,-72.078128,GC47TUCCXO______,CHANDRA______,2CXO_J002410.0-720441_,6.042059,-72.078131,3,0.003
89,CV,CV0090,CXOGLB_J002410.6-720516,6.04435,-72.087906,GC47TUCCXO______,CHANDRA______,2CXO_J002410.6-720516_,6.044488,-72.087879,1,0.003
90,CV,CV0091,CXOGLB_J002410.7-720425,6.044775,-72.073814,GC47TUCCXO______,CHANDRA______,2CXO_J002410.7-720425_,6.044885,-72.073826,12,0.002
