obs_id,class,src_n,src_id,significance,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_lolim_h,photflux_aper_s,photflux_aper_hilim_h,photflux_aper_hilim_s,photflux_aper_lolim_s,photflux_aper_b,photflux_aper_h,photflux_aper_hilim_b,flux_aper_hilim_m,flux_aper_b,photflux_aper,flux_aper_lolim_s,flux_aper_s,flux_aper_m,flux_aper_hilim_b,flux_aper_lolim_b,flux_aper_lolim,photflux_aper_lolim,flux_aper_h,flux_aper_hilim_h,photflux_aper_hilim,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper,flux_aper_hilim,flux_aper_hilim_s,var_prob,var_min,var_max,var_inter_sigma,var_index,var_mean,var_inter_prob,kp_prob,var_sigma,ks_prob,var_inter_index,hard_ms,hard_ms_lolim,hard_hm,hard_hm_lolim,hard_ms_hilim,hard_hs_hilim,hard_hs_lolim,hard_hs,hard_hm_hilim
CV_OBS_400,CV,CXOGLB J002402.5-72051,CV0070,22.52,-6.669992299127242,-5.891434976267165,-6.501551596826,-6.380593589113222,-6.896880746454286,-6.210701388840558,-6.449649327698385,-6.113791375832503,-6.335640125448859,-5.795880017344076,-6.617982957425133,-5.721475035262983,-15.019405844223778,-14.449282576530715,-6.173769656982857,-15.127144755295188,-15.002220569134396,-15.140441427373949,-14.374173286714287,-14.546223140309555,-14.968979544096625,-6.331204213321109,-14.668167955563753,-14.499900808084275,-6.0619308137766135,-15.308830065868394,-14.94692155651658,-14.805064056042928,-14.688623397474242,-14.9051796196452,0.519,0.00033503333333333336,0.0006339000000000001,3.1642e-06,0.3333333333333333,0.0003444333333333333,0.9994,0.4036666666666666,2.753533333333333e-05,0.34800000000000003,7.6,-0.3335,-0.5053,-0.0962,-0.3654,-0.1505,-0.2117,-0.6252,-0.4272,0.1655
CV_OBS_406,CV,CXOGLB J002403.1-72044,CV0072,6.22,-7.112382699664264,-6.542420853004238,-6.658169943079491,-6.441051554021961,-7.091142795817092,-6.892111974817201,-6.628009088535085,-6.603975103391408,-7.244372238949788,-6.202524712462666,-6.617485617448724,-6.014214382227395,-14.8921119748172,-14.873868592738015,-6.709876311725694,-16.173278991713033,-15.775985188627136,-15.116622510251661,-14.681102285372512,-15.259321574772544,-15.700220399276734,-7.137868620686962,-14.736554930965067,-14.960982678002589,-6.1368675572812155,-15.606775883638704,-15.189873952292501,-15.246225495443024,-14.922168973145215,-15.487983030503873,0.6467500000000003,0.00018366179999999995,0.00044524699999999974,2.654975e-07,2.2,0.000267548,0.1255,0.8947650000000001,9.098187499999993e-05,0.7662099999999993,0.0,0.2186,-0.23800000000000002,-0.2523,-0.8863,0.6377,0.4828,-0.6765,0.0575,0.1205
CV_OBS_417,CV,CXOGLB J002403.1-72044,CV0072,6.22,-7.619246229196099,-6.846490010699163,-6.388807939131565,-6.100781582148628,-7.429924294678396,-6.8459495209862045,-5.924818145381308,-6.3983745204460565,-7.237789121874898,-5.980883709552928,-6.19942037843087,-5.710634048479968,-14.58219627736012,-14.425390058659813,-6.379801461106719,-16.189721383108004,-15.68564553390031,-14.870310107800698,-14.163802519221074,-15.185020316239244,-15.612372919090006,-7.390213561965387,-14.487983030503873,-14.200728391650125,-5.898493503860072,-16.100726812682396,-15.16763579105817,-14.555226783790559,-14.279179418229655,-15.23956470582814,0.6617400000000004,0.00016755409999999983,0.00042004599999999955,2.654975e-07,1.73,0.000248396,0.1255,0.8726399999999999,7.63610099999999e-05,0.7928400000000002,0.0,0.9994,0.0681,0.3398,-0.2005,1.0,1.0,0.268,0.9994,0.7452
CV_OBS_413,CV,CXOGLB J002403.1-72044,CV0072,6.22,-7.847100403606253,-6.475863623407433,-7.227238352855967,-6.981715691573468,-7.155398580373652,-6.678815972697686,-6.593971055036385,-6.5097605147537125,-6.959793372425289,-6.286761538454338,-6.783042792638903,-6.155460697870993,-15.56098327161249,-14.784626847216575,-6.721127555766778,-15.770830297460899,-15.489991487059765,-15.806597096937585,-14.657577319177792,-14.964970717797632,-15.326684130990742,-6.9762209432262186,-14.853561864714225,-14.664542099310616,-6.516441229057055,-16.42620041778426,-15.225994269741788,-15.055184331936731,-14.893010626534213,-15.320935681878689,0.7186500000000002,0.0001588448,0.0004976219999999996,2.654975e-07,3.37,0.00028138000000000013,0.1255,0.9194249999999997,0.00012580730499999997,0.7820299999999993,0.0,-0.5934,-0.8351,0.5222,0.1643,-0.2829,0.223,-0.4391,-0.1124,0.8039
CV_OBS_411,CV,CXOGLB J002403.1-72044,CV0072,6.22,-7.779891911959945,-6.584692707774433,-7.1599566693965055,-6.924453038607469,-7.088842391260022,-6.852323675758901,-6.527389802403955,-6.642636969384857,-7.3147958655289855,-6.34640161815671,-6.716472635138307,-6.193413065672197,-15.62324060459512,-14.95663772197887,-6.768433570658277,-16.171662399940995,-15.678815972697684,-15.868702203402377,-14.803547458296613,-15.194839098400564,-15.60912139016246,-7.089653120042932,-15.0017406615763,-14.80799040734633,-6.4711089983810055,-16.488517711373998,-15.392974121565215,-15.105263141486926,-14.88085632896049,-15.46318913400846,0.6540750000000003,0.00017815639999999998,0.0004793724999999997,2.654975e-07,2.66,0.0002769,0.1255,0.9013500000000002,0.00010721568499999992,0.7782349999999992,0.0,-0.401,-0.7377,0.5272,0.1693,0.0181,0.5303,-0.2092,0.1674,0.8039
CV_OBS_410,CV,CXOGLB J002403.1-72044,CV0072,6.22,-6.841336019186012,-6.3125602254541056,-6.633763876281708,-6.494036481981873,-6.962573502059376,-6.974284616098659,-6.4774253673088245,-6.728623128105926,-7.593971055036385,-6.144178094593969,-6.6495581434649385,-6.029049065654576,-15.097344524782072,-14.605898697959955,-6.5917261067570445,-16.60467360693065,-15.826522356547006,-15.239652921470096,-14.4943074925878,-14.756713853916551,-15.20156344752218,-6.815041829667204,-14.680477550934546,-14.508358206522415,-6.384176153938104,-15.452717692036696,-14.993533957750769,-14.975514332300833,-14.826958909308033,-15.573326111978627,0.42700000000000005,0.000267,0.0003864,2.654975e-07,0.0,0.0002723,0.1255,0.8759999999999999,1.465e-05,0.698,0.0,0.3036,-0.0231,0.0275,-0.2767,0.6415,0.6839,-0.0231,0.3423,0.3092
CV_OBS_412,CV,CXOGLB J002403.1-72044,CV0072,6.22,-7.0301183562535,-6.2341824846900815,-6.761201437286083,-6.596536298654683,-7.072475659124971,-6.543026986364183,-6.560667306169737,-6.395557933739277,-6.768020973168496,-6.086557045140604,-6.745210312602791,-5.976747540366287,-15.207958689287915,-14.618343517414212,-6.406204600484392,-15.57577192930402,-15.34447740374658,-15.37273658343178,-14.515700160653214,-14.76295920862081,-15.197404132485008,-6.649546515923622,-14.737786294523584,-14.548674191510479,-6.253692812466387,-15.641494088509765,-15.110082316563794,-14.949689860187688,-14.798958104457322,-15.194295295566134,0.9490000000000001,9.549e-05,0.0006401,2.654975e-07,6.0,0.0003043,0.1255,0.978,0.0001881,0.8109999999999999,0.0,-0.2561,-0.5128,0.0487,-0.2892,0.0306,0.0906,-0.5128,-0.2161,0.3604
CV_OBS_408,CV,CXOGLB J002403.1-72044,CV0072,6.22,-6.9746941347352305,-6.137510833094102,-6.564633493387339,-6.357535479757877,-6.856360764725458,-6.89346914617762,-6.206768552943479,-6.605548319173784,-7.283233183972255,-5.931443104927638,-6.4138629747692075,-5.7923656326110375,-14.958607314841776,-14.548367052543009,-6.4074013710938695,-16.269740975120374,-15.704103266148307,-15.158265221025255,-14.406492410668235,-14.776763726897002,-15.169395294148558,-6.710500234126142,-14.673459331483436,-14.466355021201235,-5.994888156083904,-15.56847541581255,-15.115771230367393,-14.850426819902726,-14.662475848979552,-15.581201709409644,0.6375,0.0001315,0.00037005,2.654975e-07,1.0,0.00020269999999999997,0.1255,0.8205,7.02095e-05,0.8255,0.0,0.3448,-0.0893,0.2299,-0.1568,0.7189,0.8451,0.14300000000000002,0.5447,0.5565
CV_OBS_414,CV,CXOGLB J002403.1-72044,CV0072,6.22,-7.214019627270287,-6.200935280648992,-6.3321736210492885,-6.0448897690294485,-7.129445952143023,-6.83853803668077,-6.016509028184832,-6.138525331142831,-7.218709878075554,-5.751046384504293,-6.410987734967993,-5.5347659050119855,-14.920818753952375,-14.420330706445279,-6.348838330463481,-16.204340511954168,-15.684322594996962,-15.118150944993772,-14.204119982655925,-14.870310107800698,-15.47237009912866,-6.899905284985009,-14.635550603887344,-14.345053773415653,-5.815456197624337,-15.746248047956264,-15.127707536670284,-15.022390697773242,-14.485751176672544,-14.957424487559807,0.6658650000000005,0.00016060829999999988,0.00041988249999999947,2.654975e-07,1.77,0.00024973200000000007,0.1255,0.8762549999999999,8.225553499999991e-05,0.792405,0.0,0.331,-0.1518,0.1911,-0.5865,1.0,1.0,-0.2317,0.9994,0.6252
CV_OBS_425,CV,CXOGLB J002403.6-72045,CV0073,12.38,-6.498393077581171,-5.7447274948966935,-6.348140730753051,-6.2419969907001995,-6.716925025264528,-6.075100735985718,-6.3160528692484865,-5.986320302708808,-6.194295295566136,-5.659754238432067,-6.4718549217468935,-5.588717086982617,-14.862962545210488,-14.106793246940153,-6.0040841400840765,-14.966576244513051,-14.845576026885354,-14.974694134735232,-14.041292808912717,-14.189700258959832,-14.629449903500793,-6.1442991691645625,-14.259006068415115,-14.111595832262953,-5.89950538846768,-15.126098402135536,-14.483993769613953,-14.4893933350769,-14.386128592159709,-14.755970410969978,0.65925,0.00044080000000000004,0.0010800999999999999,2.179075e-06,1.25,0.00049655,0.41525,0.4975,9.199175e-05,0.48225,2.0,-0.3086,-0.4653,-0.1149,-0.3554,-0.1418,-0.2217,-0.6027,-0.4185,0.1205
CV_OBS_421,CV,CXOGLB J002403.6-72045,CV0073,12.38,-6.571865205971212,-5.6651443103827095,-6.333669255698031,-6.180653515919548,-6.170953663146817,-6.2816644210914925,-5.875821944525326,-6.114751892218614,-6.582694416755475,-5.548213564475709,-5.998699066979582,-5.461175011062096,-14.764471553092449,-14.08008551934057,-6.015959008628572,-15.326426203576947,-15.034939479388802,-14.917214629683551,-13.993533957750769,-14.195724232870909,-14.60115759697073,-6.171855892696214,-14.275939419094728,-14.161231049013814,-5.801425381852718,-15.172630726946176,-14.487042239955455,-14.458058994698137,-14.355102082639632,-14.862013267276465,0.4155,0.0005141,0.0007916500000000001,2.179075e-06,0.0,0.00052995,0.41525,0.382,3.7025e-05,0.449,2.0,-0.0937,-0.3879,0.3835,0.1468,0.2167,0.5539999999999999,0.0456,0.3136,0.594
CV_OBS_429,CV,CXOGLB J002403.6-72045,CV0073,12.38,-7.103033098066845,-6.214812579970638,-6.21838821750685,-5.946537395074545,-6.832978204209742,-6.108738161970776,-5.772370350428991,-6.1294790499872365,-6.372792390626266,-5.723538195826756,-6.037204630142766,-5.498803757972912,-14.554707230574028,-14.196542884351587,-6.165871891876608,-15.168166645364284,-14.88548752182162,-14.80465394165158,-13.998266287191,-14.600326278518963,-15.020983058169369,-6.7769819679458765,-14.338031413882355,-14.220456085993177,-5.737966793375723,-15.457797217565973,-14.498635697552826,-14.577957613242445,-14.338872254463446,-15.036070577973444,0.4155800000000002,0.0006349544999999998,0.0009387347500000006,2.179075e-06,0.1675,0.0005918244999999996,0.41525,0.347095,4.689486750000001e-05,0.4252524999999999,2.0,0.7733,-0.0493,0.2823,-0.2042,1.0,1.0,0.1518,0.9994,0.6914
CV_OBS_422,CV,CXOGLB J002403.6-72045,CV0073,12.38,-6.747922688572196,-6.414539270491499,-6.11494048065182,-5.970210529168145,-6.629103858572515,-6.108010809646802,-5.8271053022478245,-6.038341651362286,-6.36454430852948,-5.761201437286083,-6.128604800404288,-5.511449283499557,-14.459092987049422,-14.05953332233647,-6.460171441622101,-15.156311814276332,-14.87102114178311,-14.635906065145598,-13.82419836715172,-14.610479534153624,-14.449465913400493,-7.113509274827518,-14.19606515013616,-14.092534893234145,-5.4454987259536445,-15.22537574755466,-14.332266947466733,-14.122455892284055,-13.937963576475804,-14.773297555098422,0.41286250000000024,0.0006132547499999997,0.0009440077500000009,2.179075e-06,0.2075,0.0006553804999999998,0.41525,0.4023649999999997,4.4395285000000004e-05,0.4205649999999998,2.0,0.5946,-0.2867,0.6833,-0.1618,1.0,1.0,-0.1093,0.9994,1.0
CV_OBS_427,CV,CXOGLB J002403.6-72045,CV0073,12.38,-6.695078838099108,-5.79805693659835,-6.035080705713358,-5.7920964696139485,-6.554649150508115,-5.737786294523582,-6.131943638176957,-5.544546031221372,-6.0953926361845525,-5.462306805632608,-6.2670521436156115,-5.282495925235798,-14.468904453129973,-14.577574323628795,-5.906550296742733,-14.926648297613099,-14.54928912185308,-14.706195640080665,-14.343422708603885,-15.179601477296018,-15.111240336253779,-6.284564951577137,-14.433252676672916,-14.276973126412535,-5.5844257371301556,-15.32166375326782,-14.670201139379865,-14.605840281861688,-14.387074932262307,-14.359319846722336,0.36200000000000004,0.001363,0.00182,2.179075e-06,0.0,0.001434,0.41525,0.155,0.0001111,0.391,2.0,-0.3323,-0.669,-0.9994,-1.0,0.0618,-0.4279,-1.0,-0.9994,-0.1555
CV_OBS_426,CV,CXOGLB J002403.6-72045,CV0073,12.38,-6.4718549217468935,-5.694218848745017,-6.331987028358167,-6.226359806739974,-6.459545386328587,-6.116168286670548,-6.152550737500827,-6.026364226582593,-6.237171446810909,-5.617802789622546,-6.275478372881437,-5.552997101533838,-14.830325565941193,-14.17308335281508,-5.979953777985654,-15.037867530701766,-14.915066425063285,-14.93666664104825,-14.110082316563794,-14.246800085800587,-14.668414806919836,-6.112956887840481,-14.372224624770697,-14.251191995041394,-5.881292274788816,-15.078157518594143,-14.552221990705378,-14.5455393176159,-14.451733454829256,-14.819300798703964,0.534,0.00047615,0.0009569,2.179075e-06,0.75,0.0005024000000000001,0.41525,0.25225000000000003,5.55225e-05,0.5555,2.0,-0.2598,-0.4229,0.1037,-0.1156,-0.0881,0.0219,-0.3592,-0.1649,0.3004
CV_OBS_419,CV,CXOGLB J002403.6-72045,CV0073,12.38,-6.787546038959723,-5.842241113953136,-6.474048658751987,-6.302160631781637,-6.847100403606253,-6.096638663744682,-6.2635238179723025,-5.954677021213343,-6.308741641866889,-5.689094370623858,-6.463820467862773,-5.5815329790533985,-14.741508176033681,-14.345342245350475,-6.15170001346405,-15.108574057152007,-14.890084136976204,-14.859522245142932,-14.238372815438414,-14.487715936718145,-14.750084527678672,-6.349789645339642,-14.53003079050004,-14.345534666479852,-5.8889526700351205,-15.147327607552386,-14.885389015767824,-14.534914712442568,-14.39591801541309,-14.752763450493234,0.45799999999999996,0.0003795,0.000612,2.179075e-06,0.0,0.00038965,0.41525,0.5635,2.7395e-05,0.2245,2.0,-0.431,-0.6565,0.0537,-0.3029,-0.1618,-0.1068,-0.6515,-0.3985,0.3904
CV_OBS_424,CV,CXOGLB J002403.6-72045,CV0073,12.38,-6.3741732867142895,-5.680893940690225,-6.237621570688036,-6.133889960155622,-6.446723953862901,-6.160207815554672,-6.091300567647776,-6.051098239029787,-6.315154638355588,-5.593800576336689,-6.233661524748713,-5.525346746637937,-14.744245213356955,-14.06479513257342,-5.957976072751133,-15.11243895906999,-14.95467702121334,-14.846490010699162,-13.996539467890491,-14.151441427876234,-14.589027167337374,-6.106182776032537,-14.242528052234332,-14.104964402547676,-5.851638001131668,-14.989700043360187,-14.44490555142168,-14.450876526197035,-14.348741374581154,-14.844360366240226,0.37225,0.0005713249999999999,0.000820475,2.179075e-06,0.25,0.000585,0.41525,0.479,3.1795e-05,0.4865,2.0,-0.0962,-0.2817,0.045,-0.188,0.1031,0.1693,-0.2842,-0.0525,0.253
CV_OBS_418,CV,CXOGLB J002403.6-72045,CV0073,12.38,-6.7114722658637795,-5.924088238517222,-6.185937423341312,-6.016238439713835,-6.552573153961849,-6.030723904511068,-5.831207979685818,-5.729787145103757,-6.283109970820825,-5.512013668870607,-6.225351626365693,-5.304430772963816,-14.66655272550325,-13.954285941059132,-6.096074799765471,-15.068872454825264,-14.748848656824643,-14.713600183101333,-13.750312572194698,-14.384470776362868,-14.86159203108253,-6.623058242853241,-14.367278658383825,-14.228475398571653,-5.329711461959146,-15.203480790636636,-14.629988619647104,-14.36676727205566,-14.106201262548742,-14.447696890661645,0.41454000000000013,0.0006218944999999997,0.001084113750000001,2.179075e-06,0.15,0.0008093465000000002,0.41525,0.3723649999999997,5.5520210000000025e-05,0.37408499999999967,2.0,-0.9994,-1.0,0.9994,-0.1455,-0.0906,0.138,-1.0,-0.41100000000000003,1.0
CV_OBS_420,CV,CXOGLB J002403.6-72045,CV0073,12.38,-6.720513322020455,-6.590066876668706,-5.501276029252097,-5.211195506955352,-6.523759097354116,-5.98652707952559,-5.397505931192719,-5.328827157284917,-6.256909057553517,-5.247567390738527,-6.209724747239035,-4.966576244513051,-13.79997073344623,-14.072732319189116,-5.754092698372324,-15.059836240366874,-14.742252998458596,-14.078677756416178,-13.796423225022027,-15.327994554977048,-15.3530574164182,-7.289036881004725,-14.349957248575468,-14.192759938606937,-4.725966912814831,-15.379655700245507,-14.597053153397535,-14.075694863845438,-13.798193357042976,-14.604007129433146,0.38371,0.0007881442500000005,0.001213082750000001,2.179075e-06,0.18,0.0009325930000000008,0.41525,0.3527975000000001,7.897129500000008e-05,0.39349499999999965,2.0,0.5934,-0.1143,-0.9994,-1.0,1.0,0.2942,-1.0,-0.9994,0.0418
