obs_id,class,src_n,src_id,significance,photflux_aper_m,photflux_aper_hilim_h,photflux_aper_s,photflux_aper_hilim_m,photflux_aper_lolim_m,photflux_aper_h,photflux_aper_b,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_lolim_b,photflux_aper_lolim_h,flux_aper_b,photflux_aper_lolim,flux_aper_lolim,flux_aper,flux_aper_hilim_s,photflux_aper_hilim,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_m,flux_aper_lolim_b,flux_aper_m,flux_aper_hilim,flux_aper_lolim_h,flux_aper_h,flux_aper_lolim_m,flux_aper_hilim_h,photflux_aper,flux_aper_hilim_b,var_index,var_min,var_inter_index,kp_prob,var_mean,var_max,var_inter_sigma,var_prob,var_inter_prob,ks_prob,var_sigma,hard_ms,hard_hm,hard_hs_lolim,hard_hm_hilim,hard_ms_hilim,hard_hm_lolim,hard_ms_lolim,hard_hs,hard_hs_hilim
PULSAR_OBS_8,PULSAR,PSR J0100-7211,PL0003,65.51,-4.1330631822683594,-4.500175504160421,-3.98296666070122,-4.110250224735962,-4.157141237554707,-4.5522219907053785,-3.5689580546641144,-4.0071373286109715,-3.5529971015338377,-3.9597933724252887,-3.585528050370697,-4.615288257061717,-12.358129454523688,-3.965869081407957,-12.792134142392511,-12.752532478073555,-12.736837535037782,-3.888744209217767,-12.760200181552902,-12.784891418946907,-12.727230413448241,-12.384155117125296,-12.750068243365805,-12.703958184350753,-13.209503723032892,-13.026548855975065,-12.774174008538107,-12.903437561625864,-3.925585870158864,-12.333575627481242,0.0,0.0307,5.4,0.929,0.030780000000000002,0.030860000000000002,2.7561000000000006e-05,0.07200000000000001,0.8332,0.899,8.118e-05,-0.1711,-0.446,-0.6215,-0.3916,-0.1355,-0.5041,-0.20800000000000002,-0.5746,-0.5278
PULSAR_OBS_6,PULSAR,PSR J0100-7211,PL0003,65.51,-4.1826329837124065,-4.564633493387339,-3.9858996784803793,-4.1491700401514695,-4.218819279062738,-4.6413039004261885,-3.5275361033930106,-4.021408673179925,-3.504455662453552,-3.9527251326158206,-3.551757587365561,-4.734474664780926,-12.399462705635534,-4.004250763240367,-12.840090077971606,-12.794076018536346,-12.744004273277598,-3.912729817660797,-12.777283528852415,-12.813326132500254,-12.794524963259109,-12.430158100596238,-12.827981190575445,-12.748381244166431,-13.216310763652684,-13.049976093476673,-12.864231485432176,-12.929962133392243,-3.9556484223859663,-12.370794342897696,0.0,0.026051200000000004,5.4,0.3376,0.026173200000000004,0.0263694,2.7561000000000006e-05,0.15119999999999995,0.8332,0.4318,0.0001335042,-0.2236,-0.4797,-0.6977,-0.4016,-0.1718,-0.5589999999999999,-0.2755,-0.6371,-0.5753
PULSAR_OBS_17,PULSAR,PSR J0100-7211,PL0003,65.51,-4.165706487557304,-4.452348341640032,-4.085392432228919,-4.132120216541621,-4.202178688635977,-4.518987579043427,-3.552376902239714,-4.127086558379605,-3.5284149458148097,-4.047352830241056,-3.5779028368682897,-4.597566653780689,-12.356942316248547,-4.05295859474478,-12.797679003004177,-12.750059938601348,-12.836242476018045,-3.957652916435317,-12.874844170419472,-12.916855856856946,-12.768275616671483,-12.38679264789624,-12.801893001126599,-12.707305424037573,-12.925915310971757,-12.821023052706833,-12.838332587562265,-12.736837535037782,-4.00219437867987,-12.329105046479787,0.0,0.030778500000000004,5.4,0.27075,0.030879000000000004,0.03097525,2.7561000000000006e-05,0.091,0.8332,0.212,9.598e-05,-0.0937,-0.3848,-0.534,-0.3079,-0.0344,-0.4616,-0.153,-0.4622,-0.3891
PULSAR_OBS_13,PULSAR,PSR J0100-7211,PL0003,65.51,-4.153353671422884,-4.416914633652311,-4.055912320584566,-4.123089688655373,-4.185885643870876,-4.471211808225104,-3.5483670525430093,-4.088043810927313,-3.527682453683158,-4.025949097207123,-3.5700863022362457,-4.537452271197336,-12.347753658996675,-4.0315730930593965,-12.775809950511752,-12.735021706506176,-12.836838625022981,-3.962501789625614,-12.866780543267506,-12.89928491342692,-12.756961951313706,-12.372326968233384,-12.787279845582153,-12.6984318127883,-12.895171596346344,-12.809108283077832,-12.819874124835945,-12.741123370627868,-3.995300395774945,-12.324404943613255,0.4,0.0324726,5.4,0.6258000000000001,0.032762,0.033731,2.7561000000000006e-05,0.2138,0.8332,0.4388,0.00033193199999999995,-0.1124,-0.3498,-0.5066,-0.2829,-0.0631,-0.4179,-0.1618,-0.4447,-0.3841
PULSAR_OBS_12,PULSAR,PSR J0100-7211,PL0003,65.51,-4.121363326973484,-4.515557792357592,-4.046772028440146,-4.089108911355472,-4.156206801674087,-4.5880437620695975,-3.536256278752941,-4.08868255767597,-3.5121548798885645,-4.00859669741996,-3.5617741923954704,-4.674895017028591,-12.34601609262593,-4.015661747161893,-12.786216700664694,-12.739639019851122,-12.827981190575445,-3.9105258659651714,-12.866780543267506,-12.909389292171593,-12.72584215073632,-12.374893424596534,-12.758204568704803,-12.69750456418824,-12.95078197732982,-12.844360366240226,-12.79317412396815,-12.759201228882668,-3.9599200766257145,-12.318939756368186,0.0,0.0300245,5.4,0.5545,0.030285500000000003,0.03048175,2.7561000000000006e-05,0.125,0.8332,0.53825,0.0001980775,-0.0874,-0.4897,-0.6215,-0.4166,-0.0281,-0.5628,-0.1443,-0.5534,-0.4853
PULSAR_OBS_10,PULSAR,PSR J0100-7211,PL0003,65.51,-4.162285331715089,-4.542420853004238,-4.042344833056509,-4.142366014849992,-4.183162369097965,-4.580870692258023,-3.573814174755489,-4.062532260356623,-3.560667306169737,-4.024246610963711,-3.5873714794556246,-4.623058242853241,-12.368353337041581,-4.035127791362225,-12.780541222599066,-12.75912639997942,-12.828566099056992,-3.9924911923604616,-12.84740592207253,-12.867100230055517,-12.773657912836368,-12.382475465113707,-12.793713955587569,-12.739051364706265,-12.95467702121334,-12.913640169325252,-12.814457845145625,-12.876148359032914,-4.013022360468594,-12.35546294222159,0.2,0.0338626,5.4,0.5045999999999999,0.0344222,0.0372364,2.7561000000000006e-05,0.2468,0.8332,0.6222000000000001,0.0006725348199999999,-0.1374,-0.4485,-0.5878,-0.4079,-0.1068,-0.4891,-0.168,-0.5522,-0.5178
PULSAR_OBS_4,PULSAR,PSR J0100-7211,PL0003,65.51,-4.253054590384895,-4.58070527824654,-3.975514332300833,-4.210419287835576,-4.300335679797627,-4.65521487736734,-3.6695862266508086,-4.028677754757187,-3.640733835393252,-3.930701987884471,-3.700492701299512,-4.744968836654449,-12.505288974794738,-4.103760467379551,-12.949442385717953,-12.901508563487836,-12.850165303284216,-3.759171295774189,-12.894489815230026,-12.947306058075032,-12.93218548883816,-12.538051504796238,-12.975104039892516,-12.193571734848266,-13.192329698769514,-13.088948979671875,-13.022688026603074,-13.005550862985963,-3.894176554962613,-12.474955192963154,0.0,0.0209975,5.4,0.4765,0.0211995,0.02139275,2.7561000000000006e-05,0.127,0.8332,0.6165,0.0001840025,-0.3123,-0.4272,-0.7139,-0.3404,-0.2442,-0.5128,-0.3779,-0.6546,-0.5903
PULSAR_OBS_14,PULSAR,PSR J0100-7211,PL0003,65.51,-4.187353983766881,-4.403292970318553,-4.040290975753569,-4.149353764816934,-4.2290743853610016,-4.480828536178341,-3.567351339986893,-4.0796679284604105,-3.5415132362017934,-4.004189368323957,-3.5948244537820107,-4.5752816626684325,-12.365925974512534,-4.016427833940013,-12.829873289006596,-12.760800657945698,-12.783834097714006,-3.9244457396018815,-12.819874124835945,-12.85917781989069,-12.760700520873108,-12.412625827926936,-12.798876102792619,-12.695246734620289,-13.151995728502731,-12.898252926053633,-12.840733668906505,-12.73945162736302,-3.968002103417856,-12.323855319643796,2.0,0.03942333333333333,5.4,0.7163333333333334,0.04286333333333333,0.046303333333333335,2.7561000000000006e-05,0.4963333333333334,0.8332,0.7509999999999999,0.003438733333333334,-0.1686,-0.3186,-0.5465,-0.2255,-0.1093,-0.4166,-0.228,-0.4635,-0.3816
PULSAR_OBS_19,PULSAR,PSR J0100-7211,PL0003,65.51,-4.202524712462665,-4.3866868385445414,-3.9913998282380825,-4.167554958825889,-4.240634378344072,-4.444301105281099,-3.549289121853081,-4.0306306882664735,-3.5256380239673693,-3.955460239607589,-3.5744657795017365,-4.514988785421427,-12.267043630424375,-4.0145735259169975,-12.515159409237885,-12.382706032425327,-12.752517739322945,-3.887703403408647,-12.789146634685107,-12.829444941478794,-12.789681480173767,-12.297311031840866,-12.824778199656947,-12.285519353328695,-12.719649306953995,-12.629857152948894,-12.862962545210488,-12.55940573816017,-3.945578475537464,-12.238824186844267,0.0,0.029825,5.4,0.3855,0.029960000000000004,0.03009,2.7561000000000006e-05,0.09225,0.8332,0.29,0.0001161575,-0.2399,-0.2698,-0.544,-0.193,-0.1843,-0.3467,-0.2942,-0.4797,-0.4154
PULSAR_OBS_5,PULSAR,PSR J0100-7211,PL0003,65.51,-4.173148052179356,-4.318758762624412,-4.0073581301216015,-4.140501441812224,-4.20844969497267,-4.374687549038327,-3.505288974794737,-4.038578905933552,-3.48439105076552,-3.9783972839717583,-3.5270973481963366,-4.443215217692973,-12.23381030668984,-3.990753126041217,-12.67079337436675,-12.619343834428987,-12.792904459580784,-3.9210794088458067,-12.82217502813532,-12.853561864714225,-12.772113295386324,-12.265040238727556,-12.804931003531411,-12.57449186403773,-12.655214877367339,-12.550367349529926,-12.840432806766382,-12.470441326978836,-3.9544032281324215,-12.204676235670686,0.2,0.037883200000000006,5.4,0.6094,0.038441,0.041152000000000015,2.7561000000000006e-05,0.17959999999999998,0.8332,0.5980000000000001,0.0006076499999999999,-0.1886,-0.2261,-0.4653,-0.1518,-0.1393,-0.3029,-0.2367,-0.3985,-0.3342
