#index,ra,dec,
301,07:33:24.6,-23:45:56.2,
302,07:34,-15:59,
303,07:36:20.0,-63:04:16,
304,07:37:44.0,-22:02:05.3,
305,07:37:51.2,-30:39:40.7,
306,07:37:51.2,-30:39:40.7,
307,07:38:32.2,-40:42:39.4,
308,07:38:22.6,+69:04:20.0,
309,07:41,+41:04,
310,07:40:45.7,+66:20:33.5,
311,07:42:49.0,-28:22:43.7,
312,07:42:42.1,+43:34:02.2,
313,07:45:04.4,-53:53:09.5,
314,07:46:59.5,-45:29:26.6,
315,07:47:39.6,+66:46:56.7,
316,07:49:49.6,-42:47:42.1,
317,07:50,+57:00,
318,07:50:50,-68:44:27,
319,07:51:09.1,+18:07:38.4,
320,07:53:33,-08:19:35,
321,07:54:40.6,+32:31:56.2,
322,07:58:29.0,-15:28:08.7,
323,08:02,-09:55,
324,08:03:26.8,-09:42:50.8,
325,08:03:05,+34:19,
326,08:04:22.2,-36:47:35.5,
327,08:06:05,+08:17,
328,08:06:23.4,-41:22:30.9,
329,08:07:47.1,-54:21:26.4,
330,08:08:11.6,-39:37:52.9,
331,08:09:43.8,-47:53:54.7,
332,08:11:12,+37:28,
333,08:12:14.8,-39:05:48.9,
334,08:13:54,+22:01,
335,08:14:59.5,+74:29:05.7,
336,08:15:08.7,+09:39:50.7,
337,08:15:59.4,+46:11:53.2,
338,08:18:49.3,-30:49:31,
339,08:18:25.9,-32:32:30.5,
340,08:20:26.3,-13:50:55.8,
341,08:20:59.9,-38:26:42.9,
342,08:20:49.1,-39:21:55.7,
343,08:20:15.4,-41:14:35.2,
344,08:21:44.6,-42:21:25.4,
345,08:21:57.3,-43:00:17.0,
346,08:23:09.7,+01:59:12.4,
347,08:24:24.8,+00:28:00.5,
348,08:26:51.5,+26:37:21.2,
349,08:27:48,+53:00,
350,08:28:16.6,-34:17:07,
351,08:31:32.4,-44:06:11.9,
352,08:34:17.8,-41:59:35.9,
353,08:34:50,-60:35,
354,08:35:03.0,-37:07:51.5,
355,08:35:20.6,-45:10:34.8,
356,08:36:05.8,-42:33:24.9,
357,08:37:05.6,+06:10:14.5,
358,08:37:44,-24:47:48,
359,08:37:21.1,-41:35:14.5,
360,08:38:18.8,-26:21:29.5,
361,08:38:30.8,-39:47:22,
362,08:39:37,-66:34:52,
363,08:40:33.7,-53:32:35.9,
364,08:42:05.4,-48:51:20.6,
365,08:43:33.8,+07:18:47.8,
366,08:43:09.8,-50:22:43.1,
367,08:46:06.0,-35:33:41.2,
368,08:47:57.3,-43:16:56.8,
369,08:48:53,+16:43,
370,08:49:42.5,-63:22:35.0,
371,08:49:01.5,+80:28:59.1,
372,08:55:38.4,-33:31:39.3,
373,08:55:36.1,-46:44:13.4,
374,08:55:19.5,-46:58:22.6,
375,08:56:59.2,-61:37:52.7,
376,08:57:07.0,+33:49:17.0,
377,08:57:55.8,-44:24:10.6,
378,09:00:43.9,-31:44:30.8,
379,09:01:40.1,-46:24:48.5,
380,09:02:32.4,-63:25:12.0,
381,09:04:59.0,-42:46:13.4,
382,09:04:10.4,-74:59:41.7,
383,09:05:23.9,-45:36:53.0,
384,09:05:51.9,-51:27:54.0,
385,09:05:15.2,-60:19:22.0,
386,09:07:15.9,-51:57:59.3,
387,09:08:38.1,-17:39:37.6,
388,09:08:35.4,-49:13:05.0,
389,09:09:35.8,-72:12:08.9,
390,09:10,+77:28,
391,09:12:42.7,-38:51:03,
392,09:19,-42:00,
393,09:19:27.8,-60:40:50.4,
394,09:21:14.1,+62:54:13.9,
395,09:22:14.0,+06:38:23.3,
396,09:22:14.9,-49:49:12.0,
397,09:22,-52:00,
398,09:23:58,-31:57,
399,09:24:08.7,-53:02:42.6,
400,09:24:30.8,-58:14:05.1,
401,09:27:45.2,+23:45:10.7,
402,09:28:44,+06:14,
403,09:29:00,+30:38,
404,09:30:02.8,-23:01:45,
405,09:31:19.1,-19:02:55.0,
406,09:32:39.1,-32:17:14.2,
407,09:32:22.8,-53:27:11.0,
408,09:34:58.2,-41:54:19.5,
409,09:34:28.2,-52:49:27.3,
410,09:35:06,+33:11,
411,09:40:58.2,-54:28:40.6,
412,09:41:38,-39:41,
413,09:41:41.1,-52:44:04.4,
414,09:42:14.8,-55:52:55.1,
415,09:42:54.4,-56:57:43.2,
416,09:43:30.1,+16:31:37,
417,09:43:32.3,+22:53:05.6,
418,09:44:28.9,-13:54:41.6,
419,09:44:18.1,+41:06:04.5,
420,09:45:38.2,-48:33:14.5,
421,09:46:07.6,+09:51:55,
422,09:47:21.2,+27:40:43.5,
423,09:49:20.5,-69:02:41.6,
424,09:51:24,-71:19:01,
425,09:52:08.3,-06:07:23.4,
426,09:52:17.2,-38:39:10.2,
427,09:53:09.3,+07:55:35.7,
428,09:54:06.0,-54:30:52.8,
429,09:55:29.4,-53:04:16.6,
430,09:55,-61:48,
431,09:57,-06:17,
432,09:57:56.0,-54:32:03.9,
433,09:59:26.2,-48:09:47.4,
434,10:00:38,+08:19:58,
435,10:00:28.1,-51:49:58.1,
436,10:01:37.8,-55:07:07.8,
437,10:01:08.6,-55:59:00.2,
438,10:01:32.2,-59:39:17.8,
439,10:02:57.9,-55:59:37,
440,10:02:20.5,-59:19:37.2,
441,10:03:21.5,-47:47:01.1,
442,10:05:30,+30:15,
443,10:06:36.6,-63:11:41.2,
444,10:10:00,+15:51,
445,10:12:33.7,-23:38:22.4,
446,10:12:07,-42:35,
447,10:12:33.4,+53:07:02.2,
448,10:12:54.9,-58:30:25.6,
449,10:12:48.4,-58:57:48.5,
450,10:13:31.8,-59:34:26.6,
451,10:14:18,-48:49:42,
452,10:15:37.9,-57:19:12.8,
453,10:16:31.1,-53:45:14.2,
454,10:16:12.0,-58:19:01.0,
455,10:16:21.1,-58:57:12.1,
456,10:17:36.2,+30:11:46.1,
457,10:17:12.8,-56:21:30.5,
458,10:17:51.3,-71:56:41.6,
459,10:18:40.3,-16:42:10.1,
460,10:19:52.1,-57:49:05.9,
461,10:20:14.0,-59:21:34,
462,10:20:11.4,-60:26:06.3,
463,10:21:24.8,-56:01:50.9,
464,10:22:57.9,+10:01:52.7,
465,10:22:28.1,-58:13:30,
466,10:23:47.6,+00:38:40.8,
467,10:23:02.9,-57:46:05,
468,10:24:38.6,-07:19:19.5,
469,10:28:28.0,-58:19:05.2,
470,10:31:02.2,-61:17:50.6,
471,10:32:27.6,-52:06:08.5,
472,10:32:04.8,-59:11:54.8,
473,10:34:19.5,-32:24:26.0,
474,10:35:03.0,-63:45:18.4,
475,10:35:27.4,-67:20:12.6,
476,10:36:13.1,-49:26:21.2,
477,10:36:20.0,-65:59:09.2,
478,10:36,-83:17,
479,10:38:26.9,+00:32:43.6,
480,10:38:19.7,-58:31:27.1,
481,10:41:36.1,-19:42:13.6,
482,10:42:00.4,-55:21:05.7,
483,10:43:55.2,-61:16:50.7,
484,10:44:32.8,-57:37:19.3,
485,10:45:50.1,-45:09:54.1,
486,10:46:43.2,+03:04:06.9,
487,10:46:18.8,-58:13:52.0,
488,10:47:00.8,-30:32:18.0,
489,10:47:28.2,-67:09:51.0,
490,10:48:43.4,+23:39:53.4,
491,10:48:13.0,-58:32:06.2,
492,10:48:12.5,-58:38:19.0,
493,10:49:50.3,-58:33:44.6,
494,10:50:07.1,-59:53:21.4,
495,10:52:38.1,-59:54:44.1,
496,10:52:53.3,-63:48:16.6,
497,10:54:57.7,-59:43:14.1,
498,10:54:30.4,-59:46:31.0,
499,10:54:08.8,-64:52:37.5,
500,10:55:48.5,-60:22:52,
501,10:55:39.1,-60:28:37.5,
