#index,ra,dec,
1472,17:35:56.9,-32:58:21.8,
1473,17:35:06.5,+63:20:00.0,
1474,17:36:54,+05:48,
1475,17:36:45.4,-24:57:50,
1476,17:36:24.7,-28:19:42,
1477,17:36:42.5,-28:43:51,
1478,17:36:02.7,-35:11:56,
1479,17:37:47.1,-08:11:08.8,
1480,17:37:33.7,-31:02:00.5,
1481,17:37:04.2,-31:37:21,
1482,17:37:10.5,-33:20:20,
1483,17:37:40.0,-35:55:43.8,
1484,17:38:53.9,+03:33:10.8,
1485,17:38:25,+04:20,
1486,17:38:08.8,-23:30:47,
1487,17:38:05.0,-26:47:46,
1488,17:38:14.6,-27:36:25.8,
1489,17:38:52.1,-29:55:57.4,
1490,17:38:47.4,-31:07:44,
1491,17:38:54.1,-32:11:53.6,
1492,17:38:34.4,-33:16:01.6,
1493,17:39:17.9,+06:12:28.4,
1494,17:39:57.8,-13:13:18.6,
1495,17:39:32.6,-25:21:56,
1496,17:39:34.2,-29:03:02.2,
1497,17:39:39.7,-30:23:12.9,
1498,17:39:23.2,-30:49:40,
1499,17:39:24.3,-31:31:15.3,
1500,17:39:48.6,-31:59:49,
1501,17:39:38.2,-39:52:00.3,
1502,17:40:25.9,+10:00:06.3,
1503,17:40:07.3,+13:11:56.6,
1504,17:40:45.3,-25:40:19,
1505,17:40:30,+27:13,
1506,17:40:33.8,-30:15:43.5,
1507,17:40:50.0,-30:52:04.3,
1508,17:40:25.7,-33:27:53.5,
1509,17:40:44.5,-53:40:40.9,
1510,17:41:22.5,-08:40:31.7,
1511,17:41:31.1,+13:51:44.1,
1512,17:41:06.8,-20:19:24,
1513,17:41:57.2,-20:54:11.8,
1514,17:41,-21:00,
1515,17:41:35.0,-27:19:23,
1516,17:41:01.3,-27:33:51,
1517,17:41:53.5,+27:58:09.0,
1518,17:41:14.4,-29:45:35,
1519,17:41:07.0,-30:16:31,
1520,17:41:54,-34:19,
1521,17:41:12.3,+38:55:09.9,
1522,17:41:18.0,-39:27:38.2,
1523,17:42:04.4,-39:57:22,
1524,17:42:26.1,-46:16:53.5,
1525,17:43:08.1,-03:39:11.5,
1526,17:43:16,+05:29,
1527,17:43:37.6,-13:51:38.0,
1528,17:43:20.1,-24:42:55,
1529,17:43:36.7,-31:50:22.7,
1530,17:43:15.5,-31:53:05.3,
1531,17:43:06,-35:32,
1532,17:43:05.2,-42:12:02.4,
1533,17:44:29.4,-11:34:54.6,
1534,17:44:16.5,-16:10:35.8,
1535,17:44:48.4,-23:35:55,
1536,17:44:05.6,-31:30:04,
1537,17:44:02.6,-39:22:21.1,
1538,17:44:38.9,-53:37:51,
1539,17:44:00.4,-76:19:14.7,
1540,17:45:02.0,-01:29:18.1,
1541,17:45:09.1,-09:52:39.6,
1542,17:45:33.8,+10:17:52.5,
1543,17:45:44.1,+12:52:38.3,
1544,17:45:16.7,-22:29:14,
1545,17:45.5,-23:25,
1546,17:45:40.1,-29:00:29.8,
1547,17:45:16,-29:10,
1548,17:45:47.8,-29:12:30.7,
1549,17:45:56.3,-30:40:22.9,
1550,17:45:15.4,-38:12:07.3,
1551,17:45:48,+42:53,
1552,17:46:00.8,+22:45:28.9,
1553,17:46:06.8,+25:40:37.5,
1554,17:46,-27:51,
1555,17:46:03.3,-28:50:13.3,
1556,17:46:06.6,-28:50:42,
1557,17:46:49.8,-28:56:58.9,
1558,17:46:54.9,-32:39:55.8,
1559,17:47:58.3,-10:30:05,
1560,17:47:30.8,-26:47:14,
1561,17:47:26.5,-28:02:37,
1562,17:47:22.8,-28:09:15.0,
1563,17:47:15.8,-29:58:01.0,
1564,17:47:48.7,-40:36:54.7,
1565,17:48:17.4,-13:00:52.0,
1566,17:48:52.6,-20:21:39.7,
1567,17:48:52.9,-20:21:38.8,
1568,17:48:51.1,-20:21:53.8,
1569,17:48:51.6,-20:21:07.4,
1570,17:48:52.8,-20:21:29.3,
1571,17:48:52.3,-20:21:39.3,
1572,17:48:48.5,-24:44:37,
1573,17:48:02.2,-24:46:36.9,
1574,17:48:04.8,-24:46:45,
1575,17:48:04.8,-24:46:45,
1576,17:48:04.8,-24:46:45,
1577,17:48:04.8,-24:46:45,
1578,17:48:04.8,-24:46:45,
1579,17:48:04.8,-24:46:45,
1580,17:48:04.8,-24:46:45,
1581,17:48:04.8,-24:46:45,
1582,17:48:04.8,-24:46:45,
1583,17:48:05.0,-24:46:34.8,
1584,17:48:03.6,-24:46:37.8,
1585,17:48,-24:46,
1586,17:48:04.5,-24:46:36,
1587,17:48:04.8,-24:46:45,
1588,17:48:04.8,-24:46:45,
1589,17:48:04.8,-24:46:45,
1590,17:48:04.8,-24:46:45,
1591,17:48:04.8,-24:46:45,
1592,17:48:04.8,-24:46:45,
1593,17:48:04.8,-24:46:45,
1594,17:48:04.8,-24:46:45,
1595,17:48:04.8,-24:46:45,
1596,17:48:04.8,-24:46:45,
1597,17:48:04.8,-24:46:45,
1598,17:48:04.8,-24:46:45,
1599,17:48:04.8,-24:46:45,
1600,17:48:04.8,-24:46:45,
1601,17:48:04.8,-24:46:45,
1602,17:48:04.8,-24:46:45,
1603,17:48:04.8,-24:46:45,
1604,17:48:04.8,-24:46:45,
1605,17:48:04.8,-24:46:45,
1606,17:48:04.8,-24:46:45,
1607,17:48:04.8,-24:46:45,
1608,17:48:04.8,-24:46:45,
1609,17:48:04.8,-24:46:45,
1610,17:48,-30:17,
1611,17:48:23.7,-30:09:12.2,
1612,17:49:29,+16:24,
1613,17:49:21.2,-21:46:31,
1614,17:49:15.6,-23:47:17,
1615,17:49:11.2,-26:29:10,
1616,17:49:13.4,-30:02:35,
1617,17:49:23.7,-49:31:59,
1618,17:49:47.0,-54:17:30.7,
1619,17:49:44.5,-56:05:19,
1620,17:49:33.2,+59:52:36.1,
1621,17:50:40,+07:33,
1622,17:50:18.4,-20:43:08,
1623,17:50:59.7,-24:38:58,
1624,17:50:22.9,-24:44:47,
1625,17:50:33.3,-25:36:43,
1626,17:50:04.0,-28:45,
1627,17:50:47.3,-31:57:44.1,
1628,17:50:44.5,-35:03:08.9,
1629,17:50:13.8,-37:03:10.9,
1630,17:50:12.1,-37:03:22.9,
1631,17:50:13.4,-37:03:05.5,
1632,17:50:13.0,-37:03:06.3,
1633,17:51:52.6,-25:16:43,
1634,17:51:12.6,-27:37:19.8,
1635,17:51:32.6,-28:57:46.5,
1636,17:51:32.7,-33:23:39.6,
1637,17:51:42.1,-46:57:26.5,
1638,17:52:35.4,+23:59:48.2,
1639,17:52:58.7,-24:10:26,
1640,17:52:58.6,-28:06:37.3,
1641,17:52:24.5,-28:21:10,
1642,17:52:53,-12:59,
1643,17:53:35.1,-19:14:58,
1644,17:53:39.8,-22:40:42,
1645,17:53:30.6,-25:00:25,
1646,17:53.1,-28:53,
1647,17:53,-38:49,
1648,17:54:52,+00:36:33,
1649,17:54:36.5,-24:22:24,
1650,17:54:30.1,-30:15:03,
1651,17:54:37.3,-34:43:53.9,
1652,17:54:54.6,-35:10:43.0,
1653,17:54:22.9,+52:01:12.2,
1654,17:55:10.3,-09:03:51.6,
1655,17:55:11.6,-16:50:41,
1656,17:55:35.8,-20:25:00,
1657,17:55:59.7,-25:21:27,
1658,17:55:19.3,-25:21:09,
1659,17:55:49.8,-25:34:39,
1660,17:55:38.4,-25:50:22.0,
1661,17:55:16.2,-26:00,
1662,17:55:41.8,-27:25:45,
1663,17:55:12,-33:31,
1664,17:55:35.4,-37:16:10.7,
1665,17:56:17.5,+18:22:55.3,
1666,17:56:25.5,-22:25:48,
1667,17:56:46.6,-22:51:59.3,
1668,17:56:57.9,-24:35:34,
1669,17:56:42,-25:28,
1670,17:57:19.3,-26:19:08,
1671,17:57:12.7,-15:00:28.5,
1672,17:57:25,-16:26,
1673,17:57:03.7,-18:54:03.3,
1674,17:57:50.7,-22:23:49,
1675,17:57:29.3,-24:22:07.4,
1676,17:57:54.7,-27:45,
1677,17:57:15.1,-53:22:26.3,
1678,17:58:05.6,-19:31:41,
1679,17:58:44.4,-22:06:45,
1680,17:58:31.9,-25:40:49,
1681,17:58:34.2,-26:30:10,
1682,17:58:15.4,-28:46:02,
1683,17:58:25.8,+30:30:24.0,
1684,17:59:34.3,-10:29:57,
1685,17:59:28.1,-17:36:10,
1686,17:59:41.7,-19:03:19,
1687,17:59:57.0,-19:40:29,
1688,17:59:35.4,-19:56:08,
1689,17:59:24.1,-22:05:33,
1690,17:59:49.2,-23:02:08,
1691,17:59:30.9,-23:07:17,
1692,17:59:24,-24:02,
1693,17:59:35.1,-25:49:07,
1694,17:59:48.2,-29:22:07,
1695,17:59:22.0,-31:07:21.8,
1696,18:00:22.0,-01:25:30.6,
1697,18:00:12.3,-21:14:19,
1698,18:00,-23:43,
1699,18:00:44.3,+50:34:21.7,
1700,18:01:22.6,-03:57:55.7,
1701,18:01:50.6,-08:57:31.8,
1702,18:01:50.5,-08:57:32.8,
1703,18:01:50.7,-08:57:32.7,
1704,18:01:55.3,-08:57:24.3,
1705,18:01:51.0,-14:17:34.5,
1706,18:01:22.3,-18:55:49,
1707,18:01:46.6,-19:09:36,
1708,18:01:32.4,-21:15:18,
1709,18:01:08.6,-21:54:07.1,
1710,18:01:19.8,-23:04:44.6,
1711,18:01:00.0,-24:51:27.5,
1712,18:01:46.8,-29:20:38.1,
1713,18:01:25.8,-32:10:53.7,
1714,18:01:52.6,-34:58:37,
1715,18:02:27.4,+01:28:23.7,
1716,18:02:44,+03:38,
1717,18:02:12.1,-05:23:29,
1718,18:02:14.8,-17:45:17,
1719,18:02:05.3,-21:24:03.6,
1720,18:02:03.1,-24:26:43,
1721,18:02:55.2,-33:46:45,
1722,18:03:34.6,-16:16:30,
1723,18:03:59.0,-18:57:19,
1724,18:03:29.4,-19:20:41,
1725,18:03:51.4,-21:37:07.3,
1726,18:03:09.6,-21:49:13,
1727,18:03:31.6,-27:12:06,
1728,18:03:34.1,-30:02:02,
1729,18:03:34.1,-30:02:02,
1730,18:03:34.1,-30:02:02,
1731,18:03:44.4,-33:29:10.7,
1732,18:04:49.8,-07:35:24.6,
1733,18:04:28.1,-22:28:18,
1734,18:04:21.1,-27:17:31.3,
1735,18:04:48,-28:07,
1736,18:04:19,-28:58:31,
1737,18:05:10.1,+03:06:30.2,
1738,18:05:55,+06:14,
1739,18:05:31.4,-06:19:45.4,
1740,18:05:06.1,-15:04:36,
1741,18:05:37.0,-20:32:51,
1742,18:05:28.1,-20:37:16,
1743,18:05:25.9,-24:47:30,
1744,18:05:42.4,-29:48:00,
1745,18:06:52.1,+10:23:18.3,
1746,18:06:06.7,-11:54:28.7,
1747,18:06:25.7,-16:18:38,
1748,18:06:06.6,-19:20:23,
1749,18:06:19.8,-21:27:55.5,
1750,18:06:25.0,+28:19:01.1,
1751,18:07:25,+04:05,
1752,18:07:51.2,+07:56:43.3,
1753,18:07:38.0,-08:47:43.2,
1754,18:07:20.3,-24:59:52.9,
1755,18:07:20.8,-25:00:01.9,
1756,18:07:13.6,-25:57:20,
1757,18:07:08.4,-27:15:03.0,
1758,18:08:19,+00:34,
1759,18:08:09.4,-08:13:01.8,
1760,18:08:45.6,-10:20:48.3,
1761,18:08:39.0,-15:17:40,
1762,18:08:42.3,-17:26:27,
1763,18:08:39.3,-20:24:39.8,
1764,18:08:06.3,-20:58:08,
1765,18:08:13.2,-27:01:21,
1766,18:08:04.4,-32:49:34,
1767,18:09:51.3,-01:19:29.0,
1768,18:09:35.9,-07:43:01.4,
1769,18:09:45.5,-14:29:25.0,
1770,18:09:06,+17:04,
1771,18:09:37.2,-18:50:55,
1772,18:09:43.1,-19:17:38.1,
1773,18:09:51.0,-19:43:51.9,
1774,18:09:15.8,-20:04:12,
1775,18:09:14.3,-21:09:02.9,
1776,18:09:50.2,-23:32:22.6,
1777,18:09:26.9,-35:47:18,
1778,18:10:47.0,+07:05:36.3,
1779,18:10:59.1,-14:41:33.6,
1780,18:10:28.2,-17:09:27,
1781,18:10:37.2,+17:44:37.3,
1782,18:10:55.5,-18:20:39,
1783,18:10:58.9,-20:05:08.2,
1784,18:10:44.4,-53:38:07.6,
1785,18:11:19.8,-01:54:30.9,
1786,18:11:20.4,+07:02:29.7,
1787,18:11:17.0,-10:49:03,
1788,18:11:26.5,-17:17:47,
1789,18:11:55.0,-17:36:37.7,
1790,18:11:29.7,-18:35:44,
1791,18:11:29.2,-19:25:28,
1792,18:11:19.8,-24:05:18.4,
1793,18:11:55.5,-24:39:53,
1794,18:11:27.1,-49:30:20.8,
1795,18:12:53.1,+02:26:57.1,
1796,18:12.6,-15:31,
1797,18:12:07.2,-17:18:29.5,
1798,18:12:15.8,-17:33:37.8,
1799,18:12:34.8,-19:10:39,
1800,18:12:36.5,-20:58.1,
1801,18:12:20.9,-21:02:36,
1802,18:12:32.3,-25:26:38,
1803,18:12:40.5,-27:48:03,
1804,18:12:44.9,-30:39:21,
1805,18:13:23.7,-12:45:59.2,
1806,18:13:35.1,-17:49:57.4,
1807,18:13:38.7,+18:22:15.0,
1808,18:13:39.8,-21:13:00.4,
1809,18:13:29.1,-22:42:06,
1810,18:13:40.5,-26:21:57.0,
1811,18:13:13.2,+40:13:39.0,
1812,18:14:26.1,-05:21:37.0,
1813,18:14:41.2,-06:18:01.7,
1814,18:14:42.7,+11:30:43.9,
1815,18:14:37.3,-16:49:28,
1816,18:14:43.1,-17:44:48,
1817,18:14:36,+22:23,
1818,18:15:14.6,-17:38:06.8,
1819,18:15:03.0,-19:10:00.4,
1820,18:15:05.7,+55:46:23.3,
1821,18:16:24.5,-07:55:22.5,
1822,18:16:29.1,-14:46:30,
1823,18:16:18.6,-17:29:02.7,
1824,18:16:35.3,-26:49:53,
1825,18:16:35.9,+45:10:33.8,
1826,18:16:36.4,-56:43:42.1,
1827,18:17:49.7,-07:43:18.9,
1828,18:17:36.2,-15:11:39,
1829,18:17:09.0,-17:42:01.1,
1830,18:17:06.8,-19:38:36,
1831,18:17,-23:11,
1832,18:17:05.8,-36:18:04.6,
1833,18:17:00.2,-38:37:59.7,
1834,18:18:25.7,-01:51:54.0,
1835,18:18:26.4,-11:16:29,
1836,18:18:23.7,-14:22:36.7,
1837,18:18:27.9,-14:48:38,
1838,18:18:14.6,-15:19:43,
1839,18:18:37.5,-15:41:45,
1840,18:18:51.9,-15:56:04,
1841,18:19:50.5,-09:25:49.9,
1842,18:19:39.9,-10:08:28,
1843,18:19:28.7,-11:14:43,
1844,18:19:58.1,-11:31:29,
1845,18:19:56.2,+13:05:15.2,
1846,18:19:43.6,-13:18:42,
1847,18:19:56.8,-14:08:01.6,
1848,18:19:34.1,-14:58:00.0,
1849,18:19:53.6,-15:10:20.6,
1850,18:19:30,-17:05,
1851,18:19:43.4,-17:17:16,
1852,18:19,-37:00,
1853,18:20:52.5,-04:27:37.7,
1854,18:20:22.7,-05:09:38.5,
1855,18:20:19.7,-13:46:15.3,
1856,18:20:41.3,-15:29:42.2,
1857,18:20:39.0,-18:18:03.3,
1858,18:21:38.8,+01:55:21.9,
1859,18:21:10.3,-02:56:38.6,
1860,18:21:44.7,-03:31:12.7,
1861,18:21:34.3,-14:19:26,
1862,18:21:39.7,-14:32:53.2,
1863,18:21:13.5,+17:15:47.0,
1864,18:21:52.3,+41:47:02.5,
1865,18:22,+02:00,
1866,18:22:18.4,+07:05:19.0,
1867,18:22:28.0,-07:19:55.0,
1868,18:22:51.8,-08:48:59.0,
1869,18:22:35.7,-09:02:59.1,
1870,18:22:39.8,-09:07:36,
1871,18:22:14.6,+11:20:56.2,
1872,18:22:41.7,-12:52:49,
1873,18:22:54.0,-14:00:02.4,
1874,18:22:18.0,-16:04:26.8,
1875,18:22:36.6,-16:17:35,
1876,18:22:58.9,-22:56:31,
1877,18:22:11.3,-42:09:10.9,
1878,18:23:52.1,-01:54:04.6,
1879,18:23:30.9,+05:50:24.3,
1880,18:23:40.3,-11:15:11,
1881,18:23:19.8,-11:26:04,
1882,18:23:24.2,-13:47:54,
1883,18:23:21.4,-15:26:22,
1884,18:23:09.6,-18:07:33,
1885,18:23:40.4,-30:21:40.1,
1886,18:23:41.5,-30:21:40.9,
1887,18:23:41.1,-30:21:38.4,
1888,18:23:40.5,-30:21:43.6,
1889,18:23:40.5,-30:21:40.2,
1890,18:23:40.5,-30:21:40.2,
1891,18:23:46.7,-31:06:49.7,
1892,18:24:53.4,-01:27:51.4,
1893,18:24:55.5,-01:32:24.0,
1894,18:24:05,+10:17,
1895,18:24:29.5,-11:18:42.6,
1896,18:24:56.1,-11:59:53.4,
1897,18:24:50.1,-13:50:21.0,
1898,18:24:57.3,-14:23:05.3,
1899,18:24:14.1,-15:00:33,
1900,18:24:00.5,-19:46:03.3,
1901,18:24:10.3,-22:33:11,
1902,18:24:28.6,-23:28:17,
1903,18:24:32.0,-24:52:10.8,
1904,18:24:32.8,-24:52:11.2,
1905,18:24:32.8,-24:52:11.2,
1906,18:24:32.8,-24:52:11.2,
1907,18:24:32.8,-24:52:11.2,
1908,18:24:32.8,-24:52:11.2,
1909,18:24:32.8,-24:52:11.2,
1910,18:24:32.8,-24:52:11.2,
1911,18:24:32.5,-24:52:08.6,
1912,18:24:32.8,-24:52:11.2,
1913,18:24:32.8,-24:52:11.2,
1914,18:24:32.8,-24:52:11.2,
1915,18:24:30.5,-25:37:19,
1916,18:25:15.3,+00:04:19.7,
1917,18:25:55.9,-03:19:57.5,
1918,18:25:30.5,-09:35:21.2,
1919,18:25:18.3,-11:08:54,
1920,18:25:02.9,-14:46:53.7,
1921,18:25:58,-31:02:20,
1922,18:26:02,-33:21,
1923,18:26:05.4,-11:31:43.6,
1924,18:26:08.5,-12:56:33.0,
1925,18:26:13.1,-13:34:46.8,
1926,18:26:42.3,-14:19:21.6,
1927,18:26:12.6,-15:26:03,
1928,18:26:36.0,-24:15:54.5,
1929,18:27:02.7,-07:50:19.2,
1930,18:27:45.8,-09:34:16.4,
1931,18:27:05.4,-09:58:43.1,
1932,18:27:24.6,-14:46:28,
1933,18:28:20.7,-06:11:51.5,
1934,18:28:28.0,+06:25:00.5,
1935,18:28:30.3,-10:07:10.1,
1936,18:28:33.2,-10:57:26.9,
1937,18:28:18.8,-11:01:50.8,
1938,18:28:42.8,-13:36:45,
1939,18:28:53.3,+13:59:35.3,
1940,18:28:21.5,-21:19:56,
1941,18:29:47.1,+00:00:08.5,
1942,18:29:05.3,-07:34:22,
1943,18:29:06.0,-10:11:25,
1944,18:29:43.1,-17:51:03.9,
1945,18:29:34.6,+24:56:18.1,
1946,18:30:30.7,-00:52:54.0,
1947,18:30:19.6,-01:31:48.1,
1948,18:30:06,-10:39,
1949,18:30:47.5,-10:59:26.5,
1950,18:30:01.7,-11:35:32,
1951,18:30:41.9,-13:13:16.2,
1952,18:30:00.3,-14:14:37,
1953,18:31.0,-04:29,
1954,18:31:36.3,-08:23:23.9,
1955,18:31:34.3,-09:52:01.7,
1956,18:31:12.8,-12:23:31,
1957,18:31:55.9,-13:29:56,
1958,18:31:29.1,-14:23:46,
1959,18:32:50.7,+00:29:27,
1960,18:32:42.6,-06:44:01.8,
1961,18:32:37.0,-08:27:03.7,
1962,18:32:27.5,-08:36:55.0,
1963,18:32:40.8,-10:21:32.7,
1964,18:32:10,+27:58,
1965,18:32:30,-28:43,
1966,18:33:05.4,-02:09:16.4,
1967,18:33:41.8,-03:39:04.2,
1968,18:33:38.8,-05:56:05,
1969,18:33:07.6,-05:59:25,
1970,18:33:40.2,-08:27:31.6,
1971,18:33:44.3,-08:31:07.7,
1972,18:33:33.5,-10:34:07.5,
1973,18:33:58.4,-10:55:31,
1974,18:33:14.8,-60:23:04,
1975,18:34:17.2,-00:10:53.3,
1976,18:34:51.0,-00:31:34.3,
1977,18:34:25.6,-04:26:15.8,
1978,18:34:37.9,-06:02:35,
1979,18:34:29.2,-06:33:01.1,
1980,18:34:15.9,-07:31:05.9,
1981,18:34:31.3,-07:42:20.6,
1982,18:34:29.8,-08:12:00,
1983,18:34:52.1,-08:45:56.0,
1984,18:34:36,-09:15,
1985,18:34:27,+10:44,
1986,18:34:23.1,-12:02:26.4,
1987,18:34:53.4,-17:10:50,
1988,18:34:45.9,-18:55:59,
1989,18:35:21.9,-01:14:33.6,
1990,18:35:12.9,-03:49:09.9,
1991,18:35:08.1,-05:22:08,
1992,18:35:20.2,-06:00:00,
1993,18:35:05.5,-06:43:06.4,
1994,18:35:45.7,-08:47:20,
1995,18:35:38.0,-09:24:27,
1996,18:35:21.8,-09:24:15.9,
1997,18:35:22.2,-09:28:02,
1998,18:35:46.6,-09:44:27.2,
1999,18:35:44.8,-09:46:38,
2000,18:35:57.5,-10:20:04.5,
2001,18:35:18.4,-11:06:16.1,
2002,18:35:50.3,-15:48:38,
2003,18:35:44,-32:59:25,
2004,18:36:51.7,-04:36:37.6,
2005,18:36:25.2,-05:17:35,
2006,18:36:53.9,-10:08:08.3,
2007,18:36:06,-11:17,
2008,18:36:52.2,-13:24:33.6,
2009,18:36:25.4,-23:54:52.3,
2010,18:36:24.3,-23:54:28.7,
2011,18:36:13.6,+59:25:30.1,
2012,18:37:32.1,-00:45:10.6,
2013,18:37:28.4,+00:53:13,
2014,18:37:23.6,-05:59:28.6,
2015,18:37:43.5,-06:04:49,
2016,18:37:14.6,-06:53:02.1,
2017,18:37:39.6,-08:22:12.4,
2018,18:37:07.1,+12:21:54.0,
2019,18:37:09.4,-12:43:56,
2020,18:37:54.2,-18:37:08,
2021,18:38:30,-01:01,
2022,18:38:39.4,-01:07:48.6,
2023,18:38:11.4,-04:53:25.3,
2024,18:38:56.0,-05:37:09,
2025,18:38:38.0,-05:49:12.1,
2026,18:38:51.7,-06:24:54,
2027,18:38:03.1,-06:55:33.4,
2028,18:38:26.4,-10:46:57,
2029,18:38:46.7,+15:23:25.4,
2030,18:38:43.0,+16:50:16.0,
2031,18:38:33.7,-18:49:59,
2032,18:39:06.9,-01:41:56.0,
2033,18:39:58.0,-02:23:09.5,
2034,18:39:37.5,-03:21:10.8,
2035,18:39:56.5,-03:32:58.6,
2036,18:39:51.0,-04:02:24.9,
2037,18:39:00.0,-04:36:57.5,
2038,18:39:42.6,-04:59:58.8,
2039,18:39:20.4,-06:27:34,
2040,18:39:09.8,-06:43:45.2,
2041,18:39:53.4,-09:05:14.1,
2042,18:39:43.7,-12:38:40.7,
2043,18:40:34.0,+02:14:54.7,
2044,18:40:45.5,-04:45:08,
2045,18:40:23.1,-05:59:16.2,
2046,18:40:16.3,-06:26:15.4,
2047,18:40:08.9,-06:43:36.0,
2048,18:40:47.6,-07:53:32,
2049,18:40:33.3,-08:09:03.6,
2050,18:40:13.7,-08:15:08.8,
2051,18:40:51.9,-08:40:29,
2052,18:40:24.0,-11:22:10.7,
2053,18:40:53.7,-12:07:32.6,
2054,18:40:33.0,-14:19:06.5,
2055,18:40:44.5,+56:40:54.8,
2056,18:41:17.7,+01:30:16.9,
2057,18:41:56.2,-01:57:54.6,
2058,18:41:25.8,-03:10:21,
2059,18:41:38.6,-03:48:42.6,
2060,18:41:10,-04:48,
2061,18:41:05.6,-04:25:19.5,
2062,18:41:19.3,-04:56:11.1,
2063,18:41:18.1,-05:00:19.5,
2064,18:41:49.3,-05:24:29.5,
2065,18:41:55.9,+09:12:07.3,
2066,18:41:34.3,-14:04:19,
2067,18:41:25.9,-78:45:15,
2068,18:42:57.8,-01:53:26.7,
2069,18:42:30.9,+02:57:58.8,
2070,18:42:19.0,-03:09:46,
2071,18:42:17.0,+03:58:35.3,
2072,18:42:26.4,-04:00:01.5,
2073,18:42:11.2,-04:15:38.2,
2074,18:42:43.0,-06:12:36,
2075,18:42:10.0,+06:38:15.0,
2076,18:42:54.9,-08:00:53.5,
2077,18:42:22.1,-09:05:30.0,
2078,18:42:29.9,+13:32:01.5,
2079,18:42:02,-27:58:19,
2080,18:43:27.9,-00:00:41.5,
2081,18:43:36.7,-00:50:10,
2082,18:43,+01:00,
2083,18:43:12.6,-01:37:46.3,
2084,18:43:30.3,-02:11:02.8,
2085,18:43:06.6,-03:55:56.6,
2086,18:43:43.4,-04:08:04,
2087,18:43:27.6,-04:59:30.4,
2088,18:43:09.7,-05:10:04.5,
2089,18:43:22.4,-07:02:54.6,
2090,18:43:05.4,-07:44:30.1,
2091,18:43:28.7,-08:06:44.9,
2092,18:43:41.2,-11:13:31.0,
2093,18:43:01.3,-14:48:12.6,
2094,18:43:33.6,-15:07:03.0,
2095,18:43:26.1,+20:24:54.6,
2096,18:43:03,-40:33:51,
2097,18:44:11,+00:35,
2098,18:44:41.0,-00:30:25.8,
2099,18:44:40.5,+01:15:34.9,
2100,18:44:44.9,-02:44:40.9,
2101,18:44:53,-02:56,
2102,18:44:57,-03:00:00,
2103,18:44:06.9,-03:02:11.2,
2104,18:44:45.4,-03:10:37.1,
2105,18:44:32.8,-03:46:30.6,
2106,18:44:33.4,-04:33:12.4,
2107,18:44:01.5,-04:52:20.9,
2108,18:44:33.9,-05:02:00.5,
2109,18:44:05.1,-05:38:34.1,
2110,18:44:54.8,+14:54:14.1,
2111,18:44:45,+41:17,
2112,18:45:52.9,-03:16:05,
2113,18:45:34.7,-04:34:29.8,
2114,18:45:38.4,-05:45:18.2,
2115,18:45:08.5,+06:23:57.6,
2116,18:45:07.4,-06:35:23.4,
2117,18:45:57.1,-07:43:38.5,
2118,18:45:05.6,-08:26:39.7,
2119,18:45:45.7,-11:14:11.0,
2120,18:45:11.5,-13:51:54.5,
2121,18:46:43.8,+00:51:39.0,
2122,18:46:15.4,-02:57:36.0,
2123,18:46:24.9,-02:58:30.1,
2124,18:46:19.7,-07:49:21.4,
2125,18:46:07.9,-07:49:13.2,
2126,18:46:26.0,+09:19:46,
2127,18:46,-42:49,
2128,18:46:13.7,-74:03:04,
2129,18:47:35.2,-01:30:46,
2130,18:47:22.8,-04:02:14.4,
2131,18:47:18.8,-04:27:59,
2132,18:47:37.9,-04:38:15.3,
2133,18:47:51.8,-04:43:36.2,
2134,18:47:21.0,-06:05:14.1,
2135,18:48:37.8,-00:23:17,
2136,18:48:45.5,-00:55:53,
2137,18:48:23.5,-01:23:58.3,
2138,18:48:42.2,+03:51:35.7,
2139,18:48:15.0,-05:11:38,
2140,18:48:20.3,-06:01:07.7,
2141,18:48:54.6,+06:04:46.8,
2142,18:48:56.0,+06:47:31.7,
2143,18:48:43.7,+08:26:35.9,
2144,18:48:11.8,-11:50:09.2,
2145,18:48:30,+12:50,
2146,18:48:18.0,-12:43:30,
2147,18:48:39.1,-14:14:17,
2148,18:48:56.1,+15:16:44.1,
2149,18:48:18.0,-19:52:31,
2150,18:49:01.6,-00:01:17.4,
2151,18:49:10.2,-00:40:20,
2152,18:49:44.1,+01:27:23,
2153,18:49:57.8,-03:17:31,
2154,18:49:03.4,+04:09:42.3,
2155,18:49:45.1,-06:14:31.5,
2156,18:49:06.4,-06:37:06.9,
2157,18:49:34.6,+24:23:45.9,
2158,18:49:47.5,+25:59:57.6,
2159,18:50:47.9,-00:06:26.1,
2160,18:50:14.7,-00:26:11.6,
2161,18:50:45.1,+00:26:25.6,
2162,18:50:33.3,-00:31:09,
2163,18:50:01.0,+01:24:34.6,
2164,18:50:41.6,+02:42:57.4,
2165,18:50:23.4,+04:23:09.2,
2166,18:50:35.4,+13:35:58.3,
2167,18:50:09,+15:32,
2168,18:51:55.0,-00:29:58.1,
2169,18:51:03.1,-00:53:07.3,
2170,18:51:16.4,-01:14:13.4,
2171,18:51:52.1,+01:18:59,
2172,18:51:09.1,+02:33:46.4,
2173,18:51:15.2,-02:41:31,
2174,18:51:03.2,+04:18:12.0,
2175,18:51.2,-06:38,
2176,18:51:41.6,-06:33:48.4,
2177,18:51:13.2,+12:59:35.2,
2178,18:52:42.7,+00:08:09.6,
2179,18:52:41.7,+00:13:57.1,
