SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_,DOWNLOADED
NS0087,IGR J00291+5934       ,7.262917,59.571944,INTREFCAT       ,INTEGRAL     ,2CXO J002903.0+593419 ,7.262675,59.571945,0.007,
NS0088,IGR J16597-3704       ,254.887083,-37.120556,INTREFCAT       ,INTEGRAL     ,2CXO J165932.7-370715 ,254.886434,-37.120905,0.037,
NS0089,IGR J17254-3257       ,261.353,-32.954,IBISCAT         ,INTEGRAL     ,2CXO J172524.9-325714 ,261.354147,-32.954104,0.058,
NS0090,IGR J17353-3539       ,263.848,-35.671,IBISCAT         ,INTEGRAL     ,2CXO J173523.7-354016 ,263.849058,-35.671287,0.054,
NS0091,IGR J17473-2721       ,266.825,-27.344,IBISCAT         ,INTEGRAL     ,2CXO J174718.0-272038 ,266.825156,-27.344152,0.012,
NS0092,IGR J18483-0311       ,282.072,-3.171,IBISCAT         ,INTEGRAL     ,2CXO J184817.1-031016 ,282.071619,-3.171331,0.03,
NS0093,J1744-2844            ,266.137917,-28.740833,RITTERLMXB      ,             ,2CXO J174433.0-284426 ,266.137758,-28.740797,0.009,
NS0094,J1748-2021#1          ,267.2175,-20.358889,RITTERLMXB      ,             ,2CXO J174852.1-202132 ,267.217314,-20.359012,0.013,
NS0095,J1748-2021#2          ,267.22,-20.356667,RITTERLMXB      ,             ,2CXO J174852.7-202124 ,267.219768,-20.356872,0.018,
NS0096,J1751-3037            ,267.80625,-30.623056,RITTERLMXB      ,             ,2CXO J175113.6-303726 ,267.806945,-30.62403,0.069,
NS0097,KS 1947+300           ,297.398,30.209,IBISCAT         ,INTEGRAL     ,2CXO J194935.4+301231 ,297.397762,30.208834,0.016,
NS0098,M 1812-12             ,273.776,-12.096,IBISCAT         ,INTEGRAL     ,2CXO J181506.2-120545 ,273.775986,-12.095957,0.003,
NS0099,SAX J1324.3-6313      ,201.161,-63.228,IBISCAT         ,INTEGRAL     ,2CXO J132439.4-631333 ,201.164445,-63.22596,0.154,
NS0100,SAX J1747.0-285       ,266.761,-28.883,IBISCAT         ,INTEGRAL     ,2CXO J174702.5-285259 ,266.760784,-28.883084,0.012,
NS0101,SAX J1806.5-2215      ,271.634167,-22.238056,INTREFCAT       ,INTEGRAL     ,2CXO J180632.1-221417 ,271.634072,-22.238096,0.006,
NS0102,SAX J1810.8-2609      ,272.685,-26.15,IBISCAT         ,INTEGRAL     ,2CXO J181044.4-260901 ,272.685276,-26.150372,0.027,
NS0103,SAXWFC J1520.6-5709.8 ,230.159583,-57.164,SAXWFCCAT       ,BEPPOSAX     ,2CXO J152038.5-570940 ,230.160696,-57.161116,0.177,
NS0104,SAXWFC J1751.2-3037.7 ,267.791667,-30.628083,SAXWFCCAT       ,BEPPOSAX     ,2CXO J175110.6-303738 ,267.794242,-30.627472,0.138,
NS0105,SLX 1735-269          ,264.571,-26.994,IBISCAT         ,INTEGRAL     ,2CXO J173817.0-265939 ,264.571236,-26.994189,0.017,
NS0106,SMC X-1               ,19.271,-73.443,IBISCAT         ,INTEGRAL     ,2CXO J011705.2-732634 ,19.271877,-73.443001,0.015,
NS0107,SWIFT J1626.6-5156    ,246.650833,-51.9425,INTREFCAT       ,INTEGRAL     ,2CXO J162636.5-515630 ,246.652126,-51.941825,0.063,
NS0108,SWIFT J1749.4-2807    ,267.3825,-28.134722,INTREFCAT       ,INTEGRAL     ,2CXO J174931.7-280805 ,267.382206,-28.134737,0.016,
NS0109,SWIFT J1749.4-2807    ,267.3825,-28.134722,INTREFCAT       ,INTEGRAL     ,2CXO J174931.1-280757 ,267.37983,-28.132752,0.184,
NS0110,SWIFT J1816.7-1613    ,274.178,-16.223,IBISCAT         ,INTEGRAL     ,2CXO J181642.7-161322 ,274.178003,-16.222834,0.01,
NS0111,XTE J0055-724         ,13.733642,-72.445898,XRBCAT          ,             ,2CXO J005456.2-722647 ,13.734239,-72.446658,0.047,
NS0112,XTE J0055-724         ,13.733642,-72.445898,XRBCAT          ,             ,2CXO J005456.0-722658 ,13.733657,-72.449535,0.218,
NS0113,XTE J1701-462         ,255.244,-46.186,IBISCAT         ,INTEGRAL     ,2CXO J170058.4-461108 ,255.243545,-46.185638,0.029,
NS0114,XTE J1709-267         ,257.377,-26.656,IBISCAT         ,INTEGRAL     ,2CXO J170930.3-263919 ,257.376621,-26.655548,0.034,
NS0115,XTE J1710-281         ,257.551,-28.132,IBISCAT         ,INTEGRAL     ,2CXO J171012.5-280750 ,257.552347,-28.130798,0.101,
NS0116,XTE J1739-285         ,264.975,-28.496,IBISCAT         ,INTEGRAL     ,2CXO J173953.9-282946 ,264.974746,-28.49623,0.019,
NS0117,XTE J1810-189         ,272.586,-19.07,IBISCAT         ,INTEGRAL     ,2CXO J181020.8-190410 ,272.587053,-19.069497,0.067,
NS0118,XTE J1946+274         ,296.414,27.365,IBISCAT         ,INTEGRAL     ,2CXO J194539.3+272155 ,296.413911,27.365371,0.023,
