,type,SRC_ID,A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,num_obs,XOFFSET_
14,PULSAR,PL0015,PSR_J0537-6910_,-69.172182,2CXO_J053747.4-691019_,84.447521,-69.172189,84.447567,35,0.001
15,PULSAR,PL0016,PSR_J0538+2817_,28.286017,2CXO_J053825.0+281709_,84.6044,28.285878,84.604405,3,0.008
16,PULSAR,PL0017,PSR_J0540-6919_,-69.331887,2CXO_J054010.8-691954_,85.045294,-69.331714,85.046675,5,0.031
17,PULSAR,PL0018,PSR_J0630-2834_,-28.578624,2CXO_J063049.4-283443_,97.705913,-28.57855,97.705852,2,0.005
18,PULSAR,PL0019,PSR_J0633+0632_,6.54178,2CXO_J063344.1+063230_,98.433929,6.543028,98.434208,1,0.077
19,PULSAR,PL0020,PSR_J0633+1746_,17.770521,2CXO_J063354.2+174613_,98.475897,17.770253,98.475638,25,0.022
20,PULSAR,PL0021,PSR_J0659+1414_,14.239219,2CXO_J065948.1+141421_,104.950734,14.238722,104.950817,1,0.03
21,PULSAR,PL0022,PSR_J0729-1448_,-14.810383,2CXO_J072916.3-144837_,112.318297,-14.810222,112.318542,1,0.017
22,PULSAR,PL0023,PSR_J0734-1559_,-15.988759,2CXO_J073445.6-155919_,113.690409,-15.9884,113.690396,1,0.022
23,PULSAR,PL0024,PSR_J0737-3039A,-30.661306,2CXO_J073751.2-303940_,114.463516,-30.66131,114.463535,1,0.001
24,PULSAR,PL0025,PSR_J0821-4300_,-43.004826,2CXO_J082157.3-430017_,125.488948,-43.004743,125.489022,0,0.006
25,PULSAR,PL0026,PSR_J0835-4510_,-45.176291,2CXO_J083520.6-451034_,128.835887,-45.176354,128.835881,22,0.004
26,PULSAR,PL0027,PSR_J0908-4913_,-49.218183,2CXO_J090835.4-491305_,137.147533,-49.218056,137.14775,1,0.011
27,PULSAR,PL0028,PSR_J1016-5857,-58.953157,2CXO_J101621.2-585711_,154.08857,-58.9534,154.0882,1,0.019
28,PULSAR,PL0029,PSR_J1023-5746,-57.768545,2CXO_J102302.8-574606_,155.761818,-57.7698,155.7609,4,0.081
29,PULSAR,PL0030,PSR_J1023+0038_,0.644712,2CXO_J102347.6+003840_,155.948682,0.644679,155.948697,1,0.002
30,PULSAR,PL0031,PSR_J1028-5819_,-58.318499,2CXO_J102827.8-581906_,157.116106,-58.318111,157.116667,1,0.029
31,PULSAR,PL0032,PSR_J1044-5737_,-57.621974,2CXO_J104432.8-573719_,161.136919,-57.622028,161.136667,12,0.009
32,PULSAR,PL0033,PSR_J1048-5832_,-58.534278,2CXO_J104812.6-583203_,162.052616,-58.535056,162.054375,8,0.072
33,PULSAR,PL0034,PSR_J1050-5953_,-59.889177,2CXO_J105007.5-595321_,162.531367,-59.889278,162.529667,8,0.052
34,PULSAR,PL0035,PSR_J1057-5226_,-52.4491,2CXO_J105758.9-522656_,164.495761,-52.448981,164.496021,1,0.012
35,PULSAR,PL0036,PSR_J1101-6101_,-61.027389,2CXO_J110144.8-610138_,165.437062,-61.027667,165.437333,2,0.018
36,PULSAR,PL0037,PSR_J1105-6107,-61.130282,2CXO_J110526.2-610749_,166.359353,-61.1309,166.359,2,0.038
37,PULSAR,PL0038,PSR_J1111-6039_,-60.657132,2CXO_J111148.5-603925_,167.952375,-60.657222,167.9525,1,0.007
38,PULSAR,PL0039,PSR_J1112-6103,-61.058534,2CXO_J111214.8-610330_,168.061993,-61.0587,168.0618,2,0.011
39,PULSAR,PL0040,PSR_J1119-6127_,-61.463667,2CXO_J111914.2-612749_,169.809484,-61.46375,169.809583,3,0.006
40,PULSAR,PL0041,PSR_J1124-3653_,-36.888648,2CXO_J112401.1-365319_,171.00471,-36.888639,171.00465,1,0.003
41,PULSAR,PL0042,PSR_J1124-5916,-59.272072,2CXO_J112439.1-591619_,171.163186,-59.2722,171.1629,7,0.012
42,PULSAR,PL0043,PSR_J1135-6055_,-60.926834,2CXO_J113508.3-605536_,173.784932,-60.9268,173.784896,1,0.002
43,PULSAR,PL0044,PSR_J1210-5226_,-52.44122,2CXO_J121000.8-522628_,182.503605,-52.441222,182.503792,1,0.007
44,PULSAR,PL0045,PSR_J1227-4853_,-48.89537,2CXO_J122758.7-485343_,186.994816,-48.895206,186.994683,1,0.011
45,PULSAR,PL0046,PSR_J1231-1411_,-14.195533,2CXO_J123111.3-141143_,187.797096,-14.195453,187.797138,1,0.005
46,PULSAR,PL0047,PSR_J1311-3430_,-34.508381,2CXO_J131145.7-343030_,197.94049,-34.508431,197.940517,2,0.003
47,PULSAR,PL0048,PSR_J1357-6429_,-64.49165,2CXO_J135702.5-642929_,209.260551,-64.491722,209.260125,1,0.012
48,PULSAR,PL0049,PSR_J1400-6325_,-63.428606,2CXO_J140045.7-632542_,210.190423,-63.4285,210.190375,4,0.007
49,PULSAR,PL0050,PSR_J1412+7922_,79.367702,2CXO_J141255.8+792203_,213.232548,79.367749,213.232779,1,0.004
50,PULSAR,PL0051,PSR_J1413-6205_,-62.093325,2CXO_J141330.2-620535_,213.375909,-62.093889,213.374583,2,0.05
51,PULSAR,PL0052,PSR_J1417-4402_,-44.049235,2CXO_J141730.5-440257_,214.377275,-44.049278,214.3775,1,0.01
52,PULSAR,PL0053,PSR_J1418-6058,-60.967486,2CXO_J141842.6-605802_,214.677725,-60.9667,214.6783,3,0.05
53,PULSAR,PL0054,PSR_J1429-5911,-59.193342,2CXO_J142958.5-591136_,217.493755,-59.1935,217.4939,1,0.01
54,PULSAR,PL0055,PSR_J1459-6053_,-60.888965,2CXO_J145930.2-605320_,224.876053,-60.889083,224.874958,21,0.033
55,PULSAR,PL0056,PSR_J1509-5850,-58.849899,2CXO_J150927.4-585059_,227.364228,-58.8489,227.363,4,0.071
56,PULSAR,PL0057,PSR_J1513-5908_,-59.135892,2CXO_J151355.6-590809_,228.481812,-59.136,228.482546,3,0.024
57,PULSAR,PL0058,PSR_J1514-4946_,-49.771096,2CXO_J151419.0-494615_,228.579492,-49.770977,228.579642,1,0.009
58,PULSAR,PL0059,PSR_J1531-5610_,-56.182037,2CXO_J153127.8-561055_,232.86624,-56.182036,232.866254,1,0.001
59,PULSAR,PL0060,PSR_J1550-5418_,-54.306649,2CXO_J155054.1-541823_,237.725463,-54.306698,237.725516,4,0.004
60,PULSAR,PL0061,PSR_J1614-2230_,-22.508628,2CXO_J161436.5-223031_,243.652113,-22.508686,243.652114,1,0.003
61,PULSAR,PL0062,PSR_J1617-5055_,-50.920227,2CXO_J161729.3-505512_,244.372309,-50.920333,244.372083,4,0.011
62,PULSAR,PL0063,PSR_J1622-4950_,-49.847976,2CXO_J162244.8-495052_,245.687059,-49.848444,245.686667,2,0.032
63,PULSAR,PL0064,PSR_J1628-3205_,-32.096931,2CXO_J162806.9-320548_,247.029127,-32.096917,247.029167,1,0.002
64,PULSAR,PL0065,PSR_J1635-4735_,-47.589821,2CXO_J163551.8-473523_,248.965919,-47.589808,248.966017,8,0.004
65,PULSAR,PL0066,PSR_J1640-4631_,-46.526447,2CXO_J164043.5-463135_,250.181342,-46.5265,250.181333,4,0.003
66,PULSAR,PL0067,PSR_J1647-4552_,-45.871404,2CXO_J164710.2-455217_,251.792604,-45.871333,251.7925,3,0.006
67,PULSAR,PL0068,PSR_J1653-0158_,-1.97686,2CXO_J165338.0-015836_,253.408534,-1.976915,253.408558,1,0.004
68,PULSAR,PL0069,PSR_J1658-5324_,-53.401932,2CXO_J165839.3-532406_,254.663967,-53.401945,254.663932,1,0.002
69,PULSAR,PL0070,PSR_J1702-4128_,-41.48007,2CXO_J170252.4-412848_,255.7187,-41.480056,255.718833,1,0.006
70,PULSAR,PL0071,PSR_J1708-4008_,-40.147996,2CXO_J170846.8-400852_,257.195359,-40.1479,257.195292,0,0.007
71,PULSAR,PL0072,PSR_J1709-4429_,-44.485678,2CXO_J170942.7-442908_,257.42801,-44.485622,257.428033,2,0.004
72,PULSAR,PL0073,PSR_J1714-3810_,-38.175265,2CXO_J171405.7-381030_,258.523908,-38.17525,258.523917,1,0.001
73,PULSAR,PL0074,PSR_J1714-3830_,-38.506216,2CXO_J171419.8-383022_,258.582695,-38.506389,258.5825,1,0.014
74,PULSAR,PL0075,PSR_J1718-3825_,-38.421655,2CXO_J171813.6-382517_,259.556682,-38.421683,259.556521,2,0.008
75,PULSAR,PL0076,PSR_J1730-3350_,-33.843575,2CXO_J173032.3-335036_,262.634793,-33.844278,262.635663,1,0.06
76,PULSAR,PL0077,PSR_J1732-3131,-31.523318,2CXO_J173233.5-313123_,263.139795,-31.5228,263.1397,1,0.031
77,PULSAR,PL0078,PSR_J1740+1000_,10.001684,2CXO_J174025.9+100006_,265.108131,10.00175,265.108125,2,0.004
78,PULSAR,PL0079,PSR_J1741-2054,-20.903519,2CXO_J174157.2-205412_,265.488696,-20.9036,265.4883,7,0.023
79,PULSAR,PL0080,PSR_J1744-1134_,-11.581923,2CXO_J174429.4-113454_,266.122503,-11.581856,266.122524,1,0.004
80,PULSAR,PL0081,PSR_J1745-2900_,-29.007799,2CXO_J174540.0-290028_,266.416843,-29.008304,266.417359,142,0.041
81,PULSAR,PL0082,PSR_J1747-2958,-29.966982,2CXO_J174715.8-295801_,266.815857,-29.9669,266.8162,4,0.018
82,PULSAR,PL0083,PSR_J1803-2137_,-21.618674,2CXO_J180351.4-213707_,270.964349,-21.618709,270.96421,1,0.008
83,PULSAR,PL0084,PSR_J1808-2024_,-20.411009,2CXO_J180839.3-202439_,272.163821,-20.411069,272.163904,3,0.006
84,PULSAR,PL0085,PSR_J1809-1943_,-19.731093,2CXO_J180951.0-194351_,272.462855,-19.731092,272.462862,10,0.0
85,PULSAR,PL0086,PSR_J1809-2332,-23.533424,2CXO_J180949.9-233200_,272.458278,-23.5343,272.4592,2,0.073
86,PULSAR,PL0087,PSR_J1809-2332_,-23.539682,2CXO_J180950.2-233222_,272.459428,-23.539633,272.459375,2,0.004
87,PULSAR,PL0088,PSR_J1810+1744_,17.743715,2CXO_J181037.3+174437_,272.655465,17.743717,272.655333,1,0.008
88,PULSAR,PL0089,PSR_J1811-1925_,-19.424222,2CXO_J181129.2-192527_,272.871889,-19.424444,272.871667,13,0.018
89,PULSAR,PL0090,PSR_J1813-1246_,-12.76675,2CXO_J181323.7-124600_,273.349044,-12.766444,273.349042,1,0.018
90,PULSAR,PL0091,PSR_J1813-1749_,-17.832534,2CXO_J181335.1-174957_,273.396561,-17.832658,273.3963,1,0.017
91,PULSAR,PL0092,PSR_J1816+4510_,45.176106,2CXO_J181635.9+451033_,274.149613,45.176073,274.149726,1,0.005
92,PULSAR,PL0093,PSR_J1822-1604_,-16.073778,2CXO_J182218.0-160425_,275.575277,-16.074111,275.575,0,0.026
93,PULSAR,PL0094,PSR_J1824-2452A,-24.871483,2CXO_J182432.1-245217_,276.133963,-24.869676,276.133366,5,0.113
94,PULSAR,PL0095,PSR_J1824-2452I,-24.868928,2CXO_J182432.4-245208_,276.135398,-24.869056,276.135542,10,0.011
95,PULSAR,PL0096,PSR_J1826-1256,-12.942939,2CXO_J182608.5-125634_,276.535592,-12.9428,276.5355,1,0.01
96,PULSAR,PL0097,PSR_J1826-1334_,-13.579608,2CXO_J182613.1-133446_,276.554876,-13.579667,276.554896,1,0.004
