"Number
(1)","RXJ
(2)","X(2000)
(3)","X(2000)
(4)","Count Rate
(5)","HR1
(6)","HR2
(7)","fX
(8)",(9),(10),"Q
(11)","Classification
(12)","z/Sp
(13)","V
(14)","B-V
(15)","IX,V
(16)","f4.85
(17)","Alternate
Designation
(18)","Remarks
(19)"
A125...,0405.6+0310,4 05 39.0,+3 10 12,0.037 ± 0.013,+72.5 ± 9.9,+0.94 ± 0.29,13,0,0,1,S1,0.109,18.64,0.9,0.94,*,,
A126...,0405.6+0341,4 05 40.5,+3 41 52,0.075 ± 0.017,-0.12 ± 0.23,+0.01 ± 0.34,4.5,-3,5,1,st,G0,11.19,0.38,-2.5,*,SAO 111600,
A127...,0405.6+0544,4 05 39.2,+5 44 50,0.160 ± 0.025,-0.21 ± 0.15,-0.15 ± 0.24,9.6,6,8,1,st,M3e,13.9,1.26,-1.09,*,RBTS 256,
A128...,0405.9+0531,4 05 54.8,+5 31 38,0.045 ± 0.014,-0.58 ± 0.28,+0.96 ± 2.30,2.7,22,11,1,st,M3e,16.17,1.14,-0.73,*,,
A129...,0406.6+0140,4 06 41.1,+1 40 55,0.101 ± 0.020,-0.33 ± 0.17,+0.33 ± 0.28,6,-3,-10,1,st,F7,8.86,0.87,-3.3,*,HD 25953,
A130...,0406.8+0053,4 06 49.6,+0 53 19,0.049 ± 0.015,-0.25 ± 0.27,+0.83 ± 0.69,2.9,-6,-4,1,st,K8e,12.93,1.22,-1.99,*,,
A131...,0407.1-0206,4 07 09.2,-2 06 20,0.046 ± 0.015,+1.00 ± 0.28,-0.41 ± 0.25,2.7,*,*,1,"st, st","F5, G5",*,*,*,*,,R
A133...,0407.6+0637,4 07 41.4,+6 37 48,0.037 ± 0.012,-9.99 ± 0.00,+0.02 ± 0.32,12.4,54,-17,1,S1,0.346,16.66,0.28,0.12,194,,
A135...,0408.6+0334,4 08 40.7,+3 34 39,0.101 ± 0.020,-0.21 ± 0.19,+0.51 ± 0.35,6,-2,-8,1,st,M0e,13.04,0.82,-1.63,*,,
A138...,0411.5+0235,4 11 32.7,+2 35 51,0.081 ± 0.018,+0.05 ± 0.22,-0.49 ± 0.25,4.8,*,*,1,"st, st","M2e, M2e",*,*,*,*,,R
A142...,0411.7-0010,4 11 43.6,-0 10 44,0.043 ± 0.013,+0.81 ± 0.20,+0.60 ± 0.25,10.2,*,*,1,C,0.126,*,*,*,*,,
A144...,0412.1+0044,4 12 09.1,+0 44 07,0.108 ± 0.020,+0.45 ± 0.18,+0.28 ± 0.20,6.5,*,*,1,"st, st","G5, G0",*,*,*,*,HD 26573,
A146...,0413.4-0139,4 13 25.7,-1 39 27,0.093 ± 0.019,+0.04 ± 0.20,+0.40 ± 0.25,5.6,-8,-7,1,st,M4e,13.86,1.52,-1.34,*,,
A147...,0413.5+0742,4 13 32.3,+7 42 52,0.112 ± 0.024,-0.60 ± 0.15,+0.29 ± 0.71,6.7,-10,-6,2,st,F2,5.29,0.36,-4.69,*,HR 1309,R
A149...,0415.0+0724,4 15 02.7,+7 24 52,0.042 ± 0.014,+0.69 ± 0.27,+0.02 ± 0.35,2.5,-6,-2,1,st,G0,10.54,0.83,-3.01,*,HD 26861,
A150...,0415.3+0101,4 15 21.0,+1 01 04,0.041 ± 0.014,+1.88 ± 1.01,+0.42 ± 0.32,9.6,*,*,1,C,,*,*,*,*,Abell 480,R
A151...,0415.4+0611,4 15 27.2,+6 11 30,0.499 ± 0.043,-0.42 ± 0.08,-0.40 ± 0.16,29.9,*,*,1,"st, st","G0, G5",*,*,*,*,"HR 1322, 21",R
A152...,0415.6+0458,4 15 39.3,+4 58 59,0.036 ± 0.013,+2.21 ± 0.87,+0.35 ± 0.31,6.2,-19,-5,3,G,,18.06,0.8,0.39,*,,R
A153...,0415.8+0509,4 15 53.1,+5 09 25,0.041 ± 0.014,+0.82 ± 0.21,+0.23 ± 0.32,13.7,-14,4,1,S15,0.097,16.94,0.52,0.28,*,,
A154...,0416.2+0709,4 16 16.9,+7 09 21,0.049 ± 0.015,-1.15 ± 0.35,+0.00 ± 0.00,2.9,0,-18,1,st,G0,9.98,*,-3.17,*,HD 26990,
