"Number
(1)","RXJ
(2)","X(2000)
(3)","X(2000)
(4)","Count Rate
(5)","HR1
(6)","HR2
(7)","fX
(8)",(9),(10),"Q
(11)","Classification
(12)","z/Sp
(13)","V
(14)","B-V
(15)","IX,V
(16)","f4.85
(17)","Alternate
Designation
(18)","Remarks
(19)"
C104...,1041.8-0735,10 41 53.8,-7 35 54,0.035 ± 0.010,+0.91 ± 0.35,+0.22 ± 0.31,7.2,-3,1,1,"G, C","0.129,",17.22,*,0.12,*,,R
C106...,1041.9+0208,10 41 58.9,+2 08 50,0.032 ± 0.012,-0.39 ± 0.31,-0.59 ± 1.09,1.9,-2,8,1,st,M2e,15.65,1.08,-1.09,*,,
C107...,1042.2-0715,10 42 14.8,-7 15 01,0.040 ± 0.012,-0.36 ± 0.25,+0.47 ± 0.38,8.8,-2,9,1,S1,0.121,17.51,*,0.32,*,,
C110...,1042.3-0008,10 42 20.9,-0 08 32,0.049 ± 0.013,+0.46 ± 0.28,+0.40 ± 0.27,8.8,*,*,1,C,0.139,*,*,*,*,,R
C111...,1043.0+0054,10 43 03.0,+0 54 19,0.231 ± 0.026,+0.26 ± 0.11,+0.07 ± 0.15,48.8,-14,0,1,QSO,0.731,18.55,0.38,1.48,*,Q1040+011,R
C112...,1043.3-0553,10 43 18.4,-5 53 49,0.083 ± 0.016,+0.25 ± 0.20,+0.78 ± 0.19,19.2,-6,3,1,QSO,0.549,16.93,*,0.42,*,,
C115...,1043.5+0101,10 43 32.9,+1 01 21,0.081 ± 0.017,+0.39 ± 0.22,+0.60 ± 0.22,10.4,2,12,2,G,0.072,15.76,*,-0.31,*,GNB 069,
C117...,1044.3-0709,10 44 18.3,-7 09 19,0.064 ± 0.015,+0.87 ± 0.13,+0.45 ± 0.23,14,*,*,4,,,*,*,*,*,,R
C119...,1044.5-0704,10 44 31.4,-7 04 03,0.299 ± 0.029,+0.67 ± 0.07,+0.32 ± 0.09,51.6,*,*,1,C,0.132,*,*,*,*,Abell 1084,
C120...,1045.0+0043,10 45 03.3,+0 43 46,0.030 ± 0.010,+0.23 ± 0.32,+0.49 ± 0.40,1.8,-26,14,1,st,M5e,16.15,1.41,-0.91,*,,
C121...,1045.3-0346,10 45 23.7,-3 46 43,0.073 ± 0.015,+0.40 ± 0.20,+0.19 ± 0.22,16.7,-11,3,1,S1,0.211,18.11,*,0.84,*,,
C123...,1046.6+0148,10 46 36.3,+1 48 13,0.051 ± 0.014,+0.51 ± 0.29,+0.09 ± 0.31,11.2,8,-4,1,S1,0.119,*,*,*,*,,
C124...,1047.3-0041,10 47 20.7,-0 41 57,0.041 ± 0.013,+0.59 ± 0.27,+0.68 ± 0.31,8.9,15,-3,1,QSO,0.877,20.96,*,1.71,*,,R
C125...,1047.8-0113,10 47 51.2,-1 13 15,0.168 ± 0.022,+0.32 ± 0.12,+0.04 ± 0.16,10.1,-6,15,1,"st, QSO","K0, 0.435",9.2,1.2,-2.95,*,BD-00 2375,R
C126...,1047.8-0715,10 47 52.5,-7 15 11,0.035 ± 0.012,+0.09 ± 0.33,-0.06 ± 0.38,6.9,16,18,1,S1,0.095,18.31,*,0.53,*,,
C128...,1048.3-0705,10 48 20.1,-7 05 48,0.038 ± 0.012,-0.13 ± 0.31,+0.26 ± 0.44,7.9,-2,-5,1,S1,0.249,16.74,*,-0.04,*,,
C129...,1048.3-0837,10 48 20.2,-8 37 34,0.035 ± 0.011,+0.03 ± 0.33,-0.09 ± 0.47,7,*,*,4,,,*,*,*,*,,
C132...,1049.1-0647,10 49 07.2,-6 47 33,0.043 ± 0.013,-0.90 ± 0.24,-0.84 ± 1.43,8.9,-9,5,1,S1,0.441,18.47,*,0.71,*,,
C133...,1049.2-0401,10 49 16.3,-4 01 18,0.042 ± 0.012,-0.16 ± 0.25,-1.01 ± 0.68,2.5,-16,10,1,st,A2,6.61,0.22,-4.59,*,HR 4229,
C135...,1049.6-0741,10 49 41.6,-7 41 05,0.051 ± 0.013,+0.10 ± 0.24,+0.20 ± 0.31,10,3,6,1,S1,0.379,18.3,*,0.69,*,,R
C136...,1050.2-0412,10 50 12.3,-4 12 08,0.030 ± 0.010,+0.41 ± 0.39,+0.04 ± 0.39,6.5,*,*,4,,,*,*,*,*,,R
C138...,1050.5-0236,10 50 34.5,-2 36 16,0.147 ± 0.020,+0.57 ± 0.12,+0.36 ± 0.14,26.5,*,*,1,C,0.165,*,*,*,*,Abell 1111,R
C141...,1051.2-0553,10 51 12.6,-5 53 21,0.046 ± 0.013,-0.13 ± 0.26,-0.20 ± 0.38,2.8,6,15,2,st,F8,8.8,0.6,-3.67,*,HD 94044,
C142...,1051.3+0040,10 51 19.4,+0 40 00,0.030 ± 0.011,+0.12 ± 0.35,-0.41 ± 0.40,3.9,-21,26,1,G,0.039,17.76,*,0.07,*,,R
C143...,1051.3-0734,10 51 23.8,-7 34 01,0.048 ± 0.013,+0.20 ± 0.29,+0.14 ± 0.31,2.9,-5,2,1,st,K2,9.5,*,-3.37,*,PPM 193867,R
C144...,1051.8-0051,10 51 52.2,-0 51 11,0.080 ± 0.015,+0.22 ± 0.19,+0.31 ± 0.23,17.6,14,8,2,QSO,0.357,16.02,0.23,0.02,*,PG 1049-005,
C145...,1051.8-0547,10 51 52.2,-5 47 14,0.036 ± 0.011,-0.05 ± 0.29,-0.87 ± 0.66,2.2,12,5,2,st,G0,9.1,0.7,-3.65,*,HD 94137,
C146...,1051.8+0235,10 51 53.0,+2 35 34,0.036 ± 0.011,-1.61 ± 0.40,+0.00 ± 0.00,2.2,-50,-19,1,st,K8e,13.93,1.25,-1.72,*,,
C147...,1052.0+0032,10 52 03.2,+0 32 38,0.184 ± 0.023,-0.11 ± 0.13,-0.08 ± 0.19,11,-6,0,1,st,M4e,14.48,1.53,-0.79,*,G45-11,R
C149...,1052.9-0736,10 52 59.6,-7 36 19,0.043 ± 0.012,+0.25 ± 0.30,+1.07 ± 0.55,8.4,-18,-29,1,S1,0.134,18.31,*,0.62,*,,
C151...,1053.1-0314,10 53 07.6,-3 14 23,0.047 ± 0.012,+0.18 ± 0.25,+0.17 ± 0.29,9.9,0,6,1,S1,0.214,17.35,0.32,0.31,*,,
C152...,1053.2-0859,10 53 14.4,-8 59 55,0.035 ± 0.012,-0.14 ± 0.30,+0.41 ± 0.40,2.1,-10,-14,1,st,M4e,14.62,*,-1.46,*,,
C153...,1053.6-0416,10 53 37.5,-4 16 21,0.046 ± 0.012,+0.08 ± 0.29,-0.46 ± 0.31,9.7,-2,4,1,S1,0.291,17.38,*,0.31,*,,
C154...,1053.6+0059,10 53 37.8,+0 59 53,0.034 ± 0.011,+0.20 ± 0.30,+0.56 ± 0.34,7.6,-2,-5,1,S1,0.477,18.17,0.29,0.52,*,,
C157...,1055.5-0126,10 55 34.1,-1 26 06,0.058 ± 0.013,+0.23 ± 0.23,-0.06 ± 0.29,13,-3,12,3,BLL,,18.93,0.58,1.06,*,,R
C158...,1055.6+0044,10 55 41.6,+0 44 19,0.058 ± 0.014,-0.35 ± 0.21,-0.74 ± 0.53,3.5,-6,6,2,st,F2,5.91,0.42,-4.72,*,HR 4265,
C159...,1056.1+0252,10 56 06.6,+2 52 12,0.645 ± 0.041,+0.72 ± 0.05,+0.25 ± 0.07,84,0,-1,1,G,0.237,18.28,1.16,1.61,*,,
C160...,1056.1-0540,10 56 09.2,-5 40 27,0.046 ± 0.013,-0.41 ± 0.23,+0.37 ± 0.45,2.7,-5,-6,1,st,K7e,12.79,*,-2.08,*,,
C161...,1056.4-0410,10 56 25.7,-4 10 37,0.045 ± 0.013,-0.22 ± 0.25,+0.08 ± 0.41,9.2,-6,-26,2,S1,0.452,17.93,*,0.51,1,MS 1053-03,R
C162...,1056.5-0044,10 56 34.1,-0 44 17,0.033 ± 0.011,-0.13 ± 0.31,-0.13 ± 0.44,2,-29,9,1,st,M2e,15.85,1.49,-1,*,,
C164...,1057.0-0212,10 57 05.5,-2 12 13,0.058 ± 0.014,+0.34 ± 0.24,+0.57 ± 0.24,10.6,*,*,1,C,0.177,*,*,*,*,Abell 1134,R
C165...,1057.1-0101,10 57 06.3,-1 01 11,0.120 ± 0.019,-0.91 ± 0.08,-0.51 ± 1.19,7.2,*,*,1,"st, st","K5, G3",*,*,*,*,,
C166...,1057.2-0842,10 57 13.6,-8 42 43,0.039 ± 0.012,-0.07 ± 0.30,+0.46 ± 0.45,7.9,-15,5,1,QSO,0.412,16.85,*,0.01,*,,
C167...,1057.3-0805,10 57 18.6,-8 05 45,0.054 ± 0.014,+0.37 ± 0.25,+0.37 ± 0.29,10.9,-12,-5,1,S1,0.223,17.05,*,0.23,*,,R
C169...,1057.8-0059,10 57 52.4,-0 59 13,0.099 ± 0.016,+0.27 ± 0.16,+0.52 ± 0.18,21.6,-5,-5,3,"BLL, st",",K5",*,*,*,*,,R
C172...,1058.5+0134,10 58 30.1,+1 34 20,0.088 ± 0.016,+0.24 ± 0.20,+0.50 ± 0.22,19.3,9,21,1,QSO,0.893,18.09,0.52,0.89,4124,PKS 1055+0,R
C173...,1058.6-0248,10 58 41.8,-2 48 52,0.039 ± 0.011,+0.62 ± 0.28,+0.05 ± 0.31,8.6,2,6,1,S1,0.074,15.39,0.75,-0.54,*,B105608-23,R
C176...,1059.7-0522,10 59 45.8,-5 22 10,0.068 ± 0.015,+0.23 ± 0.20,-0.38 ± 0.23,4.1,3,1,1,st,K1,10.21,*,-2.94,*,,
C178...,1100.0-0657,11 00 02.7,-6 57 35,0.038 ± 0.011,+0.56 ± 0.24,-0.21 ± 0.30,2.2,-16,-6,1,st,F6,9.4,0.59,-3.52,*,BD-6 3282,
C179...,1100.3-0738,11 00 18.1,-7 38 59,0.053 ± 0.013,+0.78 ± 0.24,-0.08 ± 0.26,11.1,-2,-4,1,S1,0.066,16.01,*,-0.18,*,,
C180...,1100.5-0426,11 00 30.9,-4 26 24,0.040 ± 0.012,-0.06 ± 0.30,+0.62 ± 0.38,2.4,34,20,1,st,K8e,12.18,*,-2.38,*,,
C181...,1100.6-0234,11 00 37.9,-2 34 21,0.037 ± 0.011,+0.81 ± 0.31,+0.45 ± 0.28,4.9,-9,18,3,Gr,0.399,20.75,*,1.36,*,,R
C183...,1100.8-0512,11 00 49.6,-5 12 42,0.040 ± 0.012,+0.46 ± 0.28,-0.05 ± 0.31,2.4,18,-5,1,st,G5,9.19,*,-3.58,*,BD-4 2995,R
C184...,1100.9-0052,11 00 58.0,-0 52 58,0.064 ± 0.014,+0.70 ± 0.18,+0.15 ± 0.23,14.5,6,7,1,S1,0.379,17.89,0.23,0.69,*,,
C187...,1102.5-0634,11 02 31.6,-6 34 27,0.035 ± 0.011,+0.43 ± 0.28,+0.00 ± 0.35,2.1,43,18,1,st,K6,15.24,*,-1.22,*,,R
C189...,1102.8-0148,11 02 52.0,-1 48 51,0.041 ± 0.012,+0.54 ± 0.27,+0.46 ± 0.27,9.8,-15,16,3,"BLL, st",",K0",21.65,*,2.02,*,,R
C190...,1103.2-0654,11 03 15.8,-6 54 11,0.039 ± 0.012,+0.38 ± 0.32,+0.41 ± 0.36,8.4,-13,6,1,S1,0.025,13.34,*,-1.37,*,,R
C191...,1103.5-0835,11 03 31.4,-8 35 15,0.065 ± 0.015,+0.85 ± 0.19,+0.37 ± 0.21,11.3,*,*,1,C,0.154,*,*,*,*,,R
C192...,1103.6-0442,11 03 38.5,-4 42 19,0.063 ± 0.014,-0.34 ± 0.19,+1.08 ± 0.90,3.8,-15,14,1,st,G0,15.64,*,-0.8,*,,
C193...,1103.8+0119,11 03 50.2,+1 19 36,0.035 ± 0.011,+1.14 ± 0.20,+0.08 ± 0.28,6.4,*,*,1,C,0.133,*,*,*,*,Abell 1153,R
C194...,1103.8-0741,11 03 51.4,-7 41 51,0.053 ± 0.013,+0.11 ± 0.25,+0.30 ± 0.31,3.1,21,-37,2,st,K0,7.3,1.2,-4.21,*,HD 95900,
C195...,1103.9-0230,11 03 54.5,-2 30 57,0.042 ± 0.012,+0.58 ± 0.24,+0.10 ± 0.28,10,-14,12,1,S1,0.219,19.14,0.24,1.02,*,,
C197...,1104.6-0413,11 04 40.7,-4 13 17,1.240 ± 0.054,-0.16 ± 0.04,-0.04 ± 0.07,74.2,*,*,2,"st, st","G5, M3",*,*,*,*,BD-3 3040,R
C199...,1105.2+0053,11 05 17.3,+0 53 19,0.046 ± 0.012,+0.46 ± 0.24,+0.60 ± 0.21,10.2,-9,-9,1,S1,0.097,17.26,0.93,0.28,*,,R
C200...,1105.3-0735,11 05 21.1,-7 35 32,0.067 ± 0.016,-0.16 ± 0.21,+0.38 ± 0.32,4,-13,27,1,st,K5e,11.44,*,-2.45,*,,
C201...,1105.4+0205,11 05 28.5,+2 05 19,0.071 ± 0.015,+0.19 ± 0.19,+0.35 ± 0.24,15.8,-15,-4,1,S2,0.247,*,*,*,*,,
C202...,1105.5-0611,11 05 30.2,-6 11 16,0.058 ± 0.013,+0.75 ± 0.21,+0.72 ± 0.18,7.5,-15,-6,1,G,,18.57,*,0.67,*,,R
C203...,1105.7-0545,11 05 44.3,-5 45 59,0.084 ± 0.016,+0.21 ± 0.19,+0.03 ± 0.23,18.3,0,-1,1,S1,0.158,16.64,*,0.29,*,,
D002...,1157.9+2938,11 57 55.3,+29 38 38,0.051 ± 0.013,-0.17 ± 0.23,+0.10 ± 0.37,7.1,-12,-5,1,S1,0.376,18.77,0.38,0.73,*,,
D004...,1158.2+3814,11 58 16.8,+38 14 49,0.038 ± 0.012,-0.55 ± 0.21,-0.11 ± 1.59,5.5,*,*,1,"QSO, st","1.202, M4e",*,*,*,*,,R
D005...,1158.4+2829,11 58 24.3,+28 29 31,0.035 ± 0.011,+0.49 ± 0.29,+0.24 ± 0.35,5,7,2,1,QSO,0.769,18.98,0.43,0.66,*,,
D006...,1158.9+3222,11 58 55.9,+32 22 51,0.066 ± 0.015,-0.38 ± 0.23,-0.56 ± 0.50,9.4,3,29,1,S1,0.215,18.1,0.38,0.59,*,E1156+323,
D007...,1159.5+2914,11 59 31.0,+29 14 40,0.091 ± 0.015,+0.23 ± 0.17,+0.22 ± 0.22,13.2,-12,-3,1,QSO,0.729,17.06,0.48,0.31,1545,HB 891156,
D008...,1159.7+2818,11 59 46.6,+28 18 44,0.032 ± 0.011,+0.53 ± 0.34,+0.77 ± 0.25,4.6,*,*,1,C,,*,*,*,*,,R
D009...,1200.4+3317,12 00 27.1,+33 17 39,0.037 ± 0.010,+0.13 ± 0.30,-0.03 ± 0.35,5.4,3,11,1,S15,0.348,18.77,0.61,0.61,*,,
D011...,1200.4+3334,12 00 28.7,+33 34 44,0.077 ± 0.015,-0.36 ± 0.18,+0.20 ± 0.34,10.8,8,5,1,S1,0.284,17.71,0.33,0.49,*,,
D012...,1200.6+3312,12 00 41.2,+33 12 36,0.032 ± 0.011,+0.48 ± 0.35,-0.13 ± 0.34,4.7,-6,2,1,S1,0.137,16.55,0.85,-0.34,*,,R
D015...,1200.8+3417,12 00 50.8,+34 17 04,0.046 ± 0.012,-0.28 ± 0.24,+0.57 ± 0.33,6.4,-1,1,1,S1,0.376,19.84,0.21,1.11,182,,
D016...,1201.5+2932,12 01 30.0,+29 32 02,0.101 ± 0.016,+0.79 ± 0.14,+0.25 ± 0.16,13.5,0,5,1,S1,0.133,17.08,0.6,0.33,*,,
D017...,1201.5+3013,12 01 32.4,+30 13 18,0.037 ± 0.011,-0.06 ± 0.27,+0.53 ± 0.31,5,3,3,1,AGN,0.449,*,*,*,*,,R
D018...,1201.6+3602,12 01 38.0,+36 02 38,0.039 ± 0.012,-0.53 ± 0.23,-0.76 ± 0.63,2.3,-22,0,1,st,G2,*,*,*,*,,
D019...,1201.7+3125,12 01 47.9,+31 25 60,0.032 ± 0.010,-0.05 ± 0.29,-0.36 ± 0.36,4.3,8,6,1,S1,0.137,17.7,1.1,0.08,*,,
D022...,1202.3+2835,12 02 18.7,+28 35 06,0.081 ± 0.016,-0.74 ± 0.14,-0.38 ± 0.54,4.9,5,-9,1,st,M1,13.69,1.49,-1.47,*,,
D023...,1202.5+2756,12 02 33.0,+27 56 31,0.055 ± 0.013,-0.35 ± 0.19,-0.04 ± 0.34,7.7,-13,6,1,QSO,0.673,19.38,0.44,1.01,100,,
D024...,1202.7+3520,12 02 42.7,+35 20 13,0.083 ± 0.016,-0.29 ± 0.17,+0.28 ± 0.28,5,-20,2,1,st,K7,13.8,0.94,-1.41,*,,
D025...,1202.7+3735,12 02 43.1,+37 35 38,0.031 ± 0.011,-0.24 ± 0.29,+0.32 ± 0.41,4.6,-5,-13,2,QSO,0.497,18.3,0.29,0.35,50,,
D027...,1202.8+3307,12 02 51.7,+33 07 14,0.034 ± 0.011,+0.46 ± 0.35,+0.04 ± 0.36,3.1,*,*,1,C,0.201,*,*,*,*,,
D028...,1203.0+2836,12 03 01.2,+28 36 10,0.122 ± 0.018,+0.79 ± 0.12,+0.16 ± 0.17,17.6,*,*,1,C,0.135,*,*,*,30,Abell 1449,
D030...,1203.7+2835,12 03 42.8,+28 35 57,0.249 ± 0.024,-0.01 ± 0.10,+0.30 ± 0.13,35,-5,0,1,S1,0.373,17.79,0.22,1.03,*,,
D031...,1203.8+3711,12 03 53.7,+37 11 34,0.083 ± 0.016,-0.39 ± 0.16,+0.18 ± 0.30,12.1,-13,-3,1,S1,0.401,18.57,0.31,0.88,*,,
D032...,1204.0+3454,12 04 02.0,+34 54 48,0.048 ± 0.013,-0.73 ± 0.14,+7.62 ± 0.85,6.9,9,14,1,S1,0.352,19.32,0.42,0.94,*,,
D033...,1204.0+2807,12 04 02.6,+28 07 08,0.074 ± 0.015,+0.72 ± 0.17,+0.56 ± 0.21,10.7,*,*,1,C,0.167,*,*,*,*,MS 1201+282,
D034...,1204.6+2754,12 04 41.5,+27 54 14,0.555 ± 0.036,-0.11 ± 0.06,+0.21 ± 0.09,77.2,-8,2,1,S1,0.166,15.77,0.18,0.57,*,GQ Comae,
D036...,1204.7+3738,12 04 46.0,+37 38 24,0.037 ± 0.012,+0.12 ± 0.32,-0.09 ± 0.40,2.2,2,17,1,st,M3e,16.97,1.2,-0.5,*,,
D037...,1205.2+3336,12 05 12.3,+33 36 58,0.033 ± 0.011,+0.02 ± 0.32,-0.29 ± 0.39,2,-11,23,1,st,G4,14.44,0.65,-1.56,*,,
D038...,1205.3+2856,12 05 20.4,+28 56 12,0.074 ± 0.015,-0.20 ± 0.19,+0.26 ± 0.28,10.3,-8,-9,1,"S1, G","0.207,",18.41,0.86,0.75,*,,R
D040...,1205.8+3510,12 05 49.7,+35 10 55,0.175 ± 0.021,-0.21 ± 0.11,+0.21 ± 0.17,25.2,-1,9,1,S1,0.054,15.07,0.42,-0.2,*,,
D041...,1206.6+2810,12 06 36.4,+28 10 39,0.110 ± 0.018,+0.07 ± 0.15,+0.29 ± 0.18,15.7,*,*,1,C,0.028,*,*,*,*,,
D042...,1206.9+3739,12 06 57.9,+37 39 04,0.069 ± 0.014,-0.59 ± 0.15,+0.08 ± 0.41,10.2,-13,2,1,S1,0.191,18,0.32,0.58,*,,
D043...,1207.0+3840,12 07 04.2,+38 40 27,0.044 ± 0.012,-0.51 ± 0.20,+0.05 ± 0.47,6.7,-4,3,1,S1,0.572,16.14,0.01,-0.35,*,,
D044...,1207.2+2721,12 07 13.6,+27 21 50,0.054 ± 0.013,-0.71 ± 0.15,+2.74 ± 2.99,7.6,0,1,1,S1,0.206,19.03,0.34,0.86,*,,
D045...,1207.2+2922,12 07 13.7,+29 22 42,0.081 ± 0.015,-0.21 ± 0.18,-0.04 ± 0.27,11.2,-4,6,1,S1,0.383,18.05,0.24,0.64,*,,
D046...,1207.3+3648,12 07 18.4,+36 48 18,0.043 ± 0.012,+0.53 ± 0.26,+0.06 ± 0.30,6.3,7,17,1,S1,0.247,19.29,0.64,0.88,*,,
D047...,1207.3+3852,12 07 21.6,+38 52 11,0.053 ± 0.013,-0.39 ± 0.23,+0.27 ± 0.48,8,-6,-4,1,S1,0.305,16.48,0.62,-0.13,*,,
D049...,1207.5+3047,12 07 35.2,+30 47 43,0.036 ± 0.011,-0.21 ± 0.29,+0.55 ± 0.44,4.8,-21,-17,1,"QSO, C","0.617,",17.86,0.23,0.2,*,Abell 1472,R
D050...,1207.7+3148,12 07 44.4,+31 48 42,0.059 ± 0.013,+0.07 ± 0.22,-0.28 ± 0.25,8.2,*,*,1,C,,*,*,*,*,,R
D051...,1207.7+2736,12 07 44.6,+27 36 42,0.050 ± 0.013,+0.37 ± 0.31,+0.45 ± 0.32,7.2,*,*,1,C,,*,*,*,*,,R
D052...,1207.8+2802,12 07 53.3,+28 02 39,0.069 ± 0.014,+0.06 ± 0.19,+0.06 ± 0.24,9.8,-19,-21,1,S1,0.354,17.33,0.4,0.29,*,,
D053...,1208.0+3110,12 08 02.6,+31 10 45,0.067 ± 0.014,-0.22 ± 0.19,+0.25 ± 0.30,4,3,-19,1,st,K4,11.24,1.01,-2.53,*,,
D054...,1208.4+3411,12 08 27.8,+34 11 41,0.036 ± 0.011,-0.83 ± 0.14,+0.00 ± 0.00,4.9,-7,-8,1,QSO,0.507,19.45,0.18,0.84,*,,
D056...,1208.5+3603,12 08 30.3,+36 03 58,0.039 ± 0.012,-0.13 ± 0.26,-0.56 ± 0.33,5.6,-11,7,1,S1,0.167,20.03,0.58,1.13,*,,
D058...,1209.0+3056,12 09 01.1,+30 56 46,0.032 ± 0.010,-0.59 ± 0.23,+2.21 ± 2.31,4.2,-4,11,1,S1,0.519,19.09,0.28,0.63,*,,
D059...,1209.5+3224,12 09 33.3,+32 24 32,0.070 ± 0.014,+0.64 ± 0.19,+0.12 ± 0.20,9.3,5,2,1,S1,0.149,18.34,0.89,0.68,*,,
D060...,1209.5+3356,12 09 34.8,+33 56 35,0.034 ± 0.010,+0.08 ± 0.28,-0.29 ± 0.37,2,8,-4,1,st,F2,12.69,0.62,-2.25,*,,
D061...,1209.7+3217,12 09 44.9,+32 17 02,0.604 ± 0.038,-0.60 ± 0.05,-0.24 ± 0.13,35.2,-4,1,1,S1,0.145,17.87,0.34,1.06,*,,
D062...,1210.5+3023,12 10 31.5,+30 23 59,0.044 ± 0.012,+0.24 ± 0.27,+0.98 ± 0.22,5.1,-32,-6,1,G,,11.97,0.49,-2.14,*,NGC 4150,R
D063...,1210.6+3157,12 10 37.2,+31 57 07,0.129 ± 0.019,-0.30 ± 0.13,+0.34 ± 0.22,16.7,-5,1,2,QSO,0.388,16.61,0.07,0.24,91,ON +313,
D064...,1210.6+3732,12 10 38.1,+37 32 43,0.033 ± 0.010,+0.53 ± 0.31,+0.33 ± 0.28,2,7,3,1,st,K0,13.35,0.64,-1.99,*,,
D065...,1210.7+2725,12 10 45.0,+27 25 45,0.085 ± 0.015,-0.36 ± 0.16,+0.30 ± 0.26,12.3,-9,9,1,S1,0.231,17.28,0.32,0.37,*,,
D066...,1211.0+3520,12 11 05.6,+35 20 17,0.105 ± 0.017,+0.41 ± 0.15,+0.19 ± 0.18,14.6,*,*,1,C,0.138,*,*,*,34,Abell 1483,R
D067...,1211.2+3816,12 11 12.4,+38 16 47,0.063 ± 0.014,-0.34 ± 0.19,+0.39 ± 0.31,9.5,-5,6,1,S1,0.185,18.24,1.18,0.64,*,,
D068...,1211.2+3657,12 11 13.4,+36 57 40,0.109 ± 0.017,-0.09 ± 0.15,-0.35 ± 0.21,15.9,-14,1,1,S1,0.169,18.07,0.38,0.8,*,,
D069...,1211.5+2723,12 11 34.1,+27 23 31,0.036 ± 0.011,-0.25 ± 0.26,-0.12 ± 0.38,5.2,*,*,1,"C, st",",M5e",*,*,*,*,,R
D071...,1212.2+3101,12 12 15.0,+31 01 14,0.034 ± 0.010,-0.16 ± 0.27,-0.58 ± 0.34,4.7,8,-8,1,QSO,0.951,18.56,0.49,0.46,*,,
D072...,1212.2+2803,12 12 16.4,+28 03 53,0.130 ± 0.020,-0.47 ± 0.12,+0.10 ± 0.26,18.8,-12,3,1,S1,0.167,16.71,0.28,0.33,*,,
D073...,1212.2+2733,12 12 17.6,+27 33 09,0.077 ± 0.015,+0.71 ± 0.21,+0.08 ± 0.20,11.1,*,*,1,C,0.028,*,*,*,*,Abell 1489,
D074...,1212.4+2723,12 12 28.1,+27 23 44,0.047 ± 0.013,-0.16 ± 0.24,-0.06 ± 0.33,6.8,-8,18,1,S1,0.376,18.94,0.45,0.78,38,,
D075...,1212.9+2726,12 12 57.7,+27 26 51,0.069 ± 0.014,+0.74 ± 0.19,+0.08 ± 0.21,10.1,*,*,1,C,,*,*,*,*,,
D076...,1213.1+3410,12 13 07.4,+34 10 54,0.058 ± 0.014,+0.46 ± 0.21,+0.34 ± 0.21,7.3,*,*,1,"C, st",",K4",*,*,*,*,Abell 1492,R
D077...,1213.3+2708,12 13 19.7,+27 08 38,0.051 ± 0.012,-0.43 ± 0.20,+0.03 ± 0.44,7.3,7,-3,1,QSO,0.598,17.37,0.3,0.18,*,,
D078...,1213.4+2938,12 13 25.0,+29 38 49,0.047 ± 0.012,+0.20 ± 0.26,+0.11 ± 0.30,6.5,-7,-7,1,S1,0.144,*,*,*,*,,R
D080...,1213.7+3637,12 13 44.6,+36 37 55,0.148 ± 0.019,+0.94 ± 0.07,+0.28 ± 0.12,16.7,1,-11,1,Gin,,13.25,0.07,-1.11,*,,
D083...,1214.3+2936,12 14 23.7,+29 36 09,0.054 ± 0.013,-0.38 ± 0.20,+0.61 ± 0.29,7.6,-25,-3,1,S2,0.307,18.4,0.87,0.61,*,,
D084...,1215.0+3311,12 15 05.6,+33 11 33,0.665 ± 0.038,+0.02 ± 0.06,+0.17 ± 0.08,72.5,9,-19,1,G,0.004,10.8,*,-1.45,33,1ES1212+33,R
D086...,1215.4+2730,12 15 26.9,+27 30 38,0.067 ± 0.015,+0.18 ± 0.23,+0.03 ± 0.30,9.9,*,*,1,C,0.185,*,*,*,*,,
D087...,1215.6+3355,12 15 38.9,+33 55 15,0.044 ± 0.011,+0.08 ± 0.25,+0.37 ± 0.29,5.2,-10,5,1,S1,0.318,19.08,0.84,0.72,*,,
D088...,1215.9+3240,12 15 57.5,+32 40 19,0.031 ± 0.010,-0.02 ± 0.29,+0.30 ± 0.35,1.8,-13,-12,1,S1,0.228,18.69,0.82,0.1,*,,
D090...,1216.4+2834,12 16 24.8,+28 34 47,0.031 ± 0.010,+0.01 ± 0.29,-0.08 ± 0.38,4.4,-8,1,1,S1,0.218,17.62,0.8,0.07,*,,
D091...,1216.8+3754,12 16 51.3,+37 54 28,0.036 ± 0.011,-0.47 ± 0.24,-1.93 ± 1.00,5.1,-6,-11,1,S2,0.063,16.53,*,-0.31,*,,
D092...,1216.9+3109,12 16 58.3,+31 09 02,0.041 ± 0.011,-0.33 ± 0.23,-0.31 ± 0.35,2.4,-6,-23,1,st,M3e,13.92,1.51,-1.68,*,,
D093...,1217.2+2749,12 17 15.0,+27 49 44,0.040 ± 0.011,+0.12 ± 0.27,-0.03 ± 0.34,6,15,-29,2,QSO,0.394,17.46,*,0.13,*,,R
D094...,1217.3+3056,12 17 20.3,+30 56 27,0.200 ± 0.022,-0.28 ± 0.10,+0.13 ± 0.17,11.7,-14,-3,2,QSO,0.307,17.25,0.31,0.34,*,CBS 056,
D095...,1217.5+3641,12 17 33.0,+36 41 24,0.041 ± 0.011,+0.49 ± 0.23,+0.19 ± 0.27,5.7,*,*,1,C,,*,*,*,*,,R
D096...,1217.8+3007,12 17 51.3,+30 07 01,2.830 ± 0.077,-0.26 ± 0.03,+0.05 ± 0.04,399.8,-10,2,1,BLL,0.237,14.64,0.77,0.83,445,,R
D097...,1217.9+3033,12 17 59.3,+30 33 03,0.042 ± 0.011,-0.08 ± 0.27,-0.18 ± 0.37,5.9,-5,9,1,S1,0.363,17.99,0.12,0.34,*,,
