index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
48,NS,NS0044,XMMU J004245.2+41172,3836.7,49.26,9049.175,2007-11-27T04:06:08,7.351e-06,1.0,8.0,,,,,,,,,13.907258307628107,inf,inf,1.582678e-05,0.0,0.0,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.188,0.1968,-1.0,0.0131,-1.0,,,,,,,,,,,,,,,,,,,,
49,NS,NS0044,XMMU J004245.2+41172,3965.3,49.26,9049.175,2008-11-27T17:39:27,7.351e-06,1.0,8.0,,,,,,,,,13.817191750427455,15.252844649177277,14.471649021787174,1.5191200000000001e-05,1.32684e-07,8.099e-07,0.2349,0.6109,-0.0987,,,,,,,,,,,,,,,,,0.6802,-0.2829,1.0,-0.1018,0.6702,-0.539,,,,,,,,,,,,,,,,,,,,
50,NS,NS0044,XMMU J004245.2+41172,4120.0,49.26,9049.175,2008-10-13T03:56:16,7.351e-06,1.0,8.0,,,,,,,,,13.863552141260621,inf,15.254925208417943,1.6848e-05,2.6362e-08,5.0666e-07,-0.8582,-0.9994,-0.0974,,,,,,,,,,,,,,,,,0.0531,-1.0,0.1755,-1.0,0.6652,-0.5353,,,,,,,,,,,,,,,,,,,,
51,NS,NS0044,XMMU J004245.2+41172,4144.3,49.26,9049.175,2009-10-22T04:59:21,7.351e-06,1.0,8.0,0.003047,0.001531,0.001995,0.0004098,0.678,0.547,0.472,0.0,13.675240288928508,14.496263777345662,14.14967240513739,2.3149200000000002e-05,1.60542e-06,3.2540000000000005e-06,0.0162,-0.4022,-0.3973,,,,,,,,,,,,,,,,,0.4129,-0.4066,0.0081,-0.7277,-0.0081,-0.6977,,,,,,,,,,,,,,,,,,,,
52,NS,NS0044,XMMU J004245.2+41172,4140.8,49.26,9049.175,2009-11-11T05:44:54,7.351e-06,1.0,8.0,1.1285875,0.003245925,0.0636965,0.21298574999999997,0.57975,0.65075,0.7122499999999999,3.25,13.243713902218067,13.658241112321319,13.508579470253748,4.93652e-05,1.3567599999999999e-05,1.87616e-05,0.5034,-0.3923,-0.7458,,,,,,,,,,,,,,,,,0.7139,0.248,-0.1905,-0.5715,-0.589,-0.8638,,,,,,,,,,,,,,,,,,,,
53,NS,NS0044,XMMU J004245.2+41172,3971.3,49.26,9049.175,2010-10-19T11:43:37,7.351e-06,1.0,8.0,0.012017,0.005005249999999999,0.006248499999999999,0.001337725,0.3575,0.5665,0.44225000000000003,0.75,13.054560959715424,13.315082860075629,13.210278306019077,4.7035999999999995e-05,1.4817600000000002e-05,1.89e-05,0.1936,-0.0025,-0.1999,,,,,,,,,,,,,,,,,0.3629,0.0169,0.1968,-0.193,0.0044,-0.3829,,,,,,,,,,,,,,,,,,,,
54,NS,NS0044,XMMU J004245.2+41172,3971.8,49.26,9049.175,2010-11-16T13:36:08,7.351e-06,1.0,8.0,0.004873,0.0033095000000000004,0.0037272499999999997,0.00044282500000000004,0.6392500000000001,0.5944999999999999,0.43624999999999997,0.5,13.26069670084366,13.662337117314978,13.416302584016268,5.841259999999999e-05,1.0568399999999999e-05,3.45154e-05,-0.1761,-0.0987,0.0874,,,,,,,,,,,,,,,,,0.0418,-0.3916,0.1843,-0.3616,0.3367,-0.153,,,,,,,,,,,,,,,,,,,,
55,NS,NS0044,XMMU J004245.2+41172,3974.8,49.26,9049.175,2011-09-28T19:00:07,7.351e-06,1.0,8.0,0.00540775,0.00372375,0.0040955,0.0003594,0.52525,0.344,0.33999999999999997,0.0,13.257384830585218,13.674870365250571,13.52528851460756,4.75146e-05,9.8806e-06,1.3553800000000002e-05,-0.2773,-0.2586,0.03,,,,,,,,,,,,,,,,,-0.0568,-0.4916,0.0194,-0.5041,0.2717,-0.1955,,,,,,,,,,,,,,,,,,,,
56,NS,NS0044,XMMU J004245.2+41172,3956.0,49.26,9049.175,2011-10-31T05:18:48,7.351e-06,1.0,8.0,0.001931,0.00104,0.001196,0.0001857,0.48,0.696,0.431,0.0,13.806068808825053,14.790522518701092,14.054373876285913,7.456659999999999e-05,3.51212e-06,3.90721e-05,0.1711,-0.5809,-0.6671,,,,,,,,,,,,,,,,,0.619,-0.3354,-0.1418,-0.8626,-0.268,-0.9126,,,,,,,,,,,,,,,,,,,,
57,NS,NS0044,XMMU J004245.2+41172,3907.5,49.26,9049.175,2011-11-24T18:11:42,7.351e-06,1.0,8.0,0.0070420000000000005,0.005227,0.00567475,0.000501225,0.40875000000000006,0.38049999999999995,0.33875,0.25,13.061940831063907,13.289704889899394,13.15921663327664,7.858800000000001e-05,1.29734e-05,4.644e-05,0.0824,-0.0775,-0.1599,,,,,,,,,,,,,,,,,0.2617,-0.1043,0.1343,-0.2767,0.0493,-0.3467,,,,,,,,,,,,,,,,,,,,
58,NS,NS0044,XMMU J004245.2+41172,27885.0,49.26,9049.175,2012-08-14T15:33:45,7.351e-06,1.0,8.0,0.0034452499999999995,0.001228275,0.001504475,0.0003754775,0.634,0.51225,0.6565000000000001,2.25,13.931254741344446,14.090283546765656,14.007543690183429,5.505000000000001e-06,3.1498000000000003e-06,4.331800000000001e-06,0.1199,-0.1537,-0.2673,,,,,,,,,,,,,,,,,0.2655,-0.0331,-0.0081,-0.2954,-0.1318,-0.3954,,,,,,,,,,,,,,,,,,,,
59,NS,NS0044,XMMU J004245.2+41172,37459.6,49.26,9049.175,2011-09-01T20:35:19,7.351e-06,1.0,8.0,0.00193375,0.000779875,0.001337375,0.00036169999999999996,0.7705,0.59625,0.58625,1.75,13.943865370599967,14.1165884269993,14.02088887122451,4.5708e-06,2.8095999999999997e-06,3.7048e-06,0.0987,-0.045,-0.1424,,,,,,,,,,,,,,,,,0.2305,-0.0381,0.0918,-0.183,-0.0119,-0.2692,,,,,,,,,,,,,,,,,,,,
60,NS,NS0044,XMMU J004245.2+41172,39869.4,49.26,9049.175,2011-09-06T23:34:18,7.351e-06,1.0,8.0,0.00599234,0.0057207000000000004,0.00584474,0.0001254166,0.5478,0.6275999999999999,0.29179999999999995,0.2,13.29056551329858,13.353482568211996,13.320777487829684,1.9217999999999998e-05,1.59174e-05,1.75826e-05,0.0625,-0.0375,-0.0999,12.975925012692574,1.974,18.03,3.159e-05,0.867,13.047546603576967,13.021682503253249,13.0762380391713,0.627,1.996e-06,5.834e-05,1.581,12.983802646487561,4.41,10.48,0.689,0.1181,0.0056,0.0206,-0.0956,-0.0456,-0.153,12.954285941059132,13.001217730168264,2.107,1.847,23.11,13.38,3.62e-05,2.761e-05,5.581e-05,6.821e-05,13.014798141635428,12.959397659885926,5.448,3.671,14.23,6.983,0.6576,0.5986,0.4855,
61,NS,NS0044,XMMU J004245.2+41172,11097.8,49.26,9049.175,2012-08-17T00:16:42,7.351e-06,1.0,8.0,0.0034367499999999997,0.001691925,0.001913475,0.00029849,0.742,0.6207499999999999,0.4705,0.25,13.85508347290715,14.088490834989914,13.968252312576642,6.1188000000000015e-06,3.3206e-06,4.2908000000000005e-06,-0.0575,-0.4322,-0.3773,,,,,,,,,,,,,,,,,0.168,-0.2892,-0.2467,-0.6027,-0.2105,-0.5303,,,,,,,,,,,,,,,,,,,,
62,NS,NS0044,XMMU J004245.2+41172,4903.5,49.26,9049.175,2002-08-11T18:17:21,7.351e-06,1.0,8.0,,,,,,,,,14.053164702933373,inf,inf,9.250399999999999e-06,0.0,0.0,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.2367,0.1955,-1.0,0.0381,-1.0,,,,,,,,,,,,,,,,,,,,
63,NS,NS0044,XMMU J004245.2+41172,4108.6,49.26,9049.175,2004-09-02T14:31:38,7.351e-06,1.0,8.0,,,,,,,,,13.787918984007892,15.401997845679487,14.600430106343158,2.06632e-05,2.5398e-07,1.6852e-06,0.2461,0.9044,0.0712,,,,,,,,,,,,,,,,,0.674,-0.273,1.0,-0.0481,0.7976,-0.3854,,,,,,,,,,,,,,,,,,,,
64,NS,NS0044,XMMU J004245.2+41172,4132.7,49.26,9049.175,2004-10-04T21:01:31,7.351e-06,1.0,8.0,,,,,,,,,14.002124545188497,inf,inf,9.76658e-06,0.0,0.0,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.3054,0.1355,-1.0,0.0306,-1.0,,,,,,,,,,,,,,,,,,,,
65,NS,NS0044,XMMU J004245.2+41172,4117.4,49.26,9049.175,2006-09-24T18:33:33,7.351e-06,1.0,8.0,0.00379525,0.0017720499999999998,0.00215075,0.00043975,0.5465,0.61225,0.57175,1.0,13.481775686329515,13.924642855823151,13.722344952285292,1.9846000000000003e-05,4.1816e-06,6.569e-06,0.1711,-0.1087,-0.2748,,,,,,,,,,,,,,,,,0.4466,-0.1293,0.2092,-0.3991,0.0394,-0.5403,,,,,,,,,,,,,,,,,,,,
66,NS,NS0044,XMMU J004245.2+41172,3961.8,49.26,9049.175,2007-06-18T07:06:54,7.351e-06,1.0,8.0,,,,,,,,,13.478101259362484,15.630413109263655,13.980634425427512,1.92738e-05,6.894000000000001e-08,7.416e-07,0.9994,0.4859,-0.9994,,,,,,,,,,,,,,,,,1.0,0.2367,1.0,-0.1018,0.0331,-1.0,,,,,,,,,,,,,,,,,,,,
67,NS,NS0044,XMMU J004245.2+41172,4073.5,49.26,9049.175,2007-07-05T13:16:36,7.351e-06,1.0,8.0,,,,,,,,,13.168736998688871,15.151404499643409,14.525783735923744,0.00011149699999999998,2.5223999999999998e-06,8.270799999999999e-06,-0.04,0.9994,0.9994,,,,,,,,,,,,,,,,,0.4191,-0.5053,1.0,0.0106,1.0,0.0718,,,,,,,,,,,,,,,,,,,,
68,NS,NS0044,XMMU J004245.2+41172,4128.5,49.26,9049.175,2007-07-31T03:50:26,7.351e-06,1.0,8.0,0.001584,0.001039,0.001164,0.0001132,0.404,0.131,0.382,0.0,13.753703349064073,14.913291449864108,14.448135424339334,1.9939e-05,7.267599999999999e-07,1.9059999999999996e-06,-0.2811,0.6433,0.9994,,,,,,,,,,,,,,,,,0.1643,-0.6652,1.0,-0.0931,1.0,0.1543,,,,,,,,,,,,,,,,,,,,
69,NS,NS0044,XMMU J004245.2+41172,4032.6,49.26,9049.175,2007-08-28T12:54:34,7.351e-06,1.0,8.0,0.0077343333333333335,0.005424333333333333,0.006559333333333334,0.0007668333333333333,0.4266666666666667,0.6643333333333333,0.35766666666666663,0.3333333333333333,13.33261616614044,13.968704669045383,13.775001039460548,6.400000000000001e-05,1.02958e-05,1.60484e-05,0.1674,0.356,0.1836,,,,,,,,,,,,,,,,,0.4254,-0.1131,0.6665,0.0181,0.539,-0.163,,,,,,,,,,,,,,,,,,,,
70,NS,NS0044,XMMU J004245.2+41172,3965.3,49.26,9049.175,2007-09-26T15:23:46,7.351e-06,1.0,8.0,,,,,,,,,13.888959396243845,inf,inf,1.4047279999999999e-05,0.0,0.0,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.2642,0.123,-1.0,0.0069,-1.0,,,,,,,,,,,,,,,,,,,,
71,NS,NS0044,XMMU J004245.2+41172,4051.4,49.26,9049.175,2008-07-15T16:58:40,7.351e-06,1.0,8.0,0.00809225,0.006925,0.007502750000000001,0.0004248,0.27775,0.49124999999999996,0.257,0.0,13.232354436843647,13.626867225450843,13.488009748919207,5.7536e-05,1.7874e-05,2.4198e-05,-0.04,-0.0962,-0.0537,,,,,,,,,,,,,,,,,0.1705,-0.2555,0.153,-0.3292,0.1793,-0.2705,,,,,,,,,,,,,,,,,,,,
