index,class,c0,c1,c2
106,BH,0.2304836396544746,0.13320633210530342,-0.16490271224093725
107,NS,0.2369491002839245,0.14036835971306855,-0.16251874816074646
108,NS,0.23532720572168025,0.14112318141291902,-0.16205957844279745
109,NS,0.23534829650102645,0.14116481851070145,-0.16201312034546328
110,NS,0.23641042700113635,0.13884042848783154,-0.16306172638824762
111,BH,-0.4992937079334474,-0.29700126827856105,0.3389122916438563
112,BH,-0.4966719422574298,-0.2991905719242404,0.33563665665694353
113,BH,0.20942466136890966,0.1309241835705227,-0.17645760753179365
114,NS,0.2369491597883969,0.1403683848187571,-0.16251864168125976
115,NS,0.2377785956861477,0.13706880504720131,-0.16363228164757232
116,BH,0.21946842258715807,0.13659104783406775,-0.17363012546807255
117,BH,-0.06880816610446927,0.04519263914784009,-0.041808806009900015
118,NS,0.23694914370083595,0.14036837539429586,-0.16251867269901116
119,NS,0.2369491395817337,0.1403683406447062,-0.16251870798602114
120,NS,0.23156863989852866,0.14653139999411394,-0.1610520899925563
121,BH,-0.4999491720399186,-0.290611404129888,0.3344021462287677
122,NS,0.23694910399212804,0.14036836677472725,-0.16251873687661614
123,NS,0.23694911952244305,0.14036834474298585,-0.16251873325818494
124,NS,0.23660265018802445,0.14153468644537795,-0.1614173605450315
125,NS,0.23110664493890204,0.09401663957568103,-0.07870080737320015
126,NS,0.2361741801866323,0.14314985565693142,-0.16004393061978334
127,BH,-0.2010874585463941,0.1022226225517051,-0.001039997094794111
128,NS,0.2381587082926849,0.13955523466868458,-0.16258593690714682
129,NS,0.2328930213792389,0.12898791352195474,-0.16549072613796575
130,NS,0.23694917003944915,0.1403683663840298,-0.1625186425841858
131,NS,0.23520330396533576,0.14103636210340773,-0.16237340836992656
132,NS,0.2367081241503981,0.13874209405395038,-0.1619392100083372
133,NS,0.2369490884921914,0.14036834632634135,-0.16251877637428674
134,BH,-0.4998571796784327,-0.29877925409330663,0.336392177609793
135,NS,0.2363727147062493,0.1410323580249741,-0.16108194252191965
136,NS,0.2357974068577676,0.1418060261948917,-0.16204786210108305
137,BH,-0.4994768394093314,-0.2951808640243549,0.33786900826030797
138,NS,0.2369491317588213,0.14036834941155804,-0.1625187117798678
139,BH,-0.4874546413593919,-0.23572951358127014,0.2943320335204143
140,NS,0.23782147832400466,0.1371145873475521,-0.15742135229616658
141,BH,-0.5034040690618995,-0.2934653994979645,0.3331231501770482
142,BH,-0.5028657831951516,-0.2855242965695083,0.3320739759274981
143,BH,-0.4980792837758739,-0.2924965966843028,0.336890476819218
144,NS,-0.1875107413369503,-0.15282110528936504,-0.02047161563928
145,BH,-0.4934009191138787,-0.2994564829047311,0.3265354943210647
146,NS,0.2356595049350605,0.1396348885168227,-0.15963923527355978
147,BH,-0.4981336941332847,-0.29775304885770426,0.3347278322863461
148,NS,-0.13147451247790684,0.1397818833112383,0.113811286473966
149,NS,0.23603557415766724,0.138884824808347,-0.16287487637358394
150,NS,0.2369491488013445,0.14036834597204584,-0.1625186902724792
151,NS,-0.4904482325838391,-0.29537425625039554,0.3386921912957103
152,NS,-0.4979775583312321,-0.281213410943131,0.3321909430716709
153,BH,-0.4998757733403333,-0.2946269707245781,0.3377647477359188
154,BH,-0.4920954477953192,-0.2602463577706693,0.30141234160021696
155,BH,-0.4900016096894686,-0.2968180007323684,0.3286374940677512
156,BH,-0.40466972558805336,-0.3083167134767075,0.2838251942549804
