index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
1,BH,BH0019,CXOU J100515.4-07425,40580.4,17.39,1313.561,2010-01-27T01:02:52,6.238000000000001e-07,0.9510000000000002,7.0,0.0005012666666666666,0.0003174333333333333,0.00032439999999999997,2.0690000000000004e-05,0.3586666666666667,0.37833333333333335,0.4526666666666667,0.0,14.745601788800812,15.108752540451304,14.887307880224451,1.38672e-06,4.99478e-07,9.515000000000001e-07,5.793984123236656,6.607830850510264,6.345823458122039,5.705754283861882,6.315334135974139,5.914709421769935,7.020042106659335,6.539703673242524,6.217527375833714,6.537152964168326,5.699621935129297,6.400226060853612,6.218747405751544,5.487182241435127,6.169154807691388,14.52201102374911,14.96738123914928,14.961777361631281,15.348721986001856,15.066867176273266,14.65856547542186,15.46042211665469,15.155647103689107,15.860750782428394,15.288699040083834,14.423773862550394,14.742561433140187,14.834755673874689,15.13024040521759,14.920818753952375,-0.2523,-0.3123,-0.0562,,,,,,,,,,,,,,,,,0.0493,-0.559,0.0056,-0.6115,0.2067,-0.3067,,,,,,,,,,,,,,,,,,,,
2,BH,BH0019,CXOU J100515.4-07425,75682.2,17.39,1313.561,2010-01-29T14:46:35,6.238000000000001e-07,0.9510000000000002,7.0,0.0006316200000000001,0.00030833,0.00032097800000000003,3.3624399999999996e-05,0.40380000000000005,0.268,0.5744,1.0,14.662221375163817,14.906466253301366,14.766115891234115,1.47996e-06,7.9984e-07,1.14552e-06,5.645891560852599,6.559720786764411,6.177505014721249,5.745693667668714,6.13578566953867,5.716698771296451,6.805208242278075,6.2888679276931585,6.0670191780768015,6.258533238230245,5.585026652029182,6.410832609453952,6.093180284533455,5.569763646588489,6.040195683491662,14.409046764812015,14.984221243610959,14.7956086680807,15.165897344287206,14.8703101078007,14.485053994691995,15.28525123927494,14.906928693623936,15.809388202186396,14.993106292052099,14.344477403746582,14.80799040734633,14.711303739409745,14.928486194904911,14.774690718274137,-0.4047,-0.4497,-0.0512,,,,,,,,,,,,,,,,,-0.2117,-0.589,-0.2555,-0.6277,0.1106,-0.208,,,,,,,,,,,,,,,,,,,,
3,BH,BH0019,CXOU J100515.4-07425,171955.9,17.39,1313.561,2012-01-18T14:26:38,6.238000000000001e-07,0.9510000000000002,7.0,0.00012485,8.539499999999999e-05,8.6115e-05,3.126e-06,0.6659999999999999,0.5569999999999999,0.472,0.0,15.417686591843053,15.847412034634644,15.580834295769467,3.1364999999999995e-07,8.254619999999999e-08,1.98468e-07,6.504872118757067,7.140261433802853,7.516555351901465,6.392652223231587,6.764724123312948,6.6495581434649385,7.512720183556931,8.118558278058607,7.434034182553333,6.945004138470859,6.396530840266161,6.95116991347165,7.286089645871044,6.111764326729433,6.637894680706227,15.232473100591617,15.643018599006869,16.10896458468469,15.850472986245652,15.551757587365561,15.38955277855788,16.180127178049453,16.711080394338275,16.473789996158335,15.736127323134776,15.117304737618403,15.410050398674292,15.878440155812498,15.604498875694373,15.422623108082986,0.4622,-0.3948,-0.7108,,,,,,,,,,,,,,,,,0.7626,0.0893,-0.1205,-0.644,-0.4953,-0.8826,,,,,,,,,,,,,,,,,,,,
4,BH,BH0019,CXOU J100515.4-07425,75554.3,17.39,1313.561,2012-01-26T22:21:59,6.238000000000001e-07,0.9510000000000002,7.0,0.0002232,0.0001412,0.0001437,8.248e-06,0.047,0.006,0.506,1.0,15.165668326274217,15.722427455907393,15.357674001225954,4.637799999999999e-07,8.138200000000001e-08,2.7735799999999993e-07,6.374070507283705,6.953504835665291,7.156829535480102,6.218963061378868,6.746661994673894,6.576426480267265,7.43074316667139,7.758951849328356,inf,7.059483515067432,6.242831807785728,6.7318902701915215,6.926281649653878,5.931072388317928,6.566550206238404,15.02342078135989,15.34428545038129,15.775985188627136,15.553307533628473,15.459670525209127,15.22584814104529,15.89722338511656,16.377993326993195,16.808548985535104,15.772627557710363,14.892111974817201,15.108797172739704,15.54546001503518,15.264480941184829,15.279675282582557,0.2848,-0.2299,-0.4735,,,,,,,,,,,,,,,,,0.6552,-0.1468,0.1405,-0.5778,-0.1205,-0.7639,,,,,,,,,,,,,,,,,,,,
5,BH,BH0019,CXOU J100515.4-07425,184208.0,17.39,1313.561,2012-01-31T15:24:33,6.238000000000001e-07,0.9510000000000002,7.0,0.000341025,0.000236095,0.00023840249999999998,9.2795e-06,0.474,0.704,0.37625,0.0,14.803867495404937,14.969278870639538,14.880697911638789,6.871799999999999e-07,4.2848e-07,5.1148e-07,5.842543231865775,6.688246138944246,6.419531216048998,inf,6.271808601410053,5.898252926053634,6.85294232897164,6.511590311096802,inf,6.3663295939485565,5.79317412396815,6.574955125448612,6.347753658996677,6.321299565001696,6.198184831418563,14.488250288655017,14.842543231865774,15.022276394711152,inf,15.024706084643794,14.544698228342924,15.007402303897962,15.113227356945561,inf,15.11924355548979,14.438183335681043,14.729321163855294,14.947306058075032,16.021317434843056,14.95116991347165,-0.2948,-0.4447,-0.1699,,,,,,,,,,,,,,,,,-0.1343,-0.4541,-0.2979,-0.5828,-0.0394,-0.2929,,,,,,,,,,,,,,,,,,,,
6,BH,BH0019,CXOU J100515.4-07425,158013.8,17.39,1313.561,2012-02-03T10:00:00,6.238000000000001e-07,0.9510000000000002,7.0,0.0003585,0.000218755,0.0002342075,2.1460250000000002e-05,0.38425,0.399,0.5089999999999999,0.75,14.776270490635124,14.98354331874654,14.865771876978338,9.5642e-07,5.21e-07,7.4048e-07,5.854182285508172,6.555174800490252,6.552531869050244,5.938924676370208,6.226432951073941,5.917933065714887,6.702677285794698,6.668167955563751,6.294392836595395,6.322119418488409,5.801617869991706,6.445147565627946,6.461426266193144,5.746177561291927,6.151995728502731,14.529295570277212,14.892790030352131,15.1739900222089,15.093180284533455,14.959397659885926,14.593971055036384,15.046578600318965,15.289628735739237,15.448550002027124,15.056258234168686,14.475993554442628,14.779368980551908,15.082757142092534,14.908684840302778,14.8843894883257,0.0037,-0.3635,-0.3623,,,,,,,,,,,,,,,,,0.1818,-0.1843,-0.2117,-0.5103,-0.228,-0.4878,,,,,,,,,,,,,,,,,,,,
7,BH,BH0019,CXOU J100515.4-07425,160215.7,17.39,1313.561,2012-01-21T08:54:47,6.238000000000001e-07,0.9510000000000002,7.0,0.0001404,6.0375e-05,7.068e-05,1.18335e-05,0.6875,0.7815,0.6655,1.5,15.619354680809074,16.191883596045503,15.89190876441878,2.3637e-07,5.3252e-08,8.805e-08,6.6067758836387025,inf,7.176199846250122,inf,6.898596649444669,6.7870138152633315,inf,7.488517711373999,inf,7.151872489432125,6.47977856411804,7.48372911727066,7.003838706631993,6.27043027369803,6.73969005420508,15.581864501574767,inf,15.843450848668219,inf,15.627087997029893,15.914352711703144,inf,16.167938385409272,inf,15.880414225038216,15.395881993807965,15.899284913426918,15.667359589612538,15.908684840302778,15.475344287642223,-0.9994,-0.9994,-0.341,,,,,,,,,,,,,,,,,-0.3429,-1.0,-0.589,-1.0,-0.0369,-0.604,,,,,,,,,,,,,,,,,,,,
8,BH,BH0019,CXOU J100515.4-07425,119479.4,17.39,1313.561,2012-04-04T03:00:56,6.238000000000001e-07,0.9510000000000002,7.0,0.000461875,0.00025847,0.0002726,2.5827e-05,0.43999999999999995,0.34750000000000003,0.48500000000000004,0.5,14.782416047966478,14.981657400924176,14.877017817745543,9.255999999999999e-07,4.85094e-07,7.073e-07,5.790753151246626,6.656197666838345,6.484656106911619,6.235823867609669,6.103363569470416,5.859177819890689,6.863913902615902,6.609594843519919,7.557990840859048,6.199076818186782,5.7318902701915215,6.522734004575147,6.393188853081036,5.945386945443112,6.028956208163971,14.48558507941963,14.971428747307462,15.107515820635312,inf,14.818442226137213,14.556737012541305,15.196406335228655,15.232473100591617,inf,14.913996294381619,14.42458120878564,14.823908740944319,15.010639186223752,15.675511766692344,14.744004273277598,-0.1811,-0.5646,-0.4197,,,,,,,,,,,,,,,,,0.0244,-0.3879,-0.4179,-0.6977,-0.2879,-0.5403,,,,,,,,,,,,,,,,,,,,
9,BH,BH0019,CXOU J100515.4-07425,69689.2,17.39,1313.561,2012-04-06T18:15:48,6.238000000000001e-07,0.9510000000000002,7.0,0.0005409,0.00032353333333333336,0.0003729333333333333,5.1710000000000005e-05,0.7086666666666668,0.7333333333333334,0.454,0.0,14.831119657586358,15.071686097829746,14.962469921233392,8.787679999999999e-07,4.7204e-07,6.055e-07,5.772884917410875,inf,6.385524633909605,inf,6.032031037121308,5.865822892423234,inf,6.537751784645002,inf,6.149782758201611,5.700492701299512,7.07037674848476,6.277695213125672,6.195043200142508,5.939302159646388,14.560036064079094,inf,15.00687251489429,inf,14.76624263703449,14.648783654660658,inf,15.15914144595812,inf,14.885722703438415,14.486382926212125,15.495121540589784,14.898940645091885,15.390725827595412,14.67264106561367,-0.9994,-0.9994,-0.4047,,,,,,,,,,,,,,,,,-0.6515,-1.0,-0.8326,-1.0,-0.243,-0.5528,,,,,,,,,,,,,,,,,,,,
10,BH,BH0019,CXOU J100515.4-07425,46281.0,17.39,1313.561,2012-04-05T19:03:53,6.238000000000001e-07,0.9510000000000002,7.0,0.0006065,0.00037656666666666664,0.00038396666666666666,2.3562333333333333e-05,0.16466666666666666,0.27899999999999997,0.4283333333333333,0.0,14.699504515340458,15.00638744206111,14.842374019942598,1.0448000000000001e-06,4.7348400000000003e-07,6.5384e-07,5.728158393463501,6.62967199222049,6.19736308191719,inf,6.275888046038788,5.8326826652518236,7.002089632653257,6.330869152626668,inf,6.4800408192479315,5.643782865780265,6.432150549426893,6.0953926361845525,5.9779842601822795,6.137570443893991,14.447940465812115,14.945004138470859,14.790484985457368,inf,15.061580354206807,14.562566556202029,15.317313521750233,14.933674074637961,inf,15.265680319140992,14.362510270487489,14.747389659432628,14.68277265082358,15.229368872222194,14.923359556329657,-0.4372,-0.3848,0.07,,,,,,,,,,,,,,,,,-0.193,-0.6652,-0.0981,-0.6427,0.2942,-0.1455,,,,,,,,,,,,,,,,,,,,
0,BH,BH0020,CXOU J100516.2-07423,36978.6,16.78,1251.499,2001-06-14T10:51:54,2.9786e-07,0.465,2.4,0.0003868666666666666,0.00026986666666666665,0.0002759,1.5701e-05,0.553,0.5139999999999999,0.448,0.0,14.809046725078604,15.235838817763096,14.969716096188655,8.598400000000001e-07,3.4777599999999995e-07,6.0732e-07,5.867740310468956,6.656985502849232,6.726998727936262,6.128660618900139,6.276380164484537,6.0097499670721835,7.119472221801195,7.107182175690424,6.55455148573395,6.483993769613952,5.761201437286083,6.4381833356810425,6.527389802403955,5.926281649653878,6.142848497312507,14.646468440922238,15.030351159519276,15.322575562298752,15.082179518006303,15.06138021849732,14.793984123236655,15.600153287287078,15.702896349850743,15.508218224415835,15.268975620184312,14.536554968229572,14.792096469613949,15.130709595790602,14.879755204453634,14.927750102386485,0.1512,-0.396,-0.4947,,,,,,,,,,,,,,,,,0.5053,-0.2542,-0.0868,-0.6652,-0.2192,-0.7189,,,,,,,,,,,,,,,,,,,,
1,BH,BH0020,CXOU J100516.2-07423,40580.4,16.78,1251.499,2010-01-27T01:02:52,2.9786e-07,0.465,2.4,0.00043210000000000004,0.0002963,0.0003041,1.8707e-05,0.586,0.4505,0.44599999999999995,0.0,14.834886308401739,15.26287099484859,15.033942786843403,9.2758e-07,2.9543e-07,6.153200000000001e-07,5.9044819576768495,6.689731633367552,6.538501473216981,6.076911484557601,6.301725423325633,6.046336936252909,7.139781815331244,6.79805693659835,7.307417437725091,6.526659035814064,5.803271277376713,6.473531487530523,6.384681343388521,5.788879458741951,6.1608992172928465,14.640354207325457,15.192938760082761,15.161276809968628,inf,14.998266287190999,14.785156151952302,15.95272513261582,15.430041181903405,inf,15.217097594025356,14.537751784645003,14.941953769604718,15.004145520125434,15.04609540658654,14.859806321421368,-0.1212,-0.4185,-0.3011,,,,,,,,,,,,,,,,,0.2242,-0.4716,-0.1156,-0.6877,-0.0256,-0.544,,,,,,,,,,,,,,,,,,,,
2,BH,BH0020,CXOU J100516.2-07423,75682.2,16.78,1251.499,2010-01-29T14:46:35,2.9786e-07,0.465,2.4,0.00040559999999999994,0.0002169666666666667,0.00022613333333333335,2.2164666666666668e-05,0.435,0.32599999999999996,0.5396666666666667,0.6666666666666666,14.937455618653535,15.264385133886424,15.09267464664859,7.644399999999999e-07,3.04334e-07,5.3442e-07,5.957818405484233,6.68277265082358,6.561774192395471,6.158452834743446,6.404614019190858,6.0611801749737895,6.972242795309446,6.734003629504921,7.023787622882623,6.5730010412434625,5.874518734299406,6.510604078272871,6.438898616350944,5.888065723667318,6.283495836226783,14.708409174341998,15.133535434028259,15.184621515034081,inf,15.15914144595812,14.824488186636552,15.505984625242856,15.356744774975228,inf,15.327532686931917,14.621238824683626,14.935916564036404,15.061630402548193,15.356744774975228,15.03810452633215,-0.0937,-0.2923,-0.1961,,,,,,,,,,,,,,,,,0.173,-0.3691,-0.0356,-0.534,0.0269,-0.4041,,,,,,,,,,,,,,,,,,,,
