,type,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,num_obs,XOFFSET_
64,NS,NS0032,IGR_J17597-2201______,269.940417,-22.0275,INTREFCAT_______,INTEGRAL_____,2CXO_J175945.5-220139_,269.939686,-22.027565,0,0.041
65,NS,NS0033,KS_1731-260__________,263.555833,-26.088611,INTREFCAT_______,INTEGRAL_____,2CXO_J173413.4-260518_,263.556034,-26.088528,7,0.012
66,NS,NS0034,SAX_J1750.8-2900_____,267.6,-29.038333,INTREFCAT_______,INTEGRAL_____,2CXO_J175024.4-290215_,267.601766,-29.037549,2,0.104
67,NS,NS0035,SAX_J1806.5-2215_____,271.634167,-22.238056,INTREFCAT_______,INTEGRAL_____,2CXO_J180632.1-221417_,271.634072,-22.238096,1,0.006
68,NS,NS0036,SAX_J1808.4-3658_____,272.114583,-36.978889,INTREFCAT_______,INTEGRAL_____,2CXO_J180827.6-365843_,272.115179,-36.978637,0,0.032
69,NS,NS0037,SAX_J1808.4-3658_____,272.114583,-36.978889,INTREFCAT_______,INTEGRAL_____,2CXO_J180828.2-365848_,272.117875,-36.980076,0,0.173
70,NS,NS0038,SAX_J1810.8-2609_____,272.685,-26.15,INTREFCAT_______,INTEGRAL_____,2CXO_J181044.4-260901_,272.685276,-26.150372,1,0.027
71,NS,NS0039,SLX_1735-269_________,264.57125,-26.994167,INTREFCAT_______,INTEGRAL_____,2CXO_J173817.0-265939_,264.571236,-26.994189,2,0.002
72,NS,NS0040,SLX_1744-300_________,266.855833,-30.044722,INTREFCAT_______,INTEGRAL_____,2CXO_J174726.0-300241_,266.85842,-30.044968,3,0.135
73,NS,NS0041,XB_1732-304__________,263.948333,-30.482222,INTREFCAT_______,INTEGRAL_____,2CXO_J173547.6-302858_,263.948614,-30.482933,1,0.045
74,NS,NS0042,XB_1732-304__________,263.948333,-30.482222,INTREFCAT_______,INTEGRAL_____,2CXO_J173547.2-302855_,263.946951,-30.481989,1,0.073
75,NS,NS0043,XB_1732-304__________,263.948333,-30.482222,INTREFCAT_______,INTEGRAL_____,2CXO_J173547.0-302858_,263.945897,-30.482815,1,0.131
76,NS,NS0044,XMMU_J004245.2+41172_,10.688333,41.289167,INTREFCAT_______,INTEGRAL_____,2CXO_J004245.2+411722_,10.688401,41.289518,95,0.021
77,NS,NS0045,XMMU_J004245.2+41172_,10.688333,41.289167,INTREFCAT_______,INTEGRAL_____,2CXO_J004244.8+411728_,10.686879,41.291118,7,0.134
78,NS,NS0046,XMMU_J004245.2+41172_,10.688333,41.289167,INTREFCAT_______,INTEGRAL_____,2CXO_J004246.1+411728_,10.69217,41.291326,65,0.216
79,NS,NS0047,XMMU_J004414.0+41220_,11.058333,41.367778,INTREFCAT_______,INTEGRAL_____,2CXO_J004414.4+412204_,11.060336,41.368015,3,0.091
80,NS,NS0048,XMMU_J004438.1+41451_,11.15875,41.753056,INTREFCAT_______,INTEGRAL_____,2CXO_J004437.9+414512_,11.15814,41.753439,0,0.036
81,NS,NS0049,XTE_J1709-267________,257.376667,-26.655556,INTREFCAT_______,INTEGRAL_____,2CXO_J170930.3-263919_,257.376621,-26.655548,3,0.003
82,NS,NS0050,XTE_J1710-281________,257.55125,-28.131667,INTREFCAT_______,INTEGRAL_____,2CXO_J171012.5-280750_,257.552347,-28.130798,0,0.078
83,NS,NS0051,XTE_J1739-285________,264.975,-28.496389,INTREFCAT_______,INTEGRAL_____,2CXO_J173953.9-282946_,264.974746,-28.49623,2,0.016
84,NS,NS0052,XTE_J2123-058________,320.810417,-5.798056,INTREFCAT_______,INTEGRAL_____,2CXO_J212314.5-054753_,320.810579,-5.798128,1,0.011
85,NS,NS0053,1832-3301____________,278.932083,-32.990833,RITTERLMXB______,_____________,2CXO_J183543.6-325926_,278.931934,-32.990602,4,0.016
86,NS,NS0054,BW_ANT_______________,142.334167,-31.384167,RITTERLMXB______,_____________,2CXO_J092920.1-312303_,142.334101,-31.384266,1,0.007
87,NS,NS0055,J1748-2021,,,,,,,,-1,
88,NS,NS0056,J1748-2021,,,,,,,,-1,
89,NS,NS0057,J1748-2446___________,267.02,-24.780278,RITTERLMXB______,_____________,2CXO_J174804.5-244642_,267.019036,-24.778378,62,0.126
90,NS,NS0058,J1748-3607___________,267.054583,-36.1325,RITTERLMXB______,_____________,2CXO_J174813.1-360758_,267.054676,-36.13281,1,0.019
91,NS,NS0059,J1749-2808___________,267.382083,-28.134722,RITTERLMXB______,_____________,2CXO_J174931.7-280805_,267.382206,-28.134737,2,0.007
92,NS,NS0060,J1749-2919___________,267.480833,-29.322222,RITTERLMXB______,_____________,2CXO_J174955.3-291919_,267.480748,-29.322086,1,0.009
93,NS,NS0061,J1751-3037___________,267.80625,-30.623056,RITTERLMXB______,_____________,2CXO_J175113.6-303726_,267.806945,-30.62403,1,0.069
94,NS,NS0062,J1824-2452___________,276.135417,-24.868889,RITTERLMXB______,_____________,2CXO_J182432.4-245208_,276.135398,-24.868928,10,0.003
