,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_,near_gc,near_gc_dist
31,CV0032,[HPH2013] 252          ,10.74723,41.2786,M31CFCXO        ,CHANDRA      ,2CXO J004259.3+411642 ,10.747254,41.278594,0.001,no_cluster,
32,CV0033,[HPH2013] 256          ,10.753039999999999,41.19093,M31CFCXO        ,CHANDRA      ,2CXO J004300.7+411127 ,10.753214,41.190888,0.008,no_cluster,
33,CV0034,[HPH2013] 267          ,10.763589999999999,41.203359999999996,M31CFCXO        ,CHANDRA      ,2CXO J004303.3+411211 ,10.763846000000001,41.203226,0.013999999999999999,no_cluster,
34,CV0035,[HPH2013] 273          ,10.77905,41.30276,M31CFCXO        ,CHANDRA      ,2CXO J004307.1+411810 ,10.779595,41.302807,0.025,no_cluster,
35,CV0036,[HPH2013] 274          ,10.780999999999999,41.30138,M31CFCXO        ,CHANDRA      ,2CXO J004307.4+411804 ,10.781062,41.301365999999994,0.003,no_cluster,
36,CV0037,[HPH2013] 50           ,10.59324,41.22933,M31CFCXO        ,CHANDRA      ,2CXO J004222.3+411345 ,10.593181,41.229263,0.005,no_cluster,
37,CV0038,[HPH2013] 79           ,10.63648,41.28032,M31CFCXO        ,CHANDRA      ,2CXO J004232.7+411648 ,10.636567999999999,41.280268,0.005,no_cluster,
38,CV0039,[HPH2013] 81           ,10.63795,41.00713,M31CFCXO        ,CHANDRA      ,2CXO J004232.5+410027 ,10.635522,41.007762,0.11599999999999999,no_cluster,
39,CV0040,[HPH2013] 88           ,10.64177,41.18255,M31CFCXO        ,CHANDRA      ,2CXO J004233.9+411056 ,10.64153,41.182407,0.013999999999999999,no_cluster,
40,CV0041,[HPH2013] 97           ,10.65082,41.30052,M31CFCXO        ,CHANDRA      ,2CXO J004236.2+411801 ,10.650876,41.300492,0.003,no_cluster,
41,CV0042,1RXS J043950.4-680854  ,69.96,-68.148333,RASS2MASS       ,ROSAT        ,2CXO J043949.6-680900 ,69.956677,-68.15026800000001,0.138,no_cluster,
42,CV0043,1RXS J054748.5+283512  ,86.952083,28.586667,RASS2MASS       ,ROSAT        ,2CXO J054748.3+283511 ,86.95146700000001,28.586439000000002,0.035,no_cluster,
43,CV0044,1RXS J083821.6+483800  ,129.59,48.633333,RASS2MASS       ,ROSAT        ,2CXO J083821.9+483803 ,129.591626,48.634192,0.083,no_cluster,
44,CV0045,1RXS J134210.2+282250  ,205.5425,28.380556,RASS2MASS       ,ROSAT        ,2CXO J134209.7+282247 ,205.54072299999999,28.379944000000002,0.10099999999999999, NGC-5272,0.43651515362090354
45,CV0046,1RXS J170053.7+400354  ,255.22375,40.065,RASS2MASS       ,ROSAT        ,2CXO J170053.4+400358 ,255.22258599999998,40.066165000000005,0.08800000000000001,no_cluster,
46,CV0047,1WGA J0439.8-6809      ,69.959583,-68.152389,WGACAT          ,ROSAT        ,2CXO J043949.6-680900 ,69.956677,-68.15026800000001,0.14300000000000002,no_cluster,
47,CV0048,1WGA J0836.7+5328      ,129.179583,53.477889000000005,WGACAT          ,ROSAT        ,2CXO J083642.7+532838 ,129.177966,53.477267000000005,0.069,no_cluster,
48,CV0049,1WGA J1617.0-2258      ,244.25875,-22.971722,WGACAT          ,ROSAT        ,2CXO J161702.1-225821 ,244.258799,-22.972552,0.05, NGC-6093,0.22272268204894188
49,CV0050,1WGA J1617.0-2258      ,244.25875,-22.971722,WGACAT          ,ROSAT        ,2CXO J161701.7-225816 ,244.25710899999999,-22.971307,0.094, NGC-6093,0.32920093699245045
50,CV0051,1WGA J1740.6-5340      ,265.1725,-53.668361,WGACAT          ,ROSAT        ,2CXO J174041.4-534004 ,265.172853,-53.667935,0.027999999999999997, NGC-6397,0.3942276137638785
51,CV0052,1WGA J1910.8-5958      ,287.712083,-59.98044399999999,WGACAT          ,ROSAT        ,2CXO J191051.5-595856 ,287.714643,-59.982464,0.14300000000000002, NGC-6752,0.14593970286611282
52,CV0053,2E 1936.6+3023         ,294.664275,30.509108,IPC             ,EINSTEIN     ,2CXO J193840.1+303028 ,294.667085,30.507841,0.16399999999999998,no_cluster,
53,CV0054,2XMM J004414.4+412204  ,11.06001,41.36784,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J004414.4+412204 ,11.060336,41.368015,0.018000000000000002,no_cluster,
54,CV0055,2XMM J020052.2-092431  ,30.217579999999998,-9.40881,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J020052.2-092431 ,30.217678000000003,-9.408797999999999,0.006,no_cluster,
55,CV0056,2XMM J025608.1+192634  ,44.03385,19.44291,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J025608.1+192634 ,44.034105,19.442842000000002,0.015,no_cluster,
56,CV0057,2XMM J080622.9+152730  ,121.59568999999999,15.4586,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J080622.9+152731 ,121.595685,15.458634,0.002,no_cluster,
57,CV0058,2XMM J174816.9-280750  ,267.07065,-28.13075,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J174817.0-280749 ,267.070958,-28.130413,0.026000000000000002,no_cluster,
58,CV0059,2XMM J175013.1-064227  ,267.55487,-6.70781,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J175013.1-064228 ,267.554839,-6.7078690000000005,0.004,no_cluster,
59,CV0060,2XMM J180507.1-274308  ,271.27969,-27.71903,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J180507.0-274309 ,271.279501,-27.719175,0.013000000000000001, NGC-6540,13.890244965052796
60,CV0061,2XMM J190109.3-220003  ,285.28867,-22.00112,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J190109.3-220005 ,285.288993,-22.001639,0.036000000000000004,no_cluster,
61,CV0062,2XMM J231519.0-591029  ,348.82925,-59.174769999999995,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J231518.9-591028 ,348.828827,-59.174549,0.019,no_cluster,
62,CV0063,CHI J162011-5002_1     ,245.027875,-50.033056,CHICAGOCXO      ,CHANDRA      ,2CXO J162006.7-500159 ,245.027924,-50.033097,0.003,no_cluster,
63,CV0064,CHI J172550-3533_2     ,261.493875,-35.542028,CHICAGOCXO      ,CHANDRA      ,2CXO J172558.5-353231 ,261.49386400000003,-35.542003,0.002,no_cluster,
64,CV0065,CHI J194939+2631_1     ,297.409917,26.530278000000003,CHICAGOCXO      ,CHANDRA      ,2CXO J194938.3+263149 ,297.409922,26.530282,0.0,no_cluster,
65,CV0066,CXOGLB J002359.3-720438,5.997488,-72.077386,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.4-720438 ,5.997523,-72.077393,0.001, NGC-104,0.5353055241774265
66,CV0067,CXOGLB J002401.4-720441,6.006012,-72.078264,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005987999999999,-72.078311,0.003, NGC-104,0.37108712344320305
67,CV0068,CXOGLB J002402.1-720450,6.009004,-72.080725,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,0.002, NGC-104,0.27359149426132107
68,CV0069,CXOGLB J002402.1-720542,6.008829,-72.09500799999999,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720542 ,6.008951000000001,-72.095027,0.003, NGC-104,0.8682574762378737
69,CV0070,CXOGLB J002402.5-720511,6.010542,-72.086458,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720511 ,6.010643,-72.086484,0.002, NGC-104,0.3936906387795832
70,CV0071,CXOGLB J002402.8-720449,6.011767,-72.080281,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.5-720452 ,6.014684,-72.08111600000001,0.07400000000000001, NGC-104,0.16533723044061308
71,CV0072,CXOGLB J002403.1-720447,6.012975,-72.079817,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.1-720447 ,6.013008999999999,-72.07985,0.002, NGC-104,0.2138848557001654
72,CV0073,CXOGLB J002403.6-720459,6.015346,-72.083072,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.7-720459 ,6.015486,-72.083083,0.003, NGC-104,0.18521217685019672
73,CV0074,CXOGLB J002403.7-720423,6.015675,-72.07305,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.7-720423 ,6.01575,-72.073064,0.002, NGC-104,0.5138295218363081
74,CV0075,CXOGLB J002403.8-720621,6.016025,-72.10601700000001,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.8-720621 ,6.016136,-72.106038,0.002, NGC-104,1.492023377188846
75,CV0076,CXOGLB J002404.2-720458,6.017675,-72.08277199999999,GC47TUCCXO      ,CHANDRA      ,2CXO J002404.2-720457 ,6.017843,-72.082764,0.003, NGC-104,0.13908108672360178
76,CV0077,CXOGLB J002404.9-720455,6.020471,-72.082044,GC47TUCCXO      ,CHANDRA      ,2CXO J002404.9-720455 ,6.020589,-72.082103,0.004, NGC-104,0.07478262486544372
77,CV0078,CXOGLB J002404.9-720506,6.020883,-72.08505799999999,GC47TUCCXO      ,CHANDRA      ,2CXO J002405.0-720506 ,6.0210040000000005,-72.085077,0.002, NGC-104,0.23303054325279315
78,CV0079,CXOGLB J002405.3-720421,6.02235,-72.072647,GC47TUCCXO      ,CHANDRA      ,2CXO J002405.3-720421 ,6.02249,-72.07267900000001,0.003, NGC-104,0.5163521299794276
79,CV0080,CXOGLB J002405.6-720449,6.023521,-72.080333,GC47TUCCXO      ,CHANDRA      ,2CXO J002405.6-720449 ,6.023632,-72.08035600000001,0.002, NGC-104,0.055306817630098586
80,CV0081,CXOGLB J002406.0-720456,6.024962,-72.082272,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.0-720456 ,6.025117,-72.08228299999999,0.003, NGC-104,0.06630415340121062
81,CV0082,CXOGLB J002406.3-720443,6.0265580000000005,-72.078611,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720443 ,6.026676,-72.078634,0.003, NGC-104,0.16833002430252658
82,CV0083,CXOGLB J002407.1-720545,6.029738,-72.096053,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.1-720545 ,6.029837000000001,-72.096075,0.002, NGC-104,0.8952025559149365
83,CV0084,CXOGLB J002407.7-720527,6.0323709999999995,-72.0909,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.7-720527 ,6.032464,-72.090925,0.002, NGC-104,0.6013801569317687
84,CV0085,CXOGLB J002407.9-720454,6.032975,-72.08188299999999,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.9-720454 ,6.0331779999999995,-72.081913,0.004, NGC-104,0.18041754139446406
85,CV0086,CXOGLB J002408.2-720435,6.034517,-72.076608,GC47TUCCXO      ,CHANDRA      ,2CXO J002408.3-720435 ,6.034675,-72.07661800000001,0.003, NGC-104,0.3461047128191687
86,CV0087,CXOGLB J002408.4-720500,6.035312,-72.083417,GC47TUCCXO      ,CHANDRA      ,2CXO J002408.4-720500 ,6.035411,-72.083435,0.002, NGC-104,0.25314869265974504
87,CV0088,CXOGLB J002409.2-720543,6.038412,-72.095519,GC47TUCCXO      ,CHANDRA      ,2CXO J002409.2-720543 ,6.038483,-72.09554399999999,0.002, NGC-104,0.8988112381696625
88,CV0089,CXOGLB J002410.0-720441,6.041879,-72.078128,GC47TUCCXO      ,CHANDRA      ,2CXO J002410.0-720441 ,6.042059,-72.078131,0.003, NGC-104,0.3891872159323601
89,CV0090,CXOGLB J002410.6-720516,6.04435,-72.087906,GC47TUCCXO      ,CHANDRA      ,2CXO J002410.6-720516 ,6.044487999999999,-72.087879,0.003, NGC-104,0.5524019870344536
90,CV0091,CXOGLB J002410.7-720425,6.044775,-72.073814,GC47TUCCXO      ,CHANDRA      ,2CXO J002410.7-720425 ,6.044885,-72.073826,0.002, NGC-104,0.594972050906936
91,CV0092,CXOGLB J002411.8-720443,6.0496,-72.078858,GC47TUCCXO      ,CHANDRA      ,2CXO J002411.9-720443 ,6.0496669999999995,-72.078852,0.001, NGC-104,0.5023164949827781
92,CV0093,CXOGLB J002415.8-720436,6.06615,-72.076775,GC47TUCCXO      ,CHANDRA      ,2CXO J002415.9-720436 ,6.066288,-72.076792,0.003, NGC-104,0.8323717813570305
93,CV0094,CXOGLB J002416.9-720427,6.0707,-72.074225,GC47TUCCXO      ,CHANDRA      ,2CXO J002416.9-720427 ,6.070791000000001,-72.07423399999999,0.002, NGC-104,0.967986096177476
94,CV0095,CXOU J192035.7+374452  ,290.148996,37.747852,NGC6791CXO      ,CHANDRA      ,2CXO J192035.7+374452 ,290.148921,37.747795,0.005,no_cluster,
95,CV0096,CXOU J192056.3+374613  ,290.234628,37.770331,NGC6791CXO      ,CHANDRA      ,2CXO J192056.2+374613 ,290.234581,37.770285,0.004,no_cluster,
96,CV0097,CXOU J192105.4+374457  ,290.272575,37.749358,NGC6791CXO      ,CHANDRA      ,2CXO J192105.4+374457 ,290.272655,37.749443,0.006,no_cluster,
97,CV0098,CXOU J192107.4+374756  ,290.280916,37.799056,NGC6791CXO      ,CHANDRA      ,2CXO J192107.4+374756 ,290.28084900000005,37.798997,0.005,no_cluster,
98,CV0099,GK PER                 ,52.799167000000004,43.904722,INTREFCAT       ,INTEGRAL     ,2CXO J033111.9+435415 ,52.79998199999999,43.904258,0.045,no_cluster,
99,CV0100,IGR J00234+6141        ,5.74,61.685556000000005,INTREFCAT       ,INTEGRAL     ,2CXO J002257.6+614107 ,5.7401860000000005,61.685396,0.011000000000000001,no_cluster,
100,CV0101,IGR J04571+4527        ,74.281,45.464,IBISCAT         ,INTEGRAL     ,2CXO J045708.3+452749 ,74.284675,45.463833,0.155,no_cluster,
101,CV0102,IGR J15529-5029        ,238.195,-50.498000000000005,IBISCAT         ,INTEGRAL     ,2CXO J155246.9-502953 ,238.195492,-50.498168,0.021,no_cluster,
102,CV0103,IGR J16167-4957        ,244.157,-49.979,IBISCAT         ,INTEGRAL     ,2CXO J161637.7-495844 ,244.157295,-49.979056,0.012,no_cluster,
103,CV0104,IGR J16500-3307        ,252.483,-33.117,IBISCAT         ,INTEGRAL     ,2CXO J164955.6-330702 ,252.481929,-33.117333,0.057,no_cluster,
104,CV0105,IGR J17195-4100        ,259.9,-41.015,IBISCAT         ,INTEGRAL     ,2CXO J171935.8-410053 ,259.89956,-41.014922999999996,0.02,no_cluster,
105,CV0106,IGR J18048-1455        ,271.16200000000003,-14.946,IBISCAT         ,INTEGRAL     ,2CXO J180438.9-145647 ,271.162331,-14.946391,0.03,no_cluster,
106,CV0107,IGR J18308-1232        ,277.70799999999997,-12.539000000000001,IBISCAT         ,INTEGRAL     ,2CXO J183049.9-123219 ,277.708107,-12.538639,0.023,no_cluster,
107,CV0108,IGR J19267+1325        ,291.612,13.368,IBISCAT         ,INTEGRAL     ,2CXO J192626.9+132205 ,291.612433,13.368079999999999,0.026000000000000002,no_cluster,
108,CV0109,V* TX COL              ,85.834417,-41.03175,RASSUSNOID      ,ROSAT        ,2CXO J054320.3-410154 ,85.834815,-41.031932,0.021,no_cluster,
109,CV0110,XMMSL2 J004231.9+411621,10.633182000000001,41.272599,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J004231.1+411621 ,10.629760000000001,41.272666,0.154,no_cluster,
110,CV0111,XMMSL2 J033112.3+435412,52.801643000000006,43.90339,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J033111.9+435415 ,52.79998199999999,43.904258,0.08900000000000001,no_cluster,
111,CV0112,XSS J12270-4859        ,186.994583,-48.895278000000005,INTREFCAT       ,INTEGRAL     ,2CXO J122758.7-485343 ,186.994816,-48.89537,0.011000000000000001,no_cluster,
